	chr2:167240069-167240218	chr2:167240219-167240288	chr2:167240289-167240368	chr2:167240369-167240438	chr2:167240439-167240518	chr2:167240519-167240668	chr2:167240669-167240818	chr2:167240819-167240968	chr2:167240969-167241118	chr2:167241119-167241198	chr2:167241199-167241268	chr2:167241269-167241418	chr2:167241419-167241508	chr2:167241509-167241568	chr2:167241569-167241718	chr2:167241719-167241868	chr2:167241869-167242018	chr2:167242019-167242108	chr2:167242109-167242168	chr2:167242169-167242218	chr2:167242219-167242318	chr2:167242319-167242438	chr2:167242439-167242468	chr2:167242469-167242618	chr2:167242619-167242728	chr2:167242729-167242768	chr2:167242769-167242858	chr2:167242859-167242918	chr2:167242919-167243008	chr2:167243009-167243068	chr2:167243069-167243108	chr2:167243109-167243218	chr2:167243219-167243368	chr2:167243369-167243518	chr2:167243519-167243668	chr2:167243669-167243818	chr2:167243819-167243968	chr2:167243969-167244118	chr2:167244119-167244198	chr2:167244199-167244268	chr2:167244269-167244338	chr2:167244339-167244418	chr2:167244419-167244568	chr2:167244569-167244718	chr2:167244719-167244868	chr2:167244869-167244928	chr2:167244929-167245018	chr2:167245019-167245168	chr2:167245169-167245318	chr2:167245319-167245348	chr2:167245349-167245468	chr2:167245469-167245518	chr2:167245519-167245618	chr2:167245619-167245768	chr2:167245769-167245918	chr2:167245919-167246068	chr2:167246069-167246218	chr2:167246219-167246368	chr2:167246369-167246428	chr2:167246429-167246518	chr2:167246519-167246668	chr2:167246669-167246818	chr2:167246819-167246968	chr2:167246969-167247118	chr2:167247119-167247268	chr2:167247269-167247338	chr2:167247339-167247418	chr2:167247419-167247508	chr2:167247509-167247568	chr2:167247569-167247718	chr2:167247719-167247868	chr2:167247869-167248018	chr2:167248019-167248168	chr2:167248169-167248258	chr2:167248259-167248318	chr2:167248319-167248468	chr2:167248469-167248618	chr2:167248619-167248768	chr2:167248769-167248918	chr2:167248919-167249068	chr2:167249069-167249218	chr2:167249219-167249368	chr2:167249369-167249518	chr2:167249519-167249668	chr2:167249669-167249738	chr2:167249739-167249818	chr2:167249819-167249968	chr2:167249969-167250118	chr2:167250119-167250268	chr2:167250269-167250418	chr2:167250419-167250568	chr2:167250569-167250658	chr2:167250659-167250718	chr2:167250719-167250788	chr2:167250789-167250868	chr2:167250869-167250908	chr2:167250909-167251018	chr2:167251019-167251048	chr2:167251049-167251168	chr2:167251169-167251318	chr2:167251319-167251468	chr2:167251469-167251528	chr2:167251529-167251618	chr2:167251619-167251768	chr2:167251769-167251918	chr2:167251919-167252008	chr2:167252009-167252068	chr2:167252069-167252218	chr2:167252219-167252368	chr2:167252369-167252428	chr2:167252429-167252518	chr2:167252519-167252668	chr2:167252669-167252818	chr2:167252819-167252968	chr2:167252969-167253118	chr2:167253119-167253168	chr2:167253169-167253268	chr2:167253269-167253418	chr2:167253419-167253568	chr2:167253569-167253718	chr2:167253719-167253818	chr2:167253819-167253868	chr2:167253869-167254018	chr2:167254019-167254168	chr2:167254169-167254208	chr2:167254209-167254318	chr2:167254319-167254447	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001044.7.72ced85f-cc3d-4155-864f-c88e943e41cd.fc.signal	1.4039	0.496641	0.37781	0.538187	0.750148	0.353466	0.931966	1.31396	1.99278	2.92485	2.42597	1.39841	0.992634	1.23356	1.26967	2.80798	3.41425	2.18018	1.54234	1.39553	1.27945	1.0416	1.77371	3.75411	4.99408	5.19318	5.73307	5.05701	4.4181	3.68235	3.71571	3.75909	3.84587	2.73417	2.00731	2.96012	3.48549	2.62622	1.79325	1.40965	1.52689	1.23073	0.947722	0.503428	0.777172	1.48825	1.52446	0.705913	1.1281	1.52116	1.50315	1.66085	1.45689	0.790492	1.00583	1.49048	1.72775	1.2141	1.00637	1.2883	1.20551	0.953635	1.03907	0.500052	0.797538	1.12461	0.883896	0.471219	0.54238	1.11367	0.860622	0.427744	0.999269	0.491158	0.248926	0.494442	0.762413	0.599197	0.676467	1.05768	1.03905	0.628954	1.08242	1.07826	0.602406	0.355662	0.91905	0.673776	0.97754	0.868236	0.347667	0.684365	0.694561	0.499444	0.371159	0.872392	0.935947	1.03391	0.598271	0.715776	0.511958	0.70911	0.970794	0.6478	1.05199	1.29161	0.796073	0.265722	0.33156	0.369461	0.175614	0.304423	0.411523	1.03267	0.953311	0.927191	1.14852	1.19988	0.741784	0.319485	0.704407	1.32876	1.60199	1.7509	2.04272	1.68548	1.52848	0.164211
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003837.4.d181cff2-e0ec-4d8f-83df-ad2768d9574c.fc.signal	1.52404	0.623852	1.05545	1.40887	1.73739	2.83654	3.28918	4.69352	2.70794	4.20511	3.23103	2.12916	1.15054	1.9116	3.5375	4.15775	3.56608	4.31066	5.26413	6.38139	6.80252	4.70881	4.08745	5.31316	5.34105	4.34482	4.48432	3.5536	2.60403	2.36574	2.70152	2.22952	2.23874	4.04978	2.71008	1.80672	3.36081	1.63334	0.982959	1.2754	1.358	1.44659	0.532122	0.900174	1.15866	1.68449	3.15439	3.88761	3.68943	2.32038	2.93555	3.59202	3.25264	1.96526	1.4823	0.952568	2.00983	0.933096	0	0.233957	2.99648	1.94892	0.70277	1.19805	1.44677	1.12329	0.808038	0.858615	1.03451	2.84697	1.60009	2.27285	1.87684	0.657299	0.699429	0.549727	0.842255	1.2187	0.827235	1.15998	0.906812	0.41272	1.40209	1.07512	0.856461	0.820565	1.11595	0.764806	0.843875	0.945289	0.633224	0.358605	1.19954	1.62754	1.88157	2.41846	1.32775	0.0836417	0.108066	1.13688	2.03197	0.682763	1.33021	1.46143	2.4846	3.37092	2.15317	3.80974	3.53861	3.20843	2.5453	2.44667	1.0939	1.59928	1.0598	0.817501	0.953137	1.86285	3.32777	3.8711	3.02968	2.46763	1.96698	1.73369	1.46399	1.78236	1.69695	0.397436
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000184.3.4719a0c4-8b28-453d-9098-6f0dd0a2bebd.fc.signal	0.164081	1.00166	1.15656	1.24201	0.48243	0.24369	0.170697	0.182024	0	0	0.100593	0.203289	0.122152	0.22634	0.419954	1.44379	0.973454	0.352318	0.663923	0.7505	0.752995	0.322268	1.06404	1.51926	0.574612	0.340559	0.159935	0.178869	0.408186	0.650164	0.67121	0.646804	0.319799	0.998772	1.11551	0.510966	0	0.00917267	0.543887	0.726819	0.750999	0.841568	0.812132	0.385695	0.397998	0.354795	0.332527	0.673544	1.12803	0.716905	1.05075	1.40742	1.14879	0.164565	0.748908	0.180166	0	0	0	0.185646	0.755369	0.283309	0.639573	0.233905	0.192772	0.744655	0.430857	0.211715	0	0.173182	0.950075	1.61104	0.341825	0	0	0	0.288361	0.154516	0.993597	0.99683	0.359953	0.876113	0.42008	0.87788	0.643185	0.433414	0.656128	0.347765	0.454358	0.618191	0.100403	0	0	0	0.322208	1.11137	1.22144	1.06404	0.671202	0.354453	0.173818	0.701629	0.624735	0.0476987	0.127959	0.34398	0.340704	0.275072	0.147271	0.69791	0.823257	0.757536	0.607173	0.383123	0.774548	1.28373	1.62941	0.244652	0	0.336184	0.787715	0.447174	0.442274	0.225501	0.350123	0.368483	0.146146	0.156863
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.1ad53715-8cce-4edc-8f16-9e6eba200f6e.fc.signal	2.65651	3.16822	2.77896	2.1257	1.7282	2.54153	3.47787	2.51584	1.84037	1.43338	1.5461	1.46517	2.23367	2.95823	3.96105	3.6154	3.24493	2.1982	1.18761	1.2549	0.714671	1.23759	1.94304	2.95422	2.8113	2.21413	1.91724	1.75448	1.9332	2.56063	2.89108	3.11106	3.34024	2.88893	2.61124	2.96802	3.00715	3.57033	3.18363	2.52552	2.07075	2.56258	2.7538	1.95793	2.53186	2.59203	1.63084	1.54746	1.78723	2.58135	3.29676	3.2908	2.52029	2.2039	2.0575	2.02902	2.61478	1.77791	1.92255	1.67627	2.69377	3.22803	2.59684	1.7408	1.1228	1.38704	2.83869	3.82558	3.91835	3.61509	3.55787	3.08721	3.15496	3.15079	3.22539	3.0435	2.85439	2.80739	2.87175	2.31845	2.74883	1.94706	2.75031	2.51641	2.30786	1.87404	2.49078	3.04474	3.35508	2.63595	2.18989	2.45579	2.43156	2.12678	1.5416	1.87704	1.44873	1.66189	0.97449	1.49424	2.69275	1.76722	1.72654	2.55517	2.71643	2.73734	2.89843	2.12264	1.43173	1.65927	1.87902	1.49737	1.36057	1.94914	2.48215	2.04895	2.21184	2.58121	1.21904	1.25036	1.62628	2.64918	3.43979	2.67135	2.56613	2.20205	2.39349	0.820929
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.5a735e4e-02fc-4cf3-8586-bebcb93dde40.fc.signal	3.57073	3.03621	4.89382	4.598	3.0676	2.34514	2.31621	2.36105	3.65913	1.92808	1.27169	1.70406	0.319681	0.504218	2.63376	2.01773	1.83085	1.59516	0.964483	1.56803	1.90817	1.40238	1.44785	2.07861	2.08296	2.07735	1.67842	1.98248	3.09744	2.52866	2.35384	2.94754	3.14426	2.69181	1.7798	1.87816	1.70719	1.74706	1.17367	1.09216	0.927639	2.47302	2.53199	2.35762	1.86316	1.79356	2.11697	2.19875	2.40135	2.45273	2.57953	1.76086	2.11032	0.730694	2.40473	2.25593	2.06125	2.77896	2.29019	0.786709	1.32409	4.15427	3.68892	4.02135	3.42107	3.7765	5.68759	4.29039	2.50296	2.37269	2.99353	3.67121	3.42315	2.5684	3.45581	2.87806	3.3844	1.95837	1.79245	4.08658	2.86724	3.90765	3.2685	2.78343	3.85818	2.71398	1.63209	2.34668	2.74963	2.35288	2.98272	1.95009	1.82508	1.93725	3.23308	4.27507	2.43391	1.9706	2.19058	3.5908	3.20117	3.52267	3.46259	2.01837	2.73857	1.97738	1.12929	1.232	1.91777	1.20489	2.03761	2.12631	3.44702	2.17694	1.41705	2.77593	3.49124	2.75739	2.12039	1.70421	1.08791	1.50246	0.783723	1.45314	2.36508	5.25907	5.74468	0.742102
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004664.3.6712588d-45c1-44ec-9f01-5f62fc9e99bb.fc.signal	0.949536	0.872174	0.622478	0.575327	0.572723	0.722843	0.785935	0.618887	0.875129	1.46458	1.15517	0.772367	0.829891	1.0206	1.53682	1.67154	1.60188	1.92506	1.62347	1.64234	1.68019	2.01357	1.9569	1.28038	1.32221	1.80627	1.51118	1.15666	1.41175	2.28058	2.58535	2.9317	1.91275	1.5634	1.1735	1.58719	1.38276	0.894102	0.764403	1.15077	1.15774	1.3468	1.08445	0.693236	1.02304	1.48327	1.21205	1.10705	0.800791	0.83347	1.03504	1.40309	1.2205	0.823314	0.888237	0.958067	0.931314	1.12106	1.16177	0.755671	0.57104	0.92914	0.892341	0.719092	0.917579	1.96448	2.01854	1.58338	1.04688	0.873709	0.931797	1.49235	1.66624	1.49313	1.77135	1.65956	1.2373	1.25966	1.19887	1.44651	1.31015	1.30928	1.65218	1.5739	1.50517	1.63477	1.24589	0.684047	0.845716	0.918604	0.761397	0.903472	1.33347	1.61824	1.43804	1.56936	1.55691	1.73798	1.7357	2.04003	1.62674	1.58588	1.45232	1.39468	1.55666	1.28914	0.993173	0.876095	0.640357	0.82757	0.869051	1.06549	1.28994	0.860424	0.97836	1.25601	1.25943	1.3662	1.29913	1.03004	1.27114	1.08694	0.748824	0.797484	1.13579	1.19727	1.11521	0.723558
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001027.7.dcf25794-5ac8-4a6d-9033-a30e1a31178f.fc.signal	5.92127	3.36645	2.10403	1.20917	0	0	1.19268	2.65047	2.51382	1.29087	1.66262	1.28246	0.374049	0.96184	0.352675	1.2037	2.28747	1.6672	0.208399	0	0	0	1.18627	2.79208	2.1831	1.57863	2.46892	1.82233	0.797917	1.12822	0.888608	0.474876	0.0196223	1.73889	3.06301	2.88365	3.24066	2.48354	0.93684	0.693492	0.804451	1.38915	1.82002	1.82736	2.61611	2.87156	1.62546	0.878481	0.970729	1.98781	5.66567	4.11669	1.68119	2.32766	0.79108	1.45421	0.128245	0.984313	1.68818	1.61749	1.60831	0.382583	1.12134	1.91199	5.29124	2.22895	1.29162	1.93735	3.46291	1.77152	0.785394	0.237153	0.0936588	1.02944	1.7124	0.917205	1.56833	3.26524	1.27644	1.0695	1.63513	3.01404	2.51036	1.75056	3.28401	1.99864	2.16779	2.58415	4.58481	4.38368	2.57574	2.31277	1.16997	0.783425	1.33487	1.68795	1.17442	0.673876	1.24632	1.67181	1.27183	2.42498	5.36334	6.06417	3.84594	0.181681	1.63513	1.16063	0	0.96184	0.96184	0	0	0.128246	1.46934	0.516158	2.17459	2.27636	2.71398	0	0.480922	2.88553	3.53317	6.0019	2.01987	1.63473	3.84076	0.454919
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.807b95cf-3868-4ccf-8959-450b4ce9bd14.fc.signal	2.84939	1.63989	2.04223	2.31565	1.71775	1.68821	1.62488	1.70509	2.49683	2.7276	1.56361	1.57656	1.03773	0.189887	1.35211	1.43411	2.44346	2.54167	1.90342	1.75249	3.035	1.73761	3.02342	3.41067	2.61586	2.28734	1.83733	2.0333	2.38818	2.72072	2.3461	1.74403	2.1196	1.76558	0.776658	0.992077	1.49207	1.35226	0.968178	1.85912	1.52664	1.81506	2.76676	2.50348	1.96376	2.02912	4.00363	3.01244	2.40141	3.51194	4.55924	2.04707	1.63954	1.13443	0.522412	1.1161	1.68701	1.52033	2.19216	2.84618	2.60927	1.75781	3.16549	3.83469	1.38961	2.15742	1.83297	0.845773	0.53008	0.615859	2.20659	4.75126	4.63678	2.93303	1.53404	1.11457	1.38633	2.06395	1.96544	1.09532	1.50195	2.18851	1.14053	2.94323	2.73836	2.18042	2.504	1.3671	1.30314	2.64217	2.0782	3.72634	2.92305	2.41322	1.49462	1.12817	1.61446	2.34339	3.05425	2.99219	1.53937	1.45521	2.86337	1.96002	2.38726	2.4976	1.41395	1.48851	1.76672	1.2496	0.784228	1.48075	1.09593	1.44833	2.40587	2.00842	2.09822	1.45817	2.7326	2.86319	2.21735	3.05691	2.59891	2.27519	1.88391	1.53795	1.18199	0.73869
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000980.8.b168494f-d47a-403c-8246-740897ab3321.fc.signal	1.63241	1.06416	2.59517	3.28135	1.50778	0.774104	2.24192	1.68225	1.57241	0.519015	0.252409	0.736192	0.677296	0.88343	1.22502	1.22083	2.76824	0	0	0	0.132515	0.88343	1.35459	5.14174	6.35967	8.87386	8.33033	3.60783	2.44112	4.21119	4.28481	5.66215	7.52707	5.93093	0.897715	3.02288	1.6195	1.36865	3.36528	1.48627	2.65214	2.52896	1.20146	2.73286	2.52082	3.70849	2.07538	0.689075	1.49783	1.53185	0.786757	0.928648	1.58841	0.443033	2.47454	1.63601	1.36195	0.067377	0.569505	0.955361	2.58914	2.13382	1.51503	2.87083	2.51719	4.79464	1.98744	0.274854	0.0129088	1.70086	2.62522	4.05852	0.712524	0.406438	3.38665	3.96382	2.53997	2.40449	1.08031	1.57806	0.637264	3.55207	3.64579	2.58567	2.13292	1.76685	1.15435	0.365151	2.15566	3.10394	2.15236	2.12279	0.363842	0	0	1.17021	1.99552	1.57871	2.31206	3.43296	2.97645	1.10417	0.540361	1.54135	4.87864	2.57101	0.88343	1.19557	0.111901	0	0	0	0	1.27213	0.488831	0.971772	2.67695	3.92849	0.992513	0.159017	0.724413	0.875044	0.111397	0.673993	0.331286	1.68654	1.75323	0.0509697
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.58c4ce3b-b697-4bca-9ab1-5a18cc61f42e.fc.signal	0	0	0	0	0.162863	0.436777	0.860604	0.186633	0.603944	2.46749	1.59047	0.84253	0.92081	0.869476	0.0466583	0.419496	0.366521	0.690555	0.269361	0	0	0	0	0	0.207459	1.02658	0.968589	0.827241	0.725668	0.42781	0.511837	2.13865	1.08317	0.289757	0.787166	0.174736	0.429156	0.512136	0.510125	0.21961	0.180909	0.144392	0.980805	1.09396	0.932682	1.02659	1.00682	0.254356	0.110283	0.63625	1.33601	1.90857	1.51123	0.766624	0.665361	0.842998	1.70254	0.277005	0	0	0.0777857	0.725119	1.17495	1.29981	0.6508	0.520245	0.654496	0.630788	0.477188	1.41233	0.851116	0.620997	0.0547627	0.393571	0.888027	0.511629	0.761437	0.428408	0	0	0	0	0.286822	0.687691	0.268905	0.856578	0.395282	0.457497	0.0586716	0	0.188814	0.105527	0.243838	0.873673	0.251028	0	0	0	0	0	0	0	0	0.195077	0.377021	0	0	0	0	0.519604	0.63625	1.03111	0.283106	0.447288	0.126306	0.5922	0.485716	0	0	0	0	0.184894	0.645527	0.922256	1.70678	1.50784	0.433764	0.426108
