	chr7:43111657-43111806	chr7:43111807-43111956	chr7:43111957-43112106	chr7:43112107-43112256	chr7:43112257-43112406	chr7:43112407-43112556	chr7:43112557-43112626	chr7:43112627-43112706	chr7:43112707-43112856	chr7:43112857-43113006	chr7:43113007-43113056	chr7:43113057-43113156	chr7:43113157-43113256	chr7:43113257-43113306	chr7:43113307-43113386	chr7:43113387-43113456	chr7:43113457-43113606	chr7:43113607-43113756	chr7:43113757-43113906	chr7:43113907-43114056	chr7:43114057-43114206	chr7:43114207-43114356	chr7:43114357-43114506	chr7:43114507-43114656	chr7:43114657-43114806	chr7:43114807-43114956	chr7:43114957-43115106	chr7:43115107-43115256	chr7:43115257-43115346	chr7:43115347-43115406	chr7:43115407-43115556	chr7:43115557-43115626	chr7:43115627-43115706	chr7:43115707-43115856	chr7:43115857-43116006	chr7:43116007-43116156	chr7:43116157-43116306	chr7:43116307-43116456	chr7:43116457-43116606	chr7:43116607-43116686	chr7:43116687-43116756	chr7:43116757-43116891	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	1.59453	0.902181	2.91037	2.07877	2.32742	3.16383	2.86454	3.82491	3.21834	5.65238	3.77851	6.68199	8.00331	6.90772	5.90684	4.07328	2.19063	6.43668	7.74904	6.55904	3.92387	2.52329	1.90003	2.39848	4.41028	2.74905	1.56511	1.30794	0.669375	0.329031	0.414023	0.553045	0.78961	0.992689	1.48079	0.605542	0.889319	0.82751	1.00261	2.0194	1.17978	0.824179	0.367841
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	1.26458	2.62968	4.51207	1.24645	4.11258	1.86637	0.87897	2.03556	4.33617	5.08291	4.9618	7.49712	4.05908	0.955351	1.55339	6.62739	7.45447	3.34351	5.28055	1.88169	1.92306	2.68009	0.853993	1.50245	1.53786	0.618637	0.957457	2.03166	0.475735	0.536475	0.998822	1.334	1.33856	0.87645	1.11016	1.44052	1.10799	1.48578	1.4223	2.00582	1.63668	0.711834	0.437956
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	0.966289	0.625079	1.55554	2.77653	2.1133	1.35113	1.22393	1.149	0.692942	1.11525	0.261974	0.265937	1.58786	1.60034	1.764	1.58025	2.39078	3.91408	6.68466	3.84111	2.69068	4.14453	3.11266	1.71351	1.88251	2.35078	0.849875	0.470008	0.676019	0.466343	0.32654	0.832208	1.34041	1.70727	1.49495	1.26543	2.31765	1.12041	0.847684	0.768864	0.577433	1.13671	0.469697
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83112ba3-4a46-4bcb-b23c-b8a94da18e77.fc.signal	3.36436	2.69455	4.8246	3.30186	3.1871	0.46009	1.9771	4.54036	6.01971	3.67105	4.99517	8.69713	6.5797	3.08244	4.8711	7.90151	6.02188	3.86674	7.76864	9.39418	9.22884	7.07535	3.38489	2.47659	2.00486	2.56133	3.89976	2.03682	1.1144	1.43863	1.04037	1.17906	0.576469	1.77295	2.33656	1.68168	1.16844	1.63524	1.45954	1.68513	1.34615	0.986196	0.476667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.61135aae-0e5d-4a79-9f3a-0fb631125d88.fc.signal	0.680972	1.55543	1.52811	1.46079	3.35541	4.37977	5.44598	6.64299	7.02402	9.81866	6.59543	9.31592	11.8639	7.25832	5.32209	5.55755	8.24098	6.82988	7.32531	4.6447	3.65383	6.70601	4.13156	3.28646	2.64675	1.74351	1.36687	0.90939	0.514949	1.5552	1.73873	0.919432	2.42122	4.98084	1.99945	1.11917	1.45088	0.991725	0.997901	1.97036	1.24149	0.564737	0.479241
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.f291fb29-a363-426c-a2c2-33a98c6182ef.fc.signal	10.631	9.56011	15.055	14.2968	11.7128	5.51387	8.40475	19.6996	23.0456	15.752	11.6939	27.3691	24.7486	11.4736	17.7153	35.4276	31.7896	19.2229	23.032	17.1212	20.3168	19.9244	17.2053	13.6316	11.0421	10.8899	12.6182	8.29537	4.61098	5.27863	6.16278	5.30168	3.72095	5.41289	5.63262	6.4158	3.48251	2.16944	2.48949	3.32669	2.70548	3.10302	0.506849
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.3ac72c63-5790-4eab-ab70-1f2408156b61.fc.signal	2.50203	0.843008	1.36637	0.696543	2.19861	0.713398	1.75599	0.913733	0.0611488	0.576498	0	0	0.455439	1.15988	0.976284	0.131033	0.335203	3.06612	1.66164	3.19398	3.44333	1.94094	1.88102	1.08568	2.04891	2.06136	2.07527	1.36615	1.08127	0.820942	0.456668	0.510169	0.446037	1.27879	1.02254	0.501276	0.0957223	1.21973	1.38868	1.06039	0.0612583	0.360874	0.716374
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001956.2.6c45d08b-377b-419c-a177-44262ce42f4b.fc.signal	0.669568	0.140996	0.64013	0.81336	0.655318	0.260848	0.176565	0.60368	1.03847	0.699151	0.172524	0.644313	0.770032	0.425364	0.373177	0.328292	0.372258	0.385127	0.707194	0.904043	0.467969	0.699661	0.570486	0.4573	0.285936	0	0	0	0.237036	0.301669	0.310327	0.358499	0.323765	0.408525	0.0724872	0.848481	1.34957	0.93121	0.464245	0	0.0693921	0.397799	0.134615
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001050.8.a9a09927-f961-43dc-bcc9-a3c995bbca26.fc.signal	0.533613	0.413757	1.5845	0.599408	0.272261	0.490216	0.146847	0.879302	1.67741	3.63579	2.5551	5.41257	4.50148	3.71861	3.09627	13.8943	9.97696	2.6419	1.09157	1.42285	1.39376	1.6468	1.17873	1.92744	1.54055	0.518632	1.41905	2.26643	0.185096	0.746283	0.715085	1.8174	0.694171	0.0772633	0.621583	0.538754	0	0.582875	0.385999	1.90635	1.21748	1.16227	0.404959
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.483aa0c8-5543-4e25-b16f-2f222c5a2d5b.fc.signal	0.931927	1.73642	2.58917	1.01387	1.69088	1.6228	0.684393	1.28393	3.78158	6.21297	9.20771	7.57993	6.20366	6.69271	2.47133	3.81793	6.85103	5.14152	3.46003	3.7938	4.31355	2.07907	4.96618	3.85915	1.35616	0.996953	0.369131	0.817923	2.36525	0.897761	0.903716	0.698144	0.663649	0.13567	0.93003	0.567712	1.0512	1.71863	2.56156	2.20937	0.598794	0.672678	0.824561
