	chr2:134859469-134859538	chr2:134859539-134859618	chr2:134859619-134859768	chr2:134859769-134859918	chr2:134859919-134860068	chr2:134860069-134860218	chr2:134860219-134860368	chr2:134860369-134860518	chr2:134860519-134860668	chr2:134860669-134860818	chr2:134860819-134860968	chr2:134860969-134861068	chr2:134861069-134861118	chr2:134861119-134861268	chr2:134861269-134861418	chr2:134861419-134861568	chr2:134861569-134861718	chr2:134861719-134861788	chr2:134861789-134861868	chr2:134861869-134862018	chr2:134862019-134862168	chr2:134862169-134862318	chr2:134862319-134862468	chr2:134862469-134862618	chr2:134862619-134862768	chr2:134862769-134862868	chr2:134862869-134862918	chr2:134862919-134863068	chr2:134863069-134863218	chr2:134863219-134863368	chr2:134863369-134863418	chr2:134863419-134863518	chr2:134863519-134863668	chr2:134863669-134863748	chr2:134863749-134863818	chr2:134863819-134863968	chr2:134863969-134864118	chr2:134864119-134864268	chr2:134864269-134864418	chr2:134864419-134864518	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.10334cc2-577d-467e-a601-b7232b684380.fc.signal	1.37821	0.929602	0.658165	0.448362	0.722915	0.290986	0.194926	0.0464032	0.595832	1.07482	0.977704	0.396605	0.345389	0.94723	2.16795	1.37824	0.991925	1.04854	0.905828	1.74326	1.4048	0.979746	1.57858	1.54927	0.491897	0.465789	1.1108	2.43118	3.31639	2.21041	1.26183	1.23246	3.04848	4.35883	3.60808	2.03026	0.949364	1.36651	1.63775	0.858815	0.59604
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.2e9e766f-a8f0-4144-be3d-bffc3ef3aedd.fc.signal	1.06819	1.19959	0.137924	0.656129	0.66465	0	0	0.521327	0.610907	0	0	0.535739	2.35044	4.2864	1.07663	1.09463	0.848782	1.11335	0.00744275	0	0	0.70846	0.506193	0.445333	3.60447	4.73949	3.5026	0.414433	1.39746	1.20575	0	0	0	0	0	0	0	0.96289	1.96198	1.04339	0.490304
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003813.1.eaaac0a3-b084-49f5-8ed4-a37c494e32ee.fc.signal	0.183076	0.322826	0.696356	0.842469	0.167508	0	0.037343	0.362539	0.611699	0.926232	0.596833	0.653424	0.74897	1.04198	1.73085	1.04855	1.50128	1.41471	1.2158	1.05986	0.630302	0.765511	0.966581	1.52299	1.87521	1.52216	2.00431	2.75369	1.6258	1.2071	0.947008	0.822257	0.806613	0.705764	0.456208	0.573489	0.71266	0.88661	0.521324	0.321177	0.559664
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.e9a22a10-4147-4184-8f97-9e6f19793d99.fc.signal	0	0	0.157084	0.106157	0.00449	0.245479	0.613126	0.17118	0	0.0165261	0.316128	0.125899	0	0.121598	0.589743	0.409146	0.182726	0.572961	1.11141	1.34171	0.63975	0.605632	0.163962	0.469465	0.661634	0.46221	0.834521	0.51103	0.207937	0.538834	0.624185	0.444065	0.45529	0.227771	0.009056	0.184083	0.219186	0.510268	0.52781	0.464236	0.308892
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.efaf5424-48a2-426f-8f4e-0fdd590e949e.fc.signal	0.67036	0.555266	0.406172	0.197543	0.362033	0.732331	0.650107	0.552163	0.790749	0.503903	0.788832	1.052	1.39765	1.0705	0.514477	0.919309	1.35408	0.910149	0.710554	1.37787	2.53636	1.51211	1.36472	0.981768	0.856836	1.19842	1.56173	1.65514	2.01166	2.03556	1.26808	1.57317	2.1229	1.57431	1.32882	1.33963	1.49743	2.09049	2.16712	1.23625	0.36854
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001901.1.f49f8858-2472-44f2-b550-626e1e1b869d.fc.signal	0.74636	0.464229	0.179686	0.54504	0.482577	0.626749	0.394191	0.0673353	0.0799046	0.150404	0.493258	0.699962	0.931527	1.15771	0.998679	0.471927	0.160944	0.310393	0.436351	0.491293	0.619511	0.619778	0.951456	1.10691	0.730837	0.883404	0.961424	0.762478	0.600083	0.450999	0.436384	0.692322	1.3239	1.29612	0.806784	0.508624	0.901962	1.12144	0.655495	0.135012	0.528967
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003817.1.938c2b4b-daef-44d7-a2de-46b7f4271c13.fc.signal	0	0	0	0.138974	0.18012	0.385561	0.442131	0.19184	0.308299	0.298204	0.0438788	0.168514	0.311665	0.432313	0.306103	0.740618	0.696979	0.188731	0.001141	0	0.0953686	0.427287	0.46563	0.342433	0.584002	1.03684	1.00964	0.785741	0.368562	0.320024	0.351782	0.465061	0.876044	0.864615	0.620615	0.2667	0.0981503	0.012122	0.12937	0.309553	0.414034
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001900.1.5c07f984-971d-485b-aaa7-9eb650115736.fc.signal	1.09118	0.873873	0.733146	0.247425	0.0773707	0.206011	0.082188	0.482847	0.720245	0.447548	0.573779	0.322167	0.271263	0.391518	0.704682	0.591721	0.533212	0.359389	0.305117	0.817797	1.45733	0.852439	1.40412	1.40364	0.969374	0.730984	0.978582	1.31636	1.28466	0.682415	0.747594	0.905709	1.17565	1.42436	1.03598	0.848139	1.40446	1.42028	0.882823	1.01631	0.620949
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.946d9db5-c2ec-4c13-9689-dc803ab18892.fc.signal	0.471816	1.28013	0.947937	0.868374	2.01601	2.11745	0.814493	0.73015	0.519497	1.42237	0.620922	0.655995	1.01451	1.68316	0.739328	0.829429	1.04141	1.97715	3.08431	3.94054	3.22569	2.8229	3.30988	2.79522	4.25516	3.75296	1.5175	1.74362	2.07906	4.23224	3.12616	6.84203	4.53416	3.02868	0.864002	0.440486	0.946119	0.796512	1.42979	1.88494	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.4a8b4799-6afb-49ea-a6ae-19a731abd44c.fc.signal	0.833374	0.921492	1.0266	0.7316	0.324137	0.551569	1.14365	0.758351	0.585696	0.383812	0.610287	0.607101	0.514544	0.737177	0.765343	0.534875	1.26817	0.917261	0.926319	1.49082	3.04171	2.64235	0.856745	0.759422	1.41468	0.974523	1.35341	1.78003	1.56687	2.10809	2.04874	2.00257	1.50419	1.12898	1.14621	0.777721	0.170669	0.82171	1.30863	0.988332	0.490018
