	chr2:113468533-113468682	chr2:113468683-113468792	chr2:113468793-113468832	chr2:113468833-113468982	chr2:113468983-113469022	chr2:113469023-113469112	chr2:113469113-113469132	chr2:113469133-113469282	chr2:113469283-113469432	chr2:113469433-113469482	chr2:113469483-113469532	chr2:113469533-113469582	chr2:113469583-113469732	chr2:113469733-113469882	chr2:113469883-113469932	chr2:113469933-113470032	chr2:113470033-113470182	chr2:113470183-113470332	chr2:113470333-113470392	chr2:113470393-113470482	chr2:113470483-113470572	chr2:113470573-113470632	chr2:113470633-113470782	chr2:113470783-113470932	chr2:113470933-113471082	chr2:113471083-113471182	chr2:113471183-113471232	chr2:113471233-113471382	chr2:113471383-113471532	chr2:113471533-113471682	chr2:113471683-113471732	chr2:113471733-113471832	chr2:113471833-113471912	chr2:113471913-113471982	chr2:113471983-113472132	chr2:113472133-113472202	chr2:113472203-113472282	chr2:113472283-113472432	chr2:113472433-113472542	chr2:113472543-113472582	chr2:113472583-113472692	chr2:113472693-113472732	chr2:113472733-113472882	chr2:113472883-113473032	chr2:113473033-113473182	chr2:113473183-113473332	chr2:113473333-113473482	chr2:113473483-113473589	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0721734	0.93838	0.434891	0	0	0	0	0	0	0	0	0	0	0.255383	0.55518	0.227624	0.399036	0.745644	0.512652	0.237934	0	0	0	0	0	0	0	0	0	0	0	0	0.623229
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0915033
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0	0	0	0	0	0.0244156	0.43948	0.43948	0.0146493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316426	0.647572	0.301776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.435193
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.0333852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101189	0.27827	0.55636	0.319984	0.0185513	0	0	0	0	0	0.941452
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149123
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.909091
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0569476
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.634195
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0	0	0	0	0	0	0	0.246062	0.0626461	0	0	0	0	0	0	0	0.142075	0.162502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186133	0.254878	0.006806	0	0	0	0	0	0	0	0	0	0	0	0.717905
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.70472333-cf93-4f75-9795-a7c0cfbd4b2b.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219958	0.337907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.687204
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0191312	0.72078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273303	0.720775	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62406
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000193.3.aa854cbd-228f-48b3-bc4a-7a1e57daf907.fc.signal	0	0	0	0	0	0	0	0	1.44078	1.80098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.395973
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	0.087697	0	0	0	0	0	0	0.623412	0.0877018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234664	0.700972	0.616296	0.412445	0	0	0	0.164405	0.634909	0.327084	0	0	0	0	0	0	0	0	0	0	0	0	0	0.774788
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.465146
