	chr11:45920464-45920613	chr11:45920614-45920763	chr11:45920764-45920913	chr11:45920914-45921063	chr11:45921064-45921213	chr11:45921214-45921363	chr11:45921364-45921513	chr11:45921514-45921663	chr11:45921664-45921733	chr11:45921734-45921813	chr11:45921814-45921963	chr11:45921964-45922113	chr11:45922114-45922263	chr11:45922264-45922413	chr11:45922414-45922563	chr11:45922564-45922713	chr11:45922714-45922863	chr11:45922864-45923013	chr11:45923014-45923163	chr11:45923164-45923313	chr11:45923314-45923463	chr11:45923464-45923613	chr11:45923614-45923703	chr11:45923704-45923763	chr11:45923764-45923813	chr11:45923814-45923913	chr11:45923914-45924013	chr11:45924014-45924063	chr11:45924064-45924213	chr11:45924214-45924363	chr11:45924364-45924513	chr11:45924514-45924663	chr11:45924664-45924813	chr11:45924814-45924963	chr11:45924964-45925113	chr11:45925114-45925263	chr11:45925264-45925413	chr11:45925414-45925558	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	8.99118	3.82081	4.93551	5.46782	4.62391	5.59396	9.0101	5.02774	6.46827	8.77215	19.5955	23.9802	12.1635	5.96121	8.17023	0.61394	1.7138	0.497096	0	0	1.07392	2.82851	2.30609	0.139105	0	0	0	0	0.270775	0.81173	1.39697	1.57183	0.943382	0.608313	2.53361	2.14302	0.733998	1.45737	0.549531
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	1.26267	0.914624	1.50052	0.809069	1.09128	2.07319	3.40767	3.79029	3.6536	4.12994	5.10779	6.87899	3.83736	2.61498	3.11645	3.82933	4.52178	2.82076	2.99883	1.16618	0.72482	0.27901	0	0	0	0	0	0	0.461233	0.935178	0.736572	1.15735	1.43423	1.6083	0.697918	0.53317	0.0359416	0.147668	0.806452
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	5.26719	3.94866	1.3652	3.0833	1.10926	1.14954	1.14717	3.19499	3.97677	3.97365	6.21764	5.21444	6.44564	6.60084	9.62755	4.11222	3.32294	1.99326	3.14285	2.14262	1.77997	1.09458	1.20878	0.349621	0	0	0	0.0568752	1.00251	1.14252	0.580653	1.85819	1.19456	1.13295	1.12345	1.79421	3.11293	1.96641	0.77074
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	1.30491	1.56995	0.145642	0	0	0	0.545527	2.79596	4.86301	2.94355	3.53192	1.80566	7.07955	6.32568	2.79407	4.60884	9.67507	4.58203	3.94499	0	1.03322	0.560919	0	0	0	0	0	0	0	0	0.880484	1.26712	0.922581	0	0	0	0	0	0.116776
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	2.08603	1.46062	1.16755	1.787	2.11217	3.26686	3.98723	3.23793	3.16677	3.38661	3.79641	5.56125	5.53732	3.61177	3.98651	3.05367	2.34902	2.67667	2.2169	1.63348	1.46098	1.07391	0.552475	0.142897	0.0300418	0	0.0263555	0.216925	0.736669	0.830331	0.312997	0.415069	0.584673	0.61285	0.378062	0.455862	0.16998	0.0915529	0.569519
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.100e7289-c631-4bb0-9eef-015950828bf4.fc.signal	4.48185	2.37255	2.56736	3.57194	2.08701	3.33058	4.04847	4.45945	8.81566	10.2983	13.6053	11.2081	12.3005	14.6354	24.2536	9.48205	12.4337	7.89418	8.64675	7.72648	4.0459	5.108	3.7496	1.40113	0.184133	0	0	0.136099	1.36373	1.44633	1.41949	3.83404	2.78349	1.22228	1.91351	1.9936	2.09768	1.61785	0.771729
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000234.3.004bcd0c-68a8-42c5-b5aa-454db7d061e9.fc.signal	0.515379	0.749235	0.600545	0.410806	0.397992	0.155543	0.0874943	0.12898	0.139222	0.207007	0.383111	0.668654	0.59137	0.651833	1.06497	1.22345	0.889316	0.599028	0.711021	0.906266	0.898719	0.80106	0.50856	0.249049	0.0937942	0.110861	0.0660591	0.100651	0.30639	0.818658	0.561936	0.255107	0.401339	0.620692	0.555548	0.454506	0.421661	0.335346	0.799114
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003688.3.0aa4929d-9f0e-4abf-945b-21dad34e75e4.fc.signal	1.2767	1.43632	1.82912	1.1727	0.824146	1.07438	0.878969	0.851277	0.543734	1.15558	1.52044	2.36941	3.90788	5.68467	3.3663	3.19636	4.58746	4.08876	2.80057	3.58372	4.41552	6.59631	5.11976	1.14786	0.0614	0	0.0452041	0.604793	0.755304	0.494819	1.41054	1.96015	1.16501	2.15074	1.46112	1.55253	0.705535	0.897449	0.369492
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.b75058ba-d142-4ae0-9acf-08c2d019a7dc.fc.signal	2.01963	3.47519	4.33046	5.37356	6.09009	5.88293	6.38392	7.48027	10.2591	7.07396	7.57174	11.7383	7.22506	4.79726	6.0411	4.49935	7.91302	13.6455	5.80001	9.02327	11.0933	9.93391	4.86024	0.648796	0.0092108	0	0	0.534412	1.64463	2.73187	2.60595	1.875	5.14205	4.67415	1.5786	2.21493	2.40593	2.04224	0.39488
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.c85debd1-3d92-448f-90c2-50b50f17d029.fc.signal	0.810938	1.58837	0.779908	0.605762	1.13827	1.03153	1.60174	2.30789	3.81321	3.65074	4.35053	6.46363	4.73901	4.94889	3.61074	2.28435	6.11995	2.4781	0.512211	2.15747	2.5127	1.81147	0.859472	0.016328	0	0	0	0.245947	0.617211	1.32593	1.2673	1.39343	0.815944	0.579066	0.317079	0	0.15057	0.325136	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.52215347-885a-4412-918b-b787711b8d37.fc.signal	1.99044	1.06706	0.0597132	0.0655605	0.648255	0.477811	0.204675	1.24371	3.1006	1.72416	4.08105	5.32113	2.99414	1.81064	1.21539	2.09772	1.53938	3.30621	1.24299	2.28691	1.99637	3.11725	1.48957	0.137868	0	0.117188	0.858145	1.2889	0.902927	0.728347	0.045956	2.00807	1.9364	0.206802	0.746762	1.01692	0.703098	0.545415	0.375846
