	chr11:49146139-49146218	chr11:49146219-49146288	chr11:49146289-49146438	chr11:49146439-49146588	chr11:49146589-49146668	chr11:49146669-49146738	chr11:49146739-49146888	chr11:49146889-49147038	chr11:49147039-49147188	chr11:49147189-49147338	chr11:49147339-49147488	chr11:49147489-49147638	chr11:49147639-49147788	chr11:49147789-49147938	chr11:49147939-49148088	chr11:49148089-49148168	chr11:49148169-49148238	chr11:49148239-49148388	chr11:49148389-49148538	chr11:49148539-49148598	chr11:49148599-49148688	chr11:49148689-49148838	chr11:49148839-49148988	chr11:49148989-49149138	chr11:49149139-49149288	chr11:49149289-49149438	chr11:49149439-49149588	chr11:49149589-49149738	chr11:49149739-49149888	chr11:49149889-49149948	chr11:49149949-49150038	chr11:49150039-49150188	chr11:49150189-49150268	chr11:49150269-49150338	chr11:49150339-49150488	chr11:49150489-49150638	chr11:49150639-49150788	chr11:49150789-49150938	chr11:49150939-49151088	chr11:49151089-49151231	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0	0	0	0	0	0	0	0.162313	0.372475	0	0	0	0	0.367137	0.57969	0	0	0	0	0	0.178001	0.440035	0	0	0	0	0	0.394189	0.57969	0.489516	0.432835	0	0	0	0	0	0.115938	0.560367	0	0.687118
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0.384464	0.493468	0.210259	0.228799	0.2649	0.361684	0.286311	0.363857	0.585213	0.669033	0.587763	0.435151	0.316325	0.488946	0.0587625	0.175445	0.230414	0.791559	0.60557	1.08162	1.03369	0.806734	0.434744	0.617618	1.01705	0.977315	1.20978	1.07766	0.136072	0.424443	0.712077	0.734952	0.851103	0.857466	0.747799	0.804061	0.752801	0.531467	0.120049	1.09521	0.50819
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0	0	0	0	0	0	0	0.213717	0.24377	0	0.358193	0.783699	0.718914	0.49611	0	0	0	0	0	0	0.458099	0.193508	0	0	0	0	0	0.0296185	0.59237	0.612121	0.59237	0.0169249	0	0	0	0.54893	0.537082	0.227835	0.707824
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.e3fd041d-f794-414d-802b-cfe9e9d53c6e.fc.signal	0.545991	0.447748	0.302729	0	0.0331031	0.30956	0.417898	0.0279695	0.35368	1.31768	0.711338	0.471859	0.713448	0.681068	0.468892	0.453477	0.468901	0.597169	0.687625	1.20089	1.48056	1.70095	0.911382	1.01993	1.60555	2.21751	1.21095	0.648255	1.13868	0.66213	0.0411317	0.32608	0.3671	0.172753	0.24679	0.378411	0.718879	1.06105	0.412952	0.51427	0.487465
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	0.666477	2.2933	1.20156	0.506158	0.588446	1.13581	0.961056	1.12558	1.15224	0.204214	1.97427	1.33675	1.35221	3.46945	3.39602	2.05651	0.929614	0.919493	0.792024	1.13727	1.34728	0.809578	3.74376	0.607863	1.79383	0.780436	1.329	1.77359	1.01355	3.33232	5.55707	4.23445	2.24569	1.15076	0	0.517749	0.139097	1.52763	3.75925	1.44675	0.489855
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.5571d7d7-4894-4e51-8082-c8a874cb2438.fc.signal	0	0	0.280797	0.098136	0.189225	0.632108	0.366742	0.142416	0.503059	0.235173	0.651366	0.242862	0	0	0.240022	0.7823	0.687342	0.165957	0	0	0	0.253887	0.0712778	0	0	0	0	0	0	0	0	0.0358827	0.243745	0.307566	0.070644	0.164873	0.557942	0.00902267	0.388295	0.297141	0.72315
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0	0.151377	0.742692	0.830672	0	0.763698	2.28096	1.48055	0.0162918	1.55968	1.13456	0.58968	1.13262	0.347433	1.1224	0	0	0	0.395097	1.30848	2.16897	2.43578	1.5865	0.254566	0.338068	2.03049	1.33415	0.936799	0.057008	0.152732	2.42579	2.42887	0.0038175	0	0.134391	0.795988	1.80732	1.55187	0.363011	0.913609	0.743067
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.b75058ba-d142-4ae0-9acf-08c2d019a7dc.fc.signal	0	0.245384	0.360879	0.398608	0.103639	0	0.301275	0.144331	0	0.390031	0.705442	0.213277	0.464925	0.816316	0.222816	0.339029	0.152107	0	0.173754	0.241992	0.254159	0.232313	0.202075	0.1811	0	0	0	0.179192	0.497213	0.994362	0.946966	0.522125	0.290797	0.21054	0.374685	0.00307027	0.0168865	0.353934	0.420144	0.543144	0.754098
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.b5459224-ca8f-46dd-880a-e16781c88032.fc.signal	0	0.189834	0.752983	0.381773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82069
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.555de7dc-c653-4909-9c33-caf14688e0ce.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0.694954	1.10157	0.261952	0	0	0	0	0	0	0.131519	0.800264	0.985274	0.401244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138706	0.605719
