	chr2:113468533-113468682	chr2:113468683-113468722	chr2:113468723-113468782	chr2:113468783-113468832	chr2:113468833-113468982	chr2:113468983-113469062	chr2:113469063-113469082	chr2:113469083-113469112	chr2:113469113-113469132	chr2:113469133-113469282	chr2:113469283-113469432	chr2:113469433-113469502	chr2:113469503-113469582	chr2:113469583-113469732	chr2:113469733-113469882	chr2:113469883-113469922	chr2:113469923-113470012	chr2:113470013-113470032	chr2:113470033-113470182	chr2:113470183-113470332	chr2:113470333-113470362	chr2:113470363-113470482	chr2:113470483-113470582	chr2:113470583-113470632	chr2:113470633-113470692	chr2:113470693-113470782	chr2:113470783-113470932	chr2:113470933-113471082	chr2:113471083-113471152	chr2:113471153-113471232	chr2:113471233-113471382	chr2:113471383-113471532	chr2:113471533-113471682	chr2:113471683-113471832	chr2:113471833-113471932	chr2:113471933-113471982	chr2:113471983-113472132	chr2:113472133-113472252	chr2:113472253-113472282	chr2:113472283-113472432	chr2:113472433-113472472	chr2:113472473-113472542	chr2:113472543-113472582	chr2:113472583-113472732	chr2:113472733-113472842	chr2:113472843-113472882	chr2:113472883-113473032	chr2:113473033-113473182	chr2:113473183-113473332	chr2:113473333-113473482	chr2:113473483-113473589	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00490044	0.22052	0.320489	0	0	0	0	0	0	0	0	0	0	0.044104	1.0602	0.907282	0.126431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.692708
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000152.3.44e2eb71-a355-4ddb-907d-128d4b46c83d.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.641618
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.800214
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001006.4.35d5a8b6-1eb5-4bfe-b35b-6d956f6f9ff2.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077658	0.520888	0.149402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.788462
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.299049e5-7348-4021-acb8-2d0e75f38cdf.fc.signal	0	0	0	0	0	0	0	0	0	0.15155	0.0436464	0.18186	0.0431917	0	0	0	0.012124	0.18186	0.120028	0.15155	0	0	0	0	0	0	0	0.15155	0	0.493288	0.906861	0.694695	0.560096	0.149125	0.0036372	0.170948	0.167311	0.0985075	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259259
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0.203631	0.089845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0583993	0.276652	0.171284	0	0	0	0	0.177294	0.0778657	0	0	0	0.125783	0.17969	0.344905	0.315176	0.134768	0	0	0	0	0	0.921153
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.24f592c8-8c69-4c91-ba18-ad0c533ddaf8.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.818868
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001018.4.1f07a69f-5385-434d-9868-2041e2fec782.fc.signal	0	0	0	0	0	0	0	0	0	0.147432	0.0712588	0.163228	0	0	0	0	0	0	0.13146	0.455819	0.012286	0	0	0	0	0	0	0	0.0315926	0.352464	0.0921469	0	0	0	0.0110574	0.305928	0.704048	0.0890752	0	0	0	0	0.092146	0.270299	0	0	0	0	0	0	0	0.896657
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001378.1.b7155ae3-84c0-47e8-9535-8c807cc3903c.fc.signal	0.518454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259227	0.259227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.220779
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001003.4.9d84f1f6-2f6a-416c-bcef-ff170f289a63.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0969444	0.698	0.476967	0	0	0	0	0	0	0	0	0	0	0.292288	0.42578	0.0465333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777778
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0	0	0	0	0	0	0	0	0.078976	0.39488	0.200073	0	0	0	0	0.34552	0.39488	0.39488	0.223765	0	0	0	0	0	0	0	0	0	0	0.602192	0.78976	0.100036	0	0	0.22903	0.39488	0.589687	0.39488	0.105301	0	0	0	0	0	0	0	0	0	0	0	0	0.514085
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.c3c561b3-1ba8-48ab-9c44-6537af372fb5.fc.signal	0	0	0	0	0	0	0	0	0	0.732973	0	0	0	0	0	0	0	1.37433	0.183243	0	0	0	0	0.54973	0.458108	0	0	0	0.235599	0.481014	0.969029	0	0	0	0	0	0	0	0	0	0	0	1.37433	0.366487	0	0	0	0	0	0	0	0.311644
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.ca485291-98be-4da7-8667-33d3bd0f55ac.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.287142	1.3306	1.0321	0	0	0	0	0	0	0	0	0	0	0.24301	0.26604	0.194409	0.511779	0.859784	0.706214	0.865881	0.564649	0.464817	0.110847	0	0	0	0.35186	0.366789	0	0	0	0	0	0	0	0.833689
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	0.927817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.529691
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000071.3.ad6f214b-6bc2-494d-ba70-0c0eed50632c.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.303732	0.240694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.627907
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000972.6.767f330d-c515-40cb-be8a-255001f91f74.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299065
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003821.3.eee60a22-f599-43f7-a6b7-6bb8cd9c0fb1.fc.signal	0	0	0	0	0	0	0	0	0	0.212096	0.336417	0.221934	0.0202052	0	0	0.10258	0.209907	0.24855	0.145014	0	0	0	0.099472	0.12434	0.12434	0.0138156	0	0.0364731	0.275207	1.07672	1.94232	1.29435	0.581709	0.348022	0.422587	0.805463	0.505456	0.18955	0.24855	0.135073	0	0.087038	0.208182	0.260155	0.150311	0.115014	0	0	0	0	0	0.737637
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001021.4.71944ce4-bd57-4526-b0d0-a368c7bbdce8.fc.signal	0	0	0	0	0	0	0	0	0	0.514256	0.179824	0.0972347	0	0	0	0	0.002801	0.25209	0.519298	0.43863	0.487369	0.0231083	0	0	0	0	0	0	0	0	0	0	0	0.042015	0.352922	0.302506	0.361323	0	0	0	0	0	0	0.184866	0.190213	0.170161	0	0	0	0	0	0.420266
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000810.3.ba7ad3ac-45d8-4d57-96d9-67d86c9899a4.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24332	0.43364	0.349803	0.0245729	0	0	0	0.0086728	0.386662	0.43364	0.486307	0.251511	0	0.401122	0.839826	0.102628	0	0	0	0	0	0	0	0	0	0.145579	0.238502	0.380158	0.0906702	0	0	0	0	0	0	0.592
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.7dbee8a8-9cc7-46ce-85e2-59b2468157be.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.517968	0.630044	0.54523	0.28352	0	0	0	0	0	0	0	0	0.527056	0.833423	1.26084	0.156299	0	0	0	0	0.457993	0.28352	0.290789	0.54523	0.0945065	0	0	0	0	0	0	0	0	0	0	0	0.770909
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001246.1.335d5648-b9ca-4211-8bfb-0a3facdceb71.fc.signal	0	0	0	0	0	0	0	0	0	0.606221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300224	0.912218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21547
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000225.3.6300cfe8-bf7c-4c50-b350-9885c462045f.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.699288
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003835.4.871bc941-52a9-4d1e-aec3-c4c2ce7bd4c1.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130133	0.441085	0.658644	0.70568	0.472017	0.0454681	0	0	0.188164	0.4705	0.525375	0.496609	0.774666	0.544152	0.564572	0.832127	2.02924	1.23102	0.44382	0.368489	0.686866	0.4705	0.0235245	0	0	0	0	0	0	0.900151	1.23388	0.23518	0.0141108	0	0	0	0	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003836.3.bb5f2209-5784-4d8e-bc4f-dc5a3678ac34.fc.signal	0.542038	0.193047	0.0472458	0	0	0	0	0	0	0.210479	0.25606	0.117297	0	0	0	0	0.0434444	0.09775	0.173987	0.0475717	0	0	0.0879736	0.19549	0.19549	0.0977484	0.12251	0.256747	0.199679	0.568026	1.74012	0.61174	0.0456167	0.188975	0.220905	0.19549	0.0742894	0	0	0	0	0.0530643	0.09775	0.176594	0.0453205	0	0	0	0	0	0	0.701452
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003692.4.e4c527ec-18d1-4382-887e-2c78b7a5a939.fc.signal	0	0	0	0	0	0	0	0	0.14808	1.50158	0.0209775	0	0	0	0	0	0.0349624	0.694071	0.811822	0.277643	0.154246	0	0.148075	2.14321	2.1284	0.310516	0.488612	0.745223	0.663625	8.30522	6.35671	1.44109	0.572484	0.743956	0.364631	1.94701	1.53986	0.0786657	0	0	0	0.0132214	0.805085	2.24677	0	0	0	0	0	0	0	0.821114
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.a0cc4058-35e9-4651-8cca-631ead3cc726.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062916	0.327163	0	0	0	0	0	0	0	0.199933	0.135619	0.002996	0.688994	0.824825	0.433421	0	0.114647	0.31458	0.306191	0.244673	0	0	0	0	0	0	0.18735	0.202094	0	0	0	0	0	0	0.797264
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.aff67f26-7ea5-4004-b6c7-42e5d6d7c336.fc.signal	0	0	0	0	0	0	0	0	0	0	0.19706	0.485412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0524916	1.00551	0.790121	0.13818	0	0	0	0	0	0	0	0	0	0	0	0	0	0.878758
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000013.3.153650ef-7ef6-43cd-b5dc-cf062deb8afd.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.512397
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003833.4.09140551-847e-4455-880b-7ea02a3132da.fc.signal	0.0247226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0388479	0.670788	0.736385	0.591415	0.930106	0.199767	0	0	0.0247226	0.31775	0.336571	0.0147158	0	0	0	0.123613	0.322161	0.307163	0.0272912	0	0	0	0	0	0	0.256228
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000232.3.bb312763-aab5-42d7-8f1f-61e48149dd10.fc.signal	0	0	0	0	0	0.0727	0.2908	0.2908	0.5089	1.01193	0.794833	0.178634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.682927
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.cefd2162-5b9f-4732-99fc-718d82bca068.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.924765
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.71f94e98-332b-4fcc-9a34-c0ad4b748586.fc.signal	0.0201292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0878656	0.14378	0.245483	0.0661388	0	0	0	0	0	0	0	0	0	0.00179725	0.27483	0.299182	0.0460096	0.14378	0.0201292	0.27043	0.529258	0.170205	0	0	0	0.100646	0.190554	0.418062	0.300737	0.115024	0	0	0	0	0	0.920886
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001508.1.ed370922-25ef-47f2-a418-4e72e927a2c1.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675539	1.28394	0.996492	0.578776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0963855
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000235.3.ae41c415-756f-48a0-be26-8a57c412db20.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.931669
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001915.1.bac25e3f-fc09-41ff-86d6-c2a6c3049d47.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0635936	0.34068	0.093687	0.247561	0.0249832	0	0.256646	0.238476	0.34068	0.0158984	0	0	0	0	0	0	0.0068136	0.480053	0.400301	0.079492	0	0	0	0	0.254658
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001488.1.3b2af9eb-fdf7-488c-8635-f562c6894205.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212494	1.03793	0.638307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183206
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0	0	0	0	0	0	0.07106	0.1292	0.1292	0.230837	0.0611547	0	0	0	0	0.11628	0.45795	0.51681	0.347985	0.222224	0.176573	0.0667533	0.085272	0.211888	0.2584	0.163653	0.015504	0.0198107	0.260249	0.4942	0.284245	0.190355	0.209304	0.330759	0.447042	0.408282	0.478909	0.0990533	0	0	0	0	0	0	0	0	0	0	0	0	0	0.923841
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.58e5cc13-3837-4676-9815-86ae7a4468bc.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30637	0.579673	0.441224	0.279176	0.0143397	0.193664	0.216207	0	0	0	0	0	0	0.103707	0.16682	0.30741	0.218223	0.00558691	0	0	0	0	0	0	0.440092
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000126.3.a389932f-ae32-47d4-b6e3-f5cd02b280f6.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.718928	0.727958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.643382
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.85fb694c-24ac-4a67-afb4-86273572ea8c.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159398	0.551328	0.599148	0.798864	0.496946	0.295354	0	0	0	0	0	0.217531	0.278733	0	0	0	0	0	0	0.640316
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d8e6c755-45ac-4108-b1ba-23233bd0ab31.fc.signal	0.22796	0.34194	0.256455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136776	0.34194	0.34194	0.0661084	0.22796	0.193766	0.0433214	1.02256	1.02598	0.198353	0	0	0	0	0	0	0.668069	0.23941	0	0	0	0	0	0	0.830904
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000174.3.916f86f3-bba4-4f2a-8dee-7255de7413cf.fc.signal	0	0	0	0	0	0	0	0	0	0.598051	0.273126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.287253	0.583924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.734848
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001908.1.b8e4fc89-a1f2-4c5d-ae40-28beee956889.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123371	0.339273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.420168
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.69848b5e-1d71-4ca5-a68d-b2c1db7d8201.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276596
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001022.4.66df243c-6c5c-42f5-bb98-73ebf9a3096e.fc.signal	0	0	0	0	0	0	0	0	0.136965	0.27393	0.109572	0	0	0	0	0	0	0	0.401764	0	0	0	0	0	0	0	0	0	0	0.410895	0.18262	0	0	0	0.0054786	0.449245	0.77249	0.175772	0.27393	0.0840052	0	0	0	0.401764	0.463191	0.232841	0	0	0	0	0	0.53125
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000250.2.4878d059-ae9d-4e75-b9f6-57c37838f3e3.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223761	0.434359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.598958
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000059.3.b5d4a5b3-a118-48b7-a386-2e56f2330a88.fc.signal	0.336486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47637	0.961268	0.0549365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0598291
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004603.3.4c655c7c-8a8a-4e2d-a610-f4e47cf57813.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.435703	0.42072	0.0514103	0	0	0	0	0	0	0	0	0	0.306685	0.254323	0.553483	1.05735	0.84143	0.143987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.905074
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000831.3.7977d1a9-d3db-490b-949d-c6cce43aab1c.fc.signal	0.241057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228782	0.715649	0.503883	0	0	0	0	0	0	0	0	0	0.0215229	0.816147	1.76466	1.03464	0.438596	0	0.002511	0.2511	0.282909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223443
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000246.3.450afe27-076b-4841-9c2a-cbdeff10853b.fc.signal	0	0	0	0	0	0	0	0.069692	0.231417	0.344055	0.43364	0.255933	0.0280013	0	0	0.315564	0.60108	0.60108	0.685196	0.232372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.629091
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003811.1.d8f0d283-97b1-48be-a67c-353c0ecb4b0e.fc.signal	0	0	0	0	0	0	0	0	0	0.0474203	0.24112	0.0706137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100969	0.24112	0.0265232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280763
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001027.7.3e57f4b2-3eea-42bc-9983-8ecec55d5977.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.749283	0	0	0	0.584441	1.60063	0.575464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.494466
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001901.1.47ac92c8-3161-452d-8dd3-b7ed71169f80.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181232	0.27835	0.0751997	0	0	0	0	0.083574	0.13929	0.106789	0.0752166	0	0	0	0.116957	0.105907	0.103492	0.00793953	0.0849669	0.13929	0.012954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.501018
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.e7144f2b-c79b-4aad-950f-07ae1b5e1dad.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172152	0.163011	0	0	0	0	0	0	0	0	0.127319	0.68557	0.475324	0.752495	0.022852	0	0.196527	0.45704	0.0517979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591564
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.1a9690ca-63a1-4ea3-8dc4-24421ed40248.fc.signal	0	0	0	0	0	0	0	0	0	0.155444	0.4441	0.393357	0.0305388	0	0	0	0.219632	0.2221	0.651415	0.682487	0.318307	0.0499725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.659832
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003826.4.3b07c369-960c-43eb-b4e5-3e3773e044bc.fc.signal	0.127085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0588962	0.238609	0.15499	0.112368	0.15499	0.303646	0.271127	0.15499	0.00206653	0	0	0.446108	1.58693	0.526784	0.0702621	0.286096	0.0852445	0	0	0	0	0	0	0.108493	0.15499	0.334646	0.32393	0.228544	0.10126	0	0	0	0	0.0675105
