	chr16:74407352-74407451	chr16:74407452-74407501	chr16:74407502-74407571	chr16:74407572-74407651	chr16:74407652-74407691	chr16:74407692-74407761	chr16:74407762-74407801	chr16:74407802-74407841	chr16:74407842-74407931	chr16:74407932-74407951	chr16:74407952-74408011	chr16:74408012-74408101	chr16:74408102-74408251	chr16:74408252-74408321	chr16:74408322-74408401	chr16:74408402-74408511	chr16:74408512-74408551	chr16:74408552-74408701	chr16:74408702-74408721	chr16:74408722-74408851	chr16:74408852-74409001	chr16:74409002-74409151	chr16:74409152-74409301	chr16:74409302-74409451	chr16:74409452-74409551	chr16:74409552-74409591	chr16:74409592-74409601	chr16:74409602-74409751	chr16:74409752-74409821	chr16:74409822-74409901	chr16:74409902-74409961	chr16:74409962-74410021	chr16:74410022-74410051	chr16:74410052-74410121	chr16:74410122-74410161	chr16:74410162-74410201	chr16:74410202-74410301	chr16:74410302-74410351	chr16:74410352-74410501	chr16:74410502-74410521	chr16:74410522-74410581	chr16:74410582-74410631	chr16:74410632-74410651	chr16:74410652-74410671	chr16:74410672-74410801	chr16:74410802-74410831	chr16:74410832-74410951	chr16:74410952-74411011	chr16:74411012-74411101	chr16:74411102-74411171	chr16:74411172-74411251	chr16:74411252-74411361	chr16:74411362-74411401	chr16:74411402-74411421	chr16:74411422-74411461	chr16:74411462-74411511	chr16:74411512-74411551	chr16:74411552-74411641	chr16:74411642-74411701	chr16:74411702-74411721	chr16:74411722-74411781	chr16:74411782-74411851	chr16:74411852-74412001	chr16:74412002-74412071	chr16:74412072-74412121	chr16:74412122-74412151	chr16:74412152-74412291	chr16:74412292-74412301	chr16:74412302-74412378	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84568	1.38783	0.206219	2.43412	0.601471	0.712918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162257	0.86544	1.07146	0	0	0	0	0	0.359338
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.125637	0.30274	0.253004	0	0	0.00432486	0.208134	0.30274	0.265738	0.0378425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108482	0.15137	0.15137	0.0264898	0.170291	0.30274	0.221	0.133206	0	0	0	0	0	0	0	0	0	0	0	0.185428	0.276594	0.00378425	0	0	0	0	0	0	0	0	0.0345989	0.269439	0.0367613	0	0	0	0	0	0.483051
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0	0.202982	0.30755	0.30755	0.130708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0944587	0.23066	0.30755	0.268263	0.122769	0.0748347	0.15377	0.15377	0.144544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0966554	0.247063	0.166951	0.119941	0	0	0	0	0.740741
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001887.4.e03cd402-356e-42a8-a5d3-47467ef89fb6.fc.signal	0.41516	0.332128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.401321	0.41516	0.41516	0.41516	0.689189	0.83032	0.971512	1.14177	0.41516	0.41516	0.41516	0.41516	0.124548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020758	0.41516	0.41516	0.357038	0	0	0	0	0	0	0.682759
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.2bdb0d55-cf7c-42db-b5e9-1e7fc8464aa8.fc.signal	0.274262	1.16984	1.60072	0.763812	0.199561	0.387717	0.43538	0.199539	0.029014	0	0.130641	0.309672	0.323219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201264	0.366976	0.241298	0.14507	0.00483567	0	0	0.0362675	0.199539	0.528838	0.432479	0.255452	0.14507	0.00483567	0	0	0.072535	0.284733	0.120922	0	0	0.0999371	0.14507	0.137817	0.108143	0	0	0	0.0696444	0.29032	0.280637	0.029014	0	0	0.0476941	0.527393	0.0248691	0	0	0	0	0	0.584892
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.6f165533-6331-40e2-865d-21b081721374.fc.signal	0.895935	1.69561	1.16737	0.047429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19843	0.43773	0.269905	0.0924477	0	0	0	0.0328343	0.534038	0.82199	0.395161	0	0	0	0	0	0	0	0	0	0.11674	0.29176	0.235527	0.754095	0.862375	0.09402	0	0	0	0	0	0	0	0	0	0.258694	0.070856	0	0	0.00521321	0.29176	0.29176	0.368932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.f99ccc6c-1833-4f7b-8eed-cf0ddf179253.fc.signal	0.217448	0.454558	0.455762	0.245335	0	0	0	0	0	0	0.0753067	0.1412	0.045184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.413915	0.454826	0.355964	0.318316	0.473085	0.310608	0.152967	0.1412	0.02824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18356	0.234392	0	0	0	0	0	0	0.961722
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003842.2.75b7a040-8636-4619-af5d-92f89f5792fa.fc.signal	0.641097	1.0023	0.586938	0.00188088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259561	0.30094	0.213826	0	0	0	0	0	0	0	0	0	0	0.117868	0.30094	0.156919	0	0	0	0	0	0	0	0	0	0	0	0.131129	0.65319	0.225705	0.15047	0.15047	0.00322436	0	0	0.112583
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.78440a22-2eaa-45a0-b153-69564ce42bd4.fc.signal	0.462127	1.17066	1.26005	0.934383	0.624275	0.0208474	0	0	0	0.202693	0.327032	0.650361	0.77829	0.32433	0.026347	0.0294745	0.16211	0.274583	0.32433	0.132182	0	0	0	0	0	0	0	0.075666	0.32433	0.32433	0.24322	0	0	0	0	0	0.108645	0.48644	0.79021	0.664773	0.489142	0.402121	0.16211	0.16211	0.006235	0	0	0	0.0936807	0.509599	1.19983	1.09373	0.753999	0.356746	0.016211	0	0	0	0	0	0.245922	0.720395	0.896135	0.27798	0.0940238	0	0	0	0	0.725523
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.604f0a28-681a-4e69-b09a-96c7d6e32ad9.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074918	0.12752	0.12752	0.12752	0.245922	0.25503	0.277346	0.446305	0.25503	0.144518	0.12752	0.12752	0.12752	0.12752	0.12752	0.0304086	0	0	0	0	0.012752	0.12752	0.12752	0.073324	0.044632	0.12752	0.12752	0.12752	0.117602	0	0	0	0	0.051008	0.12752	0.12752	0.12752	0.115679	0.12752	0.12752	0.358974
