	chr10:4996700-4996849	chr10:4996850-4996999	chr10:4997000-4997149	chr10:4997150-4997299	chr10:4997300-4997449	chr10:4997450-4997599	chr10:4997600-4997699	chr10:4997700-4997749	chr10:4997750-4997899	chr10:4997900-4998049	chr10:4998050-4998199	chr10:4998200-4998349	chr10:4998350-4998499	chr10:4998500-4998649	chr10:4998650-4998799	chr10:4998800-4998949	chr10:4998950-4999099	chr10:4999100-4999249	chr10:4999250-4999319	chr10:4999320-4999399	chr10:4999400-4999549	chr10:4999550-4999699	chr10:4999700-4999849	chr10:4999850-4999999	chr10:5000000-5000149	chr10:5000150-5000299	chr10:5000300-5000449	chr10:5000450-5000599	chr10:5000600-5000749	chr10:5000750-5000899	chr10:5000900-5001049	chr10:5001050-5001199	chr10:5001200-5001349	chr10:5001350-5001499	chr10:5001500-5001649	chr10:5001650-5001777	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0	0	0	0	0.429339	0.162853	0	0	0.719796	0.943726	0.609226	0.696307	1.27799	1.10684	0.57986	0.236215	0.0962312	0.190612	0.55518	1.04805	0.938378	0.379373	0.33866	0.0851276	1.16974	0.854647	0.583731	1.12527	1.72685	0.418236	0.227624	0.73829	0.943998	0.31495	0.285011	0.731804	0.551961
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0	0	0	0.412179	0.111667	0	0	0.245509	0.343673	1.2095	1.09884	0.356915	0.557519	0.474583	0.846517	1.21552	1.12777	0.149423	0	0	0	1.10468	0.47762	0	0	0.0256335	0.490612	0.913067	0.761875	0.369163	0.383813	0	0.745566	1.21576	0.424853	0.807075	0.450192
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0	0	0.102011	1.06651	0.0185501	0	0	0	0	0.361881	1.62702	1.00457	0.602436	0.559761	0.384596	1.18096	0.596947	0.0621965	0.0596293	0.55225	0.265801	0.472922	0.71034	0.00371027	0.0816259	0.335192	1.69221	2.00359	1.35539	0.186707	0.137864	0.70878	0.831628	0	0	0.443635	0.583333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0	0	0.270522	0.405783	0	0	0	0	0.0390353	0.573687	0.343949	0.328565	0	0.0177433	0.347195	0.0709733	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123031	1.01961	0.096615	0	0	0	0.537037
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0.517707	0.0237551	0.836533	4.06647	3.71007	1.38426	0.975348	1.96944	4.61666	5.8286	4.68859	6.20099	7.74029	6.14222	4.19126	4.59588	3.51625	1.38674	2.02305	3.07843	3.05734	2.12326	1.01287	1.31296	2.72347	5.85336	7.33687	5.94162	3.47749	5.02181	7.9071	9.58845	9.32836	6.72493	8.48805	16.0886	0.475615
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0	0	0	0	0	0.0710844	0.590541	0.030054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0834852	1.11005	0.509453	0	0	0.421993	0.411441	0.279023	0	0	0	0.651741
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	0	0.373086	0.360328	0	0	0	0	0	0.095656	0.988618	0.420928	1.70758	0.473144	0.272357	1.59173	0.584668	0.49424	0.23914	0	0	0	0	0	0	0.287019	0.446486	0	0.219755	0.508676	0	0	0.13073	0.797293	0.810603	1.04618	0.116033	0.512085
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	0	0.0497658	0.748226	0.554895	0	0	0.160137	0.549787	0.353685	0.298589	0.0603347	1.0314	0.338197	0.11612	0.497783	0.213335	0	0.227501	0.27422	0.31548	0.187214	0	0.443237	0.533294	1.06338	0.00649573	0	0.411277	0.295765	0	0.553285	0.738311	0.71108	0.343653	0	0	0.547009
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	0	0	0	0	0	0	0	0	0	0.65882	0.907438	0	0	0	1.32971	0.287505	0	0	0	0	0	0	0	0	0	1.21933	3.51044	1.18817	0	0	0	1.85536	2.80803	1.16965	1.0321	3.13459	0.28532
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.e3fd041d-f794-414d-802b-cfe9e9d53c6e.fc.signal	0.919601	0.812612	0.896556	1.00398	0.728696	0.753446	0.0641654	0.611994	1.28821	3.4991	1.45969	1.638	1.76561	2.22293	2.91862	2.2477	1.15811	0.310955	0.483003	0.641566	1.20593	0.356978	0	0.105285	1.68453	3.22428	4.57665	3.39538	3.31476	1.31604	1.94086	1.86316	1.04948	1.60179	1.93453	5.03555	0.526658
