	chr7:76510584-76510733	chr7:76510734-76510813	chr7:76510814-76510883	chr7:76510884-76510953	chr7:76510954-76511033	chr7:76511034-76511183	chr7:76511184-76511233	chr7:76511234-76511333	chr7:76511334-76511483	chr7:76511484-76511523	chr7:76511524-76511633	chr7:76511634-76511783	chr7:76511784-76511843	chr7:76511844-76511933	chr7:76511934-76511993	chr7:76511994-76512083	chr7:76512084-76512153	chr7:76512154-76512183	chr7:76512184-76512233	chr7:76512234-76512303	chr7:76512304-76512363	chr7:76512364-76512383	chr7:76512384-76512453	chr7:76512454-76512533	chr7:76512534-76512593	chr7:76512594-76512683	chr7:76512684-76512773	chr7:76512774-76512833	chr7:76512834-76512883	chr7:76512884-76512983	chr7:76512984-76513133	chr7:76513134-76513283	chr7:76513284-76513433	chr7:76513434-76513583	chr7:76513584-76513733	chr7:76513734-76513883	chr7:76513884-76514033	chr7:76514034-76514183	chr7:76514184-76514333	chr7:76514334-76514483	chr7:76514484-76514633	chr7:76514634-76514783	chr7:76514784-76514933	chr7:76514934-76515083	chr7:76515084-76515233	chr7:76515234-76515383	chr7:76515384-76515443	chr7:76515444-76515533	chr7:76515534-76515623	chr7:76515624-76515663	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	0.15963	0.14513	0.0684184	0	0.0507955	0.14513	0.0638572	0	0.118994	0.29013	0.323114	0.147034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.210845	0.17603	0	0	0.0518127	0.167612	0.119007	0	0	0	0	0	0	0	0.525
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	0.50468	0.403965	0.346826	0.00765514	0	0	0	0.0946422	0.234464	0	0.214236	0.140445	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0813444	0.362974	0.431445	0.728496	0.801749	0.371794	0.181872	0	0	0.149995	0.474961	0.236607	0.673414	0.582503	0.909814	0.739371	0.236263	0	0.297543	0.0690664	0.271388	0.31242	0.289115	0.632883	0.454893	0.3
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	1.25801	0.663961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.592332	1.34621	0.0717979	0.837571	1.48318	3.18887	0.925493	0.604587	6.51289	1.86784	0.811735	4.16643	3.41013	0.421812	0.606521	3.48498	2.96966	2.7142	3.4993	1.12819	2.01204	0.582413	0.244964
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.f1456df1-a617-44a6-a060-cb29786302bd.fc.signal	0.984047	0.375181	0.790539	0.56732	0.0421289	0.0017372	0.200754	0.63381	2.64828	1.25274	0.254486	0.721614	0.0741163	0	0.0737705	1.25558	1.53983	0.64269	0.173899	0.1581	0.1581	0.06324	0	0	0.044795	0.554929	0.414134	0.0547015	0.700202	1.30211	1.1477	1.20553	1.08367	0.964931	1.52751	1.92912	2.5336	1.67364	2.17211	2.0591	1.90689	2.05978	1.15663	2.046	2.66021	3.29716	1.21867	0.0975714	0	0	0.203883
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.44df7b1b-5968-426b-8cea-e4fad8f3b32b.fc.signal	0.0348612	0	0	0	0	0	0	0.321461	0.6844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.613821	0.138263	0.670574	0.70514	0.410672	1.08708	0.704245	1.56603	0.795029	0.722383	0	1.34817	0.835488	0.92636	1.7293	0.985138	0	0	0	0.189189
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003689.3.cde87e50-dbba-4734-bd22-f35203f3b601.fc.signal	1.06415	1.18307	0.34041	0.0901243	0.137124	0.13775	0	0.132927	1.07089	0.256783	0.104196	0.525031	0.655965	0.0977624	0.123589	0.112816	0	0	0	0	0.179994	0.292176	0.254639	0.0257163	0	0.0704306	0.645293	0.693172	0.690855	0.612091	0.284578	0.785341	0.496355	0.943072	0.816307	1.59498	1.27374	0.675014	0.551794	0.525439	0.502615	0.801702	0.280962	0.601881	0.309544	0.972255	1.4077	0.856838	0.653077	0.965948	0.512397
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001915.1.bcfa2f24-6276-4a64-96e6-3f1abe06b88e.fc.signal	0.113377	0.11604	0.322054	0.422505	0.342372	0.0028746	0	0	0.421134	0.573029	0.206189	0.0667253	0.291966	0.291648	0.0266402	0	0	0	0	0	0	0	0	0	0	0	0.0542969	0.448285	0.592298	0.476894	0.0466934	0.0999944	0.310901	0.376008	0.321287	0.193622	0.0854458	0.169097	0.211673	0.282843	0.203242	0.424357	0.0813233	0.317921	0.224661	0.163437	0.254601	0.0982102	0	0	0.334928
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003695.3.a1a38b0a-4e6e-499f-9d4a-f9ed2dd3bf97.fc.signal	0.388133	0.335429	0.31161	0.191677	0.151044	0.114556	0.094154	0.151437	0.0596296	0	0	0.0256303	0.07846	0.07846	0.0183073	0	0.0100877	0.07846	0.07846	0.088549	0.149083	0.07846	0.07846	0.0529605	0.0405377	0.07846	0.0854351	0.146464	0.279328	0.375057	0.221266	0.247421	0.167391	0.073232	0	0.21342	0.470259	0.620909	0.51943	0.726573	0.436781	0.243758	0.049692	0.194591	0.151174	0.129727	0.07846	0.0305122	0.140364	0.227544	0.339056
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001909.1.71c9825b-8f84-4929-97f3-4b92c6206f1e.fc.signal	0.522369	0.635341	0.42352	0.272313	0.0185351	0	0	0	0	0	0.0789548	0.319086	0.243584	0.150635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242857	0.775148	0.420747	1.16903	0.216014	0	0.248499	0.465886	0.458823	0.841439	0.690433	0.118625	0.0903808	0.556282	0.426408	0.2019	0.42352	0.411759	0.00470733	0	0.781513
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.b04c1667-5df4-43cb-a2ab-4a07445dc015.fc.signal	0.181596	0.245076	0.318894	0.08983	0	0	0.151122	0.494459	0.524235	0.17173	0.109283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.360535	0.68679	0.898487	0.912932	0.745041	0.319039	0.523752	0.688986	0.196194	0.148241	0.620851	0.702038	0.309695	0.212286	0.666364	0.679132	0.784928	0.90404	0.448748	0	0	0.112579	0.17173	0.26175
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000241.3.05642e3c-a160-4342-bda6-fdaa4b0b7e66.fc.signal	0.0725467	0.0516557	0.0861804	0.0725266	0.056361	0.0169517	0.175164	0.236445	0.238921	0.0597873	0.0967796	0.0664159	0.0449578	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00645411	0.0676062	0.120021	0.151997	0.113153	0.0184975	0.0100834	0.0884321	0.0995667	0.0837793	0.130121	0.118891	0.0471447	0.107091	0.18238	0.14678	0.0907613	0.188863	0.211461	0.167625	0.125159	0.0172022	0	0	0.170588
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004617.2.bd401bc7-9584-4daf-b6e9-896dcf3c0a4c.fc.signal	0.620783	0.667252	0.419182	0.207273	0.029777	0	0	0.0184076	0.190565	0.197603	0.0452807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0397027	0.10828	0.30137	0.253365	0.433103	0.525499	0.510342	0.434548	0.273576	0.755004	0.812707	0.458369	0.744188	0.374634	0.268523	0.344319	0.203559	0.0851803	0.569478	0.986628	0.411449	0.0523337	0	0	0	0.144796
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001315.1.cf49d1cb-058e-408d-80ee-cd8819b68335.fc.signal	0.196848	0	0	0	0	0	0	0	0.407512	0.64344	0.503042	1.09801	0.032172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032172	1.15805	1.64059	1.6985	0.77638	0.143364	0.732624	1.03938	1.55419	1.68936	1.1798	0.451952	0.434125	1.17958	1.12732	0.289764	1.51842	2.39945	1.59906	1.14733	0.493304	0	0	0.137255
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000188.3.edd174d9-379d-4ee2-93f9-dcd7dae1e0ef.fc.signal	0.551218	0.771032	0.187513	0	0	0	0	0.428779	0.81953	0.87491	0.322138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.656229	1.74996	2.15717	1.17119	0.497396	0.54672	0.555122	0.411237	0.650394	1.02952	0.420029	0	0	0.0758385	0.43753	0.0408361	0.898258	1.06159	0.277089	0.43753	0.306271	0	0	0.444444
