	chr9:12695951-12696100	chr9:12696101-12696250	chr9:12696251-12696350	chr9:12696351-12696400	chr9:12696401-12696550	chr9:12696551-12696700	chr9:12696701-12696770	chr9:12696771-12696850	chr9:12696851-12696880	chr9:12696881-12697000	chr9:12697001-12697090	chr9:12697091-12697150	chr9:12697151-12697170	chr9:12697171-12697300	chr9:12697301-12697450	chr9:12697451-12697500	chr9:12697501-12697600	chr9:12697601-12697750	chr9:12697751-12697860	chr9:12697861-12697900	chr9:12697901-12698050	chr9:12698051-12698090	chr9:12698091-12698200	chr9:12698201-12698280	chr9:12698281-12698350	chr9:12698351-12698500	chr9:12698501-12698580	chr9:12698581-12698650	chr9:12698651-12698690	chr9:12698691-12698800	chr9:12698801-12698860	chr9:12698861-12698950	chr9:12698951-12699100	chr9:12699101-12699140	chr9:12699141-12699250	chr9:12699251-12699320	chr9:12699321-12699400	chr9:12699401-12699450	chr9:12699451-12699500	chr9:12699501-12699550	chr9:12699551-12699570	chr9:12699571-12699600	chr9:12699601-12699700	chr9:12699701-12699850	chr9:12699851-12700000	chr9:12700001-12700150	chr9:12700151-12700300	chr9:12700301-12700360	chr9:12700361-12700450	chr9:12700451-12700530	chr9:12700531-12700600	chr9:12700601-12700660	chr9:12700661-12700750	chr9:12700751-12700860	chr9:12700861-12700900	chr9:12700901-12700930	chr9:12700931-12701000	chr9:12701001-12701050	chr9:12701051-12701155	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000980.8.368c97f7-f82d-4e9f-a521-00182447a421.fc.signal	0	0.44134	0.62891	0	0	0	0	0	0	0.182053	1.39026	1.92848	2.24082	1.53171	0.784208	0	0.218463	1.11217	0.662009	1.32405	2.64816	1.50612	0.13842	1.62199	1.86398	1.61094	1.82889	0.945724	0.66201	0.114347	0	0	0.549743	0.66201	0.0651212	0	0	0	0	0	0	0	0	0.176536	0.66201	0.022067	0.591396	0.66201	0.00735567	0.0662006	1.23239	1.32401	0.897385	0	0	0	0	0	0	0.570815
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000943.7.b97e43e6-4dfc-4f07-88bb-76ebefe1ddac.fc.signal	0.0372513	0.923037	1.01669	0.441688	0.0555707	0	0	0.05845	0.16933	0.442832	0.00877989	0.281685	0.750457	1.46038	0.718976	0.870842	1.0709	0.565285	0.0961449	0.702538	0.813311	0.41679	0.204605	0.0214909	0.543173	0.328468	1.27347	1.26792	0.796906	0.220125	0.744291	0.317645	0.332547	0.269494	0.466725	0.535917	0.587593	0.290278	0.14661	0.105119	0	0	0	0.0955749	0.0011288	0	0.15143	0.0347317	0.571771	0.469436	0.259758	0.195088	0.171835	0.462693	0.551441	0.141974	0.310117	0.929195	1.73417	0.55578
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.d82f15eb-8d9c-43cf-9741-0ee88b2ded27.fc.signal	0.293357	0.429671	0.596519	0.68585	1.03699	0.900096	0.0385816	0.38578	0.393767	0.794848	1.03473	1.45584	1.50561	0.400885	0.949203	1.07116	0.19608	0.217541	0.536036	1.36856	0.683267	0.38584	0.342368	0.47836	0.617786	1.82637	1.19654	0.427259	0.271144	0.232677	0.81193	1.71029	0.187335	0.313828	0.822554	1.70799	1.81187	0.69845	0.191381	0.0861246	0	0	0.0781498	0.319559	0.365517	0.0114333	0.599328	0.584701	1.33258	0.749259	0.33121	1.00052	1.35421	0.923473	0.233247	0	0.252025	0.259984	0.0953902	0.684848
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004664.3.3e0c3e5b-0b04-413e-8945-15e328b75c75.fc.signal	0.656129	0.590972	0.676079	0.980992	1.01327	1.06698	1.29953	1.22169	0.804994	0.330024	0.228015	0.440654	0.567688	0.810395	0.774388	0.597734	0.667235	1.12601	1.18785	0.533713	0.55858	1.4214	1.75248	1.63343	0.904894	0.601341	0.379618	0.377776	0.202291	0.212264	0.631835	1.06501	1.06948	0.509306	0.762882	0.377568	0.385179	0.229302	0.451497	0.518357	0.443462	0.473229	0.62645	1.13165	1.08346	0.391474	0.278279	0.295641	0.56891	0.704745	0.589909	0.411081	0.207789	0.419079	0.434135	0.433238	0.591728	0.511678	0.64604	0.427921
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.45140bd1-90fe-4a64-8e67-977bea385e45.fc.signal	0.54641	0.667291	0.431156	0.368973	0.332172	0.302164	0.622784	0.56685	0.325359	0.440657	0.335242	0.313851	0.391119	0.411564	0.444193	0.287708	0.150456	0.339842	0.197816	0.128977	0.138625	0.16489	0.0942946	0.201451	0.509405	0.536487	0.767161	0.659996	0.420462	0.225015	0.386223	0.475728	0.580617	0.395249	0.194091	0.574399	0.577828	0.411938	0.0210012	0	0	0	0.0094795	0.365842	0.286886	0.399705	0.51743	0.377798	0.510643	0.654635	0.726447	0.763729	0.785119	1.24795	1.32814	1.17217	1.11136	0.828797	1.03416	0.32716
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000957.7.dd1317db-7d1b-41c7-a204-2df8f91c596d.fc.signal	0.342451	0	0	0	0	0	0	0	0	0	0	0	0	0.448478	0.117188	0	0	0	0	0	0	0	0	0	0	0.440933	0.12369	0.899303	1.12797	0.352374	0.549657	0.356262	0.0910447	0.589761	1.69682	1.24321	0.67864	0.354124	0	0	0	0	0.575957	0.130629	0	0	0	0	0	0.372137	1.14204	0.59377	0.0131949	0	0	0	0	0.142505	0.610729	0.631336
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.51e98f97-6119-4df6-b770-df4f0c759ed4.fc.signal	0.916626	0.830213	1.06393	0.740614	0.613785	0.873143	0.910653	0.952124	0.823556	0.717165	0.323677	0.315954	0.436658	0.71027	0.912768	0.910098	0.813153	0.574145	0.646927	0.515948	0.715097	0.811309	0.919743	1.11423	1.16843	0.800357	0.584603	0.53898	0.504197	0.612551	0.594992	0.717919	0.796355	0.606638	0.56797	0.732832	1.00749	0.944475	0.943363	0.813866	0.782393	0.88576	0.728573	0.906644	0.788039	0.678132	0.803625	0.725418	0.588964	0.667815	0.782803	0.734661	0.770273	1.03246	0.910636	0.964954	0.736965	0.620972	0.856048	0.5
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.5c2b1045-c5b9-4ce2-a975-1bba53717c39.fc.signal	0.872284	1.04012	0.988407	0.276326	0.421766	0.182297	0.342381	0.538434	0.980077	0.938131	0.876455	0.46422	0.365625	1.11606	0.976908	0.73678	1.45155	0.985629	1.13817	1.10466	1.34101	1.10184	0.415465	0.0848012	0.438832	1.48538	1.35124	0.2412	0	0.186428	0.413927	0.484725	0.1619	0.112786	0.503159	0.705499	1.46459	1.40744	0.487082	0.0697668	0	0	0.298552	0.577172	0.134673	0.46448	0.457309	0.936614	0.887426	0.261448	0.586724	0.751402	0.726089	0.517193	0.581097	0.433506	0.386479	0.070664	0.217801	0.423154
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004713.2.dc7d36a0-32c9-47d0-9c59-4029c2bb7b08.fc.signal	0.081372	0.381954	0.0130272	0	0.18556	0.20037	0.0506734	0.0287789	0.149488	0.21365	0.309682	0.252959	0.18455	0.104959	0.105713	0.421663	0.472305	0.309824	0.392236	0.525786	0.138314	0	0	0	0	0.221498	0.887007	0.628972	0.209972	0.0165165	0.130505	0.354003	0.189521	0.024519	0	0.0510276	0.147374	0.144351	0	0	0	0	0	0.181168	0.215497	0.15279	0.169982	0.186603	0.322748	0.89906	0.970805	0.544736	0.169128	0	0	0	0.275992	0.289581	0.104355	0.883181
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e413ffcf-e079-4615-8c2e-2d70941b24fa.fc.signal	1.17992	1.68465	1.60261	1.46576	1.41168	1.49414	1.6157	0.78513	0.448068	0.916974	1.08412	0.844197	0.601713	0.350785	0.417238	0.538836	0.962239	0.745994	0.635758	0.39632	0.461295	0.592232	0.395797	0.615231	0.718434	0.264574	0.235739	0.195185	0.10969	0.494824	0.672987	0.463398	0.33443	0.348786	0.544273	0.863947	0.994231	0.499452	0.328591	0	0	0.187377	0.761079	1.07773	0.836995	0.878159	0.764724	0.901457	0.949138	0.478834	1.03282	1.24321	0.587538	0.762815	0.412982	0.120871	0.0544027	0.566373	1.36636	0.591928
