	chr19:54925105-54925154	chr19:54925155-54925254	chr19:54925255-54925344	chr19:54925345-54925404	chr19:54925405-54925524	chr19:54925525-54925554	chr19:54925555-54925704	chr19:54925705-54925814	chr19:54925815-54925854	chr19:54925855-54925884	chr19:54925885-54925954	chr19:54925955-54926004	chr19:54926005-54926154	chr19:54926155-54926204	chr19:54926205-54926304	chr19:54926305-54926354	chr19:54926355-54926454	chr19:54926455-54926494	chr19:54926495-54926534	chr19:54926535-54926604	chr19:54926605-54926674	chr19:54926675-54926754	chr19:54926755-54926904	chr19:54926905-54926974	chr19:54926975-54927004	chr19:54927005-54927054	chr19:54927055-54927154	chr19:54927155-54927204	chr19:54927205-54927244	chr19:54927245-54927304	chr19:54927305-54927354	chr19:54927355-54927504	chr19:54927505-54927584	chr19:54927585-54927654	chr19:54927655-54927744	chr19:54927745-54927804	chr19:54927805-54927954	chr19:54927955-54927994	chr19:54927995-54928104	chr19:54928105-54928154	chr19:54928155-54928234	chr19:54928235-54928254	chr19:54928255-54928294	chr19:54928295-54928374	chr19:54928375-54928404	chr19:54928405-54928554	chr19:54928555-54928584	chr19:54928585-54928704	chr19:54928705-54928854	chr19:54928855-54928974	chr19:54928975-54929004	chr19:54929005-54929154	chr19:54929155-54929304	chr19:54929305-54929434	chr19:54929435-54929454	chr19:54929455-54929604	chr19:54929605-54929754	chr19:54929755-54929844	chr19:54929845-54929904	chr19:54929905-54930054	chr19:54930055-54930094	chr19:54930095-54930154	chr19:54930155-54930204	chr19:54930205-54930275	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.52215347-885a-4412-918b-b787711b8d37.fc.signal	0.34408	0.726014	0.688943	0.528494	1.00057	0.68698	0.347574	0.68934	0.0603172	0	0	0	0	0	0	0	0	0	0.0747522	0.555426	0.684416	0.172335	0.634193	0.0295431	0.126379	0.454964	0.651426	0.234376	0	0.252758	1.10279	1.15042	0.68934	0.172124	0.124187	0.357099	0.689187	0.633362	0.451204	0.34467	0.413604	0.34467	0.34467	0.172335	0	0.676239	1.74823	1.38605	0.94268	0.0143612	0	0.648707	0.521542	0.0832658	0.341868	0.627201	0.0022978	0	0	0	0	0.269991	0.60739	0.720684	0.52381
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003716.2.bdafba4d-384d-4886-a6c9-d1ddd966b153.fc.signal	0.804441	0.528782	0.398865	1.61197	1.49224	0.539867	0.194291	0.39051	0.0488137	0	0	0.186752	0.344291	0.10814	0	0	0.275207	0.352315	0.390057	0.0613659	0	0	0.905974	0.948374	0.39051	0.171281	0	0	0	0	0	0	0.138296	0.672002	1.14888	0.722435	0.767993	0.634572	0.0921922	0.3827	0.39051	0.715647	1.12293	0.637416	0.703117	0.574507	0.505579	0.532309	0.22556	0.380374	0.351622	0.339497	0.218686	0	0.253831	0.898164	1.26269	0.885396	0.292882	0	0	0	0	0.197881	0.228188
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.9dac3370-6335-4df0-bea0-9e684edfa350.fc.signal	0.83066	0.734467	0.725044	0.413961	0.0211427	0	0.355351	0.537624	0	0	0	0	0.360235	1.09581	0.88035	0.25877	0.39211	0.50158	0.526194	0	0	0	0	0	0.649142	1.90835	2.43917	1.29719	1.11967	0.032458	0	0	0	0	0.446556	0.498794	0.43084	1.55514	1.16243	0	0	0	0.048687	0.57739	0.569291	1.12553	1.64438	0.547554	0	0.544849	0.38751	0	0	0	0	0.173347	0.451595	0.091956	0	0	0	0	0.62741	0.619427	0.250907
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003692.4.3bf09a2c-baea-4256-b5b7-ae913b7ca17e.fc.signal	0	0.383398	0.550416	0.334382	0.0825137	0	0	0	0	0	0	0	0.103404	0.40132	0.268345	0	0.0153408	0.706818	0.875601	0.840944	0.0989024	0	0	0	0.247094	0.51117	0.4115	0	0	0	0	0.209592	0.492008	0.361526	0.945826	1.0694	0.340828	0	0	0.283717	1.28264	1.16969	0.75797	0.245389	0.309588	0.132313	0.007483	0.43049	0.185601	0.856772	0.52572	0.0198897	0.200896	0.258214	0.879032	0.826361	0	0	0	0	0	0	0	0	0.637255
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003821.3.18c7c517-acd2-418c-a70e-986e331348db.fc.signal	0.618481	0.191481	0.143599	0.624628	0.669252	1.14998	0.774418	0.158295	0.31659	0.31659	0.343712	0.31659	0.449481	0.82295	2.41177	2.41941	0.912532	1.13277	0.745365	0.226613	0	0	0	0.447654	0.63301	0.63301	0.129785	0	0	0	0	0	0	0	0	0	0.698474	0.878367	0.379275	0.607346	0.544693	0.63301	0.213652	0.106822	1.56148	2.10583	0.284863	0.0237443	0.639353	0.960521	0.807986	0.174545	0	0.186535	0.335593	0.733163	0.462931	0.54236	0.407051	0.393468	0	0	0	0	0.730159
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003836.3.5c9cb736-993f-45fe-be70-bfabfbcef3f6.fc.signal	0.323807	0.546985	1.04712	0.979597	0.488218	0.364293	0.0383081	0	0	0	0.356618	0.744916	0.524813	0.76795	0.741077	0.437775	0.76795	0.76795	0.220803	0	0.0713236	0.38405	0.202266	0.38405	0.524813	1.48995	1.60515	1.09811	0.513249	0.38405	0.430118	0.988148	0.504011	0	0	0	0	0	0.146637	0.38405	0.374449	0.326435	0.76795	0.76795	0.76795	0.169854	0.767185	0.819157	0.92157	0.671975	0.379458	0.152625	0	0	0	0.241042	0.787576	1.44217	0.300802	0	0	0	0	0	0.557803
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000332.2.3d98bc1f-c00a-45a1-9387-7764c6e8d313.fc.signal	0.885852	1.66846	0.966879	1.92848	1.02154	0.2178	0.602543	0.293083	0	0.095648	0.47824	0.47824	0.140284	0	0.0526064	1.24352	1.51361	1.28829	0.47824	0.116144	0.300608	0.47824	0.33158	0.47824	1.13194	1.0713	1.35462	0.399317	0.228609	0	0	0.420851	0.227164	0.430416	0.362367	0.0685667	0	0	0	0.286823	0.437195	0.40335	0.363015	0	0	0	0.094115	0.998984	0.742464	0	0	0	0	0.338447	0.95648	0.663159	0.398533	0.23912	0	0.156225	0.47824	0.47824	0.200861	0.122058	0.529412
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.058af969-8786-43c5-84e7-d3c325107d07.fc.signal	0.469885	0.217911	0.04893	0.489385	0.966184	0.724728	0.555443	0.467366	0.0599375	0.4795	0.471573	0.46808	0.0156027	0	0.323204	0.22438	0.0251642	0.354059	0.45719	0.45719	0.124094	0	0	0	0	0	0.346264	0.44183	0.353464	0.251648	0.31456	0.144123	0	0	0.48472	0.74978	0.582593	0	0	0	0.281265	0.65545	0.636611	0.51516	0	0	0	0.134561	0.159374	0	0	0.377141	0.0669944	0	0	0.392183	0.949882	0.183315	0	0	0.400471	0.479993	0.360743	0.0753172	0.478088
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.3cd86255-36f1-4b55-a6a7-d6b5647cff3a.fc.signal	0.31772	0.506466	0.561395	0.356358	0.144316	0.23885	0.210202	0.627624	0.7167	0.63309	0.255954	0.43961	0.651381	0.764497	0.534514	0.205633	0.163554	0.306709	0.388519	0.293624	0.0955787	0.0224274	0.419304	0.643299	0.537525	0.372687	0.464642	0.575717	0.588249	0.364325	0.126661	0.198192	0.352545	0.421514	0.437372	0.229958	0.147034	0.35835	0.444726	0.35357	0.3225	0.35835	0.31055	0.431527	0.728645	0.600752	0.356285	0.254643	0.378935	0.483504	0.270616	0.230771	0.386015	0.164597	0	0.181583	0.553438	0.252144	0.312544	0.227711	0.089625	0.380258	0.47785	0.462702	0.453608
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.e3f14527-a39d-40b4-9738-20c86afa593c.fc.signal	0.827492	0.723775	0.741386	0.374371	0.094143	0.464105	0.472865	0.0167224	0	0.039417	0.20264	0.291546	0.340492	0.181265	0.146825	0.848509	1.45797	1.24604	0.654974	0.232109	0.658115	1.19017	0.655883	0.363998	0.512281	0.294174	0.19175	0.013139	0.13139	0.24514	0.26264	0.15236	0.517208	0.80498	0.478706	0.363375	0.267073	0.640395	0.637675	0.346772	0.210145	0.54513	0.65682	0.873497	0.809958	0.577972	0.814368	0.823111	0.354287	0.499883	0.401077	0.219535	0.197853	0.434458	0.52542	0.302974	0.389666	0.342965	0.0832137	0	0.118251	0.247689	0.295212	0.624297	0.373057
