	chr2:167240069-167240218	chr2:167240219-167240288	chr2:167240289-167240368	chr2:167240369-167240408	chr2:167240409-167240478	chr2:167240479-167240518	chr2:167240519-167240668	chr2:167240669-167240728	chr2:167240729-167240818	chr2:167240819-167240878	chr2:167240879-167240968	chr2:167240969-167241118	chr2:167241119-167241268	chr2:167241269-167241418	chr2:167241419-167241568	chr2:167241569-167241598	chr2:167241599-167241658	chr2:167241659-167241718	chr2:167241719-167241778	chr2:167241779-167241828	chr2:167241829-167241868	chr2:167241869-167242018	chr2:167242019-167242168	chr2:167242169-167242218	chr2:167242219-167242318	chr2:167242319-167242398	chr2:167242399-167242468	chr2:167242469-167242538	chr2:167242539-167242618	chr2:167242619-167242678	chr2:167242679-167242768	chr2:167242769-167242828	chr2:167242829-167242918	chr2:167242919-167242958	chr2:167242959-167243068	chr2:167243069-167243218	chr2:167243219-167243288	chr2:167243289-167243368	chr2:167243369-167243518	chr2:167243519-167243668	chr2:167243669-167243818	chr2:167243819-167243968	chr2:167243969-167244118	chr2:167244119-167244268	chr2:167244269-167244338	chr2:167244339-167244418	chr2:167244419-167244568	chr2:167244569-167244718	chr2:167244719-167244868	chr2:167244869-167245018	chr2:167245019-167245118	chr2:167245119-167245168	chr2:167245169-167245218	chr2:167245219-167245318	chr2:167245319-167245468	chr2:167245469-167245528	chr2:167245529-167245618	chr2:167245619-167245768	chr2:167245769-167245918	chr2:167245919-167246068	chr2:167246069-167246218	chr2:167246219-167246368	chr2:167246369-167246428	chr2:167246429-167246518	chr2:167246519-167246618	chr2:167246619-167246668	chr2:167246669-167246758	chr2:167246759-167246818	chr2:167246819-167246968	chr2:167246969-167247118	chr2:167247119-167247268	chr2:167247269-167247378	chr2:167247379-167247418	chr2:167247419-167247568	chr2:167247569-167247628	chr2:167247629-167247718	chr2:167247719-167247868	chr2:167247869-167248018	chr2:167248019-167248168	chr2:167248169-167248318	chr2:167248319-167248468	chr2:167248469-167248618	chr2:167248619-167248768	chr2:167248769-167248868	chr2:167248869-167248918	chr2:167248919-167249068	chr2:167249069-167249148	chr2:167249149-167249218	chr2:167249219-167249368	chr2:167249369-167249418	chr2:167249419-167249518	chr2:167249519-167249668	chr2:167249669-167249818	chr2:167249819-167249908	chr2:167249909-167249968	chr2:167249969-167250118	chr2:167250119-167250268	chr2:167250269-167250418	chr2:167250419-167250568	chr2:167250569-167250658	chr2:167250659-167250718	chr2:167250719-167250868	chr2:167250869-167250948	chr2:167250949-167251018	chr2:167251019-167251078	chr2:167251079-167251168	chr2:167251169-167251318	chr2:167251319-167251408	chr2:167251409-167251468	chr2:167251469-167251538	chr2:167251539-167251618	chr2:167251619-167251768	chr2:167251769-167251918	chr2:167251919-167252068	chr2:167252069-167252218	chr2:167252219-167252288	chr2:167252289-167252368	chr2:167252369-167252438	chr2:167252439-167252518	chr2:167252519-167252668	chr2:167252669-167252678	chr2:167252679-167252718	chr2:167252719-167252778	chr2:167252779-167252818	chr2:167252819-167252968	chr2:167252969-167253118	chr2:167253119-167253268	chr2:167253269-167253418	chr2:167253419-167253568	chr2:167253569-167253618	chr2:167253619-167253718	chr2:167253719-167253868	chr2:167253869-167253968	chr2:167253969-167254018	chr2:167254019-167254058	chr2:167254059-167254168	chr2:167254169-167254238	chr2:167254239-167254318	chr2:167254319-167254447	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000957.7.f00a0f4a-5f50-4465-bbfb-8153fd1dc895.fc.signal	1.13432	0.720531	0.887505	1.59064	1.7237	0.543198	0.093132	0.329776	1.12948	0.834193	0.0344933	0	0	0	0	0	0.355712	0.38805	0.226362	0	0	0	0	0	0	0	0.565349	1.55184	1.69928	0.706382	0.171724	0.353469	0.380571	0.0485062	0	0	0.705054	2.03599	2.28975	0.810438	0.241777	0	0	0.072424	0.89802	1.56645	1.08894	0.68282	1.09412	1.06567	0.162981	0	0	0	1.00496	0.497955	0.38805	0.332264	0.491121	0.331136	0.364767	0.023283	0.0582075	0.38805	0.834167	1.64501	1.10247	0.374144	0.407502	0.546917	0.775094	1.80697	1.2668	0.425431	0.433301	0.375336	0.854898	1.29049	0.681053	1.46258	0.939423	1.90173	0.88404	0.255443	0.005898	0.330976	0.412993	0.822094	1.52007	0.965519	0.628133	0.518994	0.136418	0.36218	1.10577	0.688027	0.204373	0	0	0	0.0178167	0.48791	0.866602	1.02122	0.937457	0.349503	0.694834	0.898055	0.123207	0	0	0.603814	0.646085	0.405147	0	0	0	0	0	0	0	0	0	0	0	0.289744	0.549763	0.312497	0.229098	0	0	0.217308	0.426837	0.38805	0.38805	0.986988	0.950525	0.401917	0.671313	0.423075
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.bc3e1eea-ba58-4048-a6a7-fa645ef42e40.fc.signal	0	0.487008	2.18592	1.97903	0.415785	0	0	0.257377	0.641239	1.48553	0.83004	0.0208296	1.08809	0.0400346	0	0.0509183	0.532113	0.435229	0.0949355	0.284063	0.383022	0.193715	0.075656	0.651534	1.4794	1.01816	0.110646	0	0	0.389725	0.832224	0.206243	0	0	0	0	0.729419	0.720294	0	0	0.702275	1.8195	1.34036	0.502472	0.809749	1.72365	1.48167	1.41061	1.63382	1.75388	0.725626	0.251494	0.534882	0.696704	1.08812	1.13026	0.0648931	0	0	0.443477	0.0503575	0	0	0	0.464947	0.564582	0.0855181	0	0	0.00667787	0.733201	2.55429	1.13691	0.0419258	0	0.617228	1.25051	0.0443176	0.812891	1.06612	1.78351	0.922425	1.43231	0.699502	0.066416	0.383796	1.76569	3.13448	1.88385	1.431	0.462683	0	0.054377	0.772665	1.5858	1.08087	0.715307	0.454968	1.44994	0.155276	0	0	0.342339	2.4576	2.39325	0.300503	0	0.383678	1.24292	1.84304	2.92417	1.83244	1.15883	1.37955	0.887785	0.200642	0	0	0	0.368615	0.585046	0.334553	0.073554	0.080678	0.452611	0.0200182	0.948311	2.41169	0.495857	0	0	0.439525	0.213175	0.198596	0.739974	1.06991	0.108989	0.575407	0.174291	0.73869
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003826.4.829b60f6-fc9d-4134-bce9-259337c2a36b.fc.signal	0.0327769	0.0700116	0.195145	0.195446	0.127837	0.193749	0.109624	0	0.182229	0.491365	0.421564	0.0666141	0.460747	0.975904	0.27574	0	0	0	0	0	0.129832	0.314467	0.753799	1.24418	1.39157	0.766931	2.36847	2.74586	1.24776	1.15024	1.65131	1.05531	0.3802	0.478513	0.291035	0.317367	0.246363	0.166453	0.134312	0.558919	0.302085	0.1574	0.749293	0.147062	0.51856	0.850795	0.659357	0.539401	0.237214	0.122179	0	0	0	0.144262	0.233756	0.2012	0.145638	0.112741	0.351813	0.284714	0.3378	0.251358	0.177317	0.432291	0.345396	0.327669	0.174089	0.0583127	0.504856	0.491985	0.116911	0.307582	0.170549	0.278916	0.226711	0.0533217	0	0.0137952	0.515367	0.440141	0.540235	0.149795	0.0942632	0.0591316	0.392568	0.724097	0.711281	0.997861	1.45594	0.952841	0.458242	0.203695	0	0	0	0.007832	0.384367	0.192962	0.0795605	0.327947	0.385259	0.517403	0.579405	0.510409	0.770908	0.998359	0.269531	0.733366	0.959635	0.60114	0.700622	1.04187	0.670306	1.4169	1.02588	1.14383	1.92019	2.41539	1.4388	1.76333	2.6881	3.80961	4.69691	5.1863	7.19706	8.6109	4.98851	6.65084	3.10943	2.76943	0.66818	1.86628	1.98637	0.55151	0.241145	0.466962	0.579433	0.466325	0.215085	0.432432
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000184.3.3b461c31-8bd0-484a-b2da-6d1ab68c1acb.fc.signal	1.00858	0.419099	0.462693	0.587999	0.744822	0.300084	0.0693461	0.187923	0.224466	0.144721	0	0	0.020592	0.522201	0.643479	0.29535	0.319917	0.38287	0.236286	0.525092	0.833579	0.584504	0.511206	0.57213	0.183841	0.591778	1.24001	0.807268	0.831977	0	0	0	0.280259	0.317503	0.196903	0.298892	0.937205	0.75206	0.0364633	0.321006	0.648769	0.631225	0.67303	0	0	0	0.432364	0.710257	0.622596	0.572586	0.176932	0	0	0.288036	0.570424	0.559707	0.568914	0.0116164	0	0.147021	0.228012	0.222702	0.298632	0.249705	0.540188	0.931497	0.846368	0.344249	0.0626142	0	0	0	0.068915	0.239225	0.334732	0.747576	0.946258	0.841509	0.610398	0	0.390771	0.864965	0.162774	0	0	0	0.285741	1.01411	1.04034	0.611848	0.46419	0	0.475192	0.656343	0.078762	0	0.456159	0.710489	0.622294	0.0425406	0.167365	0.5961	0.930011	0.773484	0.409852	0	0.341743	0.533399	0.411408	0.557616	0.415451	0	0	0	0.360771	0.468347	0.438927	0.369569	0	0	0	0	0.290312	0.585011	0.403511	0	0.860175	0.678844	0.671576	0.800943	0.0525416	1.2981	1.11804	0.448942	0.438112	0.323827	0	0	0	0.156863
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001027.7.e86f32e5-bf0d-4add-be96-995ad738d215.fc.signal	2.2292	1.1154	0.617843	0.71634	0.419571	0	0	0	0.700421	0.679066	0.0147629	0.301111	0.293399	0	0	0	0	0	0	0.574637	0.637128	0.289231	0	0	0	0	0.225135	1.1559	0.879259	0.244965	2.669	2.63151	0.384114	0	0.32828	0.861774	0.432522	0.816543	0.502551	0	0.195425	0.47787	0	0.0239245	0.86785	1.64655	0.412997	0	1.03478	1.31186	0.873937	0.71634	0.372497	0.684448	0.253107	0	0	0	0	0	0	0	0	0.232308	0.622956	0.533478	0.677572	0.355127	1.02951	0.531308	0.256317	0.743789	1.03619	0.341398	0.125942	1.03237	0.496496	0	0.140746	0.848481	2.21144	0.772168	0	0.354488	0.614013	0.823424	2.02354	2.58889	1.31353	0.51203	0.197455	0.214902	0.527093	0.817959	1.30136	0.310414	0	0	0	0	0	0.637825	0.552075	1.00371	1.64385	1.92788	0.829639	0.656829	0.397649	0	0	0.62824	0.765995	0.299501	0	0.32747	0.71634	0.38887	0	0	0	0	0	0	0	0.46436	0.920375	1.48517	0.53367	0	0	0	0.372497	0.873937	1.43269	2.07724	0.898319	0	0.863363	0.454919
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.54e2d258-2a9b-4416-87fd-8933cfcab4dd.fc.signal	0.666067	1.02961	0.874471	0.699637	0.271373	0.244429	0.517901	0.975174	0.795921	0.472164	0.411213	0.786584	0.201915	0.192646	0.195778	0.188515	0.436054	0.433623	0.460829	0.236975	0.230053	0.258015	0.109898	0.166455	0.307794	0.391039	0.249339	0.434096	0.595208	0.604458	0.290854	0.340701	0.35211	0.293004	0.212389	0.314755	0.253626	0.207307	0.271113	0.431943	0.500839	0.336657	0.761791	0.225722	0.309053	0.620415	0.53302	0.383442	0.642674	0.419304	0.451433	0.569555	0.479854	0.731982	0.487219	0.0710057	0.131294	0.17452	0.166451	0.0183995	0.151447	0.0983381	0	0.0684642	0.301052	0.549375	0.668372	1.53317	1.72765	0.885074	0.615822	0.845645	0.429967	0.274288	0.925906	0.642242	0.236678	0.535918	0.326668	0.0606484	0.349021	0.669915	0.79936	0.20889	0.312812	0.275121	0.108645	0.176219	0.422176	0.519496	0.461384	0.219238	1.1109	0.851254	0.667468	0.699073	0.0420035	0	0.010582	0.204701	0.314267	0.404433	0.305744	0.588539	0.809837	0.537575	0.616451	0.652407	0.31856	0.157379	0.833659	2.24207	0.833315	0.421655	0.194742	0.10383	0.154497	0.141576	0.04818	0.144377	0.19497	0.217915	0.100839	0.176202	0.385775	0.246469	0.529072	0.555387	0.789693	0.450108	0.081921	0	0.260953	0.478241	0.612976	0.429616	0.285232	0.285403	0.188385	0.742102
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003837.4.8eb534c9-67c4-4b07-9857-b5e3ae6f9ea5.fc.signal	0.416393	0.172202	0.271471	0.392329	0.408864	0.249307	0.315461	0.697584	0.563337	0.344528	0.824994	0.749664	0.866806	0.433728	1.10289	1.01746	0.786845	0.274746	0.20356	0.174754	0.178115	0.878962	0.766049	2.11624	2.43162	2.23069	3.56674	3.65995	1.83428	1.22467	1.26019	0.955188	0.379296	0.195879	0.571268	0.907158	0.447708	0	0	0.120729	0.682315	0.185855	0.231975	0.41123	1.08971	1.23635	1.67212	0.775656	0.379332	0.244228	0.520895	0.765079	0.40695	0.0895307	0.668809	1.04793	1.17793	0.605011	0.36804	0.414436	0.419602	0.65118	1.01742	0.913398	0.539244	0.895159	1.49833	0.875284	0.138776	0.150739	0.220566	0.245601	0	0.437868	0.766879	0.521688	0.427382	0.0381791	0.534664	0.471348	0.379922	0.663358	0.626714	0.174047	0.365176	1.21742	1.37709	1.18199	0.723737	1.05809	0.874948	0.42325	0.463935	0.751128	0.672365	1.36587	1.0554	0.926268	1.08705	0.583033	1.04802	0.657352	0.208685	0.810405	1.13908	0.683962	0.364935	0.801383	0.826855	0.734367	0.821598	1.33356	1.16093	1.1121	2.23538	2.48449	4.22596	3.43173	1.39169	1.93621	2.05491	2.68199	3.51745	5.12105	7.63659	9.19759	7.15385	10.3848	6.91568	5.0423	2.76535	3.34803	0.997263	0.524461	0.385082	0.428915	0.65235	0.510312	0.244625	0.397436
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.89df7901-62b0-45af-9204-076797d91c40.fc.signal	0	0	0	0	0	0	0.777645	0.542448	0	0.993326	0.722157	0.259915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.483659	0.818755	0.487258	0	0	0	0	0	0	0	0	0	0	0.186223	0.252487	0	0	0.32392	0.383675	0	0	0	0	0	0	0	0	0	0.438694	1.83331	0.0834288	0.583242	0.58263	0	0	0	0	0.0228498	0.51412	0.401623	0	0	0.710372	1.02817	0.395835	0	0	0	0	0	0	0	0.20991	1.06455	0.494789	1.12452	0.565903	0	0	0.689056	1.36527	0.86405	0.328339	0.753429	0.510312	0.730442	0.0824648	0	0	0.551228	0.337033	0.31132	0.0583139	0.699383	0.839373	0.669648	1.07925	0.997954	1.05065	0	0.755035	1.12452	0.300523	0	0	0	0	0	0	0	0	0	0	0	0	0.56065	1.92722	0.865296	0.0788308	0.637469	0.8698	0.201624	0.230823	1.34436	1.56693	0.993665	0.430867	1.00812	1.00194	0.0468893	0.426108
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.0fb1e686-4f1c-4706-b5f2-84ac84a9ffd9.fc.signal	1.12009	1.02699	0.267657	0.171834	0.469552	0.726322	0.89376	0.417969	0.204355	0.214684	0.175314	0.138858	0.119741	0.111277	0.193091	0.398837	0.435137	0.188865	0	0	0	0.142261	0.245241	0.307008	0.345998	0.196962	0.260697	0.881816	1.72144	1.51494	0.679831	0.227446	0.252342	0.182466	0.01256	0.178807	0.530395	0.646177	0.586889	0.366933	0.608294	0.437635	0.0830088	0.345817	0.5459	0.473049	0.736492	1.25443	1.36798	0.868523	0.62894	1.02476	1.24064	1.22713	1.10321	0.686621	0.586756	0.634944	0.436619	0.838502	1.15339	0.594503	0.423106	0.37846	0.830297	0.842089	0.501333	0.11315	0.197541	0.442821	0.818173	0.599324	0.70182	0.976665	0.94049	0.483861	0.115094	0.382962	0.742693	0.394471	0.608869	0.253194	0.715785	0.841432	0.489885	0.26514	0.220902	0.242117	0.0747591	0.0454906	0.39707	0.469511	0.108673	0	0	0.0362065	0.463211	0.542231	0.566384	0.325036	0.319868	0.424243	0.464373	0.307159	0.245951	0.355488	0.398527	0.193639	0.329548	0.410491	0.477033	0.492507	0.271958	0.295674	0.354667	0.338303	0.110302	0.209147	0.214249	0.307773	0.330224	0.290444	0.27036	0.482427	0.834782	0.115361	0.0636714	0.467279	0.740834	0.660243	0.285673	0.760106	1.16944	0.567129	0.203363	0	0.298905	0.762659	0.809227	0.820929
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004664.3.f02f78f0-4a04-4485-8f18-d6274e109965.fc.signal	1.96353	0.794094	0.751386	0.811303	1.01748	0.557461	0.514416	0.784024	0.643519	0.782499	1.00114	1.07792	0.762447	0.97049	0.979119	0.795756	0.592773	0.040838	0.0680325	0.28561	0.790214	0.978407	0.848115	0.854014	1.09113	1.24038	1.00803	0.866386	0.969696	1.11727	0.861597	0.504898	0.741439	0.854047	1.33957	0.985418	0.847246	1.66269	1.59375	0.828387	1.19953	0.836379	0.742602	0.585461	0.386223	0.380473	0.488364	0.849797	1.23318	0.912991	0.555875	0.420208	0.32572	0.471866	0.762069	0.748001	0.401555	0.306099	0.853355	0.481999	0.537213	0.857492	0.776893	0.381084	0.485997	0.853715	0.972767	0.748936	0.664494	0.894018	1.08361	1.2145	0.944495	1.39678	1.63123	1.23117	1.12715	1.17649	0.586379	1.02865	1.43404	1.26335	1.67401	0.987416	0.811965	0.885165	0.55251	0.76454	1.43674	1.62228	1.02495	1.02158	0.886867	0.450745	0.503144	1.06145	1.28464	0.676299	0.407204	0.382668	0.972515	1.06682	0.750056	1.00059	1.42283	1.63165	1.32712	1.02427	0.718655	0.94849	1.26725	0.870927	1.13917	0.531799	0.972954	1.19777	0.771492	0.60663	0.495469	0.549436	0.215943	0.20912	0.188115	0.875864	1.45342	1.10773	1.28177	0.682454	0.497879	1.15858	1.34356	1.12643	0.628332	0.605339	0.870196	1.34016	1.17413	0.779198	0.685954	0.723558
