	chr12:53710275-53710424	chr12:53710425-53710574	chr12:53710575-53710724	chr12:53710725-53710874	chr12:53710875-53711024	chr12:53711025-53711174	chr12:53711175-53711324	chr12:53711325-53711474	chr12:53711475-53711624	chr12:53711625-53711774	chr12:53711775-53711924	chr12:53711925-53712074	chr12:53712075-53712224	chr12:53712225-53712374	chr12:53712375-53712524	chr12:53712525-53712674	chr12:53712675-53712824	chr12:53712825-53712974	chr12:53712975-53713124	chr12:53713125-53713274	chr12:53713275-53713424	chr12:53713425-53713574	chr12:53713575-53713724	chr12:53713725-53713874	chr12:53713875-53714024	chr12:53714025-53714174	chr12:53714175-53714324	chr12:53714325-53714474	chr12:53714475-53714624	chr12:53714625-53714774	chr12:53714775-53714924	chr12:53714925-53715074	chr12:53715075-53715224	chr12:53715225-53715346	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0.618739	0.462122	1.23943	0.625382	0.285506	0.419983	0.690947	0.319612	1.74416	1.20806	1.27612	1.27879	1.60127	1.95871	2.11986	1.08631	0.434231	0.658281	1.25511	0.896651	1.05182	1.50685	1.40859	0.817438	0.674976	0.731036	0.525202	0.351424	0.429843	1.04931	0.474069	0.268027	0.593324	1.36297	0.598446
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	0.152025	1.64023	1.06782	0.628225	0	0.17045	0.280932	0.275835	0.274706	2.13105	0.379874	0.796367	0.35029	0	0	0	0.218344	0.0601995	0.649142	1.21745	0.363386	0.414201	0.633679	0.596856	0.881376	0	0.208453	0.211538	0.52947	0.278294	0.418025	0.865617	0.348547	0.683183	0.467846
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0.79018	1.24382	1.29021	1.53506	1.38017	0.681144	0.556483	0.540659	0.373975	1.03744	1.50023	1.25985	1.35879	0.81702	0.937521	1.46076	2.53161	1.80031	1.16693	1.26106	0.625537	0.0225282	0.621065	0.767332	0.0619109	0.456273	0.856141	1.8097	2.25051	2.62655	1.70262	1.38033	2.03161	1.08508	0.621506
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.905097	1.76201	0.715714	0.69308	0.0405735	0.143418	0.448406	0	0	0	0.224412	0.939683	0.594742	0.324549	0	0.216994	0.366487	0	0.396972	0.500418	0.129026	0.235561	0.35796	0.480327	0.396876	0.83277	0.0704747	0	0	0.166914	0.87915	1.44295	0.495199	0.405936	0.325528
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	1.66198	5.30465	4.44998	1.7977	2.86667	4.05605	8.88813	4.33239	0	1.04584	1.48789	3.03007	5.90743	0	0.316579	1.54524	0.248741	4.00237	2.78131	0	2.59575	1.86167	0.437008
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.431416	0.502123	0	0.407024	0.234212	0	0	0	0	0	0	0	0	0	0.127492	1.20737	0.817298	0.889448	0.0345428	0.266169	0.016562	0.148073	0.248682	0	0	0.14299	0.441551	0	0.021292	0.340102	0.0337149	0.55455	0.115543	0	0.3342
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0.147456	0.598926	1.44057	1.04558	0.987212	0.935173	0.869226	0.368631	0.185399	1.00038	0.655272	0.740431	0.906864	0.45544	0.523391	0.724494	0.523946	0.306608	0.530268	0.355006	0.261745	0.507743	0.991774	0.736613	0.455949	0.312933	0.617732	0.855013	0.818096	0.236888	0.240666	0.619308	0.431133	0.238468	0.451534
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	1.37291	1.42562	0.48863	1.7773	1.07825	0.695098	0	0.0445243	0.42589	0.00289127	0	0.0868201	0.934578	1.36058	0.827653	2.16443	0.845381	1.25929	0.44385	0.218166	0	0	0	0	0	0	0	0.343575	0.403315	0.280984	0.0868809	0.52204	0.3515	1.07806	0.337405
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	1.53519	1.36345	1.05198	0.542538	0.631118	0.452685	0.381405	0.649277	0.666781	1.12016	1.13017	1.2791	0.98733	0.316386	1.05969	0.678152	0.846533	0.495074	0.542116	0.559965	0.241122	0.0846325	0.0554014	0.0837719	0.341489	0.306357	0.350669	0.445741	0.467578	0.58851	0.346999	0.707787	0.646876	0.380062	0.613702
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	1.35561	2.05673	2.14169	1.3348	1.24422	0.534502	0.203381	0.672608	1.51154	1.3942	1.15513	0.616183	0.39637	0.328122	1.25311	0.164805	1.26351	0.73496	0.402364	0	0.148475	1.25758	0.613183	0	0	0.250886	0.77652	1.46398	1.13584	0.39637	0.681855	1.32438	1.02834	0.477975	0.638009
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.70472333-cf93-4f75-9795-a7c0cfbd4b2b.fc.signal	0.558371	0.458303	0.536302	1.462	1.15709	1.20403	0.614183	0.28459	0.66692	0.73239	0.774831	1.42511	1.19711	0.982103	0.163383	0.586106	1.55121	0.52094	1.48443	1.51799	0.571291	2.16838	0.908089	1.57692	0.51396	1.65276	0.887924	0.625639	1.99549	2.69688	1.36575	0.874972	0.86351	0.474766	0.540462
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000704.1.66176b59-ae1e-4572-9837-187809968b90.fc.signal	0.0957384	2.24659	0.605133	2.28298	0.974597	1.49012	1.44104	0.684896	0.107989	1.55858	1.49436	4.21502	2.72485	1.07835	1.69386	1.97467	1.79938	0.73535	1.98646	3.83693	1.34284	0.591595	1.43609	2.04489	0.351007	0.338762	0.97557	1.44047	0.500116	0.801662	1.15127	0.368243	1.35768	2.14776	0.589977
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	0.582916	0.846138	0.354722	0.882258	0.927895	0.927363	0.569652	0.747321	1.14455	0.588035	0.692119	0.878225	1.87798	0.706703	1.38197	0.458787	0.305157	0.707133	1.40627	1.04058	0.519427	0.680908	0.653384	1.12396	0.700992	0.515635	0.435075	0.679996	0.880662	0.0182793	0.359601	0.329731	0.665154	0.356195	0.576154
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000193.3.aa854cbd-228f-48b3-bc4a-7a1e57daf907.fc.signal	0	0.948544	5.13896	0.540294	2.73758	0.840457	0	0	0	0	1.06696	1.35106	2.59088	0.744405	1.29671	0.468255	1.57286	1.03256	2.05314	3.01375	0.0240131	1.26069	2.51066	1.78869	0.109226	2.27706	1.15865	0	0	0	0	1.00855	1.08059	1.80098	0.605649
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001546.1.967ca253-1932-4175-8466-de89b0808edb.fc.signal	0	0	0.698145	0.228168	0.465839	0.573478	0	0	0	0.915812	1.39628	0	0	0.221327	1.02172	0.320629	0	0.676421	0.534327	2.46049	0.0954144	0	0.298374	0.824292	1.66899	1.81068	0.398816	0	0	0	0	0.073364	0.910294	0.124113	0.476596
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	1.38202	0.534688	1.38274	1.38431	1.3971	1.41035	1.03949	1.65481	1.07237	1.79238	1.214	0.643009	0.950059	0.40674	0.862632	0.848568	0.706338	1.72466	2.28144	1.02033	0.475459	0.649559	1.62115	0.670749	0.488238	0.677925	0.511997	0.374463	1.54767	0.210955	0.727126	1.99801	1.46001	1.99033	0.460027
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	0	0	0	1.24885	0.368366	0	0	0	0	0	1.28479	0.318006	0.170706	1.31307	0.0882537	0	0	0	0	0	0	0	0	0	0	0	0.215629	1.34768	0.0539072	0	0	0.823055	0.52888	0	0.860837
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.e3fd041d-f794-414d-802b-cfe9e9d53c6e.fc.signal	0.967071	0.715524	0.259889	0.964084	0.543598	0.760737	1.3574	0.66475	0.391772	0.184295	0.513439	0.440536	0.166119	0.475734	1.04027	1.17143	1.42701	1.14903	0.500329	0.334878	0.43818	0.584041	0.456077	1.04728	2.32714	0.78448	1.0542	1.13845	0.656779	0.7986	1.07815	0.478382	0.400416	0.183546	0.573759
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000237.3.a5cd5780-31d9-4de0-9c6f-91eeeabb1306.fc.signal	0.535752	0.628994	0.357658	0.356107	0.746864	0.492933	0.265059	0.814156	1.33744	0.501681	0.156135	0.355101	0.829326	0.944851	0.58827	0.448764	0.628043	0.778998	0.539964	0.302704	0.131148	0.42457	0.539253	0.338368	0.300346	0.34453	0.166191	0.349294	0.782227	1.14329	1.03707	1.14376	0.911835	0.476543	0.494923
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001003.4.e55ccc77-8d92-466a-86b9-0bf035aed6cc.fc.signal	1.31785	1.06841	0.561165	0.655186	1.31958	0.568132	0.225732	0.883955	1.40888	1.01353	2.09574	1.24105	0.831279	0.537798	0.366708	0.831461	0.858389	0.414848	1.06924	0.852064	0.95007	0.817987	0.670118	0.513226	0.179863	0.616742	0.544291	0.990195	1.21079	0.753521	0.656025	0.401343	0.00659773	0.358068	0.557027
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	0.676001	0.354091	0.327541	0.694524	0.597624	0.588318	0.754987	1.13072	0.806011	0.497104	0.617484	0.517551	0.619045	0.364688	0.0252415	0.0931189	0.0596596	0.197733	0.349067	0.159384	0.0572207	0.206828	0.250152	0.23405	0.130587	0.018774	0.103458	0.306841	0.248763	0.328188	0.650558	0.622273	0.63078	0.552544	0.456611
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001892.4.1a48d1e3-a2d4-434f-8cee-d284ec0da60a.fc.signal	0.473956	0	0	0	0	0.63556	0.893002	0.665138	0.860822	0.0160901	1.19523	0.297533	0	0	0	0.578501	2.36448	1.24284	0	0	0	0	0	0.434434	1.09413	0	0.0563155	1.68137	1.31936	0	0	0	0.63556	1.09613	0.571429
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001335.1.16baff19-56fb-479e-97b6-edd56ebc9920.fc.signal	0.46717	0.266692	0.933397	3.67422	0.333328	0.680117	1.28762	1.27929	0.420874	1.00426	1.00843	0.812578	2.10227	2.83446	1.38252	0.746654	1.36641	1.23741	1.13183	4.05651	1.55429	2.82514	2.74781	1.0001	1.31874	0.790371	0.708592	1.37874	1.0913	1.69493	3.0691	2.1689	3.04651	2.65895	0.412598
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000228.3.8bd2a4a9-ace6-4e3a-b0aa-9993e4990638.fc.signal	1.49996	1.94809	0.640726	0.89113	1.65276	1.08775	0.269497	0.778684	1.12725	0.551533	0.344218	0.453779	0.367058	0.531403	0.481127	0.60004	1.27537	0.882176	0.744948	1.21884	1.71131	1.46723	0.875143	1.25259	1.06269	0.453095	0.238954	0.117438	0.516167	1.07436	0.879593	0.909224	0.891501	0.599817	0.586035
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000248.2.827ded64-aa40-4620-8391-8dd4ae096d90.fc.signal	0.569754	0.964743	0.714006	0.0294821	1.10921	2.43085	0.582374	0.666652	1.1183	0.900814	0.563643	0.113844	0.4301	0.540871	0.918794	1.22519	1.04944	0.330914	0.0025796	0.294893	0.534602	0.929419	1.23854	1.48409	1.11753	0.395623	1.26817	0.356926	0.433169	0.287242	0.0297769	0.403585	0.137117	0.816556	0.453831
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001482.1.feb5cf97-c346-43c5-9925-b098ecdfe359.fc.signal	0	0.0164875	1.32883	1.02984	3.00665	1.66786	0.396653	1.43768	2.29923	2.39611	4.67789	2.58909	0.17486	0.57283	0.232868	1.51081	0.735995	0.879104	0.801381	0.87248	1.21526	0.780907	2.57474	0.818343	2.88767	3.62863	3.0117	0.950557	1.30931	2.11213	3.0603	2.58426	2.78823	1.56828	0.494737
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001488.1.8a6af925-1821-4fc7-84d7-e838a44be225.fc.signal	1.97006	0.456441	0.573409	0.408531	0.911675	1.68758	1.65781	1.01992	1.47394	0.468888	0.849568	0.905833	1.31538	0.338048	0.0240224	1.88811	1.70089	0.253272	2.6548	2.15826	0.480448	1.16122	1.4415	2.10368	0.835827	1.23331	1.75782	3.44001	1.3081	2.09591	2.28148	2.42072	1.65369	1.75153	0.742009
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.100e7289-c631-4bb0-9eef-015950828bf4.fc.signal	3.15614	2.84148	1.64423	0.218426	0.210339	1.24952	2.31105	1.0809	1.10781	1.07009	1.32001	0.2156	0.293674	0.681506	0.162736	0.0689721	0.1842	0.0645597	0.617977	0.332463	0.387064	0.489538	0.0783628	0	0.269529	0.130761	0.41897	0.38161	0	0	0	0	0.453999	0.527794	0.51449
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.3d6cbb41-685c-49c7-85eb-8977ab8f14b3.fc.signal	2.08645	0.751546	0.262347	1.91694	2.61172	1.06906	1.81456	2.35019	2.4442	1.0501	0	0	0.447743	1.34048	0.845718	1.30053	1.48871	1.23672	1.64768	0.579031	1.03873	0.0327931	0.529065	1.2036	1.19752	3.05639	1.37267	0.646642	1.00439	0.918488	1.04607	0.175311	0.17277	0.45986	0.730011
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	1.79534	1.67674	2.12496	1.46424	2.71609	1.95108	2.51952	1.0261	1.6677	1.26799	2.45551	2.49719	2.70257	4.02424	3.40962	3.47718	3.3149	3.08311	1.45122	0.560251	0.354162	1.17561	0.72244	1.3772	1.95716	1.05736	0.658564	0.992324	0.195089	0.70166	0.361016	0.537037	1.63424	1.37754	0.311321
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000008.3.2e1ab747-5c43-4469-97d5-a2e674bc3ee6.fc.signal	3.21441	0.382236	1.10409	0.796924	0.214664	0.651745	0.645359	0.774004	1.59858	0.429772	0.268653	0.883092	0.144605	0.354083	0.777264	1.27606	1.72907	0.282916	1.11984	0.46096	0.336795	0.374788	0.449907	0.727929	0.941503	0.729067	1.1653	1.46213	1.14171	0.35629	1.03577	0.397118	0.516712	0.611081	0.54562
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000234.3.004bcd0c-68a8-42c5-b5aa-454db7d061e9.fc.signal	0.836871	2.12067	1.62053	1.54442	1.72259	0.852072	0.80859	1.316	1.73635	1.65667	1.08905	1.03391	0.535808	0.111649	0.302925	0.97327	0.570667	0.19341	0.316892	0.327648	0.373053	0.237859	0.189178	0.19104	0.180971	0.349827	0.459587	0.237467	0.173162	0.474148	0.633092	0.438029	0.973147	0.922454	0.661596
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.5571d7d7-4894-4e51-8082-c8a874cb2438.fc.signal	0.407808	1.01613	0.116619	0.286636	0.0997987	0.372317	0.329681	0.0930707	0.316216	0.311731	0.0728867	0.18502	0.391398	0.186141	0	0	0	0.198761	0.471074	0.584331	0.684136	0.262833	0.268398	0.0769601	0.254365	0.252792	0.763409	0.770526	0.162624	0	0.013456	0.638156	0.980222	0.666016	0.480476
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003816.1.3579346a-a108-4e99-ba8a-c53f4809c6bb.fc.signal	1.08141	1.02717	0.25656	0.650926	1.39907	0.767808	1.06999	1.13958	0.417512	0.514315	0.488449	1.09003	1.18245	0.931488	1.37323	0.560862	0.585077	0.930049	1.38857	1.91155	0.958058	0.916036	1.88757	1.34844	0.726361	1.47376	0.816667	1.1725	2.30924	2.16972	1.66015	0.873423	1.12781	2.25106	0.581269
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	2.68748	3.18394	1.81987	2.63302	2.32038	1.23207	1.2254	0.589383	0.931956	1.33947	0.549034	1.01816	2.56337	3.97069	3.1199	1.9101	2.8441	0.958296	0.666375	0.701906	0.457402	1.27014	0.963795	0.700605	1.58588	1.14587	0.632352	0.336182	0.137306	0.668998	0.520441	0.471408	0.208366	0.403953	0.348748
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001906.1.d4812fd5-35f7-424c-8ea9-21e1d395b54b.fc.signal	0.259421	0.0800179	0.23079	0.327815	0.994505	0.725379	0.133758	0.285048	0.488566	0.430324	0.728421	0.516396	0.591456	0.60612	0.26721	0.757262	1.4687	1.03417	0.718735	0.345898	0.681257	0.31564	0.24998	0.420034	0.206453	0.410485	0.934806	0.770561	0.334086	0.31333	0.387663	0.32801	0.750892	0.518362	0.680767
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003688.3.0aa4929d-9f0e-4abf-945b-21dad34e75e4.fc.signal	1.12461	0.876668	1.65465	0.921698	1.95489	0.906442	0.380142	0.906471	1.01206	0.832923	0.70356	0.989125	0.55764	0.822263	1.27953	0.748746	0.839827	0.651644	0.303448	0.867075	1.00757	0.78232	1.14415	0.37715	0.194565	0.418437	0.31881	0.672522	0.825831	0.792142	0.527157	0.972665	1.22487	1.22649	0.423077
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.b75058ba-d142-4ae0-9acf-08c2d019a7dc.fc.signal	0.38696	0.11053	0.386962	0.838434	0.600415	0.439198	0.337634	1.23863	0.715176	0.279327	0.914333	0.646397	0.963891	0.945172	0.436737	0.53291	0.909189	0.367004	0.704788	0.656283	0.695664	0.535937	0.873809	0.34896	0	0	0.191017	0.289196	0.53239	1.23155	0.0873205	0	0.835367	0.743882	0.576567
