	chr1:77915066-77915215	chr1:77915216-77915315	chr1:77915316-77915365	chr1:77915366-77915515	chr1:77915516-77915665	chr1:77915666-77915815	chr1:77915816-77915965	chr1:77915966-77916045	chr1:77916046-77916115	chr1:77916116-77916265	chr1:77916266-77916415	chr1:77916416-77916565	chr1:77916566-77916715	chr1:77916716-77916865	chr1:77916866-77917015	chr1:77917016-77917165	chr1:77917166-77917315	chr1:77917316-77917465	chr1:77917466-77917615	chr1:77917616-77917765	chr1:77917766-77917915	chr1:77917916-77918065	chr1:77918066-77918215	chr1:77918216-77918365	chr1:77918366-77918515	chr1:77918516-77918665	chr1:77918666-77918815	chr1:77918816-77918965	chr1:77918966-77919115	chr1:77919116-77919265	chr1:77919266-77919415	chr1:77919416-77919565	chr1:77919566-77919715	chr1:77919716-77919865	chr1:77919866-77920015	chr1:77920016-77920165	chr1:77920166-77920257	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000980.8.368c97f7-f82d-4e9f-a521-00182447a421.fc.signal	0.274575	0.476292	0.622289	0.653183	0	0	0	0.331005	0.66201	1.24019	1.66833	0.0485474	0.127989	0.66201	0.838543	0.95329	0	0	0	0	0	0	0.4281	0.432513	0	0	0.229497	0.59695	0	0	0.304525	0.948877	0.46782	0	0.127989	0.66201	0.115132	0.938641
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.d9959e98-a5a9-490f-a9f0-358a1a711d27.fc.signal	1.00119	1.64056	0.89044	0.550097	0.745662	0.0102965	0	0	0	0	0.131814	0.78846	0.409131	0.866357	0.581715	0.350819	0	0.404864	1.40227	0.734107	0.445211	0.761668	1.12487	0.541082	0.50685	1.7181	3.42255	1.17326	0.665513	1.20712	0.785233	0.369771	0.581732	1.58686	1.07246	0.827089	0.145203	0.123153
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.993ec17f-4277-433d-a284-3906706ac1fe.fc.signal	0.993822	1.874	0.941398	0.67243	0.0762087	0	0	0	0	0.479667	0.262139	0.255377	0.434838	0	0.112072	0.67243	0	0	0.434838	0.349664	0	0	0.577283	0.391291	0.137896	0.813815	0.577076	0.425166	0.870944	0.306685	0.762086	0.582772	1.34485	0.152417	0	0.418279	2.62025	0.0782609
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003816.1.4569d4d8-c896-418a-b870-e7afcf72b7d3.fc.signal	1.39189	2.20323	1.18864	0.352393	1.06978	0.568888	0.377876	0.623602	0.642915	0.176774	0.253867	0.501075	0.867096	0.501577	0.944545	0.908314	0.676044	1.00058	0.741863	0.449281	0.928257	0.986311	0.671197	2.08723	1.91491	1.80295	0.321178	0.937652	1.35201	2.05403	1.85009	0.901444	0.909876	1.09526	0.239694	1.02165	1.80652	0.677852
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.009dbb10-d8f5-4bd5-9bc6-e0cf283ece54.fc.signal	0.247652	0.270816	0.231707	0.161122	0.276823	0.63865	0.248543	0	0	0	0	0.00126073	0.324016	0.317712	0	0	0	0	0	0	0	0	0	0.215589	0.36184	0.388315	0.320234	0	0	0	0	0.134066	0.517157	0.433468	0.513001	0.455025	0.109729	0.333513
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.4e9958ba-8dfc-4908-9654-b8c3286ec999.fc.signal	1.16573	0.705591	0.85011	0.181357	0	0	0	0	0	0.102013	0.833108	0.0113348	0.85011	0.0736762	0	0	0	0.0702843	0.746463	0	0	0	0.949413	1.51899	0.300372	0	0	0	0	0	0.25182	0.640416	0	0	0	0	0.803908	0.237778
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.ef220820-5419-4b81-b030-ce292c6089b7.fc.signal	0.595248	0.268896	0.318543	0.469563	0.45105	0.0944789	0.150976	0.65397	1.29437	1.12821	0.909981	0.958674	0.604029	0.357538	0.629355	1.32211	0.92457	0.334147	0.590391	0.856378	0.563112	1.00837	0.735559	0.224054	0.691724	0.915813	0.892422	0.661344	0.83862	0.198002	0.217795	0.0886219	0.0662255	0.277669	0.0457717	0	0	0.857798
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000943.7.b97e43e6-4dfc-4f07-88bb-76ebefe1ddac.fc.signal	0.878306	0.948108	1.24169	0.215277	0.376435	0.309788	0.0767573	0	0.17862	0.155598	0.0666848	0.0293505	0.225678	0.373166	0.45094	0.942332	0	0.0506007	0.458036	0.298582	0.127815	0	0.650076	0.599259	0.0985859	0.415101	0.567568	0.0881311	0.35738	0.147263	0.438545	0.414139	0.0291746	0	0.0754595	0.0759775	0.269551	0.316232
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.782837e5-53f4-4f13-8ca3-175155d9e819.fc.signal	0.215948	0.321946	0.409675	0.286944	0.192952	0.0717802	0	0	0	0	0.258207	0.486062	0.0489327	0.271715	0.492815	0.0286847	0	0	0	0	0	0	0	0	0.491116	0.828601	0.266655	0	0	0	0	0	0.0766705	0.197898	0.225648	0.0372285	0	0.0944882
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001959.2.50a44db1-655c-4546-8036-e7b247f25f5a.fc.signal	1.07275	0.495722	0.258094	0.208772	0.217365	0.156974	0.71612	0.762578	0.625299	0.441264	0.547583	0.0299716	0.118512	0.270594	0.649412	0.461625	0.0868911	0.18356	0.147858	0.842105	0.0588871	0.122358	0.392807	0.42287	0.735614	1.1203	0.922734	0.62116	0.967603	0.54949	1.1886	2.29593	0.522488	0.260637	0.631435	0.762778	0.594174	0.125
