	chr22:38125769-38125918	chr22:38125919-38126068	chr22:38126069-38126218	chr22:38126219-38126368	chr22:38126369-38126518	chr22:38126519-38126668	chr22:38126669-38126818	chr22:38126819-38126968	chr22:38126969-38127118	chr22:38127119-38127268	chr22:38127269-38127348	chr22:38127349-38127418	chr22:38127419-38127508	chr22:38127509-38127568	chr22:38127569-38127718	chr22:38127719-38127868	chr22:38127869-38128018	chr22:38128019-38128168	chr22:38128169-38128318	chr22:38128319-38128468	chr22:38128469-38128618	chr22:38128619-38128768	chr22:38128769-38128918	chr22:38128919-38129068	chr22:38129069-38129218	chr22:38129219-38129368	chr22:38129369-38129518	chr22:38129519-38129668	chr22:38129669-38129818	chr22:38129819-38129968	chr22:38129969-38130118	chr22:38130119-38130268	chr22:38130269-38130418	chr22:38130419-38130568	chr22:38130569-38130718	chr22:38130719-38130868	chr22:38130869-38130930	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	1.40327	1.12419	0.50633	0.94388	0.665263	0.632481	1.15568	0.919329	1.02567	0.62733	0.913723	1.14891	1.28728	1.57129	0.825132	0.763254	0.835379	0.640463	0.473782	1.95788	1.2467	0.610156	0.216629	1.18676	0.930839	0.795451	0.872275	1.45095	0.743869	0.789931	0.217243	0.429137	0.307897	0.550076	0.725607	0.986314	0.740379	0.714286
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	1.18977	1.74785	0.521331	0.259406	1.07987	2.07371	0.955718	1.17452	0.723423	0.17822	1.00259	1.08456	0.72488	0.460256	1.05482	1.21633	1.28599	1.556	1.77691	2.74604	1.463	0.905281	1.45063	1.40061	0.546917	0.567705	0.836727	1.06269	1.10317	0.676125	1.06416	1.2393	0.5925	0.941099	0.859392	0.702915	0.0609631	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.500735	0	0.519272	0.179914	0.487764	0.142807	0.447589	0	0	0.361651	1.06419	0.520606	0.0247351	0	0	0	0	0	0	0.191022	0.576775	1.405	0.689526	0.0983221	0	0	0.0908871	0.502594	0	0.261511	0.331984	0	0.137265	0.853962	0.18932	0	0	0.381953
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	4.09075	4.68812	1.42457	0	0	1.39069	1.37636	3.07423	1.92208	0.626502	2.7268	4.91816	3.86289	7.94258	6.0433	0.474798	1.47036	0.361954	0.322071	4.19916	1.74691	0	0	1.77749	4.73514	0.610526	0.68153	1.41283	0	0	1.12022	2.40082	0	0	1.13197	0.904512	0	0.353741
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.602249	0.268525	0.358119	0.188091	0.150875	0.617376	0.803149	0.825613	0	0	0	0	0	0.365134	1.49971	0.305276	0.52945	0.664689	0.158449	0	0.231264	0.243686	0	0	0	0	0.181299	0.550575	0.547115	0.192584	0.220601	0.146858	0.162514	0.218395	0.350026	0	0	0.580318
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0.3776	0.579074	1.07922	1.01278	0.314788	0.00472247	0.0507691	0.338988	0.556909	0.557256	0.516029	0.449524	0.742244	0.533932	0.453031	0.551849	0.592779	0.356364	0.0749326	0.419105	0.547844	0.483745	0.56476	0.27236	0.362577	0.163785	0.472657	0.764053	0.669033	1.15414	0.956448	0.824869	0.40766	0.075016	0.0337572	0.18754	0.0846955	0.498392
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0.258062	0.30254	0.00834833	0.183797	0.453244	0	0.0868227	0.524538	0	0	0	0.236948	0.776716	0.942173	0.270544	0	0	0	0	0	0.289962	0.174199	0.967175	0.225047	0.338558	0	0.0756927	1.10291	0.880372	0.243401	1.31493	1.42889	0.542537	0.221151	0.493642	0.588421	0	0.699162
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.325712	0.360655	0.37586	0.391614	0.357328	0.456026	0.378038	0.258085	0.351648	0.136696	0.120825	0.114849	0.132394	0.142461	0.123779	0.173715	0.187678	0.175274	0.0640173	0.166287	0.289755	0.188806	0.189905	0.130156	0.112626	0.155198	0.286607	0.16427	0.216524	0.176642	0.096124	0.055595	0.211766	0.268406	0.117639	0.0767357	0.178495	0.543745
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	0.423092	0.341443	0.279092	0.436453	0.0282061	0.0994637	0.390432	0.0727421	0.439481	0.512276	0.172577	0.757258	0.78694	0.267216	0.443875	0.400862	1.48482	0.982923	1.13139	0.685944	1.75798	1.56048	0.636963	1.33629	0.164815	0	0.0549277	0.788428	0.166277	0.307298	0.932422	0.779494	0	0	0	0	0.377119	0.363265
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.70472333-cf93-4f75-9795-a7c0cfbd4b2b.fc.signal	0.915753	1.22683	0.91719	0.845007	0.317762	1.50754	1.52004	0.153025	0.793161	1.41229	0.883075	1.67343	2.96964	3.21935	2.20577	2.26634	4.0704	3.4138	3.11093	2.12211	2.25993	2.93172	1.53513	4.17712	1.94556	1.259	0.576924	2.15794	1.24948	2.99944	1.98955	1.09184	0.701243	0.710811	1.25584	0.462231	0.0154248	0.260215
