	chr10:84255393-84255442	chr10:84255443-84255542	chr10:84255543-84255692	chr10:84255693-84255712	chr10:84255713-84255772	chr10:84255773-84255842	chr10:84255843-84255992	chr10:84255993-84256072	chr10:84256073-84256112	chr10:84256113-84256142	chr10:84256143-84256232	chr10:84256233-84256292	chr10:84256293-84256352	chr10:84256353-84256442	chr10:84256443-84256552	chr10:84256553-84256592	chr10:84256593-84256742	chr10:84256743-84256892	chr10:84256893-84256952	chr10:84256953-84257042	chr10:84257043-84257092	chr10:84257093-84257192	chr10:84257193-84257342	chr10:84257343-84257492	chr10:84257493-84257642	chr10:84257643-84257792	chr10:84257793-84257942	chr10:84257943-84257982	chr10:84257983-84258012	chr10:84258013-84258092	chr10:84258093-84258202	chr10:84258203-84258242	chr10:84258243-84258292	chr10:84258293-84258392	chr10:84258393-84258472	chr10:84258473-84258542	chr10:84258543-84258692	chr10:84258693-84258842	chr10:84258843-84258932	chr10:84258933-84258992	chr10:84258993-84259142	chr10:84259143-84259292	chr10:84259293-84259442	chr10:84259443-84259592	chr10:84259593-84259742	chr10:84259743-84259892	chr10:84259893-84260042	chr10:84260043-84260092	chr10:84260093-84260192	chr10:84260193-84260242	chr10:84260243-84260292	chr10:84260293-84260342	chr10:84260343-84260492	chr10:84260493-84260506	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.bb1bb2b2-42c2-4f18-8e8f-61e82ab17b84.fc.signal	1.85944	1.97212	1.61407	0.578554	0.249488	0.0916761	0.345486	0.366324	0.286109	0.779814	1.08723	1.34371	1.0502	0.827308	0.810656	1.13195	1.58482	1.20825	0.618415	0.276712	0.72194	1.1332	1.08584	1.33151	1.2392	0.737262	0.965067	1.85245	2.21231	1.92121	1.42206	1.74819	2.36937	3.08145	2.64404	1.50532	1.57417	2.52793	2.57971	2.44626	4.065	4.25194	4.02978	3.20721	2.684	1.43297	1.11853	1.25521	1.05776	0.817541	0.767231	0.59803	0.894787	1.0395	0.521368
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83e601b8-bef8-49e1-b42e-c29a56e1ac1c.fc.signal	0.910541	0.80357	0.912479	0.520978	0.257239	0.0332427	0.101257	0.0781136	0.162475	0.249337	0.617617	0.96857	1.38743	1.3653	0.944734	1.1374	1.02837	0.917561	0.859555	0.783417	0.958966	1.65951	1.67433	1.75811	1.85786	1.48551	1.71934	1.66239	1.49393	1.07723	0.685072	0.849656	0.9154	1.5263	1.74084	1.67837	1.43277	1.49863	1.99312	3.16842	2.51705	0.81478	0.974137	1.51672	1.07427	1.14986	1.71465	1.39483	1.64659	1.2225	1.15386	1.01314	1.2673	1.38815	0.435927
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.8ee3bcc0-0a54-4209-87cf-967cca7d6071.fc.signal	0.733846	0.424136	0.142017	0.187696	0.190469	0.224418	0.176652	0.158201	0.201382	0.375011	0.477209	0.494374	0.383698	0.35977	0.414321	0.368807	0.465508	0.429453	0.405507	0.255534	0.128969	0.114094	0.179475	0.413758	0.750711	0.653916	0.657593	0.861569	0.837037	0.807761	0.556614	0.639763	0.591473	0.668273	0.5078	0.535272	0.350052	0.395557	0.755308	1.15633	1.09029	0.390173	0.195816	0.161939	0.0581323	0.124912	0.198034	0.27581	0.336183	0.225474	0.284303	0.605846	0.805257	0.921126	0.68254
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.f32467cb-d7e9-4f5b-9c6b-68e4e838bc49.fc.signal	0.896431	0.425723	0.117762	0.2383	0.378479	0.32588	0.190831	0.103929	0.192196	0.231631	0.317961	0.358203	0.368478	0.454162	0.668511	0.773168	0.802557	0.614217	0.44485	0.33148	0.295102	0.387382	0.91381	0.921654	0.916027	2.19012	2.54317	1.6903	1.24619	0.876834	0.823781	1.35764	1.75025	2.46468	2.75251	2.17938	1.33526	1.2102	1.0364	0.694712	0.261885	0.0405041	0	0	0	0	0.186866	0.570423	0.767306	1.10342	1.45227	1.34068	1.11408	0.785059	0.526992
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.309e9998-5ade-4caa-9bdd-4c0118af9852.fc.signal	0.985941	0.316822	0.0785234	0.201383	0.286292	0.854194	0.909952	0.949289	0.942045	1.21343	1.4262	1.4002	1.16818	0.822515	1.25414	1.6316	1.80083	1.5765	1.50102	1.55146	2.10968	1.91926	2.154	2.04918	1.66417	1.6241	1.80606	1.5614	1.29362	0.944107	1.08783	1.7404	2.05582	2.43941	2.58863	2.25457	2.35023	2.80978	2.26416	1.50609	0.833342	0.213805	0	0	0	0.000729467	0.289604	0.432921	0.752055	0.694784	0.723844	0.76479	0.681706	0.868589	0.430126
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.6ef6e344-86f3-4f04-92f8-daa352b5ef4d.fc.signal	0.514952	0.287929	0.151968	0.13668	0.298729	0.90205	0.826256	0.0867163	0.135513	0.243289	0.599925	0.760728	0.605852	0.343844	0.20007	0.203668	0.356778	0.581543	0.504173	0.247484	0.151554	0.435017	0.291568	0.371798	0.421703	0.428937	0.788234	1.17871	1.17157	1.09946	1.25637	1.71568	1.76087	1.33225	1.14878	1.02765	0.639523	1.01296	0.816228	0.728959	1.38477	0.474635	0.177848	0.188152	0.0535103	0.111364	0.141564	0.492964	1.06103	1.68014	1.73836	1.54112	0.913703	0.555759	0.516784
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.f2c7bc19-404e-47af-b24f-cd6109044afb.fc.signal	1.01183	1.09758	0.927385	0.486079	0.524158	0.64406	0.685706	0.277694	0.382332	0.565519	0.80766	1.25442	1.42176	1.28551	0.935395	1.18117	1.47715	1.01992	0.636236	0.339764	0.396412	0.968634	1.08484	0.609344	0.345508	0.588217	0.976976	1.06673	1.20934	0.913231	0.722642	0.89828	1.05066	1.01664	0.659734	0.273801	0.647168	1.48393	1.15304	1.33944	2.23269	2.38179	2.49742	1.81055	0.947186	0.772016	0.627447	0.874206	0.891077	0.95391	0.938511	0.793409	0.673876	0.961495	0.444138
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.5aafa779-b4bd-44a8-aed7-d566d5881bee.fc.signal	1.20027	0.80949	0.601067	0.52336	0.283849	0.161537	0.044672	0	0.01396	0.148907	0.53034	1.26775	1.48876	1.2251	0.692772	1.03973	1.41338	1.12211	0.560583	0.500868	1.11654	2.02374	1.94747	1.25425	1.93073	2.00022	1.82782	2.00358	1.50738	1.55271	1.59233	1.70269	1.58272	2.03074	1.84752	1.27402	0.964876	1.62736	1.98651	2.84018	2.54664	1.17421	1.22912	1.23007	0.281933	0.191717	0.282897	0.935066	1.71948	1.63573	1.0188	0.429881	0.69243	1.75508	0.337981
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.aaa0b154-2777-4a76-a919-829c05cb2aa5.fc.signal	1.18705	1.56912	1.81311	1.09073	0.535215	0.912757	1.48533	0.689343	0.22973	0.11071	0.19558	0.3728	0.59426	0.86616	1.03587	1.42298	1.50306	0.911713	1.16453	0.964622	0.755157	0.731915	0.454769	0.733783	1.31702	1.96443	1.65372	1.31501	1.18857	1.04093	1.41138	1.89081	1.599	1.59015	1.64993	1.46805	1.31195	1.6218	2.32725	3.28042	3.6844	3.14766	2.45843	2.41695	2.27818	1.57833	1.79907	1.73852	1.96999	1.73632	1.25803	0.669197	0.988986	1.28499	0.46729
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.fc6fd65f-c644-42f3-9ab2-6582bf7f6378.fc.signal	1.73887	0.90664	0.701859	0.410394	0.297126	0.218035	0.312089	0.196016	0.122717	0.0584417	0.0611243	0.19447	0.376124	0.654114	0.500839	0.725529	1.00303	1.35277	1.72538	0.81867	0.383128	0.626725	1.13552	1.17835	0.972828	1.23626	1.35216	1.16372	1.29123	1.16324	1.14393	1.26284	1.62344	2.11205	2.42325	1.43114	1.73506	1.92436	2.11447	3.15887	3.74877	3.56496	4.66254	2.09958	1.78421	1.14728	1.26784	1.7389	2.03766	2.38707	1.75683	1.33623	1.75882	1.53488	0.544707
