	chr8:12426133-12426152	chr8:12426153-12426282	chr8:12426283-12426432	chr8:12426433-12426502	chr8:12426503-12426582	chr8:12426583-12426732	chr8:12426733-12426882	chr8:12426883-12427032	chr8:12427033-12427182	chr8:12427183-12427302	chr8:12427303-12427332	chr8:12427333-12427442	chr8:12427443-12427482	chr8:12427483-12427542	chr8:12427543-12427632	chr8:12427633-12427682	chr8:12427683-12427782	chr8:12427783-12427932	chr8:12427933-12428082	chr8:12428083-12428172	chr8:12428173-12428232	chr8:12428233-12428272	chr8:12428273-12428382	chr8:12428383-12428482	chr8:12428483-12428532	chr8:12428533-12428642	chr8:12428643-12428682	chr8:12428683-12428782	chr8:12428783-12428832	chr8:12428833-12428862	chr8:12428863-12428982	chr8:12428983-12429132	chr8:12429133-12429222	chr8:12429223-12429242	chr8:12429243-12429282	chr8:12429283-12429432	chr8:12429433-12429582	chr8:12429583-12429672	chr8:12429673-12429712	chr8:12429713-12429732	chr8:12429733-12429882	chr8:12429883-12430032	chr8:12430033-12430182	chr8:12430183-12430332	chr8:12430333-12430482	chr8:12430483-12430632	chr8:12430633-12430782	chr8:12430783-12430932	chr8:12430933-12431082	chr8:12431083-12431232	chr8:12431233-12431382	chr8:12431383-12431398	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001888.4.445e6e0a-1317-4ac0-8603-79bdacbbaeb7.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225352
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.05f731d1-35d3-4327-ad52-34ab22707910.fc.signal	0	0	0	0	0	0	0	0	0	0.021472	0.21472	0.210816	0	0.0143147	0.21472	0.21472	0.0128832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.578431
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003401.1.b076b762-9a1c-49ad-94fb-112d4580999d.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.404949	0.599159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288591
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003696.3.56ed3fdb-46a9-4765-a249-372860e042b1.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300699
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001851.4.88e0b9dc-6b08-443f-bb12-a02db4d96a2b.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15674
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.c78458e5-ee0b-451a-90f1-dbb574d13e13.fc.signal	0.119946	0.14539	0.0974111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72818
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.6941f4c2-9444-41d7-82bb-38a8112f3f75.fc.signal	0.0503965	0.15507	0.132843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00344578	0.0956227	0.166685	0.321316	0.504645	0.461999	0.31075	0.0833455	0.0519451	0	0	0	0	0	0	0	0	0.0635746	0.124054	0.15507	0.124054	0.07753	0.000516867	0	0	0	0	0	0	0	0	0	0	0.38191
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.c56a1926-3d2b-458d-9800-4140f38e79d1.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.805797
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003685.2.c2e20b49-142e-4797-9eba-5be0eab06323.fc.signal	0.473	0.221946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086	0.473	0.2838	0	0	0	0	0	0	0	0	0	0	0	0.43516	0.0630667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442396
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.06d474fe-8a5b-49c2-81ef-b754d64a93d0.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077444	0.22418	0.22418	0.014266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24359
