	chr10:117543132-117543281	chr10:117543282-117543431	chr10:117543432-117543581	chr10:117543582-117543731	chr10:117543732-117543881	chr10:117543882-117544031	chr10:117544032-117544181	chr10:117544182-117544331	chr10:117544332-117544481	chr10:117544482-117544631	chr10:117544632-117544781	chr10:117544782-117544931	chr10:117544932-117545081	chr10:117545082-117545231	chr10:117545232-117545381	chr10:117545382-117545531	chr10:117545532-117545681	chr10:117545682-117545831	chr10:117545832-117545981	chr10:117545982-117546131	chr10:117546132-117546281	chr10:117546282-117546431	chr10:117546432-117546581	chr10:117546582-117546731	chr10:117546732-117546881	chr10:117546882-117547031	chr10:117547032-117547181	chr10:117547182-117547331	chr10:117547332-117547481	chr10:117547482-117547631	chr10:117547632-117547781	chr10:117547782-117547931	chr10:117547932-117548081	chr10:117548082-117548231	chr10:117548232-117548316	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	8.35291	13.3017	8.15248	15.529	20.8165	22.2398	16.515	9.31886	3.98095	4.70654	4.75985	8.72033	10.7862	12.971	15.7558	15.1588	11.1966	6.30622	7.21343	3.14611	2.99986	2.779	1.89002	4.39592	3.64121	2.3911	2.40873	1.86446	2.25379	1.62493	0.607873	0.593465	1.69887	0.891527	1.03393	0.567783
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001335.1.16baff19-56fb-479e-97b6-edd56ebc9920.fc.signal	18.5532	17.2296	15.5411	19.3034	21.7686	24.7417	13.5925	19.7643	15.5387	12.969	14.3069	15.1689	14.0732	19.6799	24.0534	17.9351	7.33816	9.58087	11.7707	9.72467	7.07013	3.5943	1.82792	3.09589	2.1932	1.63827	4.03032	5.24223	3.21113	1.20724	1.14859	2.19283	0.682564	1.34686	1.22645	0.230453
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000228.3.8bd2a4a9-ace6-4e3a-b0aa-9993e4990638.fc.signal	0.671067	1.92295	2.37524	2.21545	2.60254	2.71578	2.40055	2.19247	1.25806	1.1318	1.89354	1.83159	2.35383	2.40604	2.66763	1.82751	1.85577	1.36687	1.40409	1.01476	0.658736	0.578025	0.992104	1.58725	1.44628	1.00442	0.824248	1.08947	1.00786	1.23645	1.10351	1.74774	1.83818	0.608792	0.360334	0.658228
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	3.83649	9.16042	8.28728	11.9808	9.51976	10.1302	12.642	9.88979	3.02888	8.09888	9.14796	9.08703	10.5204	10.8295	6.00394	1.92402	6.47695	10.9642	12.4908	11.4979	10.6943	11.3124	6.51212	7.00604	5.03197	7.21256	7.70115	9.09506	10.1708	10.022	6.58734	7.20935	6.81915	5.74828	6.06395	0.321519
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.5571d7d7-4894-4e51-8082-c8a874cb2438.fc.signal	2.42481	4.88663	3.96247	5.73674	5.06046	6.72373	18.3958	19.1506	20.5166	23.1171	19.6197	28.8517	19.1236	18.5191	6.22016	0.89725	12.7958	26.7846	20.9902	28.3932	25.323	21.8681	18.6233	7.62546	12.5094	23.2274	21.455	21.3511	18.5618	17.6353	10.7572	11.6918	12.789	19.698	18.7459	0.153551
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	1.25249	3.76354	2.41131	2.53554	6.86933	8.71651	7.63305	6.79806	3.47032	5.25687	4.00243	9.21548	9.19713	4.3027	5.88365	5.32767	5.33786	7.56379	9.65946	8.36267	9.7871	11.7491	7.95848	5.30946	4.11106	4.88125	8.58007	6.97538	3.55215	4.03491	3.20909	5.15269	4.25758	3.8083	6.42086	0.725722
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003716.2.bdafba4d-384d-4886-a6c9-d1ddd966b153.fc.signal	3.04631	6.72543	6.67694	8.37869	9.17995	18.2311	15.478	8.56788	7.60153	9.56528	11.0137	11.8644	11.3124	9.86282	10.771	14.0843	7.93333	7.03476	7.01067	5.14667	3.01474	4.2767	6.35885	5.86002	5.51986	4.05989	3.37461	4.73246	3.12066	2.17745	1.70293	2.27525	2.9383	1.12449	2.73068	0.221951
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000250.2.a39935bf-2e13-411b-a0e6-5df09e4383e1.fc.signal	12.0447	17.1265	10.7834	11.2321	18.1891	17.4732	15.1088	9.58572	7.62288	14.5442	11.3329	13.057	8.22745	7.11329	10.859	13.907	4.25303	4.74052	4.48704	3.51383	2.67695	2.60735	0.584788	0.494025	0.80658	1.18473	1.83311	3.28378	3.10469	1.53898	1.19078	0.3372	2.45798	2.24698	0.732882	0.165289
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.a3034dad-cf3f-4b0e-b7ac-4dfa7b52d765.fc.signal	0.512654	0.360866	0.111993	0.478088	0.443227	0	0.355889	0.58983	0	0.0743075	0.236418	0.257856	0.545636	0.888679	0.618462	0.325747	0.57572	0.545722	0.148197	0.485431	0.902113	0.666557	0.314498	0.146763	0.753142	0.795084	1.18742	0.151813	0.176055	0.42951	0.5633	0.908266	0.141453	0.111608	0.304523	0.711864
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.fc509fae-cfc8-4cd1-b6e1-cb05b98526c1.fc.signal	0.94618	1.50962	1.61366	1.60383	2.29093	3.80254	3.68672	1.79031	2.70207	3.63846	2.46131	3.26661	3.42954	3.37459	2.38908	2.28892	1.74717	2.75031	3.10565	2.89752	1.42518	0.325502	1.50699	2.65623	3.28899	4.61528	5.38089	3.39813	1.86102	1.72555	1.77072	2.11229	0.895153	0.783261	0.587529	0.31068
