	chr6:25859296-25859355	chr6:25859356-25859445	chr6:25859446-25859525	chr6:25859526-25859595	chr6:25859596-25859745	chr6:25859746-25859795	chr6:25859796-25859895	chr6:25859896-25860045	chr6:25860046-25860095	chr6:25860096-25860195	chr6:25860196-25860345	chr6:25860346-25860415	chr6:25860416-25860495	chr6:25860496-25860645	chr6:25860646-25860795	chr6:25860796-25860945	chr6:25860946-25861095	chr6:25861096-25861245	chr6:25861246-25861395	chr6:25861396-25861545	chr6:25861546-25861695	chr6:25861696-25861845	chr6:25861846-25861995	chr6:25861996-25862145	chr6:25862146-25862295	chr6:25862296-25862445	chr6:25862446-25862525	chr6:25862526-25862595	chr6:25862596-25862745	chr6:25862746-25862815	chr6:25862816-25862895	chr6:25862896-25862965	chr6:25862966-25863045	chr6:25863046-25863195	chr6:25863196-25863345	chr6:25863346-25863495	chr6:25863496-25863645	chr6:25863646-25863795	chr6:25863796-25863945	chr6:25863946-25864095	chr6:25864096-25864245	chr6:25864246-25864305	chr6:25864306-25864395	chr6:25864396-25864529	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0.922069	0.51598	0.0707812	0.524799	1.0295	0.642625	0.411996	0.662769	0.921671	0.810676	0.571937	0.346186	0	0.551299	0.853636	1.50929	1.58193	0.847462	0.910796	1.84303	2.16619	0.882787	1.06741	1.02188	1.05887	1.37149	0.637068	1.85734	2.24708	1.12561	1.34739	1.55925	2.04103	3.50149	3.81454	3.10912	2.01818	3.21886	4.06789	3.28804	2.98114	2.58627	2.20326	2.37026	0.495402
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.e3fd041d-f794-414d-802b-cfe9e9d53c6e.fc.signal	1.22118	1.27323	1.60194	1.51868	0.465487	0.639394	1.68631	1.94364	0.913767	0.885716	1.10375	1.17467	0.792885	0.541811	1.08717	1.01776	1.16963	0.987698	0.704911	0.15685	0.715335	0.462452	0.896857	1.5284	0.555338	0.357298	0.479742	0.518092	0.933057	0.544167	0.371026	0.879308	1.0284	0.796156	2.4975	3.45632	3.96206	3.42503	3.80043	2.28851	1.34832	1.3466	1.64134	0.879328	0.368836
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.5571d7d7-4894-4e51-8082-c8a874cb2438.fc.signal	1.39135	1.4527	1.19967	1.31795	0.684454	0.703372	1.06215	1.05932	0.712933	0.494147	1.25975	1.60892	1.18344	1.15653	1.33524	1.33883	1.18437	1.44283	0.531513	0.380319	0.440339	0.270253	1.28434	1.04646	1.54711	0.964204	1.69441	1.93123	1.19245	0.854144	0.530875	0.098237	0.459138	0.994858	0.58545	1.36283	1.9171	2.61957	3.28462	3.38638	2.26317	1.35275	0.915669	1.4548	0.168274
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001901.1.bd86e759-1531-4112-8c3a-ef0446d756a3.fc.signal	0.648961	0.714102	0.953141	0.752474	0.76297	1.00599	0.844764	0.734343	1.10198	1.97476	2.50194	1.75609	1.36484	1.4618	1.31836	1.37708	0.83296	0.616509	0.362242	0.423133	0.533439	0.77884	0.601555	0.825135	0.967971	0.801185	1.17311	0.90466	0.715013	0.503066	0.23894	0.278868	0.860102	1.72764	1.86759	1.29459	2.5202	3.0839	2.5949	2.60627	2.42284	1.74669	1.11809	0.766857	0.272059
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001875.2.6632043e-47cf-4bfd-b8e1-020b2411b571.fc.signal	0	0	0.289628	0.637189	0.607996	0	0.637139	1.20605	0.393707	0.361211	1.66838	2.48579	1.05202	1.75219	0.509076	0.83443	0.195776	0	0	0.102626	0.889702	0.162241	0.410258	0	1.24232	1.5926	0.676822	0.189974	1.44503	1.08395	1.16189	0.916595	0	1.27134	1.03258	0.205717	1.8624	0.677139	1.73458	0.322987	1.24722	0.834677	1.46267	0.157042	0.388601
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003809.1.88fb2a51-3313-49d0-b432-b95b6b91fc4b.fc.signal	0.702142	0.944581	0.706145	0.59916	0.658917	1.07889	1.27498	0.81193	0.230285	0.421579	1.52179	1.43353	1.26647	1.01069	0.75732	1.42629	0.990247	1.0225	0.589559	0.946538	0.79732	1.00626	0.256416	0.332227	1.24867	1.12145	1.0388	1.12708	1.56708	1.0694	1.29902	2.27663	4.091	7.34198	9.87656	7.66651	8.08625	7.3587	7.4656	5.58733	5.86046	5.23528	3.06577	1.6812	0.462929
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001902.1.526cb17b-4947-475e-9954-5626d82b7161.fc.signal	0.751372	0.55091	0.457172	0.926682	1.10904	0.98451	0.737754	0.923249	0.831344	0.721224	1.93322	1.16601	1.02989	0.523529	0.841962	1.04576	0.462482	0.45673	0	0	0.281342	1.45689	1.33087	0.503548	0.14803	0.3407	0.620322	0.529529	0.0332951	0.877863	1.71598	1.10671	1.04662	1.26905	1.61606	1.62472	3.07215	5.05551	2.15101	1.60763	0.770575	0.914772	0.677244	0.50148	0.353427
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003811.1.705a3dcb-b728-43db-b37f-bbceaf83732a.fc.signal	0.298198	0.810658	0.826014	0.903814	0.732611	0.774	0.496692	0.156484	0.134712	0.258023	0.591175	0.682585	0.577861	0.601206	0.568271	1.22664	1.40153	0.878543	0.198649	0.370558	0.584307	1.03038	1.48482	0.759191	1.67093	1.17242	0.357611	0.872403	0.649719	0.153764	0.185142	0.642993	1.53917	4.66648	4.22549	3.66131	5.43223	6.00908	5.09643	3.24687	5.19583	4.70762	3.68266	2.24208	0.484396
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.6a6e5234-23fa-41fc-9f41-6ee555b180c8.fc.signal	0.06896	0	0.120478	1.0285	0.927674	0.981306	2.33206	2.12004	1.8363	0.253311	0	0	0.044778	1.83613	0.290788	0	0	0.0612096	0.788513	0.871836	0.732728	0.441295	0.938854	0.0070368	0	0	0.264676	1.13082	0.97706	0.889641	0	0	0.413583	0.799823	1.23285	3.00803	1.65093	2.00669	0.435848	1.63551	0.794351	2.04627	0.792003	0.349959	0.65687
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001878.2.e386caa6-13f2-44b9-82dc-f7880f6e8e17.fc.signal	2.54665	5.36006	1.96256	0.276946	1.79854	0.562999	0.0867222	1.01147	1.12144	1.91474	1.55321	2.40408	0.694446	0.334607	0.853717	1.86178	2.13021	2.02961	1.38446	0.387259	0	0	0	0.321924	0.236345	0.324608	1.69665	1.34878	1.43244	0.852426	0	0.640526	1.80731	3.17053	2.31786	2.06321	1.16663	1.81141	1.15172	2.65969	2.55498	1.63816	1.57264	1.04401	0.451515
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.15862055-4b77-42a2-9c80-a7361014730f.fc.signal	1.36653	1.38285	1.6803	1.40545	0.868515	0.980198	1.09675	1.62304	1.93265	1.71294	1.23089	1.40305	1.32306	1.11214	1.19538	1.51298	1.51168	1.74845	1.32914	1.19448	0.801377	0.895789	0.925438	0.855784	1.62034	1.80456	1.40971	1.53019	1.48646	0.989049	1.24936	1.20546	2.18529	3.24415	3.62889	2.91986	3.94415	4.77291	4.63106	6.00841	5.62406	3.56493	2.78781	2.34703	0.45
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003804.1.99f64bff-6a7f-4116-8a49-8ea2121e3dc6.fc.signal	0.9429	1.2497	0.578079	0.986202	2.06899	1.69946	1.41538	0.628556	0.208745	0.233902	0.487216	0.444599	1.24189	1.9622	1.61274	1.68409	1.37203	0.339863	0.866886	1.1698	1.35795	1.05149	1.11039	1.04829	1.70157	0.691287	0.674895	0.795735	1.26586	0.790753	1.03341	1.75721	2.79576	5.12445	5.69731	4.09461	4.55088	4.4153	2.74643	2.95347	2.89481	2.26084	2.62204	2.81072	0.453988
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001900.1.eba0146b-fc0a-4798-98b6-8f831ec2d14a.fc.signal	0.938118	0.561419	0.329209	0.466528	0.423721	0.620626	1.29277	1.33902	1.34116	1.71495	1.48035	0.859385	0.750025	0.94424	0.692304	1.32221	0.866442	0.205938	0.549171	1.37511	1.25695	1.24281	0.612639	1.02293	1.35515	1.09486	1.48073	2.12017	1.35462	0.425603	0.302914	0.495453	1.04055	1.71044	2.30058	1.74052	2.6287	4.26501	3.27888	1.28869	1.59945	1.49385	1.04381	0.514669	0.349246
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003813.1.0652445e-a604-4bf6-a647-b7142178f30a.fc.signal	0.71068	0.64112	0.691455	0.852815	0.841052	0.537968	0.476126	0.486064	0.452081	0.202764	0.172267	0.509655	0.783813	1.07784	1.0657	0.86348	0.611593	1.16137	1.61745	1.07244	0.461958	0.741438	1.74064	2.00705	1.56055	1.09821	1.20493	1.3012	0.614451	0.478131	0.542077	1.1489	1.63194	2.0935	2.63166	3.06459	4.79756	6.47195	4.76422	3.54796	2.59134	2.09804	1.40853	1.12586	0.540541
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003810.1.c695043f-867f-4d87-b518-a1edfe717a8b.fc.signal	1.34853	1.43067	1.11486	1.08519	1.38407	1.21996	1.20896	1.00803	0.799234	0.706004	0.878355	0.954269	1.2027	1.69611	1.32819	1.47007	1.78646	1.87059	1.44568	0.795716	1.07542	1.1111	0.940421	0.633496	1.34141	1.12029	0.439644	0.538097	0.595149	0.320015	0.75152	1.47489	3.19878	4.59255	4.13191	3.65362	3.51107	3.60993	2.30493	2.23166	4.24037	4.41213	3.94249	3.99092	0.563551
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003817.1.49aa2390-1029-4804-9d85-ae2b9507e615.fc.signal	0.813414	0.835253	0.752731	1.42351	1.38374	0.693805	0.709629	1.17888	1.39673	1.28041	1.8665	2.24926	2.23151	1.34035	0.690225	0.450224	0.517117	0.477323	0.260776	0.853419	1.95426	1.44344	0.74656	0.73621	0.706731	0.945544	1.13264	1.05165	1.01828	0.654288	0.668286	1.15925	2.59887	4.25173	5.23313	3.74143	4.80193	6.17442	5.16604	2.9698	3.20278	3.7243	3.30728	2.42013	0.495939
