	chr11:64651196-64651345	chr11:64651346-64651495	chr11:64651496-64651575	chr11:64651576-64651645	chr11:64651646-64651795	chr11:64651796-64651835	chr11:64651836-64651945	chr11:64651946-64652095	chr11:64652096-64652245	chr11:64652246-64652395	chr11:64652396-64652545	chr11:64652546-64652605	chr11:64652606-64652695	chr11:64652696-64652725	chr11:64652726-64652755	chr11:64652756-64652815	chr11:64652816-64652845	chr11:64652846-64652885	chr11:64652886-64652995	chr11:64652996-64653145	chr11:64653146-64653215	chr11:64653216-64653295	chr11:64653296-64653445	chr11:64653446-64653595	chr11:64653596-64653655	chr11:64653656-64653745	chr11:64653746-64653895	chr11:64653896-64654045	chr11:64654046-64654195	chr11:64654196-64654345	chr11:64654346-64654495	chr11:64654496-64654645	chr11:64654646-64654795	chr11:64654796-64654945	chr11:64654946-64655095	chr11:64655096-64655185	chr11:64655186-64655245	chr11:64655246-64655335	chr11:64655336-64655395	chr11:64655396-64655425	chr11:64655426-64655545	chr11:64655546-64655695	chr11:64655696-64655745	chr11:64655746-64655845	chr11:64655846-64655925	chr11:64655926-64655995	chr11:64655996-64656145	chr11:64656146-64656222	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0.729212	0.113199	0	0	0.381717	0.39488	0.161542	0	0.0710784	0.392094	0.121066	0	0	0	0	0	0	0	0.183081	0.363329	0.130939	0	0.223765	0.78976	0.4936	0	0.297476	0.308006	0	0	0.231871	0.321712	0.0579157	0.679194	0.997672	0.745884	0.467275	0.530894	0.39488	0.513344	0.861944	0.391648	0	0.025699	0.305168	0.34264	0.174874	0	0.570338
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0.21204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221376	0.32442	0.229257	0.32442	0.086512	0	0.0670468	0.304765	0.0410932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102606	0.330294	0.56899	0.34115	0.0532244	0.61165
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.cefd2162-5b9f-4732-99fc-718d82bca068.fc.signal	0.567016	0.672108	0.44556	0.274941	0.0494202	0	0.249673	0.539895	0.398978	0.602966	0.00369653	0.0106273	0.596859	0.580968	0	0	0.360438	0.417461	0.980798	0.635442	1.00715	0.433286	0.376308	0.283805	0.814083	0.0759199	0.284209	0	0.309805	0.609062	0.2671	0.428375	0.0531263	0.914904	1.96928	0.364528	0	0.53539	0.648735	0	0.933286	0.373608	0.66833	0.183483	0.46354	0.746555	0.449712	0.490147	0.470297
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.71f94e98-332b-4fcc-9a34-c0ad4b748586.fc.signal	0.282898	0.318323	0.209957	0	0	0	0.114761	0.138297	0.0858079	0.0685591	0.140791	0.218213	0.374256	0.333725	0.25706	0.140884	0	0	0	0.144489	0.190533	0.087864	0.125621	0.421896	0.2877	0.162969	0.00670973	0.0988931	0.440876	0.748848	0.123929	0.433774	0.362845	0.114243	0.210211	0.408653	0.423668	0.304346	0.231313	0.425936	0.483978	0.147509	0	0.0041622	0.249369	0.274469	0.236791	0.2877	0.357183
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.9365f108-a198-478a-b79f-ca1f34b9eba5.fc.signal	0.0694781	0.18053	0.114738	0.059203	0	0	0.0862344	0.284976	0.204268	0.180918	0.266061	0.141557	0.0218667	0	0	0.075477	0.241566	0.369282	0.464758	0.393111	0.383581	0.232353	0.175125	0.184302	0.140027	0.116519	0.142373	0.0755965	0	0.0420433	0.539431	0.670731	0.097678	0.265513	0.254935	0.0426854	0.0579443	0.0746678	0.101172	0.0912183	0.0805802	0.0560559	0.072159	0.0531521	0.0148676	0.164225	0.181221	0	0.332248
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.85fb694c-24ac-4a67-afb4-86273572ea8c.fc.signal	0	0	0	0	0	0	0.180499	0.180841	0.23814	0.225469	0.262139	0.136937	0	0	0	0	0.0175087	0.264317	0.260334	0.284527	0.23083	0.327723	0.232288	0.141505	0.269229	0.313407	0.112682	0.145031	0.0396205	0	0	0	0	0	0	0	0.205773	0.234874	0.24659	0.208691	0	0	0.195944	0.250537	0.250505	0.0215323	0.150951	0.243479	0.642009
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d8e6c755-45ac-4108-b1ba-23233bd0ab31.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202203	0.273471	0.244293	0.0211345	0	0	0	0	0	0	0.0188381	0.327552	0.0576157	0.0208927	0.438371	0.205091	0.0707646	0.32488	0.32578	0.00723956	0	0	0.231252	0.214061	0	0	0.17252	0.523387	0.464396	0	0.681737
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.e5051162-3534-4c21-b37a-9d70a53452b8.fc.signal	0.182896	0.208526	0.32417	0.31474	0.202584	0.196105	0.228634	0.379529	0.332714	0.166531	0.134504	0.2285	0.238242	0.253387	0.282034	0.321677	0.263372	0.263046	0.17995	0.207588	0.55942	0.774539	0.678522	0.483073	0.456014	0.561192	0.620593	0.415269	0.365625	0.269301	0.199122	0.14377	0.214849	0.425758	0.218786	0.129733	0.114624	0.114054	0.139256	0.297305	0.331036	0.288518	0.350529	0.36854	0.445167	0.292714	0.468513	0.342013	0.394829
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.1164241b-8ba2-45bf-987f-0243c87c0a1c.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125221	0.487923	0.457499	0.25045	0	0	0	0	0	0	0	0	0	0.0981867	0.421253	0.494448	0.120482	0	0	0	0.264903	0.35361	0.613734
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.48a0264b-6e25-46c0-b33d-21ee41282ecb.fc.signal	0.150033	0.311835	0.367202	0.170607	0.0281531	0	0.10269	0.165917	0.0356298	0.215715	0.0532115	0.216166	0.478453	0.652938	0.54307	0.585611	0.558651	0.389361	0.324402	0.333399	0.0957441	0.00271525	0	0	0	0	0.191649	0.241456	0.0498057	0.227377	0.329161	0.0433093	0.217062	0.27368	0.00289627	0	0	0	0	0	0.108808	0.228234	0.409138	0.761318	0.791347	0.253595	0.0658837	0.13221	0.309893
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.f6bea37b-7779-4621-9ed2-82fb7b23df8f.fc.signal	0.259936	0.555301	0.0278573	0	0	0	0	0	0	0.23865	0.186666	0	0	0	0	0	0	0	0	0.522284	0.602636	0.0886075	0.0945147	0.330801	0	0	0	0	0	0	0	0	0.0812747	0.0762673	0	0	0	0	0	0	0	0	0	0	0	0.0530614	0.234964	0.0482377	0.635066
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5433b540-f9ea-4edf-8a0e-cdc2c654fa20.fc.signal	0.441934	1.99553	0.377634	0	0	0	0	0.281854	0.451338	0.0409552	0.362394	0.666389	0.696183	0.523779	0	0	0	0.0147742	1.06593	0.867983	0	0	0	0	0	0	0	0	0	0	0	1.31717	2.27869	0.336943	1.85649	3.46345	2.45748	1.25976	0	0	0	0	0	0	0	0	0.424859	0.690238	0.518519
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.e95554aa-fb20-4b17-91ac-139d0399c1c8.fc.signal	0.0947865	0	0	0	0.177269	0.359605	0.257454	0	0.0546358	0.192206	0.1563	0.0471042	0	0	0	0	0.0766537	0.094534	0.219191	0.365513	0.33954	0.222033	0.0308681	0	0	0.0138282	0.163671	0.128679	0	0	0.345116	0.178764	0	0	0	0.0163717	0.20439	0.396412	0.390247	0.220794	0.0445579	0.14819	0.156584	0.0576466	0	0	0	0	0.471469
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.affdcac3-6070-43fc-99e1-6c9751bbcbf6.fc.signal	0.2044	0.105259	0.0612831	0.0318266	0.114773	0.217647	0.203966	0.122046	0.207346	0.124033	0.0929336	0.107265	0.193427	0.212626	0.247355	0.17784	0.132805	0.075514	0.0371285	0.0771107	0.15573	0.205261	0.175652	0.0969836	0.0799138	0.0759174	0.0603661	0.0139975	0.0592489	0.0780382	0.0497477	0.137652	0.0855625	0.0771737	0.126797	0.0808752	0.0743755	0.0869651	0.142816	0.160776	0.162538	0.162435	0.109942	0.150956	0.164992	0.157818	0.113704	0.119957	0.28167
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.982b1a46-0bf8-457b-a213-1cec9bf76346.fc.signal	0	0	0	0	0	0	0	0	0.181827	0.254445	0.0526959	0.228128	0.173508	0	0	0.0244797	0.335714	0.243389	0.287418	0.0019278	0	0	0.189716	0.226835	0	0	0.172551	0.276278	0	0	0.334638	0.49754	0	0.60968	0.492031	0	0	0	0	0	0	0	0	0	0	0	0	0	0.634347
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.fc38d8a2-8f66-4203-ae35-4bfe2174aadb.fc.signal	0.149708	0.296036	0.0605728	0	0.123271	0.193481	0.102773	0.0017702	0.00480513	0.0820947	0.209547	0.159365	0.031179	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0923075	0.105783	0.515364	0.245336	0.253432	0.236383	0.022425	0	0	0.046568	0.135358	0.151789	0.1776	0.133786	0.204621	0.0982674	0	0	0	0	0.1415	0.430798	0.303544
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.6e93a1e0-8828-4ce5-83f8-36249902bda2.fc.signal	0	0.0880765	0.146061	0.005702	0	0.120954	0.36815	0.134604	0.35168	0.0159496	0.307805	0.31216	0	0	0	0	0	0	0	0	0	0	0.0733914	0.363461	0	0	0	0	0	0	0	0	0	0	0	0.0513116	0.312068	0.290594	0.00498933	0	0	0	0	0	0	0	0	0	0.669014
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.f19b01fb-285f-4aa3-a654-49a7198b9c00.fc.signal	0.277272	0.158347	0.247796	0.228948	0.183631	0.164349	0.211404	0.119498	0.163138	0.110852	0.112335	0.155488	0.214267	0.19153	0.17776	0.222445	0.312269	0.548698	0.740976	0.664613	0.410868	0.398308	0.307887	0.206976	0.352413	0.341547	0.500842	0.510833	0.341099	0.221432	0.146091	0.293975	0.306264	0.301178	0.273424	0.15017	0.174501	0.317113	0.355735	0.313408	0.231889	0.223425	0.185016	0.0754421	0.0506937	0.272041	0.618985	0.453905	0.340349
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.c19bd00a-5c6a-4173-86bf-6f467b56a6c8.fc.signal	0.521105	0.346049	0.02718	0	0	0	0.114534	0.368399	0.184354	0.237428	0.0253097	0	0.0981988	0.204619	0.279028	0.266023	0.185585	0.220084	0.12625	0.0384811	0	0	0	0	0	0.0710722	0.13315	0.218351	0.660996	0.157761	0.0658116	0	0	0.0537349	0.183521	0.291432	0.378421	0.288877	0.376629	0.607042	0.694548	0.643693	0.453056	0.224396	0.0801384	0	0	0	0.341514
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001335.1.6d13e882-b47b-453b-9f9b-154094e4f3fb.fc.signal	0.588027	0.113587	0	0	0	0	1.07851	1.01808	0.493115	0.221734	0	0	0.918519	1.26209	1.26209	1.26209	0.79932	0.331296	0.246679	1.22423	0.82937	0.031552	0.0673113	1.26209	1.19899	0.329543	1.1485	0.462764	0	0.112363	0.524409	0.063104	0	0	1.0265	1.24807	0.399659	0.63104	1.67227	1.89313	1.24601	0.130415	0.542694	0.63104	0.717809	0.63104	0.530074	0	0.323308
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.bb047498-09b9-4c13-b396-ee9ca79dcf59.fc.signal	0	0	0	0	0	0	0	0.129389	0.275376	0	0	0.0419195	0.168347	0.207425	0.217768	0	0	0	0	0	0	0.074156	0.677375	0.0926135	0	0.530978	0.209606	0	0	0	0	0	0	0	0	0.0485737	0.0763525	0.0880987	0	0	0	0	0	0	0	0	0	0.228648	0.639747
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.1c43239d-dfc1-4ee8-9404-c3dda7976cff.fc.signal	0.273416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140103	0.62268	0.394364	0.288599	0	0	0	0	0	0	0	0	0	0	0	0.1854	0.331137	0	0	0	0	0	0	0	0.130292	0.441934	0.13336	0.0975297	0.27444	0.231491	0	0.13253
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001458.1.d8ccd9dc-ebec-442c-9398-5b7d4cc7bd17.fc.signal	0.896318	0.640248	0.364955	0.193231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246103	0.238734	0	0	0	0	0	0.0952218	0.534848	0.28518	0	0	0	0.216921	0.238568	0	0.0285237	0.392428	0.36468	0.211712	0	0	0.289235	1.00875	0.849101	0.309144	0	0	0.00364667	0.458216	0.4851
