	chr9:143602-143751	chr9:143752-143901	chr9:143902-144051	chr9:144052-144121	chr9:144122-144201	chr9:144202-144351	chr9:144352-144441	chr9:144442-144501	chr9:144502-144611	chr9:144612-144651	chr9:144652-144701	chr9:144702-144801	chr9:144802-144951	chr9:144952-145081	chr9:145082-145101	chr9:145102-145181	chr9:145182-145251	chr9:145252-145371	chr9:145372-145401	chr9:145402-145521	chr9:145522-145551	chr9:145552-145701	chr9:145702-145781	chr9:145782-145851	chr9:145852-145901	chr9:145902-145961	chr9:145962-146001	chr9:146002-146151	chr9:146152-146301	chr9:146302-146401	chr9:146402-146451	chr9:146452-146601	chr9:146602-146751	chr9:146752-146851	chr9:146852-146901	chr9:146902-147051	chr9:147052-147151	chr9:147152-147201	chr9:147202-147281	chr9:147282-147351	chr9:147352-147461	chr9:147462-147501	chr9:147502-147601	chr9:147602-147651	chr9:147652-147801	chr9:147802-147951	chr9:147952-148011	chr9:148012-148051	chr9:148052-148101	chr9:148102-148151	chr9:148152-148251	chr9:148252-148281	chr9:148282-148321	chr9:148322-148401	chr9:148402-148501	chr9:148502-148551	chr9:148552-148601	chr9:148602-148658	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.35530d7a-23e1-468e-978a-d33955937d72.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0611861	0.227711	0.129694	0	0	0	0	0	0	0	0	0.12551	0.145583	0.306132	0	0	0	0.0585713	0.422861	0.88091	1.28237	1.91101	1.27239	0.272897	0.103994	0.190547	0.12551	0.0439285	0.393983	0.880056	1.28743	1.73997	0.765401	0.203283	0	0	0	0	0	0	0	0	0	0.945912
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.b3b3b801-4bf3-4e6f-974d-5cca823d1b91.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142554	0.153876	0.930668	1.30417	0.91111	0.451305	0.130096	0.121535	0	0	0.007378	0.271759	1.76174	1.90112	1.16653	0.391015	0	0	0	0	0	0	0	0	0	0.907489
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.293638	0.912979	0.941655	0.374663	0.0474712	0	0	0	0.0430406	0.379725	1.05474	1.23024	0.518942	0.132919	0	0	0	0	0	0	0	0	0	0	0.948633
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00483767	0.404267	0.651027	0.584407	0.356879	0.430422	0.478747	1.34623	3.18567	2.14699	0.812385	0.0783494	0.689581	0.715224	0.670243	1.30271	0.918297	0.272779	0.125175	0	0	0.0108847	0.277093	1.01258	2.38007	1.8975	1.11702	0.515016	0.087078	0	0	0	0.0653085	0.368157	0.55851	0.374313	0.14513	0.0458282	0.895775
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	0	0	0	0	0	0	0	0.261893	1.04206	0.089277	0	0	0	0	0	0	0	0	0	0	0.035724	0.247626	0.707552	0.410674	0.17862	0.363054	1.59359	1.18321	3.49736	3.93003	0.510643	0.0035724	0.0999979	0.676708	2.18914	2.22716	3.40684	1.21773	0.120568	0	0	0	0.0428622	0.396316	1.03919	2.34387	3.23485	0.8303	0	0	0	0	0.406195	0.861486	0.487437	0	0	0	0.651141
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40396
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.e6af9ec0-8b4b-4624-8b3a-51f86f371f0f.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162452	0.17909	0.205937	0.179836	0.262614	0.302632	0.377198	0.222557	0.368895	0.301437	0.35819	0.498416	0.64046	0.804876	0.522907	0.185639	0.418417	0.601678	0.934726	1.30297	0.671495	0.295463	0.248445	0.240455	0.12776	0.299943	0.580163	1.43788	1.93209	1.95836	1.41759	0.660298	0.12351	0.08948	0.0662152	0.08948	0.08948	0.076058	0	0.0590776	0.17909	0.256033	0.18808
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000043.3.8d5b3081-225e-438e-b618-c17adc495516.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442028	0.96093	0.0192186	0	0.0448434	0.96093	0.96093	0.0832806	0	0	0	0	0	0	0	0.980149	2.29258	0.461246	0	0	0	0	0	0	0	0	0	0	0	0	0.546667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001959.2.69eb8040-32c4-4c18-85e7-a74953df6c51.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227737	0.34076	0	0	0.0364467	0.27335	0	0	0.21868	0.136675	0	0	0	0	0	0.44546	1.44296	1.98048	0.648616	0	0	0	0	0	0	0	0	0	0	0	0	0.489506
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000060.3.baf1b6b5-96f6-42d1-907a-07181459fd3c.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442338	1.39835	0.585172	0	0	0	0	0	0	0	0	0	0	0	0	0.329222
