	chr9:143602-143751	chr9:143752-143901	chr9:143902-144051	chr9:144052-144201	chr9:144202-144351	chr9:144352-144411	chr9:144412-144501	chr9:144502-144591	chr9:144592-144651	chr9:144652-144721	chr9:144722-144801	chr9:144802-144951	chr9:144952-145041	chr9:145042-145101	chr9:145102-145151	chr9:145152-145251	chr9:145252-145291	chr9:145292-145401	chr9:145402-145551	chr9:145552-145601	chr9:145602-145701	chr9:145702-145801	chr9:145802-145851	chr9:145852-145891	chr9:145892-145961	chr9:145962-146001	chr9:146002-146061	chr9:146062-146151	chr9:146152-146301	chr9:146302-146391	chr9:146392-146421	chr9:146422-146451	chr9:146452-146491	chr9:146492-146571	chr9:146572-146601	chr9:146602-146631	chr9:146632-146751	chr9:146752-146851	chr9:146852-146901	chr9:146902-147051	chr9:147052-147171	chr9:147172-147201	chr9:147202-147261	chr9:147262-147351	chr9:147352-147481	chr9:147482-147501	chr9:147502-147591	chr9:147592-147651	chr9:147652-147801	chr9:147802-147951	chr9:147952-148031	chr9:148032-148101	chr9:148102-148131	chr9:148132-148251	chr9:148252-148281	chr9:148282-148401	chr9:148402-148501	chr9:148502-148551	chr9:148552-148658	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208193	0.27759	0.481196	0.772759	0.299797	0.27759	0.914344	0.476572	0	0	0	0	0	0	0	0.129542	0.323855	0.260241	0	0	0	0	0	0	0	0	0.758621
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.338694	0.544329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.423367	0.60481	0.169347	0	0	0	0	0	0	0	0	0	0	0.365805
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738449	0.527461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102545	0.43948	0.290057	0.779464	0.516451	0	0	0	0	0	0	0	0	0.591003
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.394091	0.417274	0	0	0.587404
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289845	0.57969	0.19323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.559251
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277559	0.306315	0.18754	0.0687647	0	0	0	0	0	0	0	0	0	0	0	0	0.00432785	0.356326	0.37508	0.37508	0.0862684	0	0	0	0	0	0	0	0	0	0	0.150586
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.351473	0.300134	0	0	0	0	0	0	0	0	0	0.540629
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0322011	0.10745	0.205892	0.0314504	0	0	0	0	0	0	0	0.31227	0.459329	0.243097	0.040836	0	0	0	0	0	0	0	0.925483
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05567	0.293195	0.44536	0.105402	0	0	0	0	0	0	0	0.05567	0.407504	0.472101	0.439422	0.120618	0	0	0	0	0	0.103917	0.605062	0.873066	0.580536	0.43701	0.0604417	0	0	0	0	0	0	0	0.550725
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.70472333-cf93-4f75-9795-a7c0cfbd4b2b.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328343	0.382536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0557865	0.694868	0.398456	0	0	0	0	0	0	0	0	0	0.187625
