	chr9:12695951-12696100	chr9:12696101-12696250	chr9:12696251-12696400	chr9:12696401-12696550	chr9:12696551-12696700	chr9:12696701-12696760	chr9:12696761-12696850	chr9:12696851-12697000	chr9:12697001-12697050	chr9:12697051-12697150	chr9:12697151-12697300	chr9:12697301-12697340	chr9:12697341-12697450	chr9:12697451-12697600	chr9:12697601-12697650	chr9:12697651-12697750	chr9:12697751-12697900	chr9:12697901-12698050	chr9:12698051-12698200	chr9:12698201-12698350	chr9:12698351-12698500	chr9:12698501-12698650	chr9:12698651-12698800	chr9:12698801-12698950	chr9:12698951-12699100	chr9:12699101-12699180	chr9:12699181-12699250	chr9:12699251-12699400	chr9:12699401-12699480	chr9:12699481-12699550	chr9:12699551-12699640	chr9:12699641-12699700	chr9:12699701-12699850	chr9:12699851-12700000	chr9:12700001-12700150	chr9:12700151-12700300	chr9:12700301-12700450	chr9:12700451-12700600	chr9:12700601-12700750	chr9:12700751-12700900	chr9:12700901-12701050	chr9:12701051-12701155	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.e1095ee8-c1a0-47db-b726-788ab3dbb842.fc.signal	1.11722	0.577417	0.980738	1.23568	0.864379	0.777896	0.735605	0.623927	0.909612	0.963854	0.883556	1.6572	1.94531	1.53438	1.74006	2.04381	2.42491	3.49306	3.18581	2.97456	1.29411	1.36485	2.39717	3.53306	2.75178	2.20696	2.40048	2.88842	1.97272	1.07873	1.10081	0.870239	1.05604	1.64347	1.07974	1.02926	0.627074	0.450469	1.25453	2.13967	2.24628	1.9224	0.5
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000957.7.e974118a-1765-49cc-99dd-3d99dcd758cf.fc.signal	0.800534	5.33785	2.51737	0.353578	0	0	0	0	0.11365	1.34496	4.73168	3.18881	2.68577	3.13199	0.934583	0.883886	4.00921	1.72596	0.618786	4.20124	3.8012	4.66798	2.42056	1.49939	0.770335	2.13901	3.17257	2.76945	0.783179	0	0	0.157847	2.60296	1.72803	0	0	0.766137	1.77124	0.522023	0	0.340985	1.22086	0.631336
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004713.2.73d0436f-3c8c-4e5c-a1fe-dc4d41b2902f.fc.signal	36.0683	34.8823	21.3184	21.4186	16.8257	21.4483	19.3446	20.1686	19.711	22.1334	18.466	18.7566	24.0956	37.2484	36.0602	39.4371	38.5491	36.1242	37.6949	36.6551	40.3003	37.9651	31.8194	25.8871	15.5528	13.4971	15.1405	13.4844	9.10266	7.38486	7.29041	5.22351	9.44896	16.6518	13.8043	18.943	23.0521	27.3456	28.3496	28.6541	28.2248	33.3659	0.883181
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000943.7.e73b84a4-42ef-4b6b-83f9-72b6584af2ee.fc.signal	0.170355	0.322131	0.399096	0.187463	0	0	0	0.141461	0.146437	0.168293	0.717147	0.63689	0.654204	0.730509	0.433517	1.10286	1.21797	1.00483	0.558986	0.988574	0.994139	1.52604	0.515696	1.1195	0.728624	0.845837	0.799179	0.483423	0.106807	0.033524	0.277906	0.67224	1.32229	0.598046	0	1.11475	1.18147	0.787549	0.27918	0.573932	0.561793	1.59933	0.55578
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.483aa0c8-5543-4e25-b16f-2f222c5a2d5b.fc.signal	0.417814	0.818672	0.532866	0.222108	0.420217	0.53092	0.677677	0.543951	0.311235	0.159335	1.08224	0.94114	1.23371	0.686042	0.334858	0.941952	0.321315	0.1963	1.31938	1.04893	0.874055	0.263751	0.845864	0.472552	1.00636	0.626656	0.37955	0.045546	0.03163	0.585844	1.02177	0.634783	0.386277	0.24646	0	0.0590427	0.478236	1.09958	1.14225	0.278226	0.43574	0.512004	0.684848
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.6a6e5234-23fa-41fc-9f41-6ee555b180c8.fc.signal	1.37389	2.17338	1.92001	1.13669	0.526813	2.05872	0.968519	1.84801	0.612202	0.850085	3.31363	3.1429	0.0452822	0.273595	1.27948	4.00873	3.34701	1.77111	3.271	3.15204	3.32844	1.77227	1.72121	5.1279	2.01089	1.73514	3.24774	1.97195	1.17056	0.0800803	0.97529	2.34731	3.32711	1.25183	0.12503	0.621125	1.17784	1.39839	1.41905	0.927357	1.54951	3.53354	0.423154
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004664.3.88322dc5-ffd0-48cb-8071-68d28d8e1eea.fc.signal	3.04444	3.14386	2.68542	2.21557	1.3283	1.08158	0.786065	0.467864	0.358361	0.829404	1.47697	1.94523	1.09954	0.653765	0.542403	0.844794	1.39583	2.26462	3.16324	2.80336	3.46485	3.35139	2.88122	3.09798	2.11133	1.35289	2.10399	2.14059	1.39595	0.524113	0.278203	0	0.595664	1.03545	0.310667	0.298348	0.881168	0.926763	0.464878	0.341628	0.515893	1.25445	0.427921
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.654f15ab-b67f-4220-9161-30be6d438771.fc.signal	0.167482	0.441563	0.0447633	0.681183	1.60744	1.75456	0.555026	1.21979	0.45347	0.0447464	0	0	0.596673	1.15177	0.318204	0.422441	0.716814	0.122017	1.31989	3.60791	2.05591	2.35107	2.16134	2.28542	0.816552	0.830067	0.0530177	0	0.21738	0.755315	0.478979	0.233589	0.86382	1.52341	1.18168	0.0602395	0.453687	0.231159	0.821516	0.867731	0.203053	0.158808	0.591928
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.672aeb75-b003-40bb-88b0-79458561e736.fc.signal	0.979793	0.951864	1.18094	1.38522	0.778001	1.10098	0.861563	0.433152	1.20684	3.5703	2.17041	0.455136	0.455678	0.979861	1.06456	1.27185	0.539447	0.20993	1.23669	1.48438	1.07744	0.712423	0.527213	1.34971	0.670688	1.2961	1.92163	1.65724	0.412981	0	0	0.364195	0.362502	0.421475	1.12176	1.12695	0.542596	0.629201	0.158623	1.4762	1.61438	0.449971	0.32716
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000980.8.339aed23-3831-43ff-b152-c5545f91df38.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3136	1.33211	0	0	0	0	0	0.628871	5.32835	1.07309	0	0	0.555044	6.85842	1.49192	0	0	0	0	1.75741	0	0	0	0	0	0	0	0	0	0.570815
