	chr22:35063962-35064111	chr22:35064112-35064261	chr22:35064262-35064321	chr22:35064322-35064411	chr22:35064412-35064461	chr22:35064462-35064561	chr22:35064562-35064711	chr22:35064712-35064861	chr22:35064862-35065011	chr22:35065012-35065161	chr22:35065162-35065311	chr22:35065312-35065461	chr22:35065462-35065611	chr22:35065612-35065761	chr22:35065762-35065911	chr22:35065912-35066061	chr22:35066062-35066141	chr22:35066142-35066211	chr22:35066212-35066361	chr22:35066362-35066511	chr22:35066512-35066661	chr22:35066662-35066811	chr22:35066812-35066961	chr22:35066962-35067111	chr22:35067112-35067261	chr22:35067262-35067411	chr22:35067412-35067561	chr22:35067562-35067711	chr22:35067712-35067861	chr22:35067862-35068011	chr22:35068012-35068161	chr22:35068162-35068311	chr22:35068312-35068461	chr22:35068462-35068611	chr22:35068612-35068761	chr22:35068762-35068911	chr22:35068912-35069061	chr22:35069062-35069211	chr22:35069212-35069252	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003401.1.342281be-4e86-4e27-9e01-e85aacc54324.fc.signal	0.0235932	0.593578	0.599039	0.288361	0	0	0.144196	0.499422	0.413513	0.981889	1.1056	0.855247	1.74513	2.82316	1.66389	1.72103	2.46176	5.02497	9.94752	16.6202	18.2099	16.5911	12.473	11.975	17.0856	12.5219	14.493	16.4084	12.4849	11.4761	8.2039	10.4119	9.28084	7.90129	11.1362	8.58798	4.02664	4.83168	6.1829	0.426024
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.705d0a23-5da9-44fc-b8a6-299bfe826407.fc.signal	0.176225	0.387303	0	0	0	0	0.807973	0.455696	0.735281	0.339172	0.0617551	1.03853	2.4091	1.21249	1.75485	2.0467	1.53027	3.3678	4.52359	5.42947	5.13706	4.73329	4.65755	9.51078	7.77025	7.69712	5.03269	3.29866	8.06844	6.79901	6.31264	6.83409	7.34136	3.21518	5.02759	5.35137	1.97619	0.163	0	0.745475
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001016.4.09447dfd-b5f7-40f0-a631-e697e858aafa.fc.signal	0.307449	0.653097	0.118539	0	0.360575	0.762465	1.62749	0.961618	2.06689	3.03348	3.63174	4.19943	4.49537	5.75813	5.82141	8.60592	11.4208	20.7596	23.7182	24.5315	29.9745	28.8489	27.4089	37.1109	30.125	37.5647	46.4299	26.8263	28.4595	29.0286	31.2708	26.8856	22.1861	17.2263	17.9755	23.6025	24.5813	13.5896	9.56626	0.597549
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.08666978-1909-4d2b-9188-2fa56b97d68c.fc.signal	0.0296048	0.43543	0.377961	0.0739758	0.352557	1.33205	2.10926	1.13943	0.950013	1.06684	0.882121	1.83485	3.94821	5.77865	4.43473	5.4544	8.92313	13.251	17.9372	24.9348	32.6316	32.045	24.7162	22.7094	26.4759	36.477	39.7825	35.5031	39.7061	43.7336	32.5426	29.4893	32.9658	30.5867	36.4237	37.1805	31.0314	19.1313	10.4898	0.757698
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.2bbf1d92-dd54-451c-865f-3578546b9653.fc.signal	0.541374	0.569678	0.239081	0.279837	0.263396	0.655228	0.867268	0.54466	0.174241	0.614503	0.326849	0.407833	1.95125	1.29063	0.994126	1.5646	1.37157	1.47357	2.08726	2.33633	1.47266	0.800117	0.97636	0.893589	1.50073	0.830231	1.01049	0.558969	1.27437	1.6839	1.18798	0.49967	0.552916	0.566856	0.384668	0.447271	0.342726	0.0704132	0.302639	0.79096
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001012.4.4385ecaa-47ed-48e3-8af5-20303d73a7da.fc.signal	0.485891	0.184105	0	0	0	0.245351	0.475822	0.368666	0.503536	0.723771	0.868298	2.4838	3.61874	3.48338	1.39564	1.77286	4.23925	6.62773	8.52683	12.3908	13.5243	17.9978	16.8322	13.5655	11.3302	16.3605	20.1543	16.9419	19.5911	13.4018	19.2097	26.7174	23.6953	17.6591	22.8418	24.714	14.1002	8.72634	7.52312	0.826174
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003400.1.1fc96c71-e7b0-4c32-a9b8-85db9118188b.fc.signal	0.388505	1.47233	0.715661	0	0.168701	2.1241	2.99065	1.77141	0.649208	0.725885	0.654319	1.02251	0.350535	2.30468	5.02582	2.57109	4.26456	9.28385	8.02734	6.50795	8.20553	7.92555	8.69112	8.23597	7.66108	8.36112	4.40321	5.00401	7.77851	10.6538	10.6494	10.2915	3.7503	4.9098	11.7673	11.3922	9.15597	4.14643	4.95633	0.468918
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001003.4.6289626c-b595-49fa-9fe0-13e3753945d1.fc.signal	0.0999318	0.388869	0.23035	0.0559949	0	0.0522116	0.597745	0.743033	1.42573	1.44376	1.45674	3.1806	6.11941	5.77432	4.63591	5.11739	7.71448	11.7613	14.5902	21.5053	24.5311	32.617	24.4814	29.3232	33.4156	23.2245	19.39	19.1574	25.1227	29.0402	33.7254	35.2159	27.5242	19.4943	19.2477	15.1122	11.6139	7.53388	5.55414	0.746677
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001005.4.cf41af99-54a7-4e74-bcdf-17ae51ba9812.fc.signal	0.272098	0.172736	0	0.00795244	0.179416	0.316479	0.669609	0.358797	0.364523	0.965155	1.16271	3.65322	4.29607	3.90062	4.15167	5.40455	7.23902	9.20161	13.8815	20.7436	27.3899	24.0335	26.5832	28.5481	31.8203	29.2845	25.9308	23.4094	29.119	35.6528	27.2408	26.1195	25.1404	19.0295	26.7145	22.7986	13.8781	9.50803	8.85232	0.742813
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003404.1.23508f0c-a4f9-4134-8818-79f90321c313.fc.signal	0.382009	1.9024	0.608857	0	0.262143	0.688967	0.227889	0.379697	0.175769	0.68674	2.34423	2.83106	6.04803	4.41905	2.54603	3.92451	5.61771	7.35684	10.4901	23.8411	23.5878	16.9862	13.7232	15.8421	15.9231	16.312	12.6597	14.3605	18.6298	22.904	16.264	13.8582	17.1389	13.4728	11.5795	19.1523	17.7678	19.4057	13.073	0.520487
