	chr19:40219972-40220041	chr19:40220042-40220121	chr19:40220122-40220211	chr19:40220212-40220271	chr19:40220272-40220421	chr19:40220422-40220571	chr19:40220572-40220721	chr19:40220722-40220871	chr19:40220872-40221021	chr19:40221022-40221171	chr19:40221172-40221321	chr19:40221322-40221471	chr19:40221472-40221621	chr19:40221622-40221701	chr19:40221702-40221771	chr19:40221772-40221821	chr19:40221822-40221921	chr19:40221922-40222001	chr19:40222002-40222031	chr19:40222032-40222071	chr19:40222072-40222201	chr19:40222202-40222221	chr19:40222222-40222331	chr19:40222332-40222371	chr19:40222372-40222521	chr19:40222522-40222671	chr19:40222672-40222821	chr19:40222822-40222971	chr19:40222972-40223121	chr19:40223122-40223271	chr19:40223272-40223371	chr19:40223372-40223421	chr19:40223422-40223571	chr19:40223572-40223721	chr19:40223722-40223791	chr19:40223792-40223871	chr19:40223872-40224021	chr19:40224022-40224171	chr19:40224172-40224241	chr19:40224242-40224321	chr19:40224322-40224401	chr19:40224402-40224471	chr19:40224472-40224531	chr19:40224532-40224621	chr19:40224622-40224771	chr19:40224772-40224921	chr19:40224922-40225011	chr19:40225012-40225071	chr19:40225072-40225221	chr19:40225222-40225371	chr19:40225372-40225451	chr19:40225452-40225521	chr19:40225522-40225652	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.b5459224-ca8f-46dd-880a-e16781c88032.fc.signal	1.53816	1.10354	1.37541	0.819892	0.477794	0.212143	0.303734	0.299516	0.00843707	0	0.0506224	0.453016	1.78849	0.932007	1.9895	1.9548	4.78037	4.74139	0.558948	0	0.0535429	0.31639	0.296256	0	0.242566	0.487234	0.187722	0	0.645426	0.812044	0.423959	0.284751	0.118119	1.2169	0.718645	0.818649	0.381775	0.565276	0.00903971	0	0.106782	0.501698	0.569494	0.15468	0	0	0	0	0.345918	0.60957	0.7791	0.854243	0.864071	0.48125
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.440b0def-8afc-49ae-ab48-eb6e55baaba4.fc.signal	0.730974	0.833478	0.838078	0.715988	1.21106	0.797206	0.350672	0.331821	0	0	0	0	0	0.0800084	0.793545	1.42217	1.55861	0.618037	0.64379	0.366309	0.606026	0.496016	0.723401	0.86952	0.362245	0.682657	2.46016	2.10966	1.46308	1.61205	1.25892	0.48781	0	0.327718	0.804378	1.21764	0.78452	0.529224	0.526339	0.783775	0.811336	1.33805	1.06301	0.558104	0.689066	1.71116	1.66706	1.43946	0.659517	1.07581	1.31687	0.9342	0.132455	0.901961
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.867f20aa-cd84-4630-be8b-4d90cccd43d7.fc.signal	3.69373	1.93363	1.41868	0.481242	0.408109	0.0163811	0	0.279844	0.539244	0	0.543689	1.28724	0.212939	0.263648	1.86618	2.43662	9.80447	10.3812	2.98944	0.542616	0.619024	0.808869	0.255035	0	0	0	0.208794	1.25938	0.40134	0	0.376721	0.737182	0.705773	0.324851	0.631846	0.396679	0.330317	0.406784	0.9723	0.801169	0.358307	0.40947	0.143334	0	0.189736	0.693487	0.837263	0.484571	0.111939	0.974666	0.813909	0.377301	1.25041	0.407654
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003660.4.f57dabc7-264e-43f4-83fd-08369e826dea.fc.signal	0.852814	0.8599	0.528917	0.704725	1.46194	0.773519	0.361769	0.634024	0.397959	0.536092	0.25049	0.415702	0.33132	0.0660189	0.521993	0.706801	0.576298	1.40916	1.07149	0.557603	0	0	0.279036	0.818919	0.509471	0.295143	0.566865	0.746053	0.762609	0.42615	0.891618	2.06445	1.13009	0.390793	0.62301	0.0820924	0	0.306811	1.0941	1.03225	0.606841	1.32987	1.30356	1.07051	0.856058	0.245971	0	0.064794	0.816098	0.354685	0.189579	0.653303	1.65822	0.915033
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003695.3.976830f0-f131-4dc5-bdfd-64d83fdc4635.fc.signal	0.437764	0.63763	0.329059	0.520423	0.595562	0.260344	0.198274	0.255932	0.257334	0	0.0196895	0.987341	0.412822	0.830723	0.768572	0.831254	1.82594	2.44419	0.87903	0.348041	0.212553	0.21093	0.0613615	0	0.0056248	0.21093	0.27984	0.178591	0	0	0	0	0	0.21937	0.55757	0.564362	0.371244	0.817186	0.789664	0.835997	0.915099	0.509301	0.224993	0.00234367	0	0.168747	0.393745	0.112496	0	0.116717	0.42187	0.232028	0	0.627273
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001015.4.9280a4bd-15d9-4bff-baed-11156e36abac.fc.signal	5.31139	4.01778	4.93419	5.49326	4.37622	4.79013	3.89758	2.71328	1.73597	1.39563	1.55279	1.19011	2.63716	2.16461	1.07034	0.749538	0.211638	0.193773	0.0794187	0	0	0	0.34869	1.81093	2.14634	1.13812	3.23404	3.35937	5.3684	7.21609	3.64332	3.73427	5.5311	8.09267	6.44252	3.04095	1.45772	4.31246	4.16968	6.38259	7.1186	4.6332	4.1498	6.16676	9.42232	8.84938	2.86847	2.59737	2.70089	2.32963	2.52198	2.77245	2.38031	0.917832
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003696.3.61e7591e-7d42-4bac-a82f-41dc0577b027.fc.signal	0.344615	0.134612	0.272583	0.300148	0.0799302	0.287616	0.137265	0.166436	0.436044	0.200713	0.258766	0.272754	0.497171	0.314983	0.356576	0.52552	1.11668	1.09754	0.401455	0.268266	0.410963	0.076664	0.232915	0.4379	0.149854	0.0773565	0.339739	0.290156	0.129888	0	0	0	0.0788544	0.227794	0.259685	0.273755	0.597029	0.448169	0.21904	0.057498	0	0.103262	0.21904	0.343061	0.52262	0.494882	0.734763	0.39048	0.690501	0.200032	0.120441	0.4379	0.309257	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.9d98dd69-4d9c-4c81-bc8f-9c0f23e13a7b.fc.signal	0.275295	0.287391	0.699646	0.716887	0.382108	0.181168	0	0.12178	0.192492	0	0	0.0622097	0.201472	0	0.22997	0.26189	0.549684	0.58927	0.608912	0.58927	0.466883	0.235704	0.846401	0.839705	0.371236	0.533717	0.0538437	0	0.679752	0.522482	0.0648186	0	0	0.32017	0.58927	0.0626095	0.341777	0.286778	0	0.235704	0.29463	0.067344	0	0.121126	0.241597	0.009821	0.29463	0.29463	0.0746396	0.273024	0.29463	0.286212	0.553281	0.697143
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003685.2.cb8ce07d-5bf2-4abf-a883-851526414fcb.fc.signal	0	0	0.100514	0.195275	0.2243	0.0207497	0.172627	0.0781251	0.105145	0.145948	0	0.773831	0.5536	0.421338	0.616448	0.513196	1.32909	2.0016	0.690645	0	0.0669985	0.2354	0.22042	0	0.233831	0.265219	0.120839	0.412762	0.536777	0.634139	0.254233	0.2354	0.0596347	0.459894	0.54152	0.076505	0	0.174198	0.47081	0.288367	0.47081	0.406913	0.0392333	0	0	0	0	0	0.131825	0.568192	0.170665	0.652551	0.894884	0.544262
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001021.4.fe2297ab-7a22-4ba1-b2e8-9748d9ff6f48.fc.signal	2.40603	0.929377	1.94816	3.29233	3.69388	2.18876	1.10102	0.633376	1.41993	2.21796	1.84391	1.7609	1.10011	1.45794	1.74543	1.96189	1.96445	1.53474	0.650029	0.43927	0.531786	1.85989	2.9786	3.73713	4.25069	2.81694	4.23407	5.44158	6.8713	3.77083	1.44933	1.96985	3.1227	4.98989	6.97522	5.03446	2.88842	3.96055	5.1629	6.54613	6.99684	5.90512	5.8307	9.12051	9.01597	7.07983	5.70528	3.22764	3.99404	4.43114	4.46323	3.6985	3.08761	1
