	chr16:31459695-31459744	chr16:31459745-31459794	chr16:31459795-31459844	chr16:31459845-31459994	chr16:31459995-31460144	chr16:31460145-31460294	chr16:31460295-31460444	chr16:31460445-31460594	chr16:31460595-31460744	chr16:31460745-31460894	chr16:31460895-31461044	chr16:31461045-31461194	chr16:31461195-31461344	chr16:31461345-31461494	chr16:31461495-31461644	chr16:31461645-31461794	chr16:31461795-31461944	chr16:31461945-31462094	chr16:31462095-31462244	chr16:31462245-31462394	chr16:31462395-31462544	chr16:31462545-31462694	chr16:31462695-31462844	chr16:31462845-31462994	chr16:31462995-31463144	chr16:31463145-31463294	chr16:31463295-31463444	chr16:31463445-31463594	chr16:31463595-31463744	chr16:31463745-31463894	chr16:31463895-31464044	chr16:31464045-31464194	chr16:31464195-31464344	chr16:31464345-31464494	chr16:31464495-31464644	chr16:31464645-31464794	chr16:31464795-31464944	chr16:31464945-31465094	chr16:31465095-31465244	chr16:31465245-31465272	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	4.67618	2.45372	0.685645	1.00807	2.59911	3.36079	3.87949	3.61102	3.57776	0.939111	0.709189	1.40187	1.33155	0.889111	0.570411	0.628258	1.99681	1.42675	3.15656	2.46283	1.87049	0.80275	0.643627	0.812799	0.540324	0.61269	1.06686	0.78012	0.462195	0.421799	0.556502	0.969556	0.525571	0.559194	1.11634	0.935546	0.423144	0.223712	0.252127	0.503883	0.639053
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	60.9941	27.3968	9.56656	2.07153	6.40764	9.86267	7.19198	1.98518	2.13296	1.52788	1.49902	2.94362	2.09616	0.80988	1.19349	0.665291	1.23369	1.05603	1.05237	0.629002	1.61686	0.415303	0	0	0.366918	0.298373	0	0.478394	0.539978	0.51092	0.0867519	0	0	0.770125	0.842702	2.17732	0.399175	1.13301	1.11285	1.01522	0.630631
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	14.8436	6.39624	1.36367	1.1775	2.66171	7.46808	8.30442	3.28995	2.61483	0.768039	1.31707	2.89572	3.14909	3.0507	1.55842	2.7431	2.88826	1.97951	1.53033	1.1659	2.37287	1.54288	0.49582	0.178121	1.22331	1.47325	0.465123	0.89065	1.23462	1.68909	1.53819	1.44864	1.38333	2.73426	2.39447	1.4688	1.33023	1.86482	1.79183	1.20822	0.764419
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	31.6064	5.19945	1.08649	1.2979	10.2304	9.32812	1.74709	1.1623	0.682493	1.10433	0.422577	1.14507	1.09109	0.312213	0.441397	0.76419	0.422886	0	0	0	0	0	0.163207	0.43026	0	0	0	0	0.605149	1.5381	0.56567	0.567522	0	0	0	0.528546	0.0649129	0.0686399	0.5036	0.0993821	0.922237
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	37.4922	18.4842	5.75016	0.94101	9.79569	5.74533	10.4848	14.6779	13.2729	3.2176	2.19874	2.76483	3.82149	6.47845	0.497482	1.04019	1.69586	2.70212	2.27224	3.39179	1.80901	4.86165	5.03749	2.37429	1.7751	0.101758	2.54387	1.95597	1.28988	0.703173	0	0.836674	2.92826	1.27138	1.96729	2.72833	3.20621	1.52461	0.498195	0	0.780731
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	16.6298	4.34758	1.24452	2.11252	20.5674	24.0027	10.6872	9.17589	5.25833	1.58549	1.05533	0.582664	1.13944	0.372851	0	0	0.280928	0.465482	1.57098	0.223425	0	0	0.030758	0.920929	0.784608	0.133958	0	0	0.0615911	0.60208	0.449042	0	0	0.401918	0.274387	0	0	0.0867477	0.727066	0.551306	0.702538
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	38.2771	18.9212	9.74914	5.50154	8.85458	13.9976	12.1426	9.18746	7.70407	7.29206	9.20443	11.9587	14.6036	14.8966	18.3722	27.2064	26.7944	24.2231	18.5334	16.2495	42.6565	41.3616	28.4166	21.7304	13.9139	10.5928	11.1944	8.30009	5.42699	4.0499	6.69941	6.88468	3.37318	2.67636	4.82544	5.47439	3.51189	1.96449	2.8113	2.94336	0.371805
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	22.8434	4.88977	0.352026	2.68712	16.875	22.0565	14.4536	9.43637	5.42573	3.59633	2.89055	2.48751	1.65993	0.74582	0.710346	0.471148	0.130234	0	0.114484	0.919167	0.241617	0	0.0178091	0.316118	0.0264243	0.0829318	0.754331	0.725585	0.446348	0	0	0.308032	0.343575	0	0.221151	0.430456	0	0	0	0	0.721992
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.939616	0.64776	0.38054	0.524784	1.34926	1.8733	1.3666	0.761623	1.04801	0.278785	0.0850322	0.375138	0.637216	0.516276	0.305903	0.256318	0.304654	0.32135	0.258005	0.10686	0.11854	0.110562	0.12687	0.227086	0.140234	0.0766583	0.119249	0.192783	0.153446	0.131919	0.289658	0.19107	0.055879	0.192513	0.1927	0.11448	0.0728184	0.0796626	0.226909	0.329714	0.609231
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.70472333-cf93-4f75-9795-a7c0cfbd4b2b.fc.signal	32.7344	21.4348	7.86031	2.43527	4.2224	3.45596	2.66475	1.2998	1.64255	1.213	0.606069	0.944848	1.0455	0.445856	0	0	0.30793	1.32622	0.782824	1.03575	1.63992	1.65095	0.664544	1.49011	0.666159	0	1.09326	1.39291	1.3419	1.46492	1.57461	0.516411	0.678934	0.184892	0	0.213555	1.71806	1.79748	0.979308	0.95618	0.861314
