	chr1:151168019-151168118	chr1:151168119-151168168	chr1:151168169-151168318	chr1:151168319-151168468	chr1:151168469-151168548	chr1:151168549-151168618	chr1:151168619-151168768	chr1:151168769-151168918	chr1:151168919-151169068	chr1:151169069-151169218	chr1:151169219-151169368	chr1:151169369-151169408	chr1:151169409-151169498	chr1:151169499-151169518	chr1:151169519-151169588	chr1:151169589-151169668	chr1:151169669-151169818	chr1:151169819-151169858	chr1:151169859-151169968	chr1:151169969-151170058	chr1:151170059-151170118	chr1:151170119-151170268	chr1:151170269-151170418	chr1:151170419-151170498	chr1:151170499-151170568	chr1:151170569-151170718	chr1:151170719-151170868	chr1:151170869-151171018	chr1:151171019-151171168	chr1:151171169-151171318	chr1:151171319-151171468	chr1:151171469-151171558	chr1:151171559-151171618	chr1:151171619-151171768	chr1:151171769-151171918	chr1:151171919-151172068	chr1:151172069-151172218	chr1:151172219-151172368	chr1:151172369-151172518	chr1:151172519-151172668	chr1:151172669-151172818	chr1:151172819-151172898	chr1:151172899-151172968	chr1:151172969-151173118	chr1:151173119-151173163	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003842.2.aaff33ab-ed7b-4de9-8003-f28b910ee10b.fc.signal	0.43554	0	0.330949	2.18239	2.16599	0.615511	1.60166	0.0624427	0	0	0	0	0	0.397401	0.767292	0.708723	0.540738	0.0614137	0.971142	1.09598	0.622552	0.322743	0.668953	0	0	0.240735	0.34068	1.1405	0.699262	1.30798	0.626837	0.370725	0.573473	0.844105	0.462775	0.517252	0.277055	1.23602	0.0373469	0	0	0.005854	0.923269	0.502669	0	0.421277
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003806.1.2dfc8185-75fc-483f-9a76-86d609a673b1.fc.signal	0.389769	0.946317	1.25141	0.841585	0.843521	0.783944	0.47311	0.153788	0.720075	1.02259	0.222342	0	0	0	0	0.0605781	0.548094	0.67869	0.498872	1.07944	1.69678	1.2773	1.38586	1.01475	1.0689	0.969672	0.85272	0.556812	0.68842	0.505721	0.266813	0.213277	0.230703	0.31637	0.181336	0.491143	0.656775	0.463197	0.56968	0.323701	0.505214	0	0	0.0407631	0.402105	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.14e2d66e-78ce-42e0-867f-4b49c7b19bff.fc.signal	4.50621	7.18311	7.07268	6.6117	7.75632	5.2371	5.2372	4.1418	4.82551	9.01959	6.71463	4.3354	1.90761	2.42175	6.52701	13.4332	14.519	6.73247	3.74237	5.38409	9.08159	11.6905	11.3435	13.1881	13.4454	13.1312	10.0826	11.2655	15.2162	9.45975	5.02083	6.6214	8.96627	7.5752	3.76665	3.1342	6.66384	9.45157	10.6947	10.993	12.0122	7.90313	4.51918	5.7733	8.35998	0.967393
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000229.3.201bcc7c-a1bc-4b3d-b4a1-a8869234c0b1.fc.signal	0.574661	0.914386	1.05753	0.878464	0.88793	0.886248	0.706343	0.813984	0.790099	0.489945	0.374114	0.422039	0.334761	0.415737	0.62745	0.732638	1.12779	1.13551	1.13617	0.835903	0.790894	0.804716	0.827109	0.870523	1.06758	1.28649	1.11265	0.763955	0.782866	0.789319	0.980083	0.735833	0.406555	0.428524	0.692495	0.836181	0.625354	0.53838	0.687537	1.09009	1.23618	0.947834	1.01732	1.25104	1.13855	0.266667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.f291fb29-a363-426c-a2c2-33a98c6182ef.fc.signal	0.435339	0.39943	0.441984	0.183677	0.0474121	0.19963	0.0944915	0.320818	0.730813	0.226336	0	0	0	0	0	0.234646	0.383446	0.678905	1.1436	1.51752	1.00982	0.334301	0.549822	1.1082	0.499255	0.42318	0.805493	0.613198	0.591153	0.651019	0.977376	1.16698	1.35377	0.837514	0.299527	1.30185	1.38466	1.03266	1.32127	1.39651	1.435	1.00586	0.869977	0.68423	0.736576	0.917431
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.589e1f11-0874-4698-ac02-5c217aac91a6.fc.signal	2.40299	4.27122	6.63599	7.70856	8.60971	5.69212	4.5716	6.94024	11.0742	11.048	7.79181	1.86549	0.368718	2.56568	5.9023	14.4343	23.4066	9.67508	5.11798	8.25185	13.9705	16.9688	16.5691	21.8256	21.5038	17.0179	12.9886	12.8329	11.3014	8.84829	3.87918	4.89708	7.59807	8.4185	5.59658	9.37942	9.40335	7.63988	6.8074	10.5006	13.873	12.5245	6.7267	3.12453	4.20102	0.971466
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001916.1.f84a631d-885b-4535-bad7-e4cb346c7bb1.fc.signal	2.09466	0.805138	2.46367	2.54569	2.03833	0.175454	0	0	0.340717	0.705064	0	0	0	0	0.0584846	1.29018	0.711002	1.0965	0.193639	0	0.0987793	0.47943	1.10997	1.2818	3.41347	1.04751	1.83365	2.55951	2.74139	1.08297	1.29444	0.911799	2.45597	1.41828	0	0.705129	1.08661	2.269	1.2666	2.68818	0.632283	0.946719	0.224191	0.5686	1.88017	0.293651
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001918.1.c154a44f-91a2-4062-881d-72e98844dc88.fc.signal	1.32681	0	0	0	0	0	0	0	0	0	0	0	0.130983	1.2164	1.56871	0.33262	0.153145	0.784228	1.06107	1.38752	0.499998	1.14186	1.35367	0.420693	0.495976	1.57805	1.0875	0.910048	1.60229	1.11405	1.59916	1.87009	0	0.0939168	1.47898	0.505418	1.96011	1.40688	1.16175	0.876807	0	0	0	0	0.26305	0.534884
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001027.7.cd19865b-26c6-4f71-a2cb-2c7271712e2b.fc.signal	0.813433	3.74072	3.03156	1.70852	0.436427	0	1.42838	0.982137	4.40683	2.56431	2.59994	0	0.418112	0.962547	1.35417	1.87933	6.19217	5.6146	5.48219	3.92446	3.69179	1.66598	2.22662	4.25602	3.79456	4.33299	5.48956	2.32265	4.27294	4.6191	3.93187	4.58405	3.81496	3.56325	4.09753	2.69864	3.6613	4.23514	4.83185	4.36111	0.678442	0	0	0.0567541	1.85216	0.986776
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.1f43525d-0a83-4caf-ad11-becd1d0bf5b9.fc.signal	0.124162	0.220608	0.0518372	1.16159	0.643044	0.635342	0.790662	0.395286	0.613481	1.27731	0.582901	0.121044	0	0	0	0.0215166	0.565581	0.105914	0.446824	0.315847	0.473969	0.778337	0.505687	0.964024	0.99832	0.998815	1.58743	1.22431	1.1369	0.750432	0.560388	0.527983	0.306499	1.28692	0.814242	1.12466	1.16119	1.30598	1.11077	1.94967	1.61875	1.49227	0.83418	0.455017	1.41562	0.345622
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001915.1.f5573e79-d80d-470a-8d12-22719ef4a51e.fc.signal	0.963434	0.49613	0.0032932	0	0	0	0	0	0	0	0	0	0	0	0.445191	0.655233	0.248687	0.904516	0.897171	0.856561	0.780006	0.681682	0.835828	0.66272	0.351542	0.955254	1.03303	0.866695	0.238485	0.131789	0.810503	0.98429	0.932341	1.32521	0.486788	0.613514	1.61319	1.07292	0.878148	0.21097	0	0	0	0	0	0.444444
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003827.1.2bef3df7-5fcc-4d31-9411-95e1295b79d5.fc.signal	0.634564	0.290033	0.72175	0.419828	0.281299	0.00466814	0.329252	0.0124892	0.264294	0.365327	0.0752023	0	0.0218758	0.349304	0.781877	0.792962	0.329437	0.139582	0.110371	0.177392	0.271118	0.925452	0.941074	0.868037	1.16754	0.378547	0.599771	0.366799	0.291968	0.625294	1.57113	0.566919	0	0.340701	0.272989	0.176332	0.168399	0.498774	0.700219	0.985436	0.646388	0.777435	0.695385	0.175385	0.0238056	0.481081
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.672aeb75-b003-40bb-88b0-79458561e736.fc.signal	2.45488	6.32118	12.7825	11.5429	7.22562	7.20819	8.51589	4.4382	11.2825	11.0934	7.92041	1.76835	0.798165	2.69406	5.52757	9.74386	15.1108	7.96613	4.91741	4.4154	3.06284	5.49743	7.39193	9.03108	9.2454	12.6569	12.0807	17.5249	15.9806	12.1428	5.30416	7.11067	4.42681	5.14117	4.43522	6.41578	11.5913	13.4633	6.52943	9.2864	12.9066	9.81316	4.96597	6.91787	12.5912	0.951645
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001921.1.dcad099b-2714-4a20-92d0-2cd9bce288ab.fc.signal	1.91931	1.5164	0.519313	0.801668	0.992644	0	0.172471	0.962936	0.0917763	0.147531	0.517998	0	0	0.485685	1.74221	2.9811	3.27318	2.68909	1.64429	1.74018	3.02665	3.89208	1.94743	0.862447	1.06643	2.63046	2.59626	2.2327	2.03529	1.57429	1.85384	1.21934	1.70175	1.24966	1.14437	2.14595	1.64647	0.65837	1.8148	1.98007	0.183609	0	0	0	0.287888	0
