	chr1:151168019-151168128	chr1:151168129-151168168	chr1:151168169-151168278	chr1:151168279-151168318	chr1:151168319-151168468	chr1:151168469-151168518	chr1:151168519-151168618	chr1:151168619-151168768	chr1:151168769-151168858	chr1:151168859-151168918	chr1:151168919-151169068	chr1:151169069-151169218	chr1:151169219-151169238	chr1:151169239-151169318	chr1:151169319-151169368	chr1:151169369-151169398	chr1:151169399-151169488	chr1:151169489-151169518	chr1:151169519-151169568	chr1:151169569-151169668	chr1:151169669-151169818	chr1:151169819-151169888	chr1:151169889-151169968	chr1:151169969-151170118	chr1:151170119-151170268	chr1:151170269-151170348	chr1:151170349-151170418	chr1:151170419-151170568	chr1:151170569-151170718	chr1:151170719-151170868	chr1:151170869-151171018	chr1:151171019-151171168	chr1:151171169-151171318	chr1:151171319-151171468	chr1:151171469-151171618	chr1:151171619-151171768	chr1:151171769-151171868	chr1:151171869-151171918	chr1:151171919-151172068	chr1:151172069-151172218	chr1:151172219-151172368	chr1:151172369-151172518	chr1:151172519-151172668	chr1:151172669-151172818	chr1:151172819-151172918	chr1:151172919-151172968	chr1:151172969-151173078	chr1:151173079-151173118	chr1:151173119-151173163	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	1.32641	1.3288	2.96405	2.62616	1.53068	1.41052	2.02572	2.30577	1.04555	2.58612	2.95564	3.72873	1.88377	1.29673	1.46059	1.0118	0.365028	0.821294	2.19623	3.68542	2.8757	1.50173	2.40593	2.27612	2.03978	1.85462	1.76239	0.82706	1.31557	1.31548	1.49396	1.75711	1.62873	1.7036	1.62754	0.996516	0.869711	0.544183	1.18926	0.988698	0.666778	1.07733	0.900369	0.248345	0.481158	0.524921	0.590861	1.06238	1.56698	0.345622
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.bb1bb2b2-42c2-4f18-8e8f-61e82ab17b84.fc.signal	2.04896	1.88658	2.02264	1.67257	1.51827	1.85639	1.69669	0.943304	0.462553	1.24727	2.28487	2.20605	2.20734	2.0155	1.22	0.662415	0.374518	0.306051	0.576016	0.852737	1.58474	1.7033	1.43699	1.62264	2.10234	2.40186	2.09581	1.21161	0.960736	0.608	1.00597	1.36579	1.24478	0.776445	1.17975	1.28624	1.20868	0.686728	0.452777	0.889745	0.485395	0.485329	1.15771	1.2284	0.459048	0.37735	0.539688	0.823819	1.02014	0.917431
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001915.1.bcfa2f24-6276-4a64-96e6-3f1abe06b88e.fc.signal	2.4352	4.15569	4.39725	3.99502	3.58512	2.52147	1.84304	1.83013	2.98012	3.07669	2.82895	1.82391	1.1665	0.908793	0.50526	0.331882	0.359071	0.730423	0.843836	2.14321	3.43343	4.5915	5.04569	3.72829	2.70717	1.73478	1.59037	1.42994	1.97357	2.71259	3.47865	3.57575	2.96347	1.75624	2.54787	2.60913	3.18059	2.19587	0.572941	1.4221	2.66528	2.61454	2.81469	0.575633	0.102235	0	0.143999	0.714486	1.66033	0.444444
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001916.1.b8e8499a-a8fb-45d6-acd8-26f02567ad12.fc.signal	4.6697	7.94417	9.40893	9.80855	6.64144	3.34823	2.88235	2.45256	2.86989	4.77966	7.25651	4.15372	2.1836	1.79891	1.4599	0.554607	0.882688	2.142	4.79147	8.60246	8.81401	7.93293	8.44068	6.58545	5.47241	4.46509	6.0368	8.39754	10.3702	8.14496	8.37697	6.06545	5.61503	4.40592	3.88505	4.53948	4.02869	3.03403	2.1603	3.33866	2.45485	2.68584	4.19116	3.125	1.54517	0.815193	0.601261	1.29976	2.24595	0.293651
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003842.2.dde9814b-8b78-4af3-b9ef-87186b3ed1fd.fc.signal	3.52909	2.12217	2.08785	1.21131	0.551717	1.45746	1.59507	1.76755	1.41483	3.35614	2.77921	2.19003	1.51175	0.588506	0.197398	0.12916	0.188759	0.193556	0.27291	1.64927	1.80782	1.56285	1.41844	2.15468	2.91481	1.73433	0.697081	0.991678	0.818942	0.925223	0.776134	1.93507	2.42593	1.65881	1.9827	2.26051	1.58285	0.398174	1.04642	1.41876	0.726123	0.392077	0.751192	0.701726	0.246134	0.585305	0.979601	1.56986	2.06725	0.421277
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000229.3.88fcdf4d-dd2c-424a-91c6-ca3469132544.fc.signal	1.66949	3.47896	4.65033	4.72913	4.76052	4.12618	3.58048	2.91953	2.44989	2.45914	2.91307	2.59384	2.69215	2.32328	1.88414	1.44877	0.686798	1.19495	2.01317	3.29694	5.6066	4.8685	3.86315	3.83616	3.17361	2.84904	3.42782	4.07913	3.06782	3.66013	3.27741	2.62755	2.96479	3.54774	2.12867	2.17925	2.07904	1.89926	1.03995	1.17155	1.40477	2.04507	3.04689	3.11313	1.29952	0.770323	0.750263	1.21021	1.70837	0.266667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.1ad53715-8cce-4edc-8f16-9e6eba200f6e.fc.signal	3.656	4.85697	5.14588	4.59404	2.97159	2.22404	2.14617	2.91052	2.83717	3.52061	4.09219	3.26997	2.16697	1.79735	1.43029	0.786626	0.309253	0.618508	0.777201	1.14065	1.35398	0.992432	0.972464	0.906002	1.50556	2.31625	2.23286	1.76695	3.73111	3.88388	4.18388	4.53062	3.60829	3.7123	2.99311	1.86639	1.70499	1.70308	3.10277	3.9932	4.81507	3.54736	2.0817	2.40667	2.2594	1.78902	2.19665	2.41956	3.26758	0.951645
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.5a735e4e-02fc-4cf3-8586-bebcb93dde40.fc.signal	1.72766	2.68954	3.4794	3.3305	4.40192	4.3779	2.52774	3.70337	1.8181	3.77434	5.27981	3.20376	1.62754	1.96676	0.967759	0.318744	0.0902033	1.32524	2.52309	2.37486	1.82913	0.41196	0.685193	1.46249	2.20806	3.29525	3.58001	4.19531	6.88034	4.07932	1.99322	3.10061	2.06636	3.04855	3.10641	2.48611	3.16403	2.07639	2.80511	6.00443	4.79176	3.11333	4.27968	4.06871	1.97143	1.07753	1.73197	1.32255	1.47084	0.971466
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001918.1.fbe063d6-2cc4-4e86-b2d8-a5dbab869596.fc.signal	2.87481	9.01534	16.2429	5.55529	6.07878	3.98333	0.76073	1.91278	1.31958	3.09066	2.20102	2.31425	5.50966	2.20413	1.03552	0.0346167	0	0.450617	2.41186	8.49601	11.5348	14.4527	6.49889	3.65597	4.59103	2.5115	7.34333	4.18983	7.19071	10.0289	6.40401	3.07801	3.00791	2.36341	1.96119	1.84975	1.27267	1.18458	4.45731	0.783409	3.66201	2.4948	0.856942	0.0975735	1.48437	0.29272	0	1.17606	3.15722	0.534884
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003806.1.ca0477cb-21d8-4e11-a363-fca55b28eb49.fc.signal	7.10867	9.61998	10.5958	10.8168	10.2774	7.4822	4.84311	7.18111	5.04165	5.54265	6.10834	6.33801	4.9907	3.71288	1.66203	0.767824	1.06223	1.63089	3.36023	7.05467	10.1552	11.3147	11.2722	9.27071	7.51426	8.75058	7.17252	8.1735	9.93551	6.65989	5.45253	4.73532	4.2311	4.7264	2.95216	3.12617	3.47982	5.30513	5.04268	5.26998	3.68556	2.87329	2.35915	2.81322	1.40312	1.01771	1.2491	1.83028	3.43811	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001027.7.dcf25794-5ac8-4a6d-9033-a30e1a31178f.fc.signal	0.970232	3.53534	3.30006	1.729	2.05507	1.11875	0.876961	2.4601	0.539998	0.931923	1.09207	2.83917	2.66913	0.200528	0	0	0	0.471695	1.55321	0.978534	1.11486	1.13963	1.72068	1.1158	1.26773	1.21611	0.813098	0.588532	0.656529	1.32974	1.18024	1.57814	2.35162	1.03254	1.55226	1.44122	2.11618	1.61196	0.449987	0.879882	1.12268	0.979217	0.929167	0.763045	0	0	0	0	1.04102	0.986776
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.807b95cf-3868-4ccf-8959-450b4ce9bd14.fc.signal	1.87069	2.83277	2.67279	2.68975	2.97281	3.00347	1.75311	1.22051	2.41282	2.23055	3.0466	3.59779	2.74967	1.28037	0.658736	0.3022	0.00335778	0.18132	0.79772	2.13031	1.65611	1.42189	0.623339	0.459344	0.465499	2.38436	2.68579	2.5183	1.75208	1.03159	3.77887	2.17585	1.39855	3.53738	3.6139	3.0116	5.12692	2.9319	1.63892	1.29313	2.27852	3.32985	1.817	3.28553	1.97313	0.894372	1.73606	3.33136	3.62261	0.967393
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003827.1.1e656a87-cd07-462f-be4b-e2fe6e07063d.fc.signal	3.04377	1.83377	2.59955	1.99409	2.5299	1.80771	2.02395	1.98268	0.859819	2.06819	2.15634	2.181	0.627848	0.363899	0.463484	0.446595	0.0623024	0.556316	1.47649	1.84257	2.50894	3.11173	2.65718	2.79904	2.77597	3.35289	3.42356	2.68621	2.5172	2.45966	1.57544	2.17312	2.96866	2.36091	2.42122	2.01111	0.823189	0.818765	1.40361	1.77095	1.68291	2.80766	2.61295	1.62555	0.572202	0.296479	0.420781	0.823173	1.10719	0.481081
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001921.1.da848ea8-5f53-41fe-9d26-01e6bed31a73.fc.signal	7.03558	7.32234	8.07082	7.47269	6.56016	4.54647	4.37585	3.95278	5.48434	5.72742	5.19432	4.70006	3.07258	2.34794	1.89384	1.68578	1.75684	2.70445	3.9969	5.37594	6.82904	5.47307	4.45685	5.71391	7.10406	6.80182	7.10664	8.56347	8.68821	8.13161	7.72987	6.48873	4.80984	3.57389	2.73273	2.44795	2.64751	2.27491	2.00079	3.31397	2.89038	1.34093	2.39244	1.58673	0.77716	0.636938	0.934422	0.959893	1.49714	0
