	chr17:62521736-62521885	chr17:62521886-62522035	chr17:62522036-62522185	chr17:62522186-62522275	chr17:62522276-62522335	chr17:62522336-62522415	chr17:62522416-62522485	chr17:62522486-62522635	chr17:62522636-62522785	chr17:62522786-62522935	chr17:62522936-62523015	chr17:62523016-62523085	chr17:62523086-62523175	chr17:62523176-62523235	chr17:62523236-62523385	chr17:62523386-62523535	chr17:62523536-62523615	chr17:62523616-62523685	chr17:62523686-62523775	chr17:62523776-62523835	chr17:62523836-62523985	chr17:62523986-62524045	chr17:62524046-62524135	chr17:62524136-62524195	chr17:62524196-62524285	chr17:62524286-62524435	chr17:62524436-62524585	chr17:62524586-62524735	chr17:62524736-62524885	chr17:62524886-62525035	chr17:62525036-62525185	chr17:62525186-62525335	chr17:62525336-62525485	chr17:62525486-62525635	chr17:62525636-62525785	chr17:62525786-62525935	chr17:62525936-62526085	chr17:62526086-62526235	chr17:62526236-62526305	chr17:62526306-62526385	chr17:62526386-62526465	chr17:62526466-62526535	chr17:62526536-62526685	chr17:62526686-62526831	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.494635	0.381154	0.254101	0	0	0	0	0	0	0	0	0	0.0719559	0.41014	1.26894	2.84331	1.75352	0.337047	0.89018	1.49562	1.15332	0.197361	0.10896	1.02072	1.00119	0.0357723	0.119653	0.291108	0.592083	0.796843	0.0505746	0	0.0370053	0.531641	0.768473	0.143086	0.246701	1.34822	1.48549	0.587457	1.08471	1.9692	2.39916	1.30278	0.420846
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0.754961	0.517501	0.968812	0.761365	0.423263	0.176668	0.909172	1.78933	1.78814	0.528675	0.023955	0	0	0	0.292431	0.474414	0.233561	0.0923979	0.327433	0.630945	0.568662	0.267513	0.130422	0.03194	0.23955	0.154909	0	0.012776	0.669277	0.480766	0.001597	0.501519	1.55912	0.478426	1.46629	1.07175	0.103823	0	0	0	0.140736	0.30803	0.364184	0.121416	0.599725
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	0.725027	1.67059	0.75609	0.221757	0.233045	0.560203	0.911691	0.772469	0.613982	1.13374	0.891843	0.343164	0.559041	0.766856	0.626232	0.334628	0.0537795	0.0682914	0.249643	0.466089	0.856488	0.45613	0.254955	1.02579	1.91199	0.648525	1.81085	1.50811	2.02116	1.7582	0.903916	1.363	1.69166	1.66734	0.442187	0.33183	0.323474	0.0844537	0.117803	0.11951	0.0881386	0.720003	0.540055	0.285678	0.564229
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001379.1.3635c35b-bff5-4878-adcc-965cd885b7d1.fc.signal	0.0483387	0	0.00966773	0.36254	0.36254	0.607174	0.414314	0.899233	0.318987	0	0	0	0	0	0.0072508	0.36254	0.303627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.521772
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41646	1.87786	0	0	0	0	0	0	0	0.484608	0.537612	0	0	0	0.519772	0.461892	0	0	0	0	0	0.45432	1.59012	2.0823	0	0.673469
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.88708	1.99462	1.69553	0.0790471	0.090224	0.516622	1.00286	1.61503	1.96692	1.05291	0.99265	0.644329	0.819192	1.08751	0.372403	0.362471	0.98029	0.406541	0.482692	0.53848	0.94045	0.628593	0.324601	0.317877	1.30194	0.8185	1.32011	1.22175	0.6645	0.901268	1.07209	0.340897	0.515677	0.935618	0.935588	1.03653	0.748892	0.555014	0.177319	0	0.228943	0.685575	0.746188	1.30945	0.531927
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0	0	0	0	0.0468793	1.25695	1.36139	0.124573	0.564289	0	0	0	0	0	0	0	0	0	0.554739	0.70319	0.11251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.514089
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0.0861131	0.386485	0.7727	0.568963	0.240912	0.15377	0.148678	0.214959	0.717679	0.412114	0.0134553	0.0637051	0.362224	0.732985	0.709408	0.284994	0.27295	0.270203	0.592881	0.61509	0.465421	0.30755	0.264832	0.15377	0.10593	0.0861112	0.139418	0.219881	0.316004	0.157872	0.0809867	0.632519	0.686854	1.07231	0.88471	0.333178	0.150695	0.0543321	0	0	0	0.164756	0.451069	0.301442	0.592445
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	0.972222	1.67141	2.05105	1.71725	0.80133	0.216089	0.161872	0.279887	1.08743	2.05391	1.54333	1.11634	1.0716	0.644011	1.00706	0.751466	0.835173	0.29054	0.332507	0.646392	1.57941	0.6803	0.195307	0.636685	1.38474	0.938349	2.14783	3.41737	3.42977	2.87191	1.36803	2.52451	5.30528	2.03962	1.43877	1.31154	1.59982	0.993538	0.47109	0.41402	0.314964	0.752046	1.44937	2.73021	0.475845
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000891.3.5b94d008-4850-4235-a4df-01d74d02137b.fc.signal	0.576662	0.889866	1.05828	0.0491301	0.14739	0.867068	1.77263	1.01759	0.93346	0.374981	0.639075	0.272412	0.374618	0.649436	2.04872	1.38731	1.1296	0.951454	0.368475	0.879733	0.320574	0	0	0	0	0	0.547292	1.10962	0.894813	1.65763	1.1736	0.313205	0.002206	0.519347	0.339299	0.722867	1.02373	0.0148893	0	0	0	0.0826873	0.209582	0	0.553968
