	chr5:16088389-16088538	chr5:16088539-16088638	chr5:16088639-16088688	chr5:16088689-16088748	chr5:16088749-16088778	chr5:16088779-16088838	chr5:16088839-16088968	chr5:16088969-16088988	chr5:16088989-16089138	chr5:16089139-16089218	chr5:16089219-16089288	chr5:16089289-16089438	chr5:16089439-16089588	chr5:16089589-16089738	chr5:16089739-16089798	chr5:16089799-16089848	chr5:16089849-16089888	chr5:16089889-16090038	chr5:16090039-16090188	chr5:16090189-16090338	chr5:16090339-16090488	chr5:16090489-16090558	chr5:16090559-16090638	chr5:16090639-16090758	chr5:16090759-16090788	chr5:16090789-16090908	chr5:16090909-16090938	chr5:16090939-16091088	chr5:16091089-16091238	chr5:16091239-16091388	chr5:16091389-16091538	chr5:16091539-16091598	chr5:16091599-16091688	chr5:16091689-16091838	chr5:16091839-16091888	chr5:16091889-16091988	chr5:16091989-16092138	chr5:16092139-16092208	chr5:16092209-16092288	chr5:16092289-16092438	chr5:16092439-16092508	chr5:16092509-16092588	chr5:16092589-16092678	chr5:16092679-16092738	chr5:16092739-16092888	chr5:16092889-16093038	chr5:16093039-16093168	chr5:16093169-16093188	chr5:16093189-16093338	chr5:16093339-16093418	chr5:16093419-16093488	chr5:16093489-16093538	chr5:16093539-16093581	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.71f94e98-332b-4fcc-9a34-c0ad4b748586.fc.signal	1.35261	1.16781	0.500499	0.512961	0.608819	0.946839	0.81867	0.388347	0.190801	0.810787	1.80395	1.2052	0.07189	0.206436	0.131614	0.236181	0.245225	0.466473	0.618801	0.270047	1.16403	0.949218	0.314588	0.232496	0.388346	0.49978	0.556096	0.590122	0.256152	0	0	0.0601207	0.146754	0.208536	0.115884	0.291912	0.854828	0.557591	0.289608	0.311062	0.370738	0.307898	0.480016	0.67697	0.394602	0.242829	0.361722	0.162869	0.128001	0.447276	0.797983	1.14497	1.39707	0.616279
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.85fb694c-24ac-4a67-afb4-86273572ea8c.fc.signal	0.626713	0.290221	0.26263	0.154526	0	0	0	0	0.0954323	0.518162	0.51134	0.348994	0.117148	0.0282245	0.34866	0.487666	0.460435	1.22272	1.69376	0.613384	0.513517	0.57574	0.464254	0.582585	0.77036	0.591576	0.39002	0.495475	0.301192	0.445092	0.586	0.471704	0.39785	0.594644	0.39455	0.0057777	0.0906615	0.236046	0.178459	0.0387945	0	0.0871682	0.180873	0.260824	0.0819018	0.0827511	0.257987	0.41271	0.871878	0.809896	0.368634	0.790756	0.83337	0.348214
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d8e6c755-45ac-4108-b1ba-23233bd0ab31.fc.signal	0.758855	1.18141	0.718539	0.717683	0.0868747	0.646676	0.994414	0.34194	0.281203	0.772359	1.81232	1.35209	0.319568	0.17332	0.227023	0.367677	0.439351	1.63395	3.30157	1.66777	2.34272	1.70029	0.572847	0.618463	0.877802	0.849306	0.68403	0.0729582	0.258474	0.102582	0.950744	0.775177	0.239378	1.25404	0.716951	0.529381	1.14835	0.709774	0.0497273	0.18361	0.615099	0.949046	0.827927	0.512379	0.284747	0.815389	0.292551	0.285701	0.251073	0	0.0594091	0.151882	0.359997	0.38125
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.e5051162-3534-4c21-b37a-9d70a53452b8.fc.signal	0.501974	0.404826	0.53977	0.53977	0.53977	0.224901	0	0	0	0	0	0	0	0	0.0856088	0.552696	1.41461	1.53011	0.836554	1.63575	1.18865	1.06285	1.06612	0.215903	0	0	0	0	0	0	0	0	0	0	0	0.053976	0.494788	0.53977	0.151807	0	0	0	0	0	0	0.0647712	0.37576	0.53977	0.428314	1.43934	1.57725	2.27755	2.92426	0.488778
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.48a0264b-6e25-46c0-b33d-21ee41282ecb.fc.signal	0.502646	0.308674	0.321338	0.413396	0.638026	0.669998	0.808198	0.81207	0.498072	0.756371	0.959872	0.369513	0.04088	0	0.0776327	0.473556	0.687159	1.18289	0.760351	0.382861	0.785506	0.491676	0.384175	0.316263	0.410113	0.8851	1.54049	1.27807	0.572231	0.47746	0.227439	0	0	0.0053316	0.336133	0.65751	0.452958	0.0324964	0.259612	0.814415	0.748601	0.69655	0.536984	0.360051	0.00434453	0	0.244186	0.370588	0.369937	0.212727	0.295376	0.573898	0.482346	0.671141
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.f6bea37b-7779-4621-9ed2-82fb7b23df8f.fc.signal	1.07763	1.4569	1.41788	1.1993	0.118143	0.679455	1.02255	0.35443	0.184304	0.651391	0.602636	0.100411	0.064582	0.367929	0.209101	0.156001	0.12381	0.493185	1.58308	1.05166	0.472441	0	0	0.162447	0.35443	0.841903	0.8626	1.30687	0.198511	0.110616	0.893117	0.773991	0.460804	0.0307173	0.652238	1.78171	2.01969	1.17805	0.886775	0.527949	0.230644	0.346087	0.560469	0.41273	0.143961	0.380394	0.479019	0.37148	0.220784	0.747215	1.22212	0.978722	0.817395	0.380952
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.affdcac3-6070-43fc-99e1-6c9751bbcbf6.fc.signal	0.163657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0879212	0.207833	1.21548	1.67858	0.875203	0.943987	1.68772	1.3129	0.518033	0.32167	0.912708	1.1511	1.31245	0.314851	0	0	0	0	0	0	0.047404	0.199774	0.222509	0.1693	0.0259593	0	0	0	0	0	0.259587	1.13676	1.86202	1.22445	0.797686	1.36391	1.49983	1.48811	0.584252
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.982b1a46-0bf8-457b-a213-1cec9bf76346.fc.signal	0.624258	0.445764	0	0	0.0498037	0.189577	0.336209	0.31263	0.21412	0.219934	0.514725	0.371453	0.379411	0.158406	0.448213	0.810434	1.67595	1.77443	1.24607	1.11727	0.834878	0.764852	0.598989	0.325736	1.10208	1.263	0.325895	0.813638	1.39126	0.627355	0.494655	0.19279	0.201289	0.629408	0.227461	0	0	0	0.478241	0.972704	0.185258	0.344246	0.476765	0.400018	0.424491	0.571216	0.391934	0.38704	0.807623	0.866002	1.15559	1.28497	1.08601	0.327273
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.f19b01fb-285f-4aa3-a654-49a7198b9c00.fc.signal	0.111042	0	0	0	0	0	0	0	0	0	0	0	0.137391	0.522371	0.476375	0.427302	0.641802	0.513094	0.345456	0.521286	0.264388	0	0.109129	0.384498	0.77081	0.879866	1.28922	1.46989	0.297367	0	0	0	0	0	0.271018	0.485573	0.436639	0.032264	0	0.0357593	1.42768	2.40316	2.80742	1.57623	0.752827	0.143037	0.0716633	0.28231	0.91092	1.4786	1.05261	0.592851	0.38079	0.428571
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.c19bd00a-5c6a-4173-86bf-6f467b56a6c8.fc.signal	0.488344	0.645176	0.327012	0.22398	0.485313	0.548804	0.415202	0.033597	0	0	0.0188271	0.911594	1.36418	0.0288837	0	0.499225	1.18953	1.3869	1.0607	0.701309	0.530396	0.468245	0.364403	0.153762	0.202607	0.276932	0.566343	0.817336	0.709008	0.540839	0.412388	0.183017	0.0215002	0.013396	0.199872	0.2197	0.160755	0.278217	0.41601	0.567227	0.837457	1.2131	1.04085	1.05056	0.931152	0.468325	0.408664	0.809289	0.869266	0.512933	0.400428	0.47234	0.432911	0.666667
