	chr6:70522691-70522840	chr6:70522841-70522990	chr6:70522991-70523140	chr6:70523141-70523290	chr6:70523291-70523440	chr6:70523441-70523590	chr6:70523591-70523740	chr6:70523741-70523890	chr6:70523891-70524040	chr6:70524041-70524190	chr6:70524191-70524340	chr6:70524341-70524490	chr6:70524491-70524640	chr6:70524641-70524790	chr6:70524791-70524940	chr6:70524941-70525090	chr6:70525091-70525240	chr6:70525241-70525390	chr6:70525391-70525540	chr6:70525541-70525690	chr6:70525691-70525840	chr6:70525841-70525990	chr6:70525991-70526140	chr6:70526141-70526290	chr6:70526291-70526440	chr6:70526441-70526590	chr6:70526591-70526740	chr6:70526741-70526890	chr6:70526891-70527040	chr6:70527041-70527190	chr6:70527191-70527340	chr6:70527341-70527490	chr6:70527491-70527640	chr6:70527641-70527790	chr6:70527791-70527940	chr6:70527941-70528090	chr6:70528091-70528240	chr6:70528241-70528364	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.a6a9e168-f700-4b04-bb33-9eedccb77991.fc.signal	0.442951	1.10488	0.445126	0.221299	0.244869	0.188689	0.376287	0.101881	0.0721139	0.581886	0.189369	0.738447	0.123245	0.0666876	0.48326	0.531421	0.283664	0.610201	0.95208	0.684474	0.791003	1.0175	1.69833	1.29212	0.681687	0.0952709	1.0148	1.26127	0.972681	0.553399	0.417793	0.925746	0.740119	0.330694	0.999763	1.04453	0.179033	0.60158	0.690217
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.12487572-adf6-40c8-9745-66a141c14768.fc.signal	0	0	0.0075132	0.443159	0.0821045	0.0459562	0.354202	0.37047	0.543534	0.273996	0.0307543	0.489557	0.514688	0.204758	0.787633	0.300528	0	0.0776364	1.06038	0.190952	0.311798	0.356462	0	0.0113842	0.562079	0.0815304	0	0	0	0	0.364558	0.314944	0	0	0	0.350616	0.509503	1.03132	0.896956
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.0d6e9ac4-1ee5-4f7e-8d0d-48a48250ff2d.fc.signal	0.496823	0.0160583	0.21445	0.0678137	0.341388	0.0740851	0.125486	0.366325	0.0013624	0.0262501	0.350136	0.15048	0.755971	0.155735	0	0	0.281053	0.46051	0.269667	0.406735	0.12694	0.361522	0	0.49576	1.87888	0.526199	0	0.236546	0.738144	0.633293	0.643469	0.145427	0.0519244	0.42507	0.126134	0.272952	0.48635	0.259807	0.792593
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.2e9e766f-a8f0-4144-be3d-bffc3ef3aedd.fc.signal	0.536106	0.437444	1.79867	1.79114	0.185282	0.293417	0.735748	0	0	0	0.254217	1.27384	1.29089	0.667049	1.05265	1.11079	0.303402	1.63365	0.252375	0	1.98413	2.11893	0.411909	0.112508	0.774722	0.0467281	0	0.0800364	0.865408	1.62864	1.14451	0.478355	1.77492	1.14505	0.813787	0.859302	0.318224	0.773628	0.774436
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003401.1.342281be-4e86-4e27-9e01-e85aacc54324.fc.signal	0.610621	0.43353	0.999053	1.13271	0.818636	0.48591	0.586146	0.207318	0	0.0926492	0.740464	0.700844	0.607005	0.581323	0.82697	1.34077	0.818996	0.435773	0.25814	0.465802	0.454522	0.557824	0.121846	1.13329	2.59509	0.533497	0.618304	0.494791	0	1.00679	1.16168	0.722669	0.460371	0.542119	1.6306	0.809763	0.0797923	0.537555	0.549363
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.2aab058a-2f5b-45b4-aeba-aa0a2d209eb3.fc.signal	0.671282	0.702666	0.197674	0	0	0.0730827	0.55656	0.431766	0.385098	0.255061	1.40855	1.31947	0.815693	0.197292	0.52084	0.714257	0.0704457	1.64545	0.81234	0.69949	0.695129	0.0221974	0.102728	1.62185	1.67522	0.316662	0.17389	0.38669	0.154742	0	0.702192	0.822566	0.0051422	0	0.184414	0.905175	0.153354	0.0319302	0.879487
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.e9a22a10-4147-4184-8f97-9e6f19793d99.fc.signal	0.269357	0.383969	0.467569	0.405092	0.162434	0.130016	0	0.031086	0.442077	0.423288	0	0.133283	0.374431	0.280727	0.256795	0.134928	0.121639	0.195035	0.432626	0.681332	0.220488	0.507849	0.378661	0.454197	0.400525	0.34078	0.179555	0.334133	0.245577	0.491142	0.235235	0.0103467	0	0.189583	0.100392	0.256956	0.462875	0.46514	0.818713
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.705d0a23-5da9-44fc-b8a6-299bfe826407.fc.signal	0	0	0	0	0	0	0	0.737736	0.043764	0	0	0	0	0	0	0	0	0.509538	0.271962	0.325104	0.819012	0.418884	0.146922	0.39653	0.287592	1.78844	1.27077	0.00538747	0.390467	0.37512	0.01563	0.012504	0.768996	0.7815	0.168757	0.433617	0.178182	0.268483	0.590476
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001016.4.09447dfd-b5f7-40f0-a631-e697e858aafa.fc.signal	0	0.0070572	0.835587	0.197366	0	0.0092516	0.652523	1.12259	0.424984	0	0	0	0	0.227667	0.973582	1.12987	1.69524	0.209826	0.44117	1.39624	0.113994	0	0	0.0483563	0.59453	1.48169	0.694398	0.286799	0.777128	0.046258	0	0.354776	0.312462	0	0.352096	0.576214	0	0	0.622222
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000195.3.c463eafa-ded1-4a7b-ab31-187e5f8f0b63.fc.signal	0.661455	1.16885	0	0.0468218	0.473198	0.301248	1.11639	0.742394	0.267763	0.394732	0.50146	0.862227	0.0464954	0.433987	0.168879	1.47702	1.15462	0.470339	0.248935	0.335734	0.68957	0.75544	0.803004	1.02804	1.34869	0.659145	0	0.567878	1.07289	0.892676	0.70928	0.520148	0.637324	0	0	0.100065	0.391111	0.575401	0.681818
