	chr9:4601679-4601828	chr9:4601829-4601978	chr9:4601979-4601998	chr9:4601999-4602128	chr9:4602129-4602278	chr9:4602279-4602428	chr9:4602429-4602578	chr9:4602579-4602728	chr9:4602729-4602878	chr9:4602879-4603028	chr9:4603029-4603088	chr9:4603089-4603178	chr9:4603179-4603248	chr9:4603249-4603278	chr9:4603279-4603328	chr9:4603329-4603418	chr9:4603419-4603428	chr9:4603429-4603478	chr9:4603479-4603558	chr9:4603559-4603628	chr9:4603629-4603678	chr9:4603679-4603698	chr9:4603699-4603718	chr9:4603719-4603778	chr9:4603779-4603928	chr9:4603929-4604078	chr9:4604079-4604228	chr9:4604229-4604258	chr9:4604259-4604278	chr9:4604279-4604378	chr9:4604379-4604528	chr9:4604529-4604678	chr9:4604679-4604738	chr9:4604739-4604808	chr9:4604809-4604828	chr9:4604829-4604978	chr9:4604979-4605128	chr9:4605129-4605278	chr9:4605279-4605428	chr9:4605429-4605578	chr9:4605579-4605628	chr9:4605629-4605728	chr9:4605729-4605878	chr9:4605879-4606028	chr9:4606029-4606178	chr9:4606179-4606208	chr9:4606209-4606288	chr9:4606289-4606328	chr9:4606329-4606388	chr9:4606389-4606478	chr9:4606479-4606528	chr9:4606529-4606628	chr9:4606629-4606688	chr9:4606689-4606748	chr9:4606749-4606769	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.299049e5-7348-4021-acb8-2d0e75f38cdf.fc.signal	0.355894	0.242173	0	0	0	0	0	0.0569735	0.25504	0.136356	0.156096	0.175663	0.312365	0.392557	0.346462	0.393724	0.31347	0.140931	0	0	0	0	0	0	0.114647	0.107345	0.425434	0.57588	0.54557	0.488402	0.139434	0.15155	0	0	0	0	0	0	0.102809	0.0568615	0.36371	0.3819	0.125759	0.255812	0.170948	0.18186	0.295516	0.36371	0.21823	0.0161653	0	0	0	0	0	0.487013
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e64b57f4-2bfc-4a28-ae9d-fc80cb038d7e.fc.signal	0.196962	0.421573	0.538791	0.365832	0.166377	0.51074	0.736214	0.422151	0.2599	0.680604	0.434155	0.257499	0.35925	0.251514	0.17969	0.129754	0.35925	0.507283	0.571812	0.474225	0.136996	0	0	0	0.0792813	0.820392	0.494503	0.136224	0.111884	0.15156	0.550662	0.56857	0.500319	0.387799	0.53895	0.656889	0.853943	0.54674	0.529886	0.276652	0.357695	0.273061	0.0203649	0	0	0	0	0	0	0	0	0	0	0	0	0.483568
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.24f592c8-8c69-4c91-ba18-ad0c533ddaf8.fc.signal	0.79481	0.39602	0.024891	0.887537	1.50024	2.88628	2.43057	2.38358	1.78821	0.520839	1.7037	2.37944	1.45291	0.595547	0.219894	0.695829	0.71844	0.560383	1.2614	1.09043	0.106198	0	0	0.875424	0.841976	2.33489	1.0726	0.360858	0.68158	0.573746	0.507754	0.787648	1.0571	0.8707	0.66482	0.572319	2.41644	1.34064	1.30339	0.967924	0.730196	0.863699	0	0	0	0	0	0	0	0	0	0	0	0	0	0.554455
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0.711978	0.93958	1.00916	0.350567	0.300438	0.698915	0.629028	0.417598	0.377909	0.0551217	0	0	0.531384	1.03516	1.09833	1.04073	0.719524	0.732144	0.899912	1.43886	1.19646	1.33621	1.93661	2.30691	2.5162	0.732434	0.610082	0.389646	0.019744	0	0.219491	0.418377	0.739025	0.64309	0.78976	0.618645	0.873972	1.49254	0.750232	0.568627	0.78976	0.434368	0.465958	0.273783	0	0	0	0	0	0	0	0	0	0	0	0.481818
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.c3c561b3-1ba8-48ab-9c44-6537af372fb5.fc.signal	0	0.849332	0	1.00709	0.525539	0.524537	0.311161	0.659984	1.12499	0.585372	0.451414	0.917551	0.13838	3.32271	0	1.01465	0	0	0.183271	1.7798	0.754011	2.71818	5.44171	0.519226	1.4354	1.42554	1.26606	0	4.22224	0.410307	0.759751	0.885889	1.62912	0.693126	3.50009	1.05657	0.861227	1.66073	0.679865	0.920888	0	1.37433	1.00976	0.842839	0.586379	2.56523	0	2.06122	0	0	0	0	0	0	1.30888	0.701923
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0.0031576	0.225526	0.205138	0.0354829	0	0	0	0.0986069	0.406171	0.930927	0.63372	0.268411	0.228353	0.318161	0.3133	0.287809	0.277039	0.373811	0.41235	0.551815	0.361524	0.607266	0.318161	0.287442	0.292694	0.189	0	0	0.0497315	0.152695	0.265499	0.235435	0	0	0.106563	0.499779	0.581814	0	0	0.110319	0.205213	0.286975	0.224269	0	0	0	0	0	0	0	0	0	0	0	0	0.379032
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.aff67f26-7ea5-4004-b6c7-42e5d6d7c336.fc.signal	0.471508	0.467162	0.46227	0.469536	0.16301	0.329324	1.31326	0.563412	0.792137	0.188794	0.817211	1.82604	0.871118	0.238918	1.07257	1.15547	0.551915	0.658078	0.504313	0.431116	0.164159	0	0.138762	0.258347	0.269148	0.358447	0.0700768	0	0	0	0.316491	0.287394	0.0854378	0.353358	0.611932	0.394156	1.08814	0.67758	0.331441	0.0863752	0	0	0.287319	1.17218	0.800035	0.911666	0.949662	0.759731	0.50646	0.009212	0	0	0	0	0	0.423077
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000235.3.ae41c415-756f-48a0-be26-8a57c412db20.fc.signal	1.06608	0.662036	0.358815	0.0470849	0.185898	2.00679	2.14122	0.382743	0	0	0.0730235	0.583194	1.01539	1.05233	1.21444	1.1564	0.853664	1.02513	0.906421	0.573141	0.217238	0	0	0.308263	0.616552	0.438619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206593	0.540483	0.462522	0.890831	1.24128	1.02404	0.760302	0.62069	0.0517233	0	0	0	0	0	0.529915
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001915.1.bac25e3f-fc09-41ff-86d6-c2a6c3049d47.fc.signal	0.122469	0.241999	0.546176	0.441032	0.234624	0.369295	0.607398	1.28477	1.65956	0.926582	0.90849	0.802499	0.34068	0.124916	0.272544	0.537521	0.68137	0.735879	1.24337	1.68373	0.817554	0.204408	0	0.2839	1.5057	0.894406	0.297528	0.408818	0.630267	1.18885	0.37929	0.395194	0.889895	0.902356	1.5861	0.873632	0.719157	0.965292	1.97128	1.73963	0.511025	0.155042	0	0.104561	0.224733	0	0	0	0	0	0	0	0	0	0	0.509259
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004603.3.4c655c7c-8a8a-4e2d-a610-f4e47cf57813.fc.signal	2.0978	0.728264	0.788328	0.717638	0.259033	0.209129	0.542834	0.740505	0.517033	0.277871	0.219861	0.427813	0.59023	0.647527	0.716185	0.685705	0.693064	0.60041	0.368215	0	0	0	0	0	0	0.50049	0.321637	0	0	0	0.825387	0.840831	1.1312	0.765322	0.44878	0.908732	0.684376	0.27143	0.169268	0.148199	0	0	0.504858	0.603938	0.47684	0.56102	0.92556	1.06577	0.822733	0	0	0	0.0607577	0.35057	0.56102	0.753943
