	chr1:186175916-186176065	chr1:186176066-186176215	chr1:186176216-186176365	chr1:186176366-186176515	chr1:186176516-186176665	chr1:186176666-186176705	chr1:186176706-186176815	chr1:186176816-186176965	chr1:186176966-186177115	chr1:186177116-186177265	chr1:186177266-186177415	chr1:186177416-186177565	chr1:186177566-186177715	chr1:186177716-186177865	chr1:186177866-186178015	chr1:186178016-186178165	chr1:186178166-186178315	chr1:186178316-186178405	chr1:186178406-186178465	chr1:186178466-186178615	chr1:186178616-186178765	chr1:186178766-186178915	chr1:186178916-186179065	chr1:186179066-186179215	chr1:186179216-186179365	chr1:186179366-186179515	chr1:186179516-186179665	chr1:186179666-186179815	chr1:186179816-186179965	chr1:186179966-186180115	chr1:186180116-186180265	chr1:186180266-186180415	chr1:186180416-186180565	chr1:186180566-186180715	chr1:186180716-186180865	chr1:186180866-186181015	chr1:186181016-186181165	chr1:186181166-186181266	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	0.0877631	0	0	0	0	0.25318	0.526996	1.78041	2.06559	1.62583	1.78072	0.933257	0.0388209	0	0	0	0.060762	0.958543	1.39717	1.67065	0.796237	0.41347	0.399997	1.2809	0.88939	0.0202544	0	0	0	0	0	0	0	0	0	0	0	0	0.361905
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000126.3.0c600fad-76af-4396-b66d-45cc11ce045a.fc.signal	0	0.155129	0.492861	1.14586	1.97959	0.8502	0.891787	0.880256	0.228033	0	0	0.217337	0.3048	0.413816	0.282917	1.09297	0.790046	0.395942	0.673438	0.903028	1.48815	1.35285	0.623437	0.709666	0.889829	0.785927	0.304668	0.331675	0.0824404	0.20037	0.363968	0.522736	0.365251	1.6526	0.427884	0.430979	1.7686	1.68579	0.666667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.b264ae9e-8457-4fbc-9ae1-9ad1d872e973.fc.signal	0.470423	0	0	0	0	0	0.108692	0.723889	0.587116	0.436574	0.980578	0.615518	0.025744	0	0	0	0.008496	0.96632	1.97512	2.20235	0.552189	0.114696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.44df7b1b-5968-426b-8cea-e4fad8f3b32b.fc.signal	0	0.598305	0.594787	0.227877	0.70894	0.8594	1.5598	1.08296	0.019952	0	0.536149	1.09954	0.577776	0.477162	0.320711	1.13517	1.15485	0.072636	0	0.726273	0.880205	2.46921	0.982045	0.815755	0.804494	1.17757	1.56306	1.24606	1.6502	1.79994	1.52974	0	0.0571443	1.68947	0.708039	0.357591	0	0.3159	0.246319
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004713.2.44d9234d-e938-4209-8bc5-a1f9ee0dcbe4.fc.signal	0.853918	0.345906	0.184084	0.8736	1.40257	0.449708	0.296299	0.927147	0.662333	0.981806	0.900922	0.704271	0.314764	0.281611	0.554358	0.463955	0.624991	0.451272	0.227819	0.36767	0.712317	1.4438	1.27562	0.313977	0.979076	1.31923	2.19073	1.16914	0.425935	1.54856	0.608121	0.384185	1.2629	0.826483	1.63785	0.713718	0.855298	0.427093	0.682181
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.de511913-2cf9-43ba-9705-d5ac577dfa6f.fc.signal	0.434194	0.734495	0.785458	0.302354	1.27277	1.77187	1.09568	0.765931	0.506254	1.33468	2.12832	1.81848	0.468181	0.50437	0.728333	0.141262	0.500471	0.253649	0.389568	0.921324	0.772814	0.261944	0.217003	0.571509	0.718142	0.754377	0.250286	0.762044	1.15683	1.41329	0.386597	0.521011	0.974907	0.58353	0.27941	0.871306	1.3079	0.618058	0.556338
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.15a517d0-8389-43f7-9ce5-66c163ab4bf7.fc.signal	0.309621	1.03524	1.31591	1.16585	0.668153	0.483095	1.57273	1.78153	0.715185	0.462892	1.28615	0.642448	0.649338	0.306359	0.532684	1.21216	1.67238	1.33734	0.856866	0.703063	0.521914	0.841663	0.963385	1.68396	1.04559	0.611013	0.91792	0.963729	0.8196	0.938656	0.530267	0.821619	0.585563	0.380141	0.555489	0.663725	0.555771	0.849118	0.675781
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.bb1bb2b2-42c2-4f18-8e8f-61e82ab17b84.fc.signal	0.306485	0.301597	0.604387	0.99129	0.821082	0.742407	0.413858	0.221547	0.125653	0.193183	0.0337193	0.171852	0.402423	0.431788	0.4743	0.638161	0.278959	0.202563	0.12479	0.23276	0.177714	0.318307	0.409791	0.583793	0.531874	0.496782	0.328992	0.376557	0.698058	1.37737	0.868194	0.358707	0.297094	0.663032	1.12782	1.24418	1.35467	0.682107	0.232558
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.ed39a30d-e8d4-4be8-8a48-6338c0cdb04b.fc.signal	0.351166	0.609027	0.415653	0.452565	0.179108	0.295216	0.178988	0.547745	0.272323	0.341639	1.59772	0.948249	0.233378	0	0	0	0	0.0763278	0.89937	0.452095	0.814591	0.213352	0	0.599668	0.628281	0.487749	0.249194	0.301567	0.476749	0.351424	0.449092	0.339209	0	0	0.27949	0.0191104	0	0	0.632479
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83e601b8-bef8-49e1-b42e-c29a56e1ac1c.fc.signal	0.258935	0.376947	0.456707	1.15388	2.26364	1.63223	0.626961	0.511903	0.294952	0.346693	0.887143	1.0739	0.923539	0.31608	0.707824	1.26515	0.439044	0.45075	0.992784	1.17615	0.744293	1.01706	0.74203	0.476577	0.243385	0.385861	0.249886	0.423885	1.06424	0.724133	0.725234	0.616996	0.879653	0.673507	0.564234	0.505522	0.392504	0.497837	0.299145
