	chr2:227991034-227991093	chr2:227991094-227991183	chr2:227991184-227991253	chr2:227991254-227991333	chr2:227991334-227991483	chr2:227991484-227991633	chr2:227991634-227991783	chr2:227991784-227991813	chr2:227991814-227991933	chr2:227991934-227992083	chr2:227992084-227992133	chr2:227992134-227992233	chr2:227992234-227992383	chr2:227992384-227992533	chr2:227992534-227992683	chr2:227992684-227992833	chr2:227992834-227992983	chr2:227992984-227993133	chr2:227993134-227993183	chr2:227993184-227993283	chr2:227993284-227993333	chr2:227993334-227993433	chr2:227993434-227993583	chr2:227993584-227993703	chr2:227993704-227993733	chr2:227993734-227993883	chr2:227993884-227994033	chr2:227994034-227994183	chr2:227994184-227994333	chr2:227994334-227994483	chr2:227994484-227994633	chr2:227994634-227994783	chr2:227994784-227994933	chr2:227994934-227995033	chr2:227995034-227995083	chr2:227995084-227995133	chr2:227995134-227995233	chr2:227995234-227995383	chr2:227995384-227995533	chr2:227995534-227995683	chr2:227995684-227995833	chr2:227995834-227995983	chr2:227995984-227996120	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.0860277	0.108022	0.118723	0.0878986	0.100571	0.282861	0.134305	0	0.0964183	0.355868	0.697244	0.578724	0.369497	0.459328	0.167919	0.112526	0.289595	0.636371	0	0.0353912	0.318623	0.870174	1.42169	1.11889	0.417585	0.293238	0.413956	0.693584	0.893354	0.535595	0.801628	0.170647	0.794374	1.35498	1.07853	1.3055	1.41104	0.881573	0.414891	0.475945	0.168804	0.126191	0.843114	0.206061
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	0.874922	0.743069	0.269529	0	0.141083	1.79112	0.301663	0.299087	0.490754	0.210362	0.495775	0.643167	0.651351	0.248354	0	0.354164	0.291585	0.858056	0.453873	0.0390537	0.344609	0.464793	0.512864	0.0246791	0	0	0.582798	1.00763	0.156637	0.509896	0.43457	0	0.432349	0.989866	0.450426	0.298205	0.197923	0	0.546052	0.796372	1.30472	0.140732	0	0.66515
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0	0	0	0.461568	0.732397	0.261075	0.75018	0.474787	0.449378	0.395721	0.56479	0.376616	0.142402	0.53398	0.19977	0.452663	0	0	0	0	0	0.220243	0.499796	1.38713	0.704032	0.0516443	0	0.311036	0.22483	0.133469	0.233555	0	0.454348	0.503584	0.426125	0.245867	0.276168	0.925657	0.590527	0.348179	0.206032	0.616119	0.705499	0.558011
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.555de7dc-c653-4909-9c33-caf14688e0ce.fc.signal	0.512431	1.33372	1.24693	0.55003	0.0497318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15381	0.33437	0.648678	0.477035	0.0445827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00849407	0.335517	0.846187	0.715696	0.0178055	0.849515
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000957.7.e974118a-1765-49cc-99dd-3d99dcd758cf.fc.signal	0.676813	1.16498	0.771151	0.709158	0.850439	0.949429	0.396061	0	0.270301	0.762997	0.948688	0.49355	0	0.296342	0.398571	0.360977	0.469056	0.616827	0	0.032115	0.502785	1.11469	0.758254	0.102024	0	0	0.175183	0.285817	0	0.410493	0.334534	0.317806	0.505415	0.556573	0.407237	0.502175	0.481506	1.05676	0.827369	1.65153	1.16889	0.106032	0	0.165272
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	0	0.146361	0.42669	0.385174	0.111135	0.26167	0.33365	0	0.262286	0.461294	0.2738	0.135641	0.455508	0.864319	0.530761	0.498095	0.279462	0.640122	0.72862	0.515751	0.357242	0.355099	0.420263	0.148646	0.218684	0.544087	0.668889	1.09439	0.596763	0.548011	1.47989	0.8066	0	0	0	0.303888	0.290067	0.339711	0.341993	0.227975	0.248244	0.148635	0.666362	0.537155
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83112ba3-4a46-4bcb-b23c-b8a94da18e77.fc.signal	0.414762	0.476765	0.269998	0.196759	0.509167	0.795553	0.0427391	0	0.552738	0.262259	0.201999	0.052061	0.292672	1.16655	0.618303	0.784391	0.0473327	0.174861	0	0	0	0.0388974	0.245887	0.326571	0.210208	0.29429	0.581373	0.65103	0.192128	0.480454	0.73263	0.522795	1.079	1.26557	1.176	1.30726	0.702574	0.285184	0.725271	2.34496	1.50104	1.71685	1.48319	0.413673
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.61135aae-0e5d-4a79-9f3a-0fb631125d88.fc.signal	0.773707	2.15484	2.33167	1.23535	0.070618	0.405722	0.216504	0	0.243559	0.23697	0	0	1.13169	0.702462	0.508388	0.426448	0.174651	0	0	0	0.0187554	0.549338	0.31847	0	0	0.0529232	1.75341	0.435746	0	0	0	0	0.849536	0.493258	0.346964	0.46887	1.19907	0.714755	0.735134	0.286909	0.400883	0.595329	0	0.518758
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.9ac74a4d-9d70-4efc-945e-29c0f04f171f.fc.signal	0.575051	0.632959	0.399486	0.262411	0.707343	0.563474	0.624477	0.351942	0.326015	0.19302	0.606172	0.611678	0.476226	0.497182	0.0673386	0.437882	0.389568	0.02644	0	0.244957	0.486371	0.437951	0.502528	0.0931178	0	0	0.185089	0.54379	0.0818481	0.122405	0.674053	0.52396	0.396882	0.0180292	0	0.110446	0.232136	0.432285	0.505663	0.145092	0.636728	0.426716	0.56141	0.441472
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.f291fb29-a363-426c-a2c2-33a98c6182ef.fc.signal	0	0	0	0	0	0.0920521	0.1994	0	0.311718	0.100731	0	0.221945	0.247702	0.27495	0.0604201	0.194823	0.316583	1.19479	0.0942062	0	0	0.134392	0.28692	0	0	0.267637	0.110944	0	0.0330999	0.167989	0.311674	0.333397	0	0	0.170001	0.454628	0.474215	0.0833767	0.263112	0.599404	0.645318	0.667172	0.584148	0.483444
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.3ac72c63-5790-4eab-ab70-1f2408156b61.fc.signal	0.364384	0.375091	0	0	0.130968	0.480958	0.0316103	0	0.342384	0.130122	0	0.0413979	0.668804	0.669875	0.101117	0.430896	0.241009	0.00294813	0.255433	0.392154	0.113635	0	0	0	0	0	0.318026	0.209282	0.331241	0.126382	0	0.624612	0.764866	0.667088	0.854453	0.443519	0.282673	0.399718	0.10213	0.0943404	0.730347	0.708108	1.10395	0.481034
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004606.2.411a52db-8794-484a-8712-a21b0a7c3495.fc.signal	0.580921	1.1018	0.921321	0.787505	0.51444	0.497772	0.062098	0	0	0.113535	0.342641	0.457859	0.230698	0.491642	0.344889	0.334229	0	0	0	0	0	0.016102	0.475982	0.514587	0	0	0.183085	0.46603	1.16052	1.44574	0.796431	0.631316	1.21471	0.717472	0.0302106	0	0	0.516584	0.231595	0.380112	0.28295	0.176951	0	0.196262
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.483aa0c8-5543-4e25-b16f-2f222c5a2d5b.fc.signal	0	0.0435771	0.171699	0.0964687	0.887408	0.382046	0	0	0	0.254053	1.14378	1.07083	1.35427	0.348046	0	0.144242	0.842821	0.14929	0.436549	0.66119	0.755092	1.31216	0.151726	0.758314	1.27598	0.332984	0.307993	0.515406	0.522218	0.404181	0.467526	0.0642624	1.28769	1.02488	0.780861	0.670456	0.800962	0.307327	0.441245	0.950355	1.50825	0.978524	0.832276	0.444853
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.0fc0f90b-b2ac-4c17-952e-d39560131bf4.fc.signal	0.128518	0.360009	0.53964	0.516383	0.171585	0.244104	0.171795	0.397065	0.385035	0.151608	0.192535	0.244239	0.498415	1.30506	0.529339	0.325257	0.541616	0.638265	0.23929	0.237939	0.4984	0.690003	0.446328	0.188692	0.09887	0.0488999	0.304419	0.139472	0.00725047	0.17311	0.37996	0.290076	0.174702	0.151115	0.5137	0.487172	0.279025	0.125413	0.299105	0.322633	0.0794046	0.687329	0.380405	0.422047
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.1ff1e0cf-fe7a-4485-b51f-e180baac3300.fc.signal	0.759435	0.435712	0.10417	0	0.0814786	0.417016	0	0	0	0	0	0	0.846073	0.558021	0.0850716	0	0	1.68589	0.481652	0.0573903	0.33759	0.366851	0	0	0.082168	0.222074	0.276614	0.415387	0.411339	0.055946	0.454491	0.190502	0.22247	0	0.58199	0.58199	0.261896	0	0.277689	1.30326	1.06033	0	0	0.503693
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004664.3.88322dc5-ffd0-48cb-8071-68d28d8e1eea.fc.signal	0.103348	0.372069	0.351314	0.319572	0.133654	0.844653	0.647188	0.912045	1.51164	1.6602	0.991658	0.44666	0.413307	0.369687	0	0.168312	0.349919	0.0573211	0	0	0	0	0	0	0	0	0.387105	0.780621	0.285862	0	0	0.387489	0.25887	0	0	0	0.218265	0.44666	0.400319	0.717515	0.708742	0.899385	0.345625	0.0975845
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.b63d6dc1-6fc0-4b8d-9bff-172e3f638785.fc.signal	0	0.0754682	0.17439	0.174273	0.129586	0	0	0	0	0	0	0.0478704	1.0079	1.38021	0.132973	0	0	0	0	0	0	0	0.332433	0.79784	0.638272	0.382963	1.55569	0.792489	0	0	0	0.172865	1.10098	1.29646	0.837732	0.406898	0	0.778903	1.23292	0.849653	0.246506	0.500247	0.272096	0.505435
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.6e43a1d4-827b-4226-ab35-bcd9e4427ba9.fc.signal	0.285512	0.159814	0.0750429	0	0	0	0	0	0	0	0	0	0.236357	1.65732	0.976382	0	0	0	0	0	0	0.109737	0.84413	0.647166	0	0	0	0	0.0196966	0.65561	1.16772	0.906034	0.120993	0	0	0	0	0	0.242111	0.52839	0.778431	0.827657	0.502167	0.312704
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.61dbfaab-48a0-49aa-b249-2516c02981de.fc.signal	1.03637	0.651523	0.137215	0	0	0.0943462	1.62784	1.29728	0.476609	0.447449	0	0	0.274043	0.884168	0.0283509	0	0	0	0	0	0.274061	0.37355	0.114759	0	0	0	0.537349	1.06735	0.840363	0	0	0.163444	1.14589	0.762296	0.320858	0.50134	0.745278	0.969999	0.211853	0.452273	0	0.134266	0.435882	0.555775
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.651f7635-fa04-4a73-ad9d-b88c234511f0.fc.signal	0.537342	0.220902	0.257993	0.478574	0.153576	0.385455	0.594372	0.190716	0	0	0	0	0.0626141	0.323171	0.289196	0.602021	0.283858	0.793307	0.09832	0.185392	0.2042	0.0281265	0.0612957	0.474346	0.265359	0.481515	0.677337	0.437266	0.0899032	0.0953073	0.183162	0	0	0	0	0	0	0.225466	0.3452	0.32936	0.46438	0.611781	0.63557	0.386486
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.8f250bd6-ace7-4938-8056-c658c54331a9.fc.signal	0.597603	0.275376	0	0	0	0	0.235587	0.50483	0.50483	0.531754	0.50483	0.212029	0.545212	0.989457	0.0471175	0	0	0	0	0	0	0.100966	0.747144	0.778274	0.50483	0.0437519	0	0	0	0	0	0.0235587	0.891859	0.89859	0.201932	0.383671	0.562214	0.555338	0.382728	1.22429	1.18922	1.21298	0.319416	0.420641
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.986e393c-de82-4afc-818b-4cc2a632dc28.fc.signal	0	0	0	0	0	0	0.132478	0.54947	0.718921	1.47549	0.808471	0.148357	0.336578	1.02928	1.06211	0.292882	0	0	0	0	0	0	0.152636	0.357052	0	0.0557856	0.71006	0.527491	0.415303	0.0680124	1.04124	0.207485	0.350363	0.472647	0.0641592	0.53238	0.540053	0.106231	0	0.131047	0.474851	0	0	0.447479
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.486b8afb-6747-4d4a-93ee-788cf88097fc.fc.signal	0	0.0853894	0.715014	1.19006	0.914441	0.36166	0	0	0.0420282	0.521218	0	0	0.239911	0.299784	0.0844938	0.428505	0.488311	0.86943	0.654204	0.386823	0.364604	0.678917	0.438201	0.318084	0.0393247	0	0	0.0818344	0.588659	0.784429	0.963858	0.222992	0.107658	0.10789	0.162996	0.472662	1.14535	0.930414	0.481951	0.927541	0.567769	0.844066	1.43252	0.420977
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.b81732b7-0852-42a0-916a-8784920a02a3.fc.signal	0.384465	0.333392	0.106287	0	0	0	0	0	0	0	0.171117	1.2318	1.25677	0.087199	0	0.223801	0.575428	1.09084	1.20884	0.114961	0	0	0.548043	0.506422	0	0	0	0	0	0.261754	0.272846	0	0	0	0	0	0.189991	0.460628	0.39917	0.520223	0.145133	0.51569	0.659915	0.547071
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000235.3.077c5772-92ce-4a32-a06f-48c1b9a6f571.fc.signal	0.864624	1.45202	1.12263	0.867211	0.256796	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20153	0.362813	0.753815	0.876784	0.713517	0.277141	0.20153	0.0161224	0.2701	0.388374	0.0537413	0	0	0	0	0	0	0.0443366	0.20153	0.380196	0.480436	1.21795	1.9495	0.748464	0.0397176	0.487952
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000980.8.339aed23-3831-43ff-b152-c5545f91df38.fc.signal	0	0.812197	3.8097	1.95096	0	0	0	0	0	0	0	0	1.59725	0	0	0	0	0	0	0	0	2.10624	1.22687	1.98612	0.123285	0	0	0	0	1.0787	0	0	0	0.276148	5.30863	3.84664	0.169183	0	0	0.797133	0	0	0	0.207273
