	chr12:39327742-39327891	chr12:39327892-39328041	chr12:39328042-39328191	chr12:39328192-39328341	chr12:39328342-39328491	chr12:39328492-39328641	chr12:39328642-39328791	chr12:39328792-39328941	chr12:39328942-39329091	chr12:39329092-39329241	chr12:39329242-39329391	chr12:39329392-39329541	chr12:39329542-39329691	chr12:39329692-39329841	chr12:39329842-39329991	chr12:39329992-39330141	chr12:39330142-39330291	chr12:39330292-39330441	chr12:39330442-39330591	chr12:39330592-39330741	chr12:39330742-39330891	chr12:39330892-39331041	chr12:39331042-39331191	chr12:39331192-39331341	chr12:39331342-39331491	chr12:39331492-39331641	chr12:39331642-39331791	chr12:39331792-39331941	chr12:39331942-39332091	chr12:39332092-39332241	chr12:39332242-39332391	chr12:39332392-39332541	chr12:39332542-39332691	chr12:39332692-39332762	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.35530d7a-23e1-468e-978a-d33955937d72.fc.signal	1.37107	0.41461	0.85136	1.32963	1.19545	1.48582	2.15796	2.22628	1.59652	1.27935	0.870598	1.45449	2.84056	1.46976	0.960312	1.30749	3.20465	2.37324	2.29462	3.22737	4.32741	3.42813	3.21062	1.71738	1.02223	1.55763	2.984	2.4281	2.30788	1.90013	2.74169	1.86072	3.28091	3.37738	0.270358
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.b3b3b801-4bf3-4e6f-974d-5cca823d1b91.fc.signal	0.542293	0.0282824	0.127885	0.287748	0.451298	1.50134	2.99157	0.688604	0.0258231	0	0.0282827	0.36891	0.0700925	0	0	0	0.131574	0.236099	0.099603	0	0	0.179534	0.282829	0.00491867	0	0	0	0	0	0	0	0	0.0934547	0.32994	0.420354
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	0.826382	0.383969	0.59841	0.6656	0.40251	0.790882	1.01042	0.782512	0.266952	0	0	0	0	0	0	0	0	0	0	0	0.325726	0.464088	0.104648	0	0	0	0	0	0	0	0	1.21508	4.83148	5.05199	0.397781
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000743.1.1bd642c8-def0-432c-b22d-2321d6cee6ca.fc.signal	1.49585	0.582451	1.53843	1.50433	1.81051	2.16604	1.8611	1.76592	0.634355	1.02244	1.10483	2.01323	2.36805	1.17886	0.698892	2.11937	1.71252	0.984668	1.04104	1.30929	0.935296	0.779938	0.685539	0.939629	0.637933	1.05453	1.083	0.468547	0.482603	0.735976	0.516553	0.706676	0.769838	1.2664	0.121795
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	1.06905	1.4228	0.953237	0.854846	0.757233	1.6577	1.01264	0.608828	0.871127	0.56164	0.834232	0.78598	1.78847	1.06511	2.00439	2.16955	1.84327	1.91978	2.48686	4.34538	1.85988	2.38436	3.24234	2.30256	1.34565	1.09213	2.57959	2.67065	2.04415	2.18702	2.45893	2.14249	2.89748	2.06646	0.447154
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	0.471643	0	1.10074	1.29605	0.435793	2.14486	2.80244	1.76	1.84892	0	0	0.901839	3.47133	0.879524	0	0	0	0	0	0	3.75159	3.45779	2.71655	0.76785	0	0	7.14978	1.37901	0.269242	0	0	0.159813	3.34679	1.91733	0.271307
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.e6af9ec0-8b4b-4624-8b3a-51f86f371f0f.fc.signal	2.79233	1.82452	2.16096	2.51323	2.83041	3.2538	3.27498	3.00674	3.55235	2.802	1.81069	3.40791	3.41562	2.58184	3.21937	3.98704	3.65361	4.8563	5.06803	5.50005	5.93607	5.69087	5.09344	6.48187	7.29307	6.10962	7.07487	8.33758	8.7698	6.44157	6.03134	7.27486	9.99463	8.64942	0.247148
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001959.2.69eb8040-32c4-4c18-85e7-a74953df6c51.fc.signal	1.16832	1.29691	2.3868	4.69812	3.73256	1.84534	1.24427	1.3101	1.82193	1.9334	2.81459	1.5195	3.16634	2.13988	0.351766	0.992386	1.33114	1.25983	1.21476	2.15014	2.87133	2.02384	2.65809	2.28989	0.506524	1.1986	3.78151	3.6523	1.29299	0.798043	1.31904	1.58667	1.98952	1.9583	0.0414621
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003404.1.88cb95dd-5a6d-4570-8a21-b967680b5521.fc.signal	0.69626	0.133614	1.31248	0.993758	0.0705521	0.350193	2.70183	0.925375	0.797824	0.476303	0	0.615113	0.520413	0.77034	0	0	0	0	0	0	0.447138	0.257312	0.468472	0.209531	0	0	0.542514	0.594066	0.657466	0	0.41707	0.291468	1.20214	1.45416	0.116892
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001044.7.72ced85f-cc3d-4155-864f-c88e943e41cd.fc.signal	1.02327	0.574567	0.651427	1.5908	1.21398	0.741256	1.205	1.25671	0.692457	0.443391	0.625628	1.2497	1.44485	0.848673	0.0913613	0.477838	0.992076	1.58741	1.12623	2.03066	4.50439	2.54818	1.36701	1.14144	0.78222	0.799951	1.42771	1.91399	1.79637	1.54409	1.26905	1.18761	2.34239	2.22525	0.177515
