	chr1:42732634-42732783	chr1:42732784-42732933	chr1:42732934-42733083	chr1:42733084-42733233	chr1:42733234-42733253	chr1:42733254-42733303	chr1:42733304-42733383	chr1:42733384-42733403	chr1:42733404-42733443	chr1:42733444-42733533	chr1:42733534-42733593	chr1:42733594-42733683	chr1:42733684-42733763	chr1:42733764-42733833	chr1:42733834-42733893	chr1:42733894-42733983	chr1:42733984-42734133	chr1:42734134-42734243	chr1:42734244-42734283	chr1:42734284-42734433	chr1:42734434-42734523	chr1:42734524-42734583	chr1:42734584-42734643	chr1:42734644-42734733	chr1:42734734-42734823	chr1:42734824-42734883	chr1:42734884-42734973	chr1:42734974-42735033	chr1:42735034-42735143	chr1:42735144-42735183	chr1:42735184-42735333	chr1:42735334-42735483	chr1:42735484-42735573	chr1:42735574-42735633	chr1:42735634-42735783	chr1:42735784-42735933	chr1:42735934-42736083	chr1:42736084-42736173	chr1:42736174-42736233	chr1:42736234-42736383	chr1:42736384-42736533	chr1:42736534-42736683	chr1:42736684-42736813	chr1:42736814-42736833	chr1:42736834-42736983	chr1:42736984-42737053	chr1:42737054-42737133	chr1:42737134-42737283	chr1:42737284-42737433	chr1:42737434-42737583	chr1:42737584-42737663	chr1:42737664-42737733	chr1:42737734-42737853	chr1:42737854-42737883	chr1:42737884-42737943	chr1:42737944-42738033	chr1:42738034-42738183	chr1:42738184-42738303	chr1:42738304-42738333	chr1:42738334-42738378	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.d45c4556-52ef-4ca9-a134-983b6abd1f9a.fc.signal	0	0.123491	0.229341	0.10732	0.44104	0.352832	0.129556	0	0.121286	0.605305	0.713245	0.56363	0.0744255	0	0	0	0	0	0	0	0.0453033	0.172186	0.110516	0.105937	0.103106	0	0	0	0	0	0	0	0	0.0680013	0.290082	0.0249923	0.0382235	0.439393	0.122966	0	0.152894	0.236691	0.445799	0.44104	0.22346	0	0	0	0	0.157962	0.498987	0.214219	0.115773	0.22052	0.099234	0	0	0	0	0	0.421149
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.4a1ca7c4-2f79-45be-831a-730c86435275.fc.signal	0	0	0.792659	1.86001	1.6427	0.0177602	0	0	0	0	0	0	0	0.121184	0.541179	1.25239	0.985926	1.12596	1.29735	0.39144	0	0	0	0	0	0	0	0	0	0	0	1.21232	0.948327	0.716417	0.853381	0.868915	0.0990685	0	0	0	0	0.489229	0.454037	0.586737	0.963216	0.758163	0.284299	0.798679	1.97231	0.683122	0.380385	0.432898	0.643558	0	0	0.533778	0.761985	0.123373	0.349339	0.334251	0.325424
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.a0cc4058-35e9-4651-8cca-631ead3cc726.fc.signal	0	0	0	0	0	0	0.103742	0.24906	0.245422	0.130148	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192287	0.198069	0.506823	0.47257	0.356174	0.0814707	0.0404275	0.233005	0.0253027	0	0	0	0.105104	0.137331	0	0	0	0	0	0	0	0.005682	0.307843	0.250605	0	0	0	0.0213686	0.650988	0.559824	0.092135	0.205027	0.121172	0.126049	0.0389632	0.198956	0.189047	0.328371
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004655.3.cf40a4a9-4cda-4678-bd80-f40b9fb23433.fc.signal	0.512786	0.592599	0.977762	0.806998	0.369781	0.0816838	0	0	0	0.319225	0.54969	0.636154	0.359824	0.137697	0.140105	0.101019	0.213627	0.258408	0.255501	0.288759	0.398665	0.296678	0.327612	0.372543	0.1805	0.271555	0.17903	0.547283	0.783924	0.886019	0.806172	0.415618	0.00938111	0	0.216171	0.368213	0.292691	0.321339	0.282393	0.219677	0.215499	0.0659823	0	0	0.116849	0.185432	0.268313	0.299152	0.396901	0.634362	0.679052	0.427666	0.239448	0.159954	0.180706	0.155831	0.354284	0.320902	0.22662	0.246051	0.699422
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.e7144f2b-c79b-4aad-950f-07ae1b5e1dad.fc.signal	0.260542	0.828301	0.169105	0.481341	0.662717	0.301646	0	0	0	0	0	0	0.208525	0.783437	0.666487	0.406261	0.265083	0.281553	0.625091	0.259675	0.124539	0	0	0.0469587	0.153614	0.223859	0.126956	0.0990253	0.369787	0.091408	0	0	0	0	0	0	0.255881	0.0418548	0	0.291835	0.290457	0.202516	0	0	0.20452	0.224187	0.22852	0.269654	0.262036	0	0	0	0	0	0	0	0	0.158853	0.579186	0.722665	0.266983
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004884.1.04b53f1e-ede2-4352-b282-8fd62b69ea23.fc.signal	1.66293	0.938754	0.350547	0.224707	0.762111	0.662804	0.491057	0.4146	0.08292	0.0127962	0.550985	0.883734	1.07933	0.389593	0.156627	0.234999	0.962784	1.12391	0.859202	1.37655	1.50727	0.587564	0.549667	0	0	0	0.0476127	0.712833	0.940696	1.38573	1.26068	0.414617	0.0806198	0.525374	1.63128	1.3198	0.615614	0.725282	0.414039	0.398909	0.753227	0.611222	0.50308	0.483707	1.40947	1.64468	1.04827	0.49523	1.08865	1.10424	0.687963	0.651551	0.589653	0	0	0	0	0	0	0	0.216061
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.f473421b-0068-43e9-8689-afd1d3e0454e.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323291	0.355863	0.22381	0	0.0327454	0.247117	0.275316	0	0	0	0	0.0217333	0.244236	0.11112	0	0.12739	0.247656	0.0228344	0	0	0	0	0	0	0	0	0	0	0	0.318357	0.28154	0.0955224	0	0	0	0	0	0	0	0	0	0	0	0.357957	0.029978	0	0	0.250266
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.0a4412db-98d2-49c5-9fe7-7e089d81032b.fc.signal	0.83849	0	0	0.463928	0	0	0.676023	0.845167	0	1.56485	0.087704	0.756099	0.178487	2.29155	0.985414	2.38022	0.65942	1.36757	0.883988	0.322574	0.591378	0.279465	0.688635	0	0	0	0	0.27839	0.578293	0.869387	0.607987	0.480936	2.6269	0.930591	1.52754	0	0	0.761889	0	0	0.913251	0.668006	0.019902	1.5497	1.09207	0	0	0	0.449977	0.104886	0.674707	0.326177	0	0	0	0.15031	1.21775	0.674552	1.83403	1.95604	0.264706
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e8717b6c-436c-4750-b776-17ab8ac934dd.fc.signal	0	0.183495	0.733982	0	0	0.383672	1.7934	2.50237	4.02455	2.78039	1.07049	0	0.0793429	0.70527	1.14834	1.39321	2.10935	0.576268	0	0	0	0	0	0	0	0	0.639455	2.91941	3.18977	1.21669	0.26175	1.17222	0.590333	1.95993	1.4625	0.208441	0.739105	0.598168	0	1.61924	0.650369	0	0	0	0	0.580188	1.93685	0.866576	0.658074	0.358893	0.82924	0.131068	0	0.250221	0.83407	1.14922	0.768256	0.450957	0	0.834102	0.506494
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.6bb5df92-9ff3-4e16-95ee-8879c7d772cd.fc.signal	0.29899	0	0	0	0	0	0.0614725	0.250165	0.336524	0.183959	0.342623	0.199651	0	0.100518	0.270959	0.0963872	0.0650921	0.230661	0.324269	0.437152	0.0371988	0	0.236435	0.617597	0.184341	0.325171	0.134086	0	0	0	0.206445	0.386475	0	0	0	0.296617	0.00949173	0.35594	0.441291	0.224947	0.600847	0.441833	0.722811	0.064385	0.284788	0.7951	1.19272	0.147301	0.520806	0.182716	0.671837	0.285472	0.210981	0	0	0.280797	0.423504	0	0	0.114456	0.492593
