	chr1:230772054-230772203	chr1:230772204-230772353	chr1:230772354-230772503	chr1:230772504-230772653	chr1:230772654-230772703	chr1:230772704-230772803	chr1:230772804-230772833	chr1:230772834-230772953	chr1:230772954-230773103	chr1:230773104-230773253	chr1:230773254-230773403	chr1:230773404-230773553	chr1:230773554-230773623	chr1:230773624-230773703	chr1:230773704-230773853	chr1:230773854-230773943	chr1:230773944-230774003	chr1:230774004-230774153	chr1:230774154-230774303	chr1:230774304-230774383	chr1:230774384-230774453	chr1:230774454-230774603	chr1:230774604-230774663	chr1:230774664-230774713	chr1:230774714-230774753	chr1:230774754-230774823	chr1:230774824-230774903	chr1:230774904-230775053	chr1:230775054-230775203	chr1:230775204-230775353	chr1:230775354-230775413	chr1:230775414-230775503	chr1:230775504-230775573	chr1:230775574-230775653	chr1:230775654-230775803	chr1:230775804-230775953	chr1:230775954-230776103	chr1:230776104-230776193	chr1:230776194-230776253	chr1:230776254-230776313	chr1:230776314-230776403	chr1:230776404-230776453	chr1:230776454-230776553	chr1:230776554-230776703	chr1:230776704-230776853	chr1:230776854-230777003	chr1:230777004-230777131	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.642afba0-6390-4d20-9062-25a6e2cb3e9d.fc.signal	0.387835	0.550612	0.543074	0.451795	0.609285	0.444358	0.184691	0.272118	0.319299	0.440184	0.185681	0.191901	0.441094	0.432215	0.492238	0.671614	0.716007	0.390647	1.02334	1.2862	0.620627	1.09345	1.46225	1.26516	0.669929	0.67898	0.891969	1.15215	0.911942	1.83937	2.37283	1.72611	0.570992	0.420822	0.360227	0.387931	0.660785	1.18885	0.743623	0.451269	0.227449	0.302017	0.331638	0.1317	0.490355	1.01205	0.853159	0.783883
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001006.4.35d5a8b6-1eb5-4bfe-b35b-6d956f6f9ff2.fc.signal	0.93585	1.15932	0.817222	0.15933	0.196236	0.0926957	0	0.368461	0.227359	0.642781	0.838674	0.739643	0.759841	0.375581	0.102837	0.101369	0.324903	0.754413	0.210035	0.153401	0.36064	0.364428	0.229972	0.109232	0	0.555921	0.68187	0.316006	0.808949	1.21867	0.814958	0.663861	0.314238	0.374192	0.867832	0.591725	0.74263	1.29346	1.17376	0.962735	1.14383	0.929493	0.516211	0.523543	0.384783	0.865036	0.475664	0.341085
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.24f592c8-8c69-4c91-ba18-ad0c533ddaf8.fc.signal	1.80061	1.79537	0.685036	0.845264	1.79186	0.721458	0.5268	0.538163	0.905623	1.42502	0.165136	0.749561	1.18058	0.335834	0.853244	1.60057	2.12475	1.04717	1.82824	1.63543	0.767184	0.704272	0.928428	0.402975	0	0	0	0.579874	2.78841	0.513343	0.659566	1.23555	1.30419	0.375856	0.334917	0.848163	0.586002	0.623817	1.41896	1.45848	0.497531	1.728	1.54038	0.444905	1.06828	1.12333	0.8919	0.702128
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001018.4.1f07a69f-5385-434d-9868-2041e2fec782.fc.signal	1.07308	0.726248	1.11008	0.751445	0.785281	0.35307	0.241353	0.70021	0.771047	1.00424	0.768769	0.385686	0.568523	0.335795	0.292802	0.190494	0.549199	1.57406	1.00966	0.495009	0.590055	0.698482	1.06212	0.53729	0.0621562	1.13375	2.17398	0.845673	1.44367	1.30432	1.06715	0.977007	1.0222	1.4565	1.07936	0.843663	0.19367	0.322229	0.506822	0.898901	1.63795	1.02837	1.03944	0.801177	0.714022	1.21856	0.451299	0.680887
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001003.4.9d84f1f6-2f6a-416c-bcef-ff170f289a63.fc.signal	0.602395	0.691633	0.212642	0.472218	0.256671	0.0973746	0.226615	1.04007	1.01759	1.21265	1.23259	0.290191	0.546435	0.32206	0.595463	0.482277	1.35956	1.74786	0.262062	0.443517	0.225674	0.101962	1.1759	1.30725	0.713743	0.144171	0.738784	1.00441	0.717073	0.72539	0.183844	0.548776	0.45903	0.511944	0.763694	0.0633087	0	0.475347	0.499795	0.269147	0.600297	1.04663	0.919199	0.907257	0.744437	1.24898	0.847876	0.468905
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.ca485291-98be-4da7-8667-33d3bd0f55ac.fc.signal	0.429833	0.319517	0.341204	0.536538	0.642747	0.185388	0.0785223	0.149546	0.112742	0.37154	0.620581	0.343058	0.359556	0.365706	0.574308	0.322088	0.538519	0.216627	0.305683	0.361248	0.6297	1.0047	0.919593	0.539634	0.313914	0.32044	0.712392	0.318979	0.293311	0.46522	0.548564	0.17048	0.430682	0.341681	0.109343	0.254855	0.207935	0.24368	0.43038	0.540077	0.344772	0.204863	0.335623	0.233693	0.397226	0.552513	0.184408	0.509115
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001021.4.71944ce4-bd57-4526-b0d0-a368c7bbdce8.fc.signal	0.914168	1.13094	0.562513	0.739862	0.57348	0.294188	0.167647	0.279614	0.298887	0.428762	0.801529	0.628562	1.11822	0.434368	0	0.208552	0.915022	1.42378	0.731482	0.276334	0.478684	0.171992	0.161948	0.0889434	0.157219	0.61694	0.870463	1.12369	0.764808	0.761214	0.0917683	0.295184	0.317705	0.487506	0.612741	0.371703	0.530702	0.67402	0.448953	0.865625	1.00754	0.752554	0.906114	1.00347	0.369313	0.362867	0.0312148	0.57754
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001022.4.66df243c-6c5c-42f5-bb98-73ebf9a3096e.fc.signal	0.838938	0.446996	1.06833	0.608588	1.13825	0.417581	0.144989	0.417001	0.352102	0.351216	0.241123	0.536357	0.739728	0.348264	0.162611	0.396396	0.544567	0.528769	0.373578	0.546542	0.418705	0.345167	0.206099	0.120031	0	0.227012	1.27787	1.15997	0.529782	0.567171	0.325859	0.241817	0.554965	0.226296	0.62711	0.801863	0.645627	0.412955	0.768819	0.965627	0.711313	0.535219	0.675043	0.325734	0.471309	0.26949	0.2609	0.442553
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001008.4.00528f90-1767-43ef-bb37-a22f6e9f4039.fc.signal	0.953259	0.95982	0.405947	1.76806	2.03306	0.65544	0.115409	0.69293	0.70537	0.446707	0.0499176	0.342575	0.857878	1.05538	0.96827	0.285634	0.487312	0.854398	0.777456	1.11691	1.77	1.46398	1.15735	0.326372	0	0.0367694	0.234932	0.822155	0.744591	0.280639	0.142549	0.0643848	0.448931	0.820438	1.11195	0.474534	0.157947	0.190241	0	0.657101	1.61753	1.73279	1.14715	1.04992	0.885839	0.448122	1.12538	0.528388
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003400.1.f1517182-68cd-4431-ae69-970e870c1c44.fc.signal	0.66834	0.145824	1.26445	0.790682	0.498416	0.478962	0.83658	1.28034	0.361048	0.853126	0.232307	0.809974	1.09362	0.857651	0.911697	2.31514	1.03793	0.535179	0.7171	0	0	0	0.03709	0.55635	0.55635	0.812197	0.27115	0.0699502	1.01527	1.30497	1.61351	1.59494	0.715339	0.157629	0	0	1.2625	1.7457	0.787474	0.145075	0.00618167	0.867956	2.19179	1.89528	0.129841	0.511262	1.71981	0.533213
