	chr3:55983477-55983626	chr3:55983627-55983776	chr3:55983777-55983926	chr3:55983927-55984076	chr3:55984077-55984226	chr3:55984227-55984296	chr3:55984297-55984376	chr3:55984377-55984526	chr3:55984527-55984626	chr3:55984627-55984676	chr3:55984677-55984746	chr3:55984747-55984826	chr3:55984827-55984976	chr3:55984977-55985056	chr3:55985057-55985126	chr3:55985127-55985276	chr3:55985277-55985426	chr3:55985427-55985576	chr3:55985577-55985726	chr3:55985727-55985876	chr3:55985877-55986026	chr3:55986027-55986176	chr3:55986177-55986326	chr3:55986327-55986476	chr3:55986477-55986626	chr3:55986627-55986776	chr3:55986777-55986926	chr3:55986927-55987076	chr3:55987077-55987156	chr3:55987157-55987226	chr3:55987227-55987286	chr3:55987287-55987376	chr3:55987377-55987526	chr3:55987527-55987616	chr3:55987617-55987676	chr3:55987677-55987726	chr3:55987727-55987826	chr3:55987827-55987976	chr3:55987977-55988126	chr3:55988127-55988196	chr3:55988197-55988276	chr3:55988277-55988426	chr3:55988427-55988488	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.510671	0.743804	0.275074	0.233134	2.63846	2.06435	0.867309	0.430495	0.133222	0	0.00528657	0.497257	0.773406	0.42556	0.325117	0.0604431	0	0	0	0.272604	0.413224	0.222034	0.542744	0.0296048	0.465032	0.275073	0	0	0.582831	1.84233	2.11545	1.09782	0.561244	0.156248	0.018503	0.18503	0.42556	1.30751	0.560012	0	0	0	0.238745	0.574803
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	1.2465	0.76042	2.15472	2.6412	2.10908	0.728074	0.31651	0.472253	0.26546	0.309553	0.495007	0.5035	0.579524	0.791579	0.60414	0.853555	1.24718	1.11157	0.73374	1.20865	1.47871	0.86693	0.994145	1.59417	1.48906	0.872758	0.850561	0.831354	0.396772	0.373162	0.470486	0.24952	0.173108	0.15047	0.222677	0.407843	0.476859	0.361305	0.397388	0.364631	0.385923	0.470703	0.495223	0.492308
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.18735c01-9e7f-4bc3-8ba6-c4181a530efa.fc.signal	0.270951	0.363198	1.28576	2.10704	1.21159	1.03546	0.516734	0.248367	0.254152	0.384518	0.470117	0.420448	0.382564	0.458956	0.535068	0.711918	0.449125	0.172245	0.364503	0.713705	1.78619	1.81056	1.15852	0.936113	2.27347	2.24117	2.59764	1.50401	0.715081	0.835814	0.648297	0.622222	0.603115	0.477999	0.311945	0.158361	0.0855024	0.319007	0.52415	0.493132	0.455176	0.889514	1.22954	0.479705
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.68c7e067-2bf1-45f2-8e15-c75a696edb6c.fc.signal	0.23165	0.240916	0.216207	0.260913	0.554448	0.523548	0.338674	0.35284	0.723649	0.221163	0.139486	0.116954	0.211274	0.145174	0.405086	0.419579	0.0907037	0.110128	0.0274505	0.541694	1.08113	0.330491	0.253272	0.858675	0.855877	1.31596	0.953936	0.613232	1.0326	1.46245	1.13536	0.791465	1.20473	0.334644	0.154896	0.148373	0.190008	0.312096	0.232327	0.202475	0.348411	0.485359	0.923071	0.643463
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d2972a82-a806-4e56-afab-8a78ae137176.fc.signal	0.338415	0.069378	0.280617	0.579614	0.258893	0.0590753	0.205642	1.74581	1.53607	0.34917	0.434035	1.03913	0.645045	0.235314	0.215846	0.618573	0	0.114157	0.858725	0.512465	1.49189	1.47804	2.74746	0.721085	1.52047	1.02914	0.112539	0.631062	1.55609	0.882864	0.413727	0.84607	0.592822	0.433697	0.570438	0.445533	1.19391	1.08518	0	0.260939	0.646611	1.54856	1.53446	0.68491
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.d690d3e6-ed87-46ee-9d2a-0a5b66f16245.fc.signal	0	0.112028	0.350886	0.902702	1.81809	1.6399	1.19312	1.05068	0.298073	0	0.258177	0.868068	2.03161	1.66878	0.620613	1.63628	1.31707	0.264217	0.906929	1.41431	0.993581	1.34242	1.74619	0.6025	0.562338	0.0063412	0.462977	0.57291	0.681789	1.22766	1.58551	1.16272	1.99778	1.94845	0.718776	0.221942	1.07499	1.48616	0.680878	0.5735	0.619191	0.413384	0.586173	0.502841
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.7a7e31ec-6ff6-498c-99aa-3347eef341d7.fc.signal	0.830849	0.257068	0.196214	0.234768	0.503626	0.290567	0.00366575	0.221864	0.360708	0.179432	0.26964	0.337154	0.392135	0.74118	0.8276	0.688313	0.412974	0.181847	0.705885	0.652306	1.30551	1.75635	0.713768	0.210187	1.03666	0.648477	0.746635	0.838584	0.621128	0.32994	0.283048	0.326252	0.449821	0.176122	0	0.337439	0.783363	1.41217	1.69219	0.986787	0.918921	0.835778	1.06064	0.63612
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.fa7392b1-17c1-4691-ba8f-d211a0f93db5.fc.signal	0.455221	0.492138	0.486641	0.68797	0.87756	0.739016	0.431604	0.345834	0.150335	0.838862	1.32026	1.50487	0.794954	0.631149	0.562431	0.500929	0.591483	0.876436	0.295568	0.290398	0.760671	1.18437	0.882069	0.927587	0.716292	0.689785	0.696771	1.30639	1.15549	1.97686	2.39024	1.54192	0.197665	0.171654	0.154628	0.541769	0.52132	0.397997	0.357073	0.170568	0.716828	0.954219	0.725606	0.590046
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.9b5b0cc0-4302-439e-a9d9-d779f62c822e.fc.signal	0.639254	0.904838	0.216079	0.2788	0.194492	0.508783	0.0686262	0	0	0	0.0791686	1.54496	1.2686	0.832921	0	0.485567	0.240572	1.06094	1.22184	0.971209	1.68866	1.56317	1.09341	0.944043	1.93725	1.13382	1.17376	0.863534	1.94955	1.76289	1.53949	0.973053	0.688244	0.298528	0	0	0.890348	0.354301	0.67122	1.02958	1.17713	0.520196	0.333852	0.653516
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.baa2a3ca-0f47-4bf7-901e-dd73f7a290b4.fc.signal	0.653249	0.162787	0.470413	1.02006	0.669023	0.999162	1.45809	0.913461	0.505189	0.520818	0.589854	0.64632	0.595997	0.358177	0.207813	0.123657	0.234568	0.374949	0.154573	0.0839675	0.342744	0.861047	1.00794	1.22242	0.886718	0.745463	0.859389	0.650546	0.378223	0.407506	0.435105	0.623912	0.761727	1.12759	0.592384	0.541936	0.294264	0.539272	1.15869	0.922356	0.627954	0.59559	0.605058	0.582917
