	chr2:105340474-105340623	chr2:105340624-105340773	chr2:105340774-105340923	chr2:105340924-105341073	chr2:105341074-105341223	chr2:105341224-105341373	chr2:105341374-105341523	chr2:105341524-105341673	chr2:105341674-105341823	chr2:105341824-105341973	chr2:105341974-105342123	chr2:105342124-105342273	chr2:105342274-105342423	chr2:105342424-105342573	chr2:105342574-105342723	chr2:105342724-105342873	chr2:105342874-105343023	chr2:105343024-105343173	chr2:105343174-105343323	chr2:105343324-105343473	chr2:105343474-105343623	chr2:105343624-105343773	chr2:105343774-105343923	chr2:105343924-105344073	chr2:105344074-105344223	chr2:105344224-105344373	chr2:105344374-105344523	chr2:105344524-105344673	chr2:105344674-105344823	chr2:105344824-105344973	chr2:105344974-105345123	chr2:105345124-105345273	chr2:105345274-105345423	chr2:105345424-105345573	chr2:105345574-105345601	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.589616	0.145557	0	0.151725	0.407058	0.569879	2.37572	1.77723	0.819633	0.680328	0.648289	0.43442	0.0411831	0	0	0.716666	1.32848	2.03651	1.80585	0.403357	0.37992	1.38029	0.460097	0	0.0604417	0.309609	0	0.604419	1.20513	2.30541	0.325648	0	0	0.0666108	0.330403	0.607772
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.91c7adb9-9182-4f05-b5fa-c053c0a1b0ec.fc.signal	0.882409	1.81202	1.5004	0.512872	0.536373	0.657491	0.884725	0.440917	0.190388	0	0.247991	0.471391	0.964664	0.8256	1.02155	1.03882	0.53326	0.499332	0.50098	0.957555	0.780398	0.940379	0.552588	0.547595	0.559015	0.954228	1.20317	0.347545	0.868796	1.51055	0.904499	0.952571	1.74092	0.824636	0.580944	0.107236
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.61ce3aed-9b5d-4553-b99d-12b70cc1e329.fc.signal	2.05939	2.11595	1.60451	2.20586	1.39689	1.14252	0.658613	0.137391	0.854098	0.547904	0.324149	0.290808	0.604693	1.80654	1.0365	0.962925	0.745255	0.242705	0.185789	0.59516	0.449995	0.950563	0.943332	0.974405	0.564743	0.400808	0.655712	1.11144	0.659549	1.19344	1.38157	1.02774	1.69931	0.941739	0.849375	0.564885
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001379.1.3635c35b-bff5-4878-adcc-965cd885b7d1.fc.signal	1.44491	0.552195	0.59049	1.08184	0.903239	1.0114	1.41018	0.70886	0.175263	0.307238	0.372099	1.14496	1.74132	1.63392	0.277163	0.207475	0.156864	0.215257	0.411729	0.276431	0.310524	0.626713	0.0628403	0.192507	0.480931	0.51234	0.821008	0.773319	0.700799	0.925583	0.944907	0.816847	0.6729	0.0622814	0.236674	0.613559
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.d84c3371-0f00-45de-b4ba-d5df55fdd3fa.fc.signal	0.190971	0	0	0	0	0	0.784938	0.888843	0.702688	0.568562	0.598284	1.19141	0	0	0	0.803963	0.954696	0.282941	0.843667	0.365302	0	0	0	0	1.08988	2.75555	0	0.983272	0.486848	0.616632	0.280688	0	0	0	0	0.39528
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	0.791289	0.809456	1.59762	1.13241	1.63801	1.71472	1.0648	0.898854	1.42728	0.60125	0.595543	0.61565	1.10113	0.576282	1.09003	1.29478	0.592349	0.339426	0.323979	0.194671	0.429312	0.690679	0.459148	0.372364	0.153596	0.16247	0.221	0.398602	0.593554	1.08783	1.13055	1.49368	1.38469	0.479375	0.388264	0.683529
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5cfbaa8b-8208-4e04-b7a6-61e4e70766cd.fc.signal	0.570472	0.245176	0.810257	0.347737	0	0.18729	0.20516	0.324285	0.310447	0.160946	0.707045	0.419817	0.269118	0.841332	0.409922	0.742324	0.911207	0.149022	0.734054	1.05966	0.743327	0.588818	0.70336	0.387649	0.480795	2.18878	0.515471	0.225663	0.111538	0.450568	0.866386	0.326017	0.523294	0.0433323	0.620777	0.602897
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.eb7c4ac6-0e90-4c4c-9088-810681c2c896.fc.signal	0.352192	0.432667	0.438456	0.460695	0.0521824	0.207339	0.378317	0.570602	0.609928	0.479055	0.461149	1.0024	1.01743	0.85182	1.32351	1.00313	0.516395	0.47285	0.454415	0.527802	0.91119	0.558711	0.289599	0.630392	0.779831	0.936014	0.617933	0.342162	0.811167	0.790906	0.323755	0.310502	1.01335	0.912057	0.622303	0.348449
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.791a1a19-8cb6-4f2d-b5f0-f97ea2658756.fc.signal	1.50483	1.04962	0.604348	0.693496	1.45293	0.702864	0.546079	0.176605	0.590228	0.414514	0.58064	0.557141	0.560991	1.04929	0.488096	0.613872	0.473105	0.349506	0.863857	1.10566	1.33024	0.715154	0.234369	0.989646	0.708693	1.12417	0.900996	1.93353	1.65342	1.73003	1.73924	1.41085	2.04379	1.19815	0.639739	0.594839
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000891.3.5b94d008-4850-4235-a4df-01d74d02137b.fc.signal	1.74997	2.07156	2.65941	1.19095	2.11322	1.03696	0.484829	1.87466	1.93477	1.33129	1.13734	0.399751	0.847364	0.325725	0.396945	1.39552	1.23933	0.778762	0.891706	0.584329	1.12363	2.20954	0.943307	1.53717	1.01163	1.63256	0.922792	0.930984	0.202491	2.04779	1.52459	1.69944	1.44681	1.0565	1.11625	0.590759
