	chr2:167240069-167240148	chr2:167240149-167240218	chr2:167240219-167240368	chr2:167240369-167240518	chr2:167240519-167240668	chr2:167240669-167240818	chr2:167240819-167240908	chr2:167240909-167240968	chr2:167240969-167241118	chr2:167241119-167241178	chr2:167241179-167241268	chr2:167241269-167241418	chr2:167241419-167241458	chr2:167241459-167241568	chr2:167241569-167241678	chr2:167241679-167241718	chr2:167241719-167241808	chr2:167241809-167241868	chr2:167241869-167242018	chr2:167242019-167242098	chr2:167242099-167242168	chr2:167242169-167242318	chr2:167242319-167242468	chr2:167242469-167242618	chr2:167242619-167242768	chr2:167242769-167242848	chr2:167242849-167242918	chr2:167242919-167243068	chr2:167243069-167243218	chr2:167243219-167243278	chr2:167243279-167243368	chr2:167243369-167243478	chr2:167243479-167243518	chr2:167243519-167243608	chr2:167243609-167243668	chr2:167243669-167243718	chr2:167243719-167243818	chr2:167243819-167243878	chr2:167243879-167243968	chr2:167243969-167244118	chr2:167244119-167244268	chr2:167244269-167244358	chr2:167244359-167244418	chr2:167244419-167244498	chr2:167244499-167244548	chr2:167244549-167244568	chr2:167244569-167244638	chr2:167244639-167244718	chr2:167244719-167244868	chr2:167244869-167245018	chr2:167245019-167245108	chr2:167245109-167245168	chr2:167245169-167245238	chr2:167245239-167245318	chr2:167245319-167245468	chr2:167245469-167245618	chr2:167245619-167245768	chr2:167245769-167245918	chr2:167245919-167245998	chr2:167245999-167246068	chr2:167246069-167246118	chr2:167246119-167246218	chr2:167246219-167246368	chr2:167246369-167246408	chr2:167246409-167246518	chr2:167246519-167246598	chr2:167246599-167246668	chr2:167246669-167246818	chr2:167246819-167246968	chr2:167246969-167247118	chr2:167247119-167247178	chr2:167247179-167247238	chr2:167247239-167247268	chr2:167247269-167247418	chr2:167247419-167247568	chr2:167247569-167247718	chr2:167247719-167247748	chr2:167247749-167247868	chr2:167247869-167247878	chr2:167247879-167247958	chr2:167247959-167248018	chr2:167248019-167248098	chr2:167248099-167248168	chr2:167248169-167248318	chr2:167248319-167248468	chr2:167248469-167248528	chr2:167248529-167248618	chr2:167248619-167248658	chr2:167248659-167248768	chr2:167248769-167248918	chr2:167248919-167248968	chr2:167248969-167249068	chr2:167249069-167249218	chr2:167249219-167249288	chr2:167249289-167249368	chr2:167249369-167249518	chr2:167249519-167249588	chr2:167249589-167249668	chr2:167249669-167249818	chr2:167249819-167249968	chr2:167249969-167250118	chr2:167250119-167250168	chr2:167250169-167250268	chr2:167250269-167250418	chr2:167250419-167250488	chr2:167250489-167250568	chr2:167250569-167250718	chr2:167250719-167250868	chr2:167250869-167251018	chr2:167251019-167251068	chr2:167251069-167251118	chr2:167251119-167251168	chr2:167251169-167251258	chr2:167251259-167251318	chr2:167251319-167251468	chr2:167251469-167251618	chr2:167251619-167251698	chr2:167251699-167251768	chr2:167251769-167251808	chr2:167251809-167251908	chr2:167251909-167251918	chr2:167251919-167252038	chr2:167252039-167252068	chr2:167252069-167252218	chr2:167252219-167252288	chr2:167252289-167252368	chr2:167252369-167252518	chr2:167252519-167252668	chr2:167252669-167252818	chr2:167252819-167252968	chr2:167252969-167253118	chr2:167253119-167253268	chr2:167253269-167253308	chr2:167253309-167253418	chr2:167253419-167253458	chr2:167253459-167253568	chr2:167253569-167253668	chr2:167253669-167253718	chr2:167253719-167253798	chr2:167253799-167253868	chr2:167253869-167253948	chr2:167253949-167253988	chr2:167253989-167254018	chr2:167254019-167254168	chr2:167254169-167254318	chr2:167254319-167254447	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000184.3.050c9613-31d2-4cab-9d90-4397cf218171.fc.signal	0.313725	0	0.0169657	0.327968	0.157871	0.842663	1.15839	0.48657	0.491188	0.245216	0	0.0397633	0.236194	0.465542	0.302578	0.388212	0.339892	0.127243	0	0.234463	0.503447	0.703295	0.0793248	0.0947029	1.2099	0.45672	0	0.246969	0.189406	0.0298	0.726656	1.17001	0.57461	0.44458	0.637636	1.64954	1.16584	0.563265	0.688799	0.58687	0.221813	0	0.286281	0.838936	1.37502	0.993461	0.82192	0.575801	1.19916	2.44705	2.176	0.82795	0.166561	1.45829	1.6045	1.04503	0.861411	1.13661	0.189251	0.280844	0.309168	0.9175	1.17304	1.04968	1.46441	0.805831	0.380267	0.0753053	0.244661	0.367437	0.343083	0.332453	0.41758	0.366334	0.160642	0.549802	0.727	0.445991	0.422961	0.47767	0	0	0	1.18727	0.782184	1.0416	1.79645	1.41147	0.855917	1.8905	0.615738	0.934535	1.10687	0.475544	0.662661	0.630712	0.51447	0.514844	0.332133	0.832833	0.497457	1.26699	1.32719	1.64727	0.498035	0.883871	0.811488	0.709949	1.61397	1.1942	0.381714	1.09219	1.86577	1.55461	1.70624	1.1845	0.531141	0.623666	0.81109	1.34598	1.18149	0.408975	0	0.12935	0.892911	1.37638	0.216363	0.109063	1.02563	2.12212	0.713546	0.281693	0	0.255912	0.743121	1.53181	0.930522	0.489841	0.872507	1.75932	1.63514	0.886255	0.31811	0.489317	0.133086	0.334525	0.156863
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000957.7.280608e3-f2db-495d-8512-5761688a7d39.fc.signal	0	0	0.145333	0.535917	0	0.199833	1.27166	0.862914	0.0545	0	0	0	0	0.39017	1.64729	1.36249	0.310346	0	0.372417	0.579062	0	0	1.08996	1.44933	0.157245	0.578368	0.700714	1.0012	0.365081	0.67177	1.11278	1.04889	0.50735	0	0	0.240658	0.530655	0.374687	0.726666	0.85383	0	0	0	0	0	0	0	0	0	0.68125	0	0	0	0.0469187	0.429086	0	0	0.89897	0.698281	0.0973214	0	0	0.113542	0.698281	1.20766	0.332109	0	0.878366	0.268337	0	0.375387	0.647886	1.79821	2.08618	0.951563	0.513208	0.120115	1.00166	1.36249	0.82069	1.239	1.45029	1.3945	1.26763	0.0469203	0.277996	1.38137	1.20073	0.507885	0.962672	0.610574	0.303073	0.355762	0.481198	0.794487	0.992897	1.27841	0.838852	0.0903861	0.567708	0	0	0	0	0	0.239251	0.667591	0.0623805	0.778616	0.121186	0	0.174622	0.586231	0.706028	1.19761	0.434687	1.43872	1.43168	0.812189	0.935669	0.990982	0.5713	0	0	0	0	0	0	0	0	0	0	0	0.342258	0.557448	0.0546644	0	0	0	0	0	0	0	0.324546	0.206254	0	0.423075
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.f60db18a-9bf4-4a85-95cc-68f3cffdac0c.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81676	3.81405	1.27262	3.90499	0.0771375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82624	6.28227	2.9844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.73731	8.18195	0.30615	7.03068	7.31759	0.0576843	0	0	0	7.65089	8.07752	0.0745658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.56186	7.77436	2.79528	0	0	0	0	0	0	3.59469	4.0764	0	0	0	0	0	0	0	0	0	0	0.0967875	6.90818	5.26557	0	0	0	0	0	0	0	0	0	0	0	0.73869
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.34f373d0-ec85-43e8-be9c-456d096f409b.fc.signal	0	0	0	0	0.215858	0.843529	0.539701	0.505343	0	0	0.156215	0.414939	0	0	0.062517	0.590685	0.520211	0	0	0	0	0	0.0202965	0.472396	0	0.241432	0.804149	0.651189	0	0.090008	0.816067	0.812083	0.033653	0.0223876	0.453256	0.895891	1.55675	1.14757	0.394865	0.52881	0.124212	0	0	0.00599662	0.41449	0.46141	0.407545	0	0.179462	0.215543	0	0	0	0	0.339995	0.727632	0.2935	0.00533033	0	0.472582	0.527298	0.100569	0	0	0	0	0	0.0758047	1.14219	0.0970711	0.426361	0.752369	1.48236	1.18171	0	0.023987	0.500638	0.46019	0	0	0	0	0.0424606	0.617229	0.0073808	0	0	0	0	0.309189	0.717357	0.143481	1.06509	1.58401	0.795533	0.0280235	0	0	0.669271	0.257454	1.03003	0	0	0	0	0	0	0	0	0	0	0.687352	2.03372	2.08114	1.79362	1.12965	0.840105	0.282199	0	0.553919	0.58279	0.158164	0.106607	0.255832	0.579978	0.887656	0.266308	0	0	0.270624	0.114166	0.0320188	0.549149	0.374277	0	0.235431	0.525008	0.127495	0.702168	0.420234	0.301393	0.418155	0.479393	0.0498737	0.489952	1.03021	0.742102
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004664.3.6d452180-a6ee-4609-96f0-3f1b6ca1f2c8.fc.signal	0.811938	1.12068	0.872778	0.883076	0.387543	0.339439	0.391341	0.696581	0.655017	0.455714	0.978153	1.13029	0.785751	0.83633	0.686274	0.567946	0.86141	1.30662	1.41707	1.47876	1.25641	0.610027	0.730171	0.512081	0.749448	0.237509	0.323757	0.667599	0.308494	0.22199	0.677326	0.898309	0.536984	0.459601	1.011	1.31402	1.17741	0.545145	0.370218	0.678998	0.856519	0.641343	1.28278	1.55295	1.63461	1.02643	0.773022	0.338006	0.407509	0.641812	1.06711	0.715888	0.377567	0.445919	0.678333	0.914224	0.836301	0.76119	0.776887	0.489942	0.533317	1.1893	1.42672	0.981325	0.553445	0.442913	0.478324	0.466347	0.974811	0.713076	0.784947	1.42912	1.86353	1.69851	0.937863	0.764756	0.885897	1.08994	0.663683	0.729898	0.881025	0.972089	0.710977	0.657854	0.669298	0.815005	1.20868	1.25294	1.20601	0.766763	0.711133	0.336709	0.80587	1.15536	0.766372	0.472347	0.570257	0.69107	0.98089	1.13785	0.533996	0.444916	0.966745	0.713636	0.288731	0.204887	0.184375	0.774771	0.875654	0.898428	0.699764	0.571312	0.396015	0.552656	1.06191	0.999665	1.0161	0.796722	0.658181	1.04065	1.10408	1.10525	0.714343	0.66496	1.04852	0.967903	0.522187	0.833813	0.845248	0.834834	1.11578	0.655825	0.631882	1.00556	1.07268	0.94773	0.896231	0.757922	0.710499	0.464892	0.472115	0.823018	1.11289	1.35623	1.03109	0.748185	0.723558
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003837.4.e64e21a4-069f-4200-928f-507f2bd71d2a.fc.signal	0.389322	0	0	0.379932	0.799682	0.735733	0.99485	0.982662	0.223465	0.758843	1.51216	2.59494	1.28675	0.472462	0.476961	0.49496	0.49496	0.073932	0.430043	0.649247	1.75339	1.69587	2.05549	3.30438	1.19562	0.778622	0.614268	0.0355553	0.471833	1.4682	1.14643	0.852905	1.32122	1.70258	1.97966	1.72228	0.420703	0.49496	0.148488	0.174867	1.3574	1.9275	2.5015	1.63044	2.1109	2.44322	2.0291	0.06148	1.29849	1.82454	0.808321	0.49496	0.579779	1.37952	0.62357	0.953495	0.527906	0	0	0.148932	0.347948	0.453572	0.402567	0	0.215983	0.649579	0.647788	0.746843	0.204131	0.395881	0.594808	0.296308	0.181507	0.572869	1.54436	1.41525	1.62826	0.857322	0.39096	0.463904	0.0793152	0	0.0565669	1.25771	0.583971	0.428965	0.49496	0.148488	0.674766	0.978438	1.70784	1.81788	2.00121	1.38285	0.655746	1.11186	0.544399	0.272228	0.686275	1.59636	0.853462	0.49496	0.282127	0.613684	0.489048	0.219228	0.134829	0.794443	0.476676	0.427057	0.329641	0	0.134959	0.375754	1.20485	1.05444	0.907573	3.28653	3.30697	1.82722	1.40358	1.3635	0.625403	0.925368	0.335716	1.26699	1.39463	1.39598	0.971327	1.34589	4.05759	3.98098	3.71132	4.18622	4.03338	2.68146	0.846306	0.098992	0.674295	0.985725	0.296457	0	0.305515	0.774999	0.247618	0.241577	0.397436
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003826.4.a83deafa-f81d-438b-9dcb-0637f2454600.fc.signal	0.0580965	0	0	0.455504	0.661585	0.93998	0	0	0.0261355	0.67557	1.20195	1.55869	1.23158	0.222153	0	0	0.64314	1.26387	0.649222	0.0175156	1.21271	2.07771	2.01815	0.881225	0.00523173	0.186508	0.203453	0.663835	0.313135	0.521887	0.198476	0.353796	0.853619	0.567925	0.112928	0.417366	0.795619	0.449067	0.0799723	0.524372	0.6653	0.163315	0.80786	1.00181	0.576313	0.311197	0.106759	0.155021	0.814821	1.19805	0.879806	0.447597	0.481657	0.4286	0.968901	0.732148	0.200467	0.0347731	0.395573	0.714363	0.76612	0.976537	0.670414	1.00904	0.846245	0.953983	0.826917	0.437585	0.503159	0.532691	1.10444	0.434315	0	0.203163	0.905012	0.584414	1.00886	1.5237	1.58381	1.69155	2.14425	1.62451	0.820298	0.216687	0	0	0	0	0.461268	1.927	2.05365	1.42624	0.360931	1.08093	1.28953	0.272028	0.0119507	0.492419	0.186522	0.0581101	0.528859	0.283365	0.721303	1.09247	0.551476	1.2227	0.783908	1.43105	0.773248	0.0624274	0.284298	0.286299	0.217324	0.566938	0.774321	1.01799	0.815029	0.49631	0.242052	0.602349	1.13528	1.545	1.5282	0.364826	0.101557	0.323119	0.502765	1.18654	1.15581	2.49268	1.53349	1.78211	0.945473	0.592896	0.200612	1.07099	1.79801	0.871239	1.15186	1.45179	0.712898	0.186252	0	0.250084	0.261684	0.36411	0.432432
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001027.7.e4d29289-880a-4702-8b8e-f0c84a4fa7ab.fc.signal	0	0	0.294546	0.21952	0.0361235	0.41681	0.324238	0.40453	0.208405	0	0	0	0	0	0.833533	1.19504	0.841057	0	0	0	0	0	0.247303	0.819416	0.601946	0.88982	0.633811	0.464195	0.704177	0	0	0.383188	0.996673	1.46459	1.2633	0.713895	0.124571	0	0.148199	0.415617	0.365745	0.368744	0.470655	0.583807	0.44792	0.47659	0.669288	0.879511	0.779783	0.990522	0.231561	0	0	0.347927	0.805722	1.00577	0.302882	0.506635	0.41681	0.113134	0.140994	0.400661	0.188194	0	0.195518	0.749069	1.12963	1.47693	0.566326	0.476722	0.360925	0.029591	0	0.0504248	0.504017	0.192595	0	0	0	0.497878	0.739867	0.651614	0.539873	1.01035	1.02121	0.369331	0.287438	0.332291	0.8221	1.53372	0.645617	0.664207	0.255643	0	0	0.645197	1.38724	1.8182	0.802861	1.027	0.711281	0.83348	1.0002	0.363982	0.439211	0.70531	0.532479	0.155695	0	0	0.210245	0.284782	0.450415	0.255277	0.326233	0.579184	1.18943	1.03332	0.879087	0.492233	0.41681	0.421854	0.41681	0.333448	0	0.161514	0.491811	0.427921	0.0222299	0.15282	0.662535	0.139837	0.41681	0.41681	0.323028	0.41681	0.208405	0	0.4116	1.20266	1.02104	0.812643	0	0	0.333001	0.190253	0.454919
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.a2d61bfb-036d-437b-8ae2-e19cfaed58e3.fc.signal	2.01241	0.931768	0.100085	0	0	0	0	0	0	0.982967	1.00755	0.190632	0	0.149409	0.974118	0.51768	0.05752	0	0	0	0	0	0.31553	0.684309	0.518703	0.934245	0	0	0.1634	0.852213	0.723643	0.096473	0.584566	1.26834	1.22204	0.931824	0.630563	0	0	0	0.236979	0.31635	0.138048	0.583302	0.604766	0.65735	0.0845164	0	0	0	0	0	0	0	0	0	0	0.837516	0.676668	0	0	0	0	0	0	0	0	0	0.441742	0.706369	0	0	0	0	0	0	0	0	0	0	0.054999	1.08057	0.547258	0.0759264	0.590182	2.01896	0.765675	0	0	0	0	0.507292	1.06642	1.4274	1.64438	0.239465	0.790863	2.49337	1.80243	0.253088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.854114	1.03529	1.01849	0	0	0.012942	0.983529	0.983006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.938227	1.00518	0.653163	0	0.332135	0.967296	0.504536	0.426108
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001044.7.a0d823a7-1e88-4910-940e-c86d0948985d.fc.signal	0.543665	0.464705	0.132413	0.417755	0.438007	0.175425	0.186938	0.278007	0.604715	0.993727	0.564502	0.575921	0.301189	0.019859	0.0229715	0.531882	0.77143	0.76623	0.389465	0.674199	0.555126	0.394522	0.254724	0.264592	0.422955	0.803875	1.01733	0.9689	0.443155	0.431862	0.237873	0.0971377	0.25901	0.366499	0.306881	0.0548286	0.0290076	0.465897	1.16902	2.16731	0.444447	0.238411	0.294377	0.296469	0.694279	0.750355	0.675342	1.04559	0.783049	0.824738	0.966766	0.268905	0.248486	0.261855	0.52802	0.242381	0.366045	0.568396	0.450836	0.163632	0.137901	0.459086	0.464539	0.452515	0.624559	0.571128	0.0803911	0.159218	0.805799	0.198022	0.417079	0.494942	1.03664	1.12745	0.630969	0.258657	0.846096	1.56642	1.72037	1.26104	0.620778	0.0215355	0.139966	0.268761	0.992709	0.808086	0.203438	0.213019	0.321849	0.676148	0.501605	0.296886	0.614099	0.721733	0.459372	0.22514	0.365915	0.291398	0.0852814	0.247624	1.05362	1.15552	0.693692	0.507593	0.697504	0.860256	0.433044	0.431159	0.552881	0.363872	0.416008	0.426462	0.789709	0.740805	0.551449	0.732946	1.04126	1.01125	0.807365	0.884736	1.16469	1.21016	1.23048	0.469762	0	0.154926	0.204038	0.444543	0.258231	0.926684	1.66584	1.14355	0.52874	0.512066	0.254941	0.17379	0	0	0.0032205	0.257644	0.45548	0.478661	0.257781	0.0924291	0.223278	0.495407	0.164211
