	chr5:95650617-95650676	chr5:95650677-95650766	chr5:95650767-95650916	chr5:95650917-95651066	chr5:95651067-95651106	chr5:95651107-95651216	chr5:95651217-95651366	chr5:95651367-95651516	chr5:95651517-95651666	chr5:95651667-95651746	chr5:95651747-95651816	chr5:95651817-95651966	chr5:95651967-95652116	chr5:95652117-95652266	chr5:95652267-95652416	chr5:95652417-95652566	chr5:95652567-95652716	chr5:95652717-95652766	chr5:95652767-95652866	chr5:95652867-95652936	chr5:95652937-95653016	chr5:95653017-95653166	chr5:95653167-95653316	chr5:95653317-95653466	chr5:95653467-95653516	chr5:95653517-95653616	chr5:95653617-95653766	chr5:95653767-95653916	chr5:95653917-95653976	chr5:95653977-95654066	chr5:95654067-95654216	chr5:95654217-95654366	chr5:95654367-95654516	chr5:95654517-95654666	chr5:95654667-95654816	chr5:95654817-95654966	chr5:95654967-95655116	chr5:95655117-95655266	chr5:95655267-95655416	chr5:95655417-95655566	chr5:95655567-95655714	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.a6a9e168-f700-4b04-bb33-9eedccb77991.fc.signal	1.10246	0.843691	2.21534	1.73552	1.25768	0.916766	1.22531	0.858928	1.17939	1.03865	0.692828	0.762376	0.64524	0.492748	0.905506	1.11659	0.390825	1.7419	3.12802	4.17173	4.58834	2.27253	3.32223	3.41635	1.84553	1.13368	1.11077	0.95923	0.600232	1.04212	0.404586	0.526142	0.963485	0.755249	1.11031	0.199213	0.237876	0.223267	1.02271	1.2124	0.153335	0.47
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.80ce343a-5712-49f6-8c5c-1e3104623262.fc.signal	0	1.22221	1.18601	0.277524	0	0	0	0.576667	0.169006	0.920958	0.400558	2.64558	0.045067	0.909136	0.362848	0.112749	0.388558	1.03086	0.27834	0	0	0.946976	0.391876	0.750364	0	0	0	0	0	0	0.283201	0.448449	0.200541	0.00959587	0	0.159769	0.788026	0.549293	0.686451	0.514611	0.355404	0.504348
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.10334cc2-577d-467e-a601-b7232b684380.fc.signal	0.639331	0.529547	0.300015	0.370867	0.66424	0.514786	0.0819229	0.30963	0.193351	0.183991	0.1799	0.216557	0.335441	0.650955	0.658705	0.812682	0.307976	0	0	0	0.101527	0.206969	0.209843	0.236359	0.162016	0.206084	0.203823	0.005572	0	0.0184511	0.309973	0.360346	0.555691	0.593977	0.658453	0.236223	0.639885	0.164953	0.295503	0.40101	0.605218	0.476636
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.0d6e9ac4-1ee5-4f7e-8d0d-48a48250ff2d.fc.signal	1.44991	1.1956	1.19761	0.48748	0.459617	0.618725	0.687631	0.232222	0.352302	0.225917	0.0484243	0.195115	0.715543	0.941367	0.75171	0.0724569	0.802373	0.44394	0.191097	0.715147	0.972978	0.695112	0.708913	0	0.0237696	0.405099	0.256211	0	0	0	0.0968427	0.379729	0.417374	0.0334907	0	0	0	0.195837	0.195873	0	0	0.295203
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003834.5.f42a7840-4039-4ec1-810a-c63548aca642.fc.signal	4.9039	25.6616	71.763	71.078	33.2139	11.2116	10.0854	65.6791	51.0535	21.602	4.3434	1.5733	0	0	0	0.188502	1.81099	9.93889	27.454	19.5705	5.41576	2.83948	2.86787	2.67442	6.40434	19.2711	43.8292	56.9641	14.9285	5.36998	2.09137	0.283034	0	0	0	0	0	0	0	0	0	0.4994
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003813.1.eaaac0a3-b084-49f5-8ed4-a37c494e32ee.fc.signal	0.740652	0.957111	0.514405	0.397697	0.698671	0.538933	0.423395	0.592599	0.509426	0.253462	0.152929	0.292389	0.672335	0.886768	0.776692	0.937265	0.117598	0	0	0	0	0	0	0	0	0	0.0997772	0.23029	0.163792	0.124457	0.0126251	0.166382	0.274659	0.698104	0.243135	0.214725	0.301585	0.180505	0.196047	0.374762	0.0741916	0.192308
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.e9a22a10-4147-4184-8f97-9e6f19793d99.fc.signal	0	0	0.0446249	0.583947	0.821694	0.645997	0.293691	0.163982	0.225697	0.243749	0.336549	0.363238	0.49268	0.925744	0.208851	0.209963	0	0	0	0.203671	0.715617	0.566276	0.298821	0.176827	0.286227	0.168499	0.292282	0.433266	0.376953	0.684238	0.460044	0.0238833	0	0.281291	0.640957	0.531278	0.61016	0.140295	0.663329	0.714039	0.733018	0.408451
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000193.3.aeed1346-11ea-42a3-9799-b44bd957c243.fc.signal	4.49132	4.71082	2.23653	1.37008	2.43889	3.2726	3.60791	2.92345	3.03209	1.95427	2.40235	3.62111	2.04156	3.22074	2.209	2.89986	2.30191	1.29942	1.53086	2.12082	2.07364	1.47887	2.05016	1.35166	0.840465	1.36994	1.10078	0.319388	1.4458	3.71112	3.73318	3.31645	2.09509	2.17866	2.6037	1.37739	2.92269	2.02904	3.5794	4.09526	2.33424	0.529249
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001016.4.09447dfd-b5f7-40f0-a631-e697e858aafa.fc.signal	0.107935	0.42146	1.54205	1.32612	0.76325	0.698068	0.604432	0	1.04553	1.20281	0.621175	0.977593	0.376231	0	0.107935	0.474915	0.437955	0.148201	0.0723393	0.492176	1.16654	1.1935	0.13591	0.636587	1.27383	0.900281	0.452107	0.903563	0.069387	0.0509687	0.636496	0.400902	0.243625	0.311471	0.342309	0.212787	0	0	0.238636	1.61549	1.01273	0.286713
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001914.1.10de6d23-02d2-4d71-9c7c-c7a23a9dea76.fc.signal	0	0	0	0.0286313	0.428701	0.741635	0.364114	0.98729	0.502915	0	0	0	0.00181133	0.441205	0.0457515	0	0.0424341	0.627326	1.20962	0.845878	0.300273	0.724728	0.273186	0.680356	0.11543	0	0	0	0	0	0	0.361557	0.352648	0.497862	0.254852	0.728181	0.809636	0.158641	0.711694	0.827045	0.377871	0.445415
