	chr19:6758138-6758287	chr19:6758288-6758437	chr19:6758438-6758587	chr19:6758588-6758737	chr19:6758738-6758887	chr19:6758888-6759037	chr19:6759038-6759187	chr19:6759188-6759337	chr19:6759338-6759487	chr19:6759488-6759637	chr19:6759638-6759787	chr19:6759788-6759937	chr19:6759938-6760087	chr19:6760088-6760237	chr19:6760238-6760387	chr19:6760388-6760537	chr19:6760538-6760687	chr19:6760688-6760837	chr19:6760838-6760987	chr19:6760988-6761137	chr19:6761138-6761287	chr19:6761288-6761437	chr19:6761438-6761587	chr19:6761588-6761737	chr19:6761738-6761887	chr19:6761888-6762037	chr19:6762038-6762187	chr19:6762188-6762337	chr19:6762338-6762487	chr19:6762488-6762637	chr19:6762638-6762787	chr19:6762788-6762937	chr19:6762938-6763087	chr19:6763088-6763237	chr19:6763238-6763387	chr19:6763388-6763487	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0.737868	1.09522	0.598991	0.552027	0.303075	0	0.0776807	1.14278	0.410668	0.831092	0.585467	1.18854	1.29685	0.449724	1.09941	0.336813	1.93616	1.06394	1.28421	0.632525	0.653917	1.20284	0.839067	0.785601	0.936552	0.3072	1.54565	1.78665	0.495974	0.137406	0.586106	1.56176	0.538797	2.22559	2.33968	2.06957	0.60119
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.916221	0.89584	0.443262	0.207717	0	0	0	0.344964	0.248528	0.350534	0.81051	0.0259683	0.324548	0.268912	0	0	0.380235	0.997871	0.402439	0.105743	0.329997	0.3654	0.385749	0.144681	0.448825	0.491517	1.99016	1.62477	0.0482203	0.701091	1.59876	1.21853	0.131682	0.829032	1.74533	1.28251	0.68338
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.10419	0.430187	0	0	0	0	0	0	0	0.136159	0.24961	0	0	0	0	0	0	0.218965	1.10432	0.710583	1.0408	0.459113	0.297953	0.398603	0	0.216479	0.170349	0	0	0	0.303355	0.720651	0.251846	0.444287	0.420252	0.755665	0.448071
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0.454878	0.704321	0.763312	0.0382933	0	0.165864	1.01943	0.772094	0.64421	0.286462	0	0	0	0	0.492065	0.554367	0.121949	0.442399	0.33988	0.76296	0.673162	1.09058	0.243553	0	0.587637	0.958332	0.461153	0.507921	0.373531	0.21828	0	0	0.008995	0.657526	0.521628
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	1.19379	0.954721	1.51598	1.41501	0.270044	1.23143	2.80331	3.00228	0.886561	1.84128	0.972522	0.999032	0.904238	0.440943	0.416721	0.326532	1.46696	0.85822	1.13583	0.403847	0.0974364	1.04479	2.01189	0.981426	0.65477	1.02448	3.07798	2.11286	0.939092	0.0215669	0.50496	1.6808	1.89905	1.32738	0.908667	0.311752	0.360202
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.70472333-cf93-4f75-9795-a7c0cfbd4b2b.fc.signal	0.930686	0.152998	0.433541	0.232709	0.752955	0.204157	0.541052	0.659814	1.52998	2.63926	2.346	1.39834	0	0	0	0.38566	1.05504	1.16343	1.07417	1.7937	1.4853	0.799712	0.130701	2.0779	0.946686	0.494035	0.666155	0.47817	0.217099	0.297238	0.459007	1.17295	1.03587	0.857413	1.34828	1.6589	0.482955
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000704.1.66176b59-ae1e-4572-9837-187809968b90.fc.signal	1.14595	1.93822	0.430802	0.809659	2.84378	0.0736383	0.70324	2.25138	2.03354	1.65579	1.29083	2.16688	0.554792	0.314218	0.537622	1.24957	1.76014	1.18256	1.48762	0.943415	1.17808	1.26592	2.09454	1.45411	1.47511	1.44242	2.14742	3.58656	4.07012	3.04401	3.74823	3.39234	1.39926	2.29131	3.83395	2.92158	0.350148
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	0.0782347	0.651473	0.927081	0.370252	1.05848	0.0772127	0.401863	2.11939	1.14895	1.40649	1.3753	1.22092	0.178425	0.0997597	0.256884	0.277554	1.10616	1.171	0.464307	0.313282	0.823042	1.51436	0.771608	1.09508	1.07315	0.539902	1.22074	1.48203	0.838647	0.389372	1.18859	0.903865	0.274257	1.79403	2.47776	1.57369	0.584775
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	0.315224	1.57373	0.5428	0.70399	1.5856	0.147902	0	0	0	0	0.455088	1.34386	0.971792	0.0734638	0	0.331772	0.554665	0.180148	0.0900524	0.554623	1.22538	2.62851	1.4788	0.918158	1.3723	0.594923	0.876946	0.673111	1.41022	1.18035	0.48114	0.436106	0.889366	1.19693	1.47859	0.287994	0.61985
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	0	0	0	0	0	0.997283	0.619933	0.754701	0.862515	0	0	0	0	0	0	0	0	0	0	0	0.344757	0.939125	0.200443	1.17703	0	0	0	0	0	0	0	0	0	0	0	0	0.333333
