	chr1:69713642-69713791	chr1:69713792-69713871	chr1:69713872-69713941	chr1:69713942-69714001	chr1:69714002-69714091	chr1:69714092-69714131	chr1:69714132-69714241	chr1:69714242-69714341	chr1:69714342-69714391	chr1:69714392-69714541	chr1:69714542-69714691	chr1:69714692-69714841	chr1:69714842-69714921	chr1:69714922-69714991	chr1:69714992-69715141	chr1:69715142-69715291	chr1:69715292-69715441	chr1:69715442-69715591	chr1:69715592-69715741	chr1:69715742-69715801	chr1:69715802-69715891	chr1:69715892-69716041	chr1:69716042-69716191	chr1:69716192-69716291	chr1:69716292-69716341	chr1:69716342-69716491	chr1:69716492-69716591	chr1:69716592-69716641	chr1:69716642-69716791	chr1:69716792-69716871	chr1:69716872-69716941	chr1:69716942-69717041	chr1:69717042-69717091	chr1:69717092-69717151	chr1:69717152-69717241	chr1:69717242-69717391	chr1:69717392-69717541	chr1:69717542-69717691	chr1:69717692-69717841	chr1:69717842-69717991	chr1:69717992-69718141	chr1:69718142-69718291	chr1:69718292-69718441	chr1:69718442-69718591	chr1:69718592-69718718	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.29eb7dda-7f49-49e4-a68a-685ebc852d97.fc.signal	0.883415	0.804699	0.731538	0.881915	0.334497	0.353159	0.398109	0.50711	0.596147	0.682847	0.384945	0.0732476	0	0	0	0	0.360696	0.59986	0.0705105	0	0.0996226	0.259532	0.382081	0.171895	0	0	0.317818	1.87764	2.2157	0.939687	0.38946	0.359771	0.44422	0.676538	0.376188	0.143745	0.61914	0.68424	0.226431	0	0.16804	0.475503	0.213436	0.0757421	0.442448	0.771941
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.39496704-1279-499c-ac28-c72497e8030d.fc.signal	0.522826	0.342394	0.280795	0.456034	0.668143	0.736401	0.336176	0.459818	0.619443	0.614545	0.757906	0.466926	0.260958	0.443531	0.228947	0.251449	0.376885	0.20151	0.195035	0.155589	0.171528	0.160558	0.199088	0.0237484	0.152208	0.41416	0.137166	0.139294	0.320879	0.242795	0.259745	0.29634	0.308161	0.209556	0.368492	0.178413	0.171591	0.805482	0.206766	0	0	0.418339	0.342266	0.136429	0.363474	0.774834
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.aff67f26-7ea5-4004-b6c7-42e5d6d7c336.fc.signal	0.423595	0	0.165758	0.64918	1.91533	1.72655	0.605238	0.226534	0	0.268918	2.92385	0.232109	0.376453	0.071064	0	0	0	0	0	0	0	0	0.182324	0.361883	0	0	0	0	0	0	0	0	0	0	0	0	0.097636	0.325994	0	0	0	0.753226	0.156567	0.733033	0.0652819	0.504274
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.71f94e98-332b-4fcc-9a34-c0ad4b748586.fc.signal	0.210911	0.68313	1.19367	1.23923	1.38226	1.17929	0.980564	0.430045	0.2877	0.453428	0.461121	0.273289	0.883854	0.948892	0.510831	0.465973	0.57366	0.454487	0.07189	0	0	0.211318	0.194642	0.189834	0.431481	0.421896	0.0712894	0.0661388	0.176402	0.192353	0.14378	0.0330694	0.281886	0.805428	1.05947	0.572415	0.260819	0.356698	0.0853095	0.14378	0.0210877	0.660616	1.73062	0.970311	0.524338	0.288
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000235.3.ae41c415-756f-48a0-be26-8a57c412db20.fc.signal	0.286498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298246
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001488.1.3b2af9eb-fdf7-488c-8635-f562c6894205.fc.signal	0.638775	0.453201	0.438066	0.521542	0.337963	0	0.559211	0.341398	0	1.07426	0.744346	0.517759	0.914439	1.01791	0.411415	0.711539	1.21176	0.229866	1.18581	3.34296	0.624889	0.038311	0.699533	0.996726	1.13305	2.42842	0.783273	0	0.47709	0.439836	0.496791	0.313854	1.47611	0.613637	0.581514	1.18204	1.64784	0.528574	0	0	0	0.316347	0.663939	1.38322	1.5898	0.552381
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.85fb694c-24ac-4a67-afb4-86273572ea8c.fc.signal	0.464988	0.228848	0.177329	0.463021	0.519096	0.51822	0.178988	0.380787	0.489687	0.576182	0.984088	0.767175	0.313615	0.271734	0.473522	0.502688	0.0469468	0.0948119	0.186267	0	0	0.0875957	0.52443	0.147821	0.0224686	0.158657	0.110507	0	0.0444194	0.342551	0.390876	0.291454	0	0	0	0.247923	0.694637	0.389968	0.317565	0.488346	0.255857	0.389458	0.922008	0.732023	0.55	0.792391
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.d8e6c755-45ac-4108-b1ba-23233bd0ab31.fc.signal	0.548205	0	0	0	0	0	0	0.153873	0.34194	0.20395	0.64297	0.61328	0.239358	0.34194	0.544913	0.382362	0.011398	0.929368	0.564671	0	0.281927	0.166955	0.146575	0.394763	0.165492	0	0	0	0	0.320569	0.34194	0.136776	0	0	0	0	0.709088	1.34977	0.0501512	0	0	0.284998	0.75242	1.05565	0.681312	0.788792
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.313549b4-5e36-4d5c-9816-17b9c7f898e3.fc.signal	1.05955	1.70168	0.161465	0	1.60937	1.6701	0.0151125	0	0	1.26416	1.10957	1.86281	1.59639	0.0387731	0	0	0	0	0	0	0.536833	0.411891	1.1866	1.36236	0.0633312	0	0	0	0	0	0	0.149608	1.26145	1.83531	0.492791	1.11465	0.0736732	0	0	0	0	1.31028	0.220392	0.475872	1.23688	0.627586
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.d51ed427-007f-40d3-b98a-eaa67c358ae9.fc.signal	0.0779033	0	0	0	0.027898	0.09657	0.1712	0.19315	0.19315	0.0740378	0	0.0419927	0.161772	0.365676	0.3677	0.202845	0.0875589	0.367045	0.641354	0.685756	0.614929	0.590464	0.428865	0.306217	0.322634	0.263381	0.154518	0.09657	0.0135198	0	0	0	0	0.0531135	0.125544	0.244045	0.331647	0.182853	0.0431346	0.121681	0.235676	0.433365	0.365125	0.197039	0.136115	0.428571
