	chr15:43257552-43257651	chr15:43257652-43257701	chr15:43257702-43257741	chr15:43257742-43257821	chr15:43257822-43257851	chr15:43257852-43257971	chr15:43257972-43258001	chr15:43258002-43258081	chr15:43258082-43258151	chr15:43258152-43258211	chr15:43258212-43258301	chr15:43258302-43258371	chr15:43258372-43258451	chr15:43258452-43258601	chr15:43258602-43258751	chr15:43258752-43258901	chr15:43258902-43259051	chr15:43259052-43259131	chr15:43259132-43259201	chr15:43259202-43259271	chr15:43259272-43259351	chr15:43259352-43259501	chr15:43259502-43259521	chr15:43259522-43259651	chr15:43259652-43259731	chr15:43259732-43259741	chr15:43259742-43259781	chr15:43259782-43259801	chr15:43259802-43259891	chr15:43259892-43259951	chr15:43259952-43260001	chr15:43260002-43260101	chr15:43260102-43260221	chr15:43260222-43260251	chr15:43260252-43260341	chr15:43260342-43260401	chr15:43260402-43260461	chr15:43260462-43260551	chr15:43260552-43260631	chr15:43260632-43260701	chr15:43260702-43260771	chr15:43260772-43260851	chr15:43260852-43260881	chr15:43260882-43260931	chr15:43260932-43261001	chr15:43261002-43261061	chr15:43261062-43261091	chr15:43261092-43261151	chr15:43261152-43261271	chr15:43261272-43261301	chr15:43261302-43261391	chr15:43261392-43261451	chr15:43261452-43261601	chr15:43261602-43261661	chr15:43261662-43261751	chr15:43261752-43261901	chr15:43261902-43261971	chr15:43261972-43262051	chr15:43262052-43262101	chr15:43262102-43262201	chr15:43262202-43262301	chr15:43262302-43262351	chr15:43262352-43262431	chr15:43262432-43262501	chr15:43262502-43262561	chr15:43262562-43262651	chr15:43262652-43262797	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.f19e0b8f-152f-42de-82db-a8afb7688356.fc.signal	0.0971942	0	0	0	0	0.297704	0.128042	0	0.21974	0.36494	0.0496853	0.653052	0.820961	0.898037	0.647601	0.399142	0.40546	0.364466	0	0	0.00899875	0.388678	0.26086	0.0868328	0	0	0	0	0.00533289	0.110491	0.0785926	0.139969	0.477834	0.380876	0.16072	0.0799933	0.149053	0.166836	0.0923196	0.0976221	0.20683	0.454748	0.29703	0.262192	0.56284	0.727791	0.452904	0.0401317	0	0.066402	0.301093	1.14799	1.02261	1.05344	0.946703	0.451094	0.224563	0.280492	0.266385	0.567611	0.523215	0.88139	0.914214	0.33166	0.249242	0.0225867	0.673898	0.162162
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.7dbee8a8-9cc7-46ce-85e2-59b2468157be.fc.signal	0.0069336	0	0	0.0553411	0.17649	0.0966251	0	0	0.0949731	0.184702	0.0495271	0	0	0.0929063	0.139909	0.18007	0.167361	0.143427	0	0	0	0	0	0	0	0	0.108469	0.288552	0.244946	0.0655705	0.178713	0.248907	0.110297	0.08815	0.12262	0.0557533	0.0720792	0.052931	0.158649	0.253204	0.107251	0	0	0	0.125003	0.20415	0.114635	0	0.202763	0.269399	0.332857	0.527393	0.0499612	0	0.222232	0.193219	0.553322	0.393568	0.549466	0.412903	0.44384	0	0.48898	0.516422	0.0610542	0	0	0.676856
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000225.3.6300cfe8-bf7c-4c50-b350-9885c462045f.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144046	0.251299	0.361845	0.301396	0.32652	0.236316	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042742	0.147897	0.118557	0.164279	0.0264593	0.034192	0.18119	0.202769	0.233204	0	0	0.179745	0.468608	0.560907	0.966741	1.01002	0.483592	0.394207	0.151971	0.351953	0.331475	0.178083	0.567313	0.624016	0.356333	0.623884	0.62809	0.441403	0	0	0	0	0	0.004749	0.156165	0.808696
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.69848b5e-1d71-4ca5-a68d-b2c1db7d8201.fc.signal	0.0644924	0	0	0	0	0	0	0	0	0	0	0	0.531071	2.7526	0.820764	1.93371	1.39935	1.99832	3.55305	2.31859	0.216446	0	0	0	0	0	0	0	0	0.278493	0.80287	0.975342	0.938492	0.773736	0.906558	0.729754	1.53777	2.43038	2.33705	0.832595	0	0.0633408	0.46066	0.50979	0.416774	0	0	0	0	0.939991	2.22356	3.20072	2.40532	2.7365	0.706146	0	0.529352	2.33393	2.96453	1.66695	0.236777	0	0	0	0	0	0	0.432056
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.768c3dd3-4d38-474a-b6d5-c316c21bc08d.fc.signal	0	0	0	0	0	0.18865	0.31361	0.316119	0.248368	0.0693813	0.136481	0.246482	0.374422	0.365353	0.201349	0.0933103	0.614669	0.922984	1.00482	0.399851	0.372029	0.034937	0	0	0	0	0	0	0.337797	0.755702	0.978672	0.853487	0.782803	0.719232	0.816204	0.3417	0.3309	0.363737	0.428265	0.376711	0.167281	0	0	0	0	0	0	0.145481	0.505597	0.75564	0.925849	1.39257	3.35772	3.69487	2.25503	0.101866	0	0	0	0	0	0.199152	0.804065	2.33996	2.40267	2.67497	1.84759	0.850932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.e1dc7d2c-ad1c-431d-b26b-8d6d2c33cf69.fc.signal	0	0	0	0	0	0	0	0	0	0	0.0859893	0.229249	0.467986	0.50073	0.430671	0.428439	0.411622	0.554883	0.472254	0.479173	0.295507	0.0322507	0	0	0.0194204	0.08177	0.0942455	0.188746	0.243034	0.205401	0.189751	0.153224	0.137658	0.115084	0.119626	0.116555	0.121484	0.13639	0.248431	0.279061	0.235662	0.231119	0.137344	0.107039	0.0868056	0.225659	0.248947	0.246836	0.245781	0.207618	0.176418	0.186329	0.204085	0.217426	0.292048	0.371236	0.222032	0.185151	0.31931	0.355527	0.306215	0.173395	0.100951	0.164167	0.227685	0.231947	0.144323	0.751953
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.ee2442de-4362-4f9f-9331-9ed79b0e0f3c.fc.signal	0.411197	0	0	0	0	0.155369	0.669461	0.713471	0.138252	0	0.120418	0.276926	0.417335	0.528625	0.122586	0.240748	0.306279	0.286757	0.315056	0	0	0	0	0	0	0	0	0	0	0.087448	0.287732	0.413595	0.330975	0.402477	0.25559	0.164747	0.234998	0.470685	0.355808	0.058381	0.0140171	0.475867	0.471931	0.0497134	0.042963	0.263492	0.179272	0.047368	0.326994	0.634627	0.469134	0.588058	0.860669	0.379643	0.0809307	0	0.230006	1.22898	0.617272	0.542945	0.775409	0.057607	0	0	0	0.352003	0.38622	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001892.4.a3994b5d-df9e-4d2b-8d1f-2a68f9eea142.fc.signal	2.41163	0.719684	0	0	0	0	0.851134	0.765567	0	0	0	0	0.0110666	1.73502	0.725807	0.868482	0.670729	0.0443145	0	0	0.453551	0.590046	0.865946	0.264127	0	0	0	0.683974	1.73343	0.364962	1.19125	2.85281	0.699146	2.28825	1.68831	0.667935	0.610505	0	0	0.207123	0.50704	1.55263	1.23214	0	0.250344	0.894593	0.665868	0	0	0	0	0.365406	1.45399	2.32383	1.66133	2.16665	1.19812	2.39039	2.5941	1.22063	2.26987	0.926717	0.642129	1.09617	0.417336	0	0.844336	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000051.3.22470f4a-1e3a-4b92-9331-861c5b4f182d.fc.signal	0.221787	0.318277	0.304372	0.00363725	0.29098	0.216876	0.135014	0	0	0.345505	0.212926	0.38072	0.3695	0.213071	0.403855	0.519829	0.314771	0.23447	0.359532	0.327173	0.281931	0.0774372	0.196624	0.487205	0.153707	0.136178	0.101261	0	0.077588	0.608173	0.66495	0.392343	0.336196	1.19994	1.44032	0.953509	0.57514	0.620257	0.656639	0.574719	0.788461	0.420507	0.27929	0.262536	0.135678	0.419118	0.378525	0.382341	0.134883	0	0	0	0.106181	0.403	0.362005	0	0.175556	0.384042	0.642419	0.910176	0.773144	0.481288	0.4241	0.389733	0.404775	0.106229	0.429361	0.0310559
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.2df51237-5ee8-4df1-9b35-852de3df9810.fc.signal	0.772209	0.59867	0.59867	0.389137	0.29934	0.29934	0.29934	0.112253	0	0.019956	0.29934	0.316445	0.676804	0.921236	0.855684	1.25996	0.553035	0	0	0.192467	0.615368	0.819359	0.413452	0.0113603	0	0.269406	0.451156	0.59077	1.4233	1.44162	1.16693	0.694823	0.419331	0.358181	0.221657	0.361064	0.453989	0.790532	1.51707	1.90279	2.42011	1.72104	1.71608	1.02964	0.59867	0.29934	0.109758	0	0.251944	0.59867	0.59867	0.394128	0.371967	0.264371	0.282484	0.574702	0.596829	0.629599	0.691583	0.942527	1.14291	0.927599	1.12417	0.759184	0.911852	1.16894	2.15224	0.974138
