	chr22:38125769-38125918	chr22:38125919-38126068	chr22:38126069-38126218	chr22:38126219-38126368	chr22:38126369-38126518	chr22:38126519-38126668	chr22:38126669-38126818	chr22:38126819-38126968	chr22:38126969-38127118	chr22:38127119-38127268	chr22:38127269-38127418	chr22:38127419-38127568	chr22:38127569-38127718	chr22:38127719-38127868	chr22:38127869-38128018	chr22:38128019-38128168	chr22:38128169-38128318	chr22:38128319-38128468	chr22:38128469-38128618	chr22:38128619-38128768	chr22:38128769-38128918	chr22:38128919-38129068	chr22:38129069-38129218	chr22:38129219-38129368	chr22:38129369-38129518	chr22:38129519-38129668	chr22:38129669-38129818	chr22:38129819-38129968	chr22:38129969-38130118	chr22:38130119-38130188	chr22:38130189-38130268	chr22:38130269-38130418	chr22:38130419-38130568	chr22:38130569-38130718	chr22:38130719-38130868	chr22:38130869-38130930	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.35530d7a-23e1-468e-978a-d33955937d72.fc.signal	1.91037	2.93998	2.32851	2.88281	2.64629	2.49334	2.23186	1.9475	2.28419	3.39892	3.39095	1.84548	1.95771	2.10214	3.01773	3.00383	2.32621	2.60367	3.31732	2.51804	3.54359	5.68454	4.24234	4.17492	3.93077	2.41019	2.57294	2.76542	3.1606	1.96366	1.58383	2.22993	1.21356	1.68729	1.61843	1.27097	0.688119
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.b3b3b801-4bf3-4e6f-974d-5cca823d1b91.fc.signal	1.07905	1.49956	1.04452	1.04079	0.986916	1.04027	0.84502	0.794409	1.28468	1.14309	1.15318	1.14214	1.01485	1.07975	0.996217	0.883943	1.12654	1.18489	1.21788	1.06147	1.27131	1.61529	1.46615	1.63827	1.63122	1.21992	1.18338	1.85815	1.64942	1.47463	0.836168	0.812434	0.917222	0.883926	1.20353	1.56874	0.312554
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.823ac744-5eeb-40f9-9f65-c42b0b5130dc.fc.signal	6.78629	6.57769	9.55377	11.1916	14.2716	14.9357	6.6495	8.8094	10.886	7.94228	9.90847	10.833	9.84087	13.7709	14.7584	11.4861	5.74656	9.21562	5.92217	2.59455	5.4548	6.36589	12.4666	11.1026	9.29995	12.4309	10.5757	6.96074	6.08575	8.95538	7.36319	3.49533	3.13298	3.42517	3.52816	2.95386	0.353741
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	0.324367	0.738075	1.167	1.74153	1.58497	0.880967	1.11497	1.34125	0.932496	0.200189	0.178746	1.03544	1.44541	1.48548	3.11143	3.72646	3.24877	3.15728	2.56826	2.04305	2.90444	3.47886	2.31623	1.28534	1.53375	1.5723	1.42996	2.06279	2.74277	2.97927	1.87863	1.86682	2.49542	1.31623	0.380289	0.35593	0.071618
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000743.1.1bd642c8-def0-432c-b22d-2321d6cee6ca.fc.signal	1.62983	2.28803	3.30538	1.80215	1.13155	2.79721	1.21151	1.00643	0.932272	2.21956	1.74197	3.17042	1.72379	0.70075	2.44133	3.34264	1.57782	3.10738	1.56134	2.09303	2.13689	4.19196	2.79675	2.96283	4.34559	1.0817	2.1925	5.12416	2.94414	2.75841	4.48859	6.31595	3.10609	1.92613	1.6929	0.571879	0.366864
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	2.65859	1.14317	2.16827	2.16247	2.05224	1.29016	3.26787	3.33847	2.58801	1.78917	1.74759	1.67118	0.922642	1.65669	2.60637	2.58414	2.26789	2.68665	2.55319	3.67309	3.81235	3.264	3.31906	5.29203	2.60637	1.74374	1.81159	2.43924	3.13272	3.91473	3.86059	2.79013	1.11801	2.38491	3.39843	3.23359	0.110272
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	3.29874	2.25406	2.57687	1.7925	0.813949	0.935052	0.886397	0.857551	0.274714	0.985497	1.72097	3.23428	2.57598	1.22015	1.77959	2.65333	2.1989	1.9677	1.1892	2.18315	1.38134	2.57432	0.96421	1.23635	1.73383	0.795071	1.48203	1.85459	1.79151	1.3278	1.76525	2.36769	1.5677	1.8772	2.57124	1.82603	0.281846
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	2.86248	1.36172	2.61479	0.827032	2.71768	0.877473	1.13851	0.818683	1.56209	3.92061	3.855	1.81919	3.35987	6.8129	4.83239	4.4967	3.27336	4.23555	2.27599	4.00387	4.26683	5.02141	3.51393	1.78831	5.14663	1.55366	1.36481	5.48092	3.04878	2.09701	0.839039	2.02355	0.543787	1.06323	0.365629	1.93496	0.254113
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000354.2.0500ebd0-c650-482a-8d75-3cf5ca9c1882.fc.signal	3.72074	3.18777	4.30968	4.04597	4.34216	6.20914	8.15019	5.70914	4.10541	2.46703	4.99692	4.30492	5.48037	6.16268	7.82422	5.22454	7.0882	6.4375	5.12096	2.57469	4.16365	5.35149	5.82065	11.7696	6.27176	5.9755	5.18247	4.83828	6.13497	5.9501	3.3366	2.82712	1.31718	3.44305	2.0816	0.664839	0.220472
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.e6af9ec0-8b4b-4624-8b3a-51f86f371f0f.fc.signal	5.35784	5.93172	6.93981	6.5602	6.36631	6.18208	5.42217	4.92305	5.00422	5.90372	7.18226	7.04085	6.77682	7.50625	7.41383	7.47451	7.40044	6.76759	5.14437	5.53089	5.63184	6.76613	11.2565	10.0717	8.88966	7.21746	7.05145	7.65258	9.07614	7.69461	6.37467	5.91984	5.32117	3.44757	4.75593	5.67805	0.428105
