	chr16:74407352-74407411	chr16:74407412-74407501	chr16:74407502-74407601	chr16:74407602-74407651	chr16:74407652-74407671	chr16:74407672-74407731	chr16:74407732-74407781	chr16:74407782-74407801	chr16:74407802-74407921	chr16:74407922-74407951	chr16:74407952-74408071	chr16:74408072-74408101	chr16:74408102-74408251	chr16:74408252-74408321	chr16:74408322-74408401	chr16:74408402-74408551	chr16:74408552-74408591	chr16:74408592-74408611	chr16:74408612-74408701	chr16:74408702-74408751	chr16:74408752-74408771	chr16:74408772-74408791	chr16:74408792-74408851	chr16:74408852-74408951	chr16:74408952-74409001	chr16:74409002-74409151	chr16:74409152-74409251	chr16:74409252-74409301	chr16:74409302-74409401	chr16:74409402-74409451	chr16:74409452-74409461	chr16:74409462-74409601	chr16:74409602-74409641	chr16:74409642-74409721	chr16:74409722-74409751	chr16:74409752-74409901	chr16:74409902-74409951	chr16:74409952-74410051	chr16:74410052-74410101	chr16:74410102-74410151	chr16:74410152-74410201	chr16:74410202-74410351	chr16:74410352-74410501	chr16:74410502-74410581	chr16:74410582-74410651	chr16:74410652-74410671	chr16:74410672-74410741	chr16:74410742-74410801	chr16:74410802-74410891	chr16:74410892-74410951	chr16:74410952-74411001	chr16:74411002-74411101	chr16:74411102-74411151	chr16:74411152-74411181	chr16:74411182-74411251	chr16:74411252-74411331	chr16:74411332-74411371	chr16:74411372-74411401	chr16:74411402-74411551	chr16:74411552-74411641	chr16:74411642-74411701	chr16:74411702-74411731	chr16:74411732-74411821	chr16:74411822-74411851	chr16:74411852-74412001	chr16:74412002-74412021	chr16:74412022-74412101	chr16:74412102-74412151	chr16:74412152-74412171	chr16:74412172-74412301	chr16:74412302-74412378	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.2e9e766f-a8f0-4144-be3d-bffc3ef3aedd.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.648212
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.e9a22a10-4147-4184-8f97-9e6f19793d99.fc.signal	3.73496	14.4633	16.4914	6.52365	2.49526	0.265635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180244	0.391321	0.664185	0.864029	0.406071	0.0227676	0	0.0910704	0.337712	0.508549	0.284589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00437838	0.18973	0.725523
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003842.2.ac8d699d-9ae8-4731-8d5c-e996a9937a09.fc.signal	0.267015	1.17009	1.37682	0.272642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163618	0.299782	0.296704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112583
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.4b84d196-177c-48b4-a7a5-bffad11f4762.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.571064
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.0d70dbb5-6bd0-48ac-bde1-b73edc6398bb.fc.signal	0.801605	2.45341	1.5522	0.0687082	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265464	0.31231	0.299818	0	0	0.3019	0.302941	0	0	0	0.218617	0.609014	0.437238	0.31231	0	0	0	0	0.578824	0.199881	0	0	0	0	0.0877239	0.935776	0.0273271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.d0662727-3cb8-42a6-9eb8-875cfded9c1e.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213311	0.29278	0.159402	0	0.281069	0.29278	0.0702672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358974
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.9a67dbab-2305-42d6-a0ec-7cb7b956e3e2.fc.signal	0.31138	0.716166	0.504428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295811	0.270233	0.0675345	0	0	0.205511	0.616523	0.815804	0.877511	0.649571	0.31138	0.0578277	0	0	0	0.128012	0.31138	0.31138	0.0093414	0	0	0.367135	0.501899	0.24442	0	0	0.287162	0.31138	0.0726553	0.00345978	0.31138	0.247028	0	0	0	0	0	0	0.677632
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001887.4.aa825751-1900-4a19-81df-fe3780ad3aed.fc.signal	0	0.068727	0.22909	0.22909	0.22909	0.106909	0	0	0	0	0	0.0305453	0.22909	0.22909	0.00286363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198545	0.238254	0.22909	0.22909	0.160363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068727	0.22909	0.22909	0.206181	0	0	0	0	0	0.682759
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.9815b17b-4b2f-4371-98fe-9b674b10f52b.fc.signal	1.16081	1.32076	0.991381	0.46438	0.45277	0.0348285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358751	0.650124	0.23219	0.23219	0.208971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0309587	0.23219	0.23219	0.150923	0	0	0	0	0	0.740741
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.cb3f1a65-14b1-4058-aef5-bc7db4396fc3.fc.signal	0.390553	0.80227	0.324236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.394145	1.28413	0.122619	0	0	0	0	0	0	0	0	0	0	0	0.0647259	0.27253	0.27253	0.256178	0.27253	0	0	0	0	0	0	0	0	0	0	0	0.483051
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.0f14d363-13f3-4ef6-ae7d-bc5a09aea3db.fc.signal	2.95492	3.56743	3.10394	1.73822	1.45265	0.0827752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024828	0.248214	0.216288	0.31012	0.575626	0.49669	0.35829	0.12414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00275867	0.49669	0.622485	0.732556	0.24828	0.119174	0	0	0	0.961722
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000992.7.455df784-1bb9-4cc0-95a0-4a32fe765d2d.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127224	0.215331	0.621313	0.32624	0.00239143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12272	0.276609	0	0	0	0	0	0	0.480663
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001021.4.1c0ae950-3455-41eb-9b58-0960e680afcb.fc.signal	2.12154	3.03012	1.9948	0.954751	0.66302	0.66302	0.40665	0.0994545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.367681	0.758791	0.659999	0.171972	0.161255	0.296689	0.330135	0.438928	1.18241	1.25563	0.61239	0.38676	0.426224	0.44201	0.225919	0	0	0	0.150287	0.220347	0.339307	0.27666	0.21438	0.07949	0.182702	0.186631	0	0	0.265207	0.66302	0.574618	0.132606	0	0	0	0	0	0.311321
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.b95e5419-47c1-4594-b280-863f31043d11.fc.signal	8.08817	5.28338	2.48059	1.48317	1.45434	1.48276	0.331893	0.20234	0.20234	0.0876807	0.030351	0.20234	0.402091	0.396114	0.118875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0292685	0.17886	0.242886	0.389237	0.342418	0.162413	0.0640881	0.0989496	0.0964264	0.0926156	0.171202	0.185567	0.114732	0.0947059	0.170644	0.145626	0.107165	0.159463	0.032958	0	0.304497	0.39039	0.388531	0.389931	0.357353	0.305942	0.37086	0.317075	0.124592	0.18086	0.247208	0.626442	0.703576	0.609641	0.39307	0.276097	0.290712	0.265525	0.0270588	0	0.538776
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.5297888b-bbdb-457e-a4df-2ac89d088d0f.fc.signal	1.52505	2.90174	2.65163	1.2757	0.66793	0.66793	0.567712	0.0500805	0	0.33387	0.33387	0	0	0	0	0	0	0	0.315322	0.33387	0.250402	0	0	0	0	0	0	0.33387	0.33387	0	0	0	0	0	0	0	0	0	0	0	0	1.08533	0.90832	0	0	0	0.0143087	0.33387	0.322741	0	0	0	0	0.333895	0.992261	0.876589	0.0166935	0	0.313838	0.0593547	0.33387	0.33387	0.196612	0.512035	0.565505	0	0	0	0	0	0	0.584892
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.2e5336b8-3cc1-48ac-ba65-a7a139158e40.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18701	0.501051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.949608	0.906863	0.855023	1.1425	0	0	0	0	0.359338
