	chr7:23681999-23682148	chr7:23682149-23682298	chr7:23682299-23682378	chr7:23682379-23682448	chr7:23682449-23682598	chr7:23682599-23682748	chr7:23682749-23682898	chr7:23682899-23683048	chr7:23683049-23683198	chr7:23683199-23683348	chr7:23683349-23683498	chr7:23683499-23683648	chr7:23683649-23683798	chr7:23683799-23683948	chr7:23683949-23684098	chr7:23684099-23684248	chr7:23684249-23684398	chr7:23684399-23684548	chr7:23684549-23684698	chr7:23684699-23684848	chr7:23684849-23684998	chr7:23684999-23685148	chr7:23685149-23685298	chr7:23685299-23685368	chr7:23685369-23685448	chr7:23685449-23685598	chr7:23685599-23685748	chr7:23685749-23685898	chr7:23685899-23685958	chr7:23685959-23686048	chr7:23686049-23686198	chr7:23686199-23686348	chr7:23686349-23686498	chr7:23686499-23686648	chr7:23686649-23686798	chr7:23686799-23686948	chr7:23686949-23687098	chr7:23687099-23687172	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	1.94392	2.12618	1.70737	0.236395	0	0.990193	1.3696	0.55343	0.23061	0.0962015	1.12649	1.80639	1.94521	2.04886	1.96368	1.50286	2.26543	1.26043	2.37091	1.16417	5.3997	3.95461	2.75051	1.17859	3.24272	2.80607	3.0971	2.748	1.55255	1.76008	1.63969	2.86297	3.20263	3.59571	0.66414	3.85494	3.72733	1.39282	0.480712
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	0.548361	0	0	0	0.145154	0.812561	1.7922	0.570188	0.645131	0.50235	0.480016	0	0	0	0	0.221764	1.84683	0.50804	0.390401	3.21897	0.765251	0	0	0.58753	0.967696	0.743406	1.36597	0.975821	1.10244	1.09962	0.930798	0.403549	0	0.227491	1.04315	0.92992	0.217732	0.00870054	0.307692
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0.708863	1.25382	0.430425	0.302327	0.125154	0.717344	0.15967	0.628312	0.205243	0.828477	0.787929	0.212331	1.05527	0.860829	0.108603	0.6233	0.807881	0.53498	0.234556	0.034361	0.526637	0.536341	0	0	0	0.885239	2.19076	0.915399	1.31858	1.05005	0.0489479	0.920584	1.65276	1.18847	1.06662	1.91348	1.19784	0.83711	0.502326
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.754896	1.87888	1.5774	0.182822	0.211443	2.03101	1.26123	1.07388	0.634275	0.480346	1.34045	0.789655	2.5431	1.77498	2.27747	4.19918	3.35895	0.198461	0.493308	0.558216	0.135385	0	0	0.00795057	1.28328	4.85878	7.37824	7.64228	5.58286	3.03015	1.3266	0.0185513	0.690733	1.3339	0.205057	0.326399	1.4719	3.68433	0.417896
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0	0	0	0	0.187298	0.466124	0.439357	0.573069	0.780579	0.904844	1.62213	2.25092	0.240494	0.366844	1.01421	1.27962	0.399495	0.283314	0.64658	0.2063	0	0.009892	1.21704	2.00147	3.22786	5.77058	3.59574	3.39335	2.16123	2.41042	2.22049	1.64557	0.91151	0.493142	0.0678161	0.616257	0.125455	0.598726
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	4.36942	3.84217	2.58808	1.45993	1.35909	3.02969	3.45225	2.55024	1.98444	2.49917	3.89062	3.35909	3.32809	3.77502	3.70893	4.58153	4.63364	4.01593	4.55946	4.56284	4.98501	4.3003	5.89713	7.75724	7.48726	8.04708	7.95288	8.85363	6.54096	4.07631	5.41514	6.76449	7.0848	7.25539	5.31621	5.46217	7.28454	8.26418	0.529272
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	1.26208	0.472781	0	0	0.0035506	0.805757	0.341459	0.171662	0.733571	0.611472	0.804953	0.802721	1.47594	1.2618	0.775936	0.483782	1.28364	1.79964	1.08652	0.840663	1.64529	1.10714	1.02343	1.8631	4.30199	8.24869	7.06955	4.85627	3.39257	3.74322	5.54096	3.39184	2.20784	0.892859	1.32201	0.942544	1.04266	1.4118	0.562278
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.70472333-cf93-4f75-9795-a7c0cfbd4b2b.fc.signal	1.33807	1.13144	0.402823	0.177567	0.469293	1.38804	0.644678	1.01862	0.957746	1.1594	1.06089	0.464431	1.18285	0.855122	0.64727	0.373141	0.651944	0.524634	0.410842	0.929831	1.02326	0.189954	0.707571	1.09456	1.61244	0.810648	0.207725	1.8405	1.61342	1.04044	1.00876	0.602796	0	0.537904	0.264471	0.0224229	0.425744	0.343556	0.321033
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	0.672321	0.904615	1.2736	0	0.173335	2.95855	1.20048	0.0812812	0.781829	1.03841	1.40013	0.718683	0.998486	0.274766	0.593541	0.298907	1.13006	0.115058	0	1.00265	1.54462	1.33183	1.50041	0.490025	1.29755	1.08107	1.8114	1.81773	1.8177	1.49354	1.00776	2.67231	4.62352	0.419224	0	0.979	1.3741	0.302754	0.394309
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001546.1.967ca253-1932-4175-8466-de89b0808edb.fc.signal	0	0	0	0	0.746777	0.7884	1.06287	1.74917	0.979104	0.896987	0.130659	0.772907	0.134501	0	0	0	0.339276	0.556788	0.397416	0.429016	0.245704	0	0.427143	0.670671	0.329805	0.569775	0.694345	0.817004	2.93032	2.50554	0.590935	0	1.90148	4.49852	1.23384	0	0	0	0.491166
