	chr8:22226288-22226437	chr8:22226438-22226587	chr8:22226588-22226737	chr8:22226738-22226887	chr8:22226888-22227037	chr8:22227038-22227127	chr8:22227128-22227187	chr8:22227188-22227277	chr8:22227278-22227337	chr8:22227338-22227487	chr8:22227488-22227517	chr8:22227518-22227637	chr8:22227638-22227787	chr8:22227788-22227867	chr8:22227868-22227937	chr8:22227938-22228087	chr8:22228088-22228237	chr8:22228238-22228387	chr8:22228388-22228487	chr8:22228488-22228537	chr8:22228538-22228687	chr8:22228688-22228837	chr8:22228838-22228987	chr8:22228988-22229137	chr8:22229138-22229287	chr8:22229288-22229437	chr8:22229438-22229587	chr8:22229588-22229737	chr8:22229738-22229887	chr8:22229888-22230037	chr8:22230038-22230187	chr8:22230188-22230337	chr8:22230338-22230487	chr8:22230488-22230637	chr8:22230638-22230787	chr8:22230788-22230867	chr8:22230868-22230937	chr8:22230938-22231087	chr8:22231088-22231237	chr8:22231238-22231387	chr8:22231388-22231409	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	13.3619	7.62467	7.57381	7.22904	7.87165	12.1537	26.6752	26.8053	13.3118	18.6238	18.0746	50.9549	66.4728	41.5716	17.8699	12.5928	15.337	8.4169	3.2106	0.923655	0.0185513	0	0.257564	0.661119	2.16432	4.55464	4.08062	0.478537	1.55614	0.851312	0.517423	0	0.498871	0.094583	0.228114	0.55636	0.145994	0	0.003936	0.83794	0.60104	0.766667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	1.08396	0.544877	0.144556	1.49285	1.80183	1.25809	1.80388	2.51275	1.19345	0.385297	1.00424	1.30957	1.71473	1.47983	1.16896	1.08235	0.506727	0.832075	0.139748	0	0	0.0585832	0.279573	0	0	0.417104	0.342956	0.121454	0.11544	0.274054	0.18542	0.276268	0	0	0	0.0133088	0.409584	0.546301	0.237988	0	0.158033	0.236181
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.0342464	0.169767	0.338456	0.353096	0.258433	0.20098	0.178186	0.212272	0.250199	0.307547	0.270109	0.276575	0.192486	0.139341	0.182386	0.16285	0.329536	0.47576	0.383325	0.171212	0.153351	0.15346	0.256839	0.215817	0.315279	0.415973	0.306396	0.302747	0.222714	0.317854	0.396376	0.494602	0.361599	0.237087	0.283599	0.421012	0.472919	0.417292	0.526938	0.656241	0.720895	0.219512
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	4.56573	3.02358	3.29216	1.8155	1.92692	3.27084	4.58624	4.78378	3.85148	5.32569	3.44854	5.87797	8.78458	6.93445	2.74157	1.22974	1.07942	0.777133	0.389518	0.35547	0.0568752	0.862752	0.552009	0.117759	0.23461	0.325717	0	0.504889	1.27277	1.21826	0.203816	0.14459	0.886453	0.40293	0.843799	1.01771	1.51857	1.12603	0.587254	0.354643	0.931628	0.512931
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	0.593562	1.65658	3.0692	3.83887	3.74449	3.63173	3.73786	3.1549	2.43917	2.41555	4.3283	5.60952	6.68163	5.34113	3.45043	2.02079	2.11989	1.76863	1.25562	1.50569	1.30877	1.00771	1.24307	0.919225	0.999872	1.87004	1.92489	2.10743	1.54443	1.33825	1.24029	0.83822	0.770181	0.952939	0.76444	0.43829	0.24286	0.276538	0.615707	0.716211	0.665987	0.612319
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.100e7289-c631-4bb0-9eef-015950828bf4.fc.signal	3.44086	2.1833	1.35573	1.9776	2.98633	4.5013	8.33983	8.7624	6.63185	5.98333	4.31001	15.0551	14.5927	11.7391	3.54559	1.86542	4.09384	2.79784	1.6109	0.556673	0.0139612	0.715845	0.476343	0.734002	0.416728	0.177101	0.498871	0	0	0.200145	0.200145	1.25433	1.06212	0.253517	0.456552	1.22088	1.09226	0.485685	1.37035	1.68032	1.47391	0.879479
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	1.59723	1.19193	1.31094	3.95629	5.33556	8.0941	7.40512	6.08903	4.88267	4.71636	5.60212	5.61663	8.81273	8.2944	4.68487	3.73364	5.02749	5.20127	3.79301	2.88916	2.45113	2.50557	3.01147	1.32515	1.83669	2.2349	2.32518	3.14748	5.05746	4.0441	2.46832	3.32264	4.43922	3.50812	4.92216	4.67247	4.33821	4.11601	2.50928	2.99994	3.32859	0.447245
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	5.04047	6.87845	6.82757	6.52603	4.5351	5.32341	7.04529	7.31502	3.10872	3.47752	4.02798	10.6885	8.37725	9.21814	9.25053	8.70382	9.95181	7.91517	7.78972	4.87626	4.45378	2.77847	3.28803	2.1903	4.13365	6.20003	5.31177	5.99073	4.80288	2.82548	4.55511	3.70534	5.94508	4.77043	2.74206	4.3671	4.98994	5.32873	4.61073	3.87557	2.8963	0.392111
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.68ad223e-c775-4c49-8f3f-4ec63b3e920b.fc.signal	0.199187	0.874094	1.39152	0.880741	1.2578	1.28742	1.35842	1.96313	1.02762	1.64907	1.74466	2.8589	4.63448	2.27845	0.396247	1.48023	1.98419	0.844401	0.571884	0.801914	0.85616	1.14394	1.88845	0.692764	0.526867	0.654031	1.08814	0.360757	0.520101	0.554185	0.378822	0.191071	0.107595	0.711938	0.915589	1.34134	2.59016	1.00596	0.574738	0.672267	1.0521	0.416
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.b5459224-ca8f-46dd-880a-e16781c88032.fc.signal	22.2889	18.5817	15.6904	21.6412	29.1048	28.5861	46.5729	45.8576	13.9302	12.4117	18.3909	63.875	71.3932	28.3732	4.27084	9.09629	35.7003	20.9091	17.4193	14.2993	9.34307	7.32471	10.6127	7.57313	5.30454	4.36486	5.60735	8.9212	6.15808	7.16034	7.27931	5.47478	6.49975	5.92361	4.15945	5.00005	7.19058	4.98395	6.29261	8.5506	6.70809	0.397815
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.9dac3370-6335-4df0-bea0-9e684edfa350.fc.signal	0.121944	1.12491	0.947284	0.476272	0.86708	0.569196	0.337934	0.255528	0.182401	0.150863	0	0.28849	0.633767	0.776427	0.277192	0.674262	0.707651	1.24239	0.26501	0.291046	0.499194	0.635484	1.0438	0.388987	0.418064	1.39199	0.48339	0.0952	0	0.340726	0.991878	0.377178	0.924909	1.35307	0.774742	0.943701	1.32831	0.656075	0.902255	1.22898	0.256997	0.984556
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.2cec18a6-acf1-4ec3-b511-04e126f82363.fc.signal	0.37575	1.58585	4.59043	4.47581	3.26935	4.12479	5.49408	8.01052	8.18055	8.00533	6.55903	8.49313	16.1594	7.95517	4.15689	2.44484	5.09138	8.0734	4.5161	1.94699	3.2003	3.2022	2.85562	1.59484	4.95771	3.91178	3.90023	3.3484	6.05388	4.22943	3.82693	6.67954	7.48525	2.60981	3.01458	4.80342	4.39417	1.6443	2.80838	1.24787	2.65933	0.355805
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004647.3.6c7e93ea-bf0c-48a2-82fb-1c49e3dc143b.fc.signal	0.646614	0.696648	0.693349	0.869322	0.757429	0.753141	0.979794	1.20887	1.0889	1.19853	2.33855	2.78489	3.2822	2.71666	2.60219	1.0432	0.356794	0.694323	0.878633	0.760085	0.684464	0.52646	0.895554	0.787868	0.634387	0.598532	0.588359	0.463298	0.33869	0.24667	0.205972	0.151278	0.141921	0.276094	0.405589	0.60608	0.824798	0.723745	0.368928	0.39156	0.249895	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.e1095ee8-c1a0-47db-b726-788ab3dbb842.fc.signal	0.947724	0.953888	0.608233	0.399554	1.032	2.19562	2.688	2.57229	1.56891	1.07613	1.79074	3.70553	3.34449	1.16127	0.716071	0.849401	1.57393	1.10558	0.576151	0.511402	0.571568	0.392612	0.522201	0.483632	0.209803	0.58082	0.803739	0.321648	0.973401	0.970931	0.266882	0.201318	0.276909	0.442752	0.460493	0.309532	0.553608	0.519477	0.313933	0.576967	0.46281	0.754464
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.440b0def-8afc-49ae-ab48-eb6e55baaba4.fc.signal	0.481587	1.09497	2.4461	1.04712	0.779041	0.566097	0.95418	1.55698	1.98045	2.89396	1.3343	0.520565	1.26069	1.64106	1.44868	2.12836	1.33368	1.11408	1.56205	1.04646	0.183028	0.199763	0.318877	0.345719	1.26236	0.262308	0.540883	1.41453	1.21682	0.708894	0.45955	0.56097	0.600539	0.172553	0.427908	0	0.0903946	0.876283	0.149711	0.619316	1.47037	0.17377
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.b69b018c-be0b-42b3-9bd0-adb684b6c71f.fc.signal	0.833474	1.36638	2.47819	3.10365	3.57973	3.12122	4.84857	4.98727	2.37992	1.48761	2.76504	6.45545	9.41574	6.86424	4.97334	2.64287	4.17545	5.99755	3.46955	2.84682	3.00571	3.24132	2.76895	1.03252	0.732423	1.37952	4.04588	2.14948	1.9403	0.718869	0.530708	1.2566	1.46458	0.802008	1.8197	1.06472	1.96441	1.62553	1.14908	0.871829	1.4472	0.764706
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.867f20aa-cd84-4630-be8b-4d90cccd43d7.fc.signal	13.7757	11.5588	20.7005	16.8247	19.2349	20.3415	40.1768	50.2202	26.9597	25.3312	21.8271	55.9039	45.2787	29.0565	15.2152	27.0977	33.8928	30.3751	14.9166	5.57761	2.75877	6.43212	8.1248	3.88116	4.27241	9.99761	14.0731	8.3419	8.06145	9.26387	5.56764	7.27608	5.24008	3.73745	2.33459	2.97279	7.74759	5.07016	6.98319	4.59314	5.47147	0.56955
