	chr16:29991406-29991555	chr16:29991556-29991705	chr16:29991706-29991855	chr16:29991856-29992005	chr16:29992006-29992155	chr16:29992156-29992305	chr16:29992306-29992455	chr16:29992456-29992605	chr16:29992606-29992755	chr16:29992756-29992905	chr16:29992906-29993055	chr16:29993056-29993205	chr16:29993206-29993355	chr16:29993356-29993505	chr16:29993506-29993655	chr16:29993656-29993805	chr16:29993806-29993955	chr16:29993956-29994105	chr16:29994106-29994255	chr16:29994256-29994405	chr16:29994406-29994555	chr16:29994556-29994705	chr16:29994706-29994855	chr16:29994856-29995005	chr16:29995006-29995155	chr16:29995156-29995305	chr16:29995306-29995455	chr16:29995456-29995605	chr16:29995606-29995755	chr16:29995756-29995905	chr16:29995906-29996055	chr16:29996056-29996205	chr16:29996206-29996355	chr16:29996356-29996505	chr16:29996506-29996655	chr16:29996656-29996805	chr16:29996806-29996955	chr16:29996956-29997105	chr16:29997106-29997255	chr16:29997256-29997343	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.35530d7a-23e1-468e-978a-d33955937d72.fc.signal	5.49066	4.96533	5.00604	4.18316	1.67006	2.3921	2.76377	4.5167	3.44415	4.18434	3.84376	5.54253	4.28683	4.73746	4.90892	3.84134	3.24057	3.173	2.8651	2.09147	1.14517	1.77523	0.634595	0.475476	0.160526	0.326256	0.243901	0.253529	0.0956812	0.0693607	0.164871	0.629799	0.231259	0.447115	0.299249	0.510118	0.507926	0.826121	0.632629	0.772778	0.475771
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.b3b3b801-4bf3-4e6f-974d-5cca823d1b91.fc.signal	1.45527	1.42613	1.8126	2.08836	1.25788	0.750163	0.730233	3.18633	3.20473	3.78636	2.22614	1.91702	2.33813	1.96415	1.85186	1.47255	2.09077	2.27309	1.96184	0.964674	0.374595	0.852295	0.865028	0.516693	0.30446	0.31984	0.125059	0.0366275	0.0847717	0.0572637	0.0276931	0.0736466	0.0908598	0.0844857	0.0937041	0.366401	0.469496	0.430112	0.0549201	0.0280112	0.785305
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	4.816	4.67036	4.17633	2.90931	2.56815	2.61557	3.35111	4.61651	4.9149	4.51069	3.74364	3.4169	3.00983	3.4452	3.59565	3.79293	2.23931	1.5866	1.69294	1.85311	1.3407	0.694857	0.436314	0.263248	0.047328	0.140143	0.329861	0.192155	0.222211	0.168468	0.058994	0.0949553	0.499735	0.43045	0.36428	0.658328	0.67523	0.62738	0.30569	0.165633	0.353997
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000743.1.1bd642c8-def0-432c-b22d-2321d6cee6ca.fc.signal	0.97376	2.35035	2.73653	1.16892	4.44941	2.92255	0.986005	1.60261	2.13532	3.74178	3.01421	5.72996	2.88033	1.42224	2.65969	3.24932	1.82083	1.58625	1.62153	2.38146	1.1373	0.769612	1.04357	0.641572	0.492096	0.240848	0	0	0	0.0398183	0.296068	0	0.491454	0.151445	0.876679	0.394455	0.0558596	0.337714	1.21736	0.790332	0.74
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	2.70695	3.59475	3.30656	4.70017	4.26786	5.63051	6.24174	6.22722	6.34424	6.61393	7.69147	6.90422	5.64406	6.96226	4.67792	6.07442	5.72532	2.78626	2.00035	1.72866	0.471002	0.838506	0.857853	0.583182	0.37139	0.323994	0.250518	0.0241883	0.0164481	0.26693	0.103497	0	0.176032	0.45525	0.38002	0.413956	0.717916	1.04725	2.12438	3.22444	0.965812
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	1.34991	0.714623	1.3209	1.11293	0.739246	2.22957	2.41487	1.60541	1.36467	3.2213	2.53336	3.23239	2.8141	3.28904	0.788032	1.33503	1.05711	1.62637	0.738653	0.372536	0.754929	0.252381	0.023816	0.125034	0.235671	0.283322	0.453494	0.618991	0.234498	0.552029	0.663511	0.201794	0.441427	0.107132	0.023816	0.27374	0.852344	0.548723	1.10958	2.15845	0.762369
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	5.85526	5.74863	1.79171	0.999335	0.487871	2.64397	2.11313	4.07272	4.57453	4.65065	1.07274	5.00007	10.4339	8.16024	8.43314	3.26345	1.71471	2.54507	1.93403	1.41369	1.31811	0.867003	0.783741	0.390576	0.0764699	0.533428	1.20958	2.21168	1.05426	0.583017	0.264591	0.23891	1.25834	2.28519	0.731194	0.992323	0.670634	1.93397	0.199425	0	0.67029
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.e6af9ec0-8b4b-4624-8b3a-51f86f371f0f.fc.signal	9.29321	7.77079	6.60494	5.27185	4.40982	4.34372	4.6402	5.25832	5.54459	5.66166	5.76822	7.94641	10.5843	9.63111	11.693	10.7372	8.61494	7.67028	5.81308	4.66586	3.07125	2.01864	1.77098	0.98185	0.358772	0.439632	1.07081	0.716574	0.235058	0.370037	0.358025	0.0885975	0.419184	0.531825	0.486084	0.566648	1.1038	0.930168	1.4903	1.55284	0.66559
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001959.2.69eb8040-32c4-4c18-85e7-a74953df6c51.fc.signal	6.2033	4.52629	3.72349	2.85424	1.28586	3.16874	3.40786	4.27596	5.21506	4.37705	4.05963	3.88736	4.92881	2.99346	4.83495	3.34285	2.10955	1.73083	1.5272	1.54584	2.05567	1.89756	1.56658	0.620422	0.41271	0.191831	0.0962449	0.151952	0	0.120055	0.18434	0	0	0	0.022232	0.192472	0.719683	1.61932	1.259	0.991016	0.689498
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000060.3.baf1b6b5-96f6-42d1-907a-07181459fd3c.fc.signal	1.95203	2.5029	3.1306	2.13599	1.12718	1.89216	2.10502	4.32209	3.81094	3.54251	2.21801	2.60205	2.09266	4.21119	4.69041	3.52706	3.16763	2.88427	0.886961	0.834875	0.483801	0.530835	0.670992	0.311486	0.103229	0.198976	0.309006	0.121451	0.0147813	0.666206	0.527576	0.202746	0.204775	0.110589	1.00439	0.232693	0.780971	1.20462	0.470958	0.380934	0.330827
