	chr2:167240069-167240188	chr2:167240189-167240218	chr2:167240219-167240368	chr2:167240369-167240468	chr2:167240469-167240518	chr2:167240519-167240548	chr2:167240549-167240668	chr2:167240669-167240818	chr2:167240819-167240868	chr2:167240869-167240968	chr2:167240969-167241118	chr2:167241119-167241228	chr2:167241229-167241268	chr2:167241269-167241418	chr2:167241419-167241568	chr2:167241569-167241648	chr2:167241649-167241718	chr2:167241719-167241868	chr2:167241869-167242018	chr2:167242019-167242168	chr2:167242169-167242318	chr2:167242319-167242418	chr2:167242419-167242468	chr2:167242469-167242618	chr2:167242619-167242768	chr2:167242769-167242918	chr2:167242919-167243068	chr2:167243069-167243198	chr2:167243199-167243218	chr2:167243219-167243368	chr2:167243369-167243518	chr2:167243519-167243668	chr2:167243669-167243818	chr2:167243819-167243968	chr2:167243969-167244118	chr2:167244119-167244268	chr2:167244269-167244338	chr2:167244339-167244418	chr2:167244419-167244468	chr2:167244469-167244568	chr2:167244569-167244608	chr2:167244609-167244688	chr2:167244689-167244718	chr2:167244719-167244768	chr2:167244769-167244808	chr2:167244809-167244868	chr2:167244869-167244938	chr2:167244939-167244988	chr2:167244989-167245018	chr2:167245019-167245138	chr2:167245139-167245168	chr2:167245169-167245278	chr2:167245279-167245318	chr2:167245319-167245358	chr2:167245359-167245468	chr2:167245469-167245538	chr2:167245539-167245618	chr2:167245619-167245698	chr2:167245699-167245768	chr2:167245769-167245828	chr2:167245829-167245918	chr2:167245919-167246068	chr2:167246069-167246158	chr2:167246159-167246218	chr2:167246219-167246288	chr2:167246289-167246368	chr2:167246369-167246518	chr2:167246519-167246588	chr2:167246589-167246668	chr2:167246669-167246818	chr2:167246819-167246848	chr2:167246849-167246968	chr2:167246969-167247048	chr2:167247049-167247118	chr2:167247119-167247178	chr2:167247179-167247268	chr2:167247269-167247418	chr2:167247419-167247538	chr2:167247539-167247568	chr2:167247569-167247668	chr2:167247669-167247718	chr2:167247719-167247818	chr2:167247819-167247868	chr2:167247869-167247948	chr2:167247949-167248018	chr2:167248019-167248108	chr2:167248109-167248168	chr2:167248169-167248238	chr2:167248239-167248318	chr2:167248319-167248448	chr2:167248449-167248468	chr2:167248469-167248578	chr2:167248579-167248618	chr2:167248619-167248708	chr2:167248709-167248768	chr2:167248769-167248848	chr2:167248849-167248918	chr2:167248919-167249068	chr2:167249069-167249218	chr2:167249219-167249368	chr2:167249369-167249518	chr2:167249519-167249668	chr2:167249669-167249818	chr2:167249819-167249908	chr2:167249909-167249968	chr2:167249969-167250118	chr2:167250119-167250158	chr2:167250159-167250198	chr2:167250199-167250268	chr2:167250269-167250308	chr2:167250309-167250418	chr2:167250419-167250568	chr2:167250569-167250598	chr2:167250599-167250668	chr2:167250669-167250718	chr2:167250719-167250838	chr2:167250839-167250868	chr2:167250869-167250978	chr2:167250979-167251018	chr2:167251019-167251168	chr2:167251169-167251318	chr2:167251319-167251418	chr2:167251419-167251468	chr2:167251469-167251548	chr2:167251549-167251618	chr2:167251619-167251768	chr2:167251769-167251818	chr2:167251819-167251918	chr2:167251919-167251978	chr2:167251979-167252068	chr2:167252069-167252098	chr2:167252099-167252218	chr2:167252219-167252298	chr2:167252299-167252368	chr2:167252369-167252518	chr2:167252519-167252588	chr2:167252589-167252668	chr2:167252669-167252748	chr2:167252749-167252818	chr2:167252819-167252968	chr2:167252969-167253118	chr2:167253119-167253148	chr2:167253149-167253268	chr2:167253269-167253418	chr2:167253419-167253538	chr2:167253539-167253568	chr2:167253569-167253718	chr2:167253719-167253758	chr2:167253759-167253868	chr2:167253869-167254018	chr2:167254019-167254168	chr2:167254169-167254238	chr2:167254239-167254278	chr2:167254279-167254318	chr2:167254319-167254447	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.cefd2162-5b9f-4732-99fc-718d82bca068.fc.signal	0.795877	0.47822	0.0318813	0	0	0	0	0.354001	0.309276	0.24685	0.334918	1.22802	1.00909	0.40663	0.0309276	0.585147	0.19812	0.378109	0.0910923	0.605687	0.442088	0.753228	1.77423	1.52617	1.66694	1.42742	1.11538	0.598926	0.772307	2.63275	0.735142	0.957158	1.5681	0.680581	0.319164	0.493832	0.183331	0.691215	0.615517	0.221793	0.46205	0.188458	0.207229	0.47822	0.687748	0.190486	0.60802	1.00237	0.77319	0.314872	0.77011	0.364976	0	0	0.246015	0.77319	0.0966488	0	0.259605	1.33205	1.88516	0.569083	0.547634	0	0.742253	1.29033	1.58149	0.594343	1.97222	0.860355	0.47825	0.5639	1.47733	2.63075	1.06796	1.54886	0.442681	0.921381	1.34019	1.22937	2.05652	2.0797	0.704628	0.00597775	0.752121	0.378004	0	0.122971	0.884977	0.80881	0.95643	1.40781	0.77319	1.50342	0.876278	0.77319	0.331367	0	0.645852	0.98466	0.773137	1.10595	0.357859	0.664178	0.847831	0.727336	0.721402	0.450499	0	0	0.970412	0.855995	0.4012	0.222039	0.105217	0.336748	0.95643	0.916183	1.03965	0.577556	0.832154	0.479201	0	0.657212	0.806326	0.354537	0.729527	0.52282	1.09184	1.77991	0.812967	0.429848	0.681459	1.46324	0.716489	0.506512	1.87704	1.85711	0.550902	0.374419	0	0	0.435492	0.44848	0.485492	0	0	0.282188	1.0919	0.642589	0.596182	1.20798	2.51234	1.48285	0.374416	0.426108
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.58e5cc13-3837-4676-9815-86ae7a4468bc.fc.signal	0.19391	0.21616	0.202893	0.235699	0.212662	0.148799	0.00973408	0.0152618	0.129058	0.180847	0.0526747	0.00282864	0.15687	0.275395	0.170444	0.480159	0.600748	0.36179	0.172373	0.447906	0.634812	0.190001	0.0945462	0.410774	0.250671	0.64825	0.436068	0.475533	0.589799	0.964634	0.700151	0.306502	0.605574	0.790753	0.716293	0.52138	0.411738	0.261981	0.133236	0.104929	0.102823	0.176289	0.20751	0.191629	0.383022	0.557979	0.630409	0.559404	0.433047	0.56405	0.492835	0.343966	0.00723725	0	0.0794971	0.176171	0.217996	0.164725	0.277762	0.333322	0.289342	0.391443	0.464816	0.267991	0.150707	0.00777988	0	0	0.045233	0.161279	0.109357	0.294175	0.503802	0.33383	0.0651363	0.107049	0.311756	0.417953	0.175559	0.211506	0.216434	0.574873	0.755095	0.817334	0.307694	0.0557268	0	0.0918687	0.336752	0.622305	0.914456	0.784034	0.585027	0.359435	0.234417	0.100068	0	0.0315953	0.327167	0.341682	0.154716	0.284509	0.780673	0.594386	0.466706	0.425631	0.58865	0.638417	0.840699	0.674035	0.393379	0.145367	0.19278	0.305519	0.18809	0.225566	0.17786	0.136057	0.208025	0.443208	0.20487	0.093446	0.286277	0.377626	0.465798	0.469792	0.431169	0.284566	0.157194	0.0371989	0.173583	0.275703	0.234833	0.0897464	0	0	0	0.035639	0.14593	0.149092	0.0020604	0	0.347791	0.372044	0.272483	0.230582	0.168009	0	0	0.12906	0.379977	0.0366236	0	0	0	0.820929
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001027.7.3e57f4b2-3eea-42bc-9983-8ecec55d5977.fc.signal	2.31659	2.06823	1.46274	0	0.89914	0.89914	1.1015	0.887227	0	0	0	0	0	0	0.287725	0.865422	0	0.920745	1.15566	0.0539484	0.947105	1.13297	1.60063	2.06903	0.941866	0.522193	0	0	0	0.317733	0.040385	1.1688	1.28248	0.788177	1.76526	0.605411	0	0.357361	0.762504	0.191088	0	0.538626	0.539457	0.32986	0	0.757927	0.895216	0.0359656	0	0.322195	2.78754	2.73285	0.044957	0.741791	0.746381	0.822131	2.07655	1.55801	1.00066	0.216189	0.129876	1.21349	1.62757	1.01966	0	0	0.36777	0.980909	0.590388	1.47176	1.53471	0.983717	1.10334	0.590274	0.351845	0.758285	0.0530651	0.871106	0.746142	0.935954	0.659452	0.295501	1.22388	1.47503	0.571136	0	0	0.573743	1.2525	1.02758	0.406308	0.58609	0.614617	0.171197	0	0	0.463766	0.448629	0.0959083	1.42747	0.922983	1.19892	2.10299	0.826846	1.79849	1.09474	1.54011	1.98696	2.90904	4.40617	2.39514	1.00496	1.63901	1.36391	1.8974	0.549141	0.941412	0.884508	0.693601	0.372179	0	0	0.0397998	0.663399	0.432945	0.331192	0.470768	0	0.832993	3.2494	2.51779	0.0974156	0	0	0	0	0	0	0	0	0	0	0	0.749283	0	0	0	0	0	0.251759	1.45074	1.06293	0.0832818	0	0	0.454919
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003826.4.3b07c369-960c-43eb-b4e5-3e3773e044bc.fc.signal	0.610976	0.42747	0.51476	0.672244	0.451638	0.751618	0.848698	0.741933	0.421351	0.643705	0.986771	1.16323	1.17327	1.12296	0.868887	0.983153	0.967305	0.971378	0.86777	0.930426	1.49274	1.84354	2.22191	1.72401	1.59081	1.09734	1.31167	1.79843	1.73704	1.77943	1.37738	0.973982	0.875418	1.67594	2.92668	1.65551	1.0284	1.33518	1.79274	1.72345	1.45636	1.54077	1.28748	1.33869	1.55923	1.13185	1.25945	0.873632	0.77757	1.24853	1.68996	1.55143	1.40013	1.61219	1.46046	1.0646	0.646717	0.555964	0.241752	0.333585	0.515333	0.797655	0.874449	0.724013	0.499823	0.832428	1.2192	1.13969	1.07313	1.0805	0.993757	1.03634	1.2211	1.16546	0.920446	0.754699	1.28083	1.61921	1.67786	1.45529	1.12836	0.977804	1.23548	1.34917	1.40037	1.03889	1.31673	1.18855	0.934225	1.05318	1.43978	2.12712	2.19288	1.57475	1.11686	1.17825	1.54874	0.973766	0.973812	2.18266	2.51056	1.84371	0.747458	0.626294	0.77035	0.421528	0.384563	0.515663	0.891229	1.59327	2.09541	0.995087	0.356104	0.80444	1.1638	1.05533	0.435361	0.409939	0.633853	0.910394	0.574825	0.630916	0.569166	0.632558	0.434172	0.259495	0.194952	0.37922	0.529489	0.557658	0.306368	0.226594	0.400202	0.717586	0.437101	0.0776694	0.188622	0.397133	0.595468	1.03713	1.06543	0.527993	0.103548	0.167405	0.534291	0.677357	0.644727	0.340631	0.315382	0.211307	0.0306713	0.275923	0.371571	0.401003	0.288762	0.432432
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.313549b4-5e36-4d5c-9816-17b9c7f898e3.fc.signal	0.435868	1.71447	1.56015	2.71698	1.13871	0.875688	0	0.679155	0.723287	0	1.52906	1.27035	0	0.00923547	1.08096	1.37519	0.531696	0	0	0	0	0	0	0	0	0	0	1.53712	0.92644	0.0123647	0	0	0	0	0.68047	0.709374	1.51855	0.48174	1.6599	2.70214	1.23613	0.0106561	0	0	0.0415595	0.863049	1.45656	0.935143	0	0	0	0	0.823922	0.973887	1.42006	0.223358	0	0	0.999452	1.76571	0.513053	0	0.249667	1.60507	2.17353	0.492105	0	0	0	0	0	0	0	0	0	0	0	0	1.9217	2.07459	0	0	0	0	0	0.113308	2.05519	3.152	1.70744	0.189826	2.00712	1.94606	0	0	0	0	0	0	0	0.498248	1.58727	2.10296	2.0764	0.888727	0	1.34598	0.129874	1.03907	2.09045	1.30695	0.142757	0	0	0	0	0.0942982	3.02472	3.74279	0.0258125	0	0	0	1.84969	1.8253	0.0712449	0	0	0	0	0	0	0	0	0	0	0	0	0.0188895	0.995633	1.32551	1.48369	1.03526	0.00692658	0.156848	1.769	0	0	0	0	0	0	0	0	0	0	0.73869
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000184.3.0a1684db-dfdc-416a-9b39-88bdc9d8980d.fc.signal	3.34721	1.92717	1.45824	1.40921	0.41413	0.137506	0.0939953	0.488332	0.505263	0.620331	0.414908	0	0	0.576591	0.978248	0.859781	1.28553	0.668077	1.51006	0.685036	0.854232	1.67266	1.14699	0.922867	1.33233	0.676147	0.80022	0.331007	0.551992	1.98277	2.93557	1.99009	0.729522	0.587935	0.798116	0.848791	1.242	1.12712	1.21715	2.15192	2.08773	1.53089	0.523651	0.583096	1.17353	1.03316	1.25167	1.07773	0.745069	0.901415	2.38032	2.72473	2.08119	0.935372	0.856488	1.30375	1.36363	0.975827	0.701399	0.981585	1.96373	1.11931	0.737378	2.12397	3.03493	1.64513	0.235501	0.493502	1.98816	1.8476	0.50952	0.740777	1.04612	1.42953	1.39296	1.73652	1.23571	0.463349	0.651051	0.715439	1.50666	1.54473	1.32816	0.8769	0.819873	0.988271	1.22945	1.11569	1.94781	1.72231	0.41732	0.667622	0.41732	0.636055	0.547189	1.03385	0.842368	0.843583	2.14763	2.5848	1.09555	1.81669	2.21176	1.44359	1.35396	0.794172	0.42117	0.290004	0.588371	1.73858	2.94689	2.07426	0.905333	0.344479	0.233546	0.963234	2.09249	1.54698	0.325383	0.170033	0.922467	0.521232	0.392795	0.594079	0.632526	0.639903	0.792582	1.00115	0.752306	0.223478	0	0.35757	0.495352	0.925153	1.02703	1.02077	1.25175	0.992779	0.279544	0.649008	0.217775	0.221757	0.744389	0.672329	0.049185	0	0.145311	0.700395	0.977214	0.46455	0.779353	0.919195	0.597435	0.407524	0.201085	0.156863
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003837.4.7a6d8040-3df1-443f-8bf8-8f3e00d9a3bc.fc.signal	0.68312	0.361378	0.271713	0.4865	0.448329	0.337816	0.252375	0.900988	2.0485	2.38753	2.31301	2.4194	2.3846	2.03716	2.2962	1.35251	1.46248	1.99961	1.01404	0.985532	2.07214	2.51377	2.26123	2.39424	1.9205	0.649012	0.839282	1.05285	1.07809	1.0385	0.914245	0.875467	1.44139	1.91931	1.57222	0.446836	0.643435	1.18504	1.46082	1.3875	0.947003	0.628967	0.259037	0.271988	0.38855	0.463024	0.913024	1.20049	1.16552	0.665338	0.110092	0.370892	0.7771	1.15098	1.7925	1.7872	1.5905	2.3554	3.20528	3.87877	2.53229	1.20839	1.22413	1.75892	1.92875	1.67792	0.6851	0.227583	0.441979	0.929312	0.949685	0.807845	0.895623	1.05951	1.08747	1.06293	1.226	0.809056	0.249221	0.358914	0.594976	0.999072	1.27018	1.59245	1.5461	2.1338	2.20813	2.08417	1.86365	1.35838	0.97124	1.12843	1.03924	1.1353	1.03924	1.07163	1.12957	1.4348	1.71577	0.821104	0.568555	0.960909	0.534899	0.876323	1.05412	0.935656	1.32094	1.28208	1.00455	0.786768	1.14822	2.1873	1.43858	1.11746	0.723493	0.719772	0.499352	0.379994	0.319397	0.192347	0.572577	0.705638	0.766821	0.538909	0.33407	0.0512547	0.163195	0.715278	0.819193	0.477822	0.128188	0	0	0	0.0558869	0.327848	0.345736	0.312255	0.480829	0.643675	0.476121	0.38855	0.743069	1.67841	2.11585	1.52817	0.799083	0.709106	1.00902	0.892412	0.153421	0.0130703	0.207961	0.379373	0.55642	0.397436
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001044.7.81d2cec4-6d09-4c4d-9e5a-688e4151854e.fc.signal	1.15126	0	0.0755136	0.775341	0.429085	0.380494	0.653917	1.0348	1.05963	1.16187	0.586913	0.863924	1.12343	1.2275	0.48748	0.726181	0.971288	1.08354	1.19067	0.808333	0.585255	1.52862	1.0108	1.39945	2.56912	2.02039	1.30593	2.58736	1.66336	1.70561	1.39631	2.00119	0.520499	0.717514	1.86976	1.42437	1.96199	1.41483	1.6105	1.18095	0	0.706403	1.28455	1.07527	0.853263	1.35364	0.530618	0.308802	0.463859	1.16506	0.742462	0.198802	0.05604	0.791396	2.13242	2.00478	1.65066	0.865802	0.78819	0.848798	0.820382	1.09753	2.19289	2.31824	2.18003	2.0178	1.56019	0.785135	1.23447	0.817139	0.995292	0.644304	0.77975	0.385785	1.65766	3.06273	1.3984	2.22295	2.38591	2.15163	2.72569	3.72407	2.91418	2.07274	1.24106	1.20592	1.08311	0.619927	1.63179	3.41264	3.27508	3.30223	1.94341	2.4647	3.41708	2.85608	1.88481	0.925658	1.42223	2.86082	1.53732	1.80232	3.2543	2.13404	3.83273	3.3528	0.526113	0.585879	1.43458	2.14543	0.928797	0.269914	1.50868	1.60412	0.50091	0.803132	1.24714	1.00251	0.97207	0.362972	0.271018	0.191653	0	0.0207689	0.539163	0.771013	0.114787	0.345637	0.278079	0.0905764	0	0.0191147	0.298979	0.426296	0.349267	0.223919	0.365619	0.0545535	0	0.388312	0.431292	0.762042	0.820712	0.812903	0.364635	0	0.0339711	0.700921	0.515562	0.273383	0.0950447	0.405318	0.280344	0.232945	0.583724	0.164211
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004664.3.d6d75692-32d3-4ddf-b607-bb2c11beb469.fc.signal	0.622636	0.758459	1.13522	1.40985	0.878485	0.836452	0.487579	0.460236	0.310416	0.354359	0.748085	0.817366	0.564475	0.670164	0.597188	0.858518	0.89976	0.524807	0.725436	0.425297	0.324527	0.422905	0.251806	0.434147	1.41978	1.118	1.46651	1.45455	0.903458	0.604785	0.429523	0.285974	0.804833	0.74468	0.826936	0.563481	0.561044	0.649948	0.66521	0.865867	0.561151	0.474587	0.268702	0.179501	0.418298	0.452882	0.372331	0.589492	0.481343	0.392382	0.193105	0.0579233	0.28516	0.687113	1.07449	1.1359	0.720181	0.56152	0.38789	0.387741	0.28145	0.449181	0.608731	0.739386	0.986348	0.730107	0.437779	0.455973	0.689958	0.535283	0.285561	0.261288	0.355166	0.446005	0.505532	0.473705	0.42506	0.568138	0.739396	0.523273	0.505038	0.493688	0.541021	0.759105	1.13629	0.849479	0.341009	0	0	0.265888	0.515146	0.507576	0.707158	0.576581	0.508591	0.652472	1.07783	1.66308	1.51479	0.777291	1.08202	1.91956	2.1686	2.23392	1.65807	1.1656	1.03811	0.920351	1.21623	1.63476	1.78689	0.758914	0.228639	0.32561	0.378307	0.399635	0.290831	0.464109	0.496426	0.444803	0.608239	0.831897	0.790832	0.617906	0.353119	0.64176	1.16894	1.59772	1.72088	1.32995	0.817013	0.707341	0.531205	0.808882	0.899476	0.460694	0.52076	0.515936	0.497818	0.051206	0.241494	0.2394	0.412268	0.877587	0.646664	0.254578	0.449435	0.2364	0.308746	0.541095	0.600992	0.22791	0	0.40594	0.831185	0.723558
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.0c5be813-07c9-46d8-a028-5fb001a00a5b.fc.signal	0.217273	0.554341	0.24714	0	0	0	0.0751575	0.363432	0	0	0.0275545	0.456954	0.166093	0	0.0127246	0.371333	0.706511	0.60311	0.403789	0	0.0253625	0.394413	0.158631	0.134625	0.37119	0.485776	0	0.0994078	0.55088	0.28395	0.590179	0.487257	0.106543	0	0.270633	0.0145419	0.222553	0.252313	0.211468	0.436872	0.765239	0.548926	0.006732	0.311539	0.698669	0.940829	0.881404	0.395547	0.121184	0	0	0	0.020196	0.383024	0.585119	0.262773	0	0	0	0	0	0	0	0	0.216006	0.54618	0.579832	0.288062	0.115714	0	0.063006	0.596609	0.348058	1.07009	0.786734	0.499909	0.20654	0	0	0	0.229038	0.509942	1.16422	2.09796	0.64504	0.552263	0.536229	1.03946	0.898807	0.531384	0.194502	0.859468	1.01126	1.05541	0.390428	0.104977	0.942818	0.368616	0.0610771	1.27045	0.50932	0	0.189866	0.651675	0.632398	0.769031	1.64999	1.01386	1.16351	1.40488	2.04565	1.55524	1.80481	0.83995	0.0332188	0.490879	0.421163	0.0854086	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217447	0.294516	0.406589	0.126582	0.0957096	0.448811	0.218247	0.551309	0.377645	0.0617179	0	0	0.253838	0.142817	0	0	0	0.2311	0.249813	0.197209	0.58631	0.0162012	0.543715	0.434244	0.742102
