	chr9:1049161-1049310	chr9:1049311-1049390	chr9:1049391-1049460	chr9:1049461-1049610	chr9:1049611-1049760	chr9:1049761-1049830	chr9:1049831-1049910	chr9:1049911-1049990	chr9:1049991-1050060	chr9:1050061-1050150	chr9:1050151-1050210	chr9:1050211-1050360	chr9:1050361-1050410	chr9:1050411-1050510	chr9:1050511-1050660	chr9:1050661-1050810	chr9:1050811-1050880	chr9:1050881-1050960	chr9:1050961-1051110	chr9:1051111-1051210	chr9:1051211-1051260	chr9:1051261-1051410	chr9:1051411-1051500	chr9:1051501-1051560	chr9:1051561-1051710	chr9:1051711-1051860	chr9:1051861-1052010	chr9:1052011-1052160	chr9:1052161-1052310	chr9:1052311-1052460	chr9:1052461-1052610	chr9:1052611-1052760	chr9:1052761-1052910	chr9:1052911-1053060	chr9:1053061-1053210	chr9:1053211-1053360	chr9:1053361-1053510	chr9:1053511-1053660	chr9:1053661-1053810	chr9:1053811-1053960	chr9:1053961-1054110	chr9:1054111-1054260	chr9:1054261-1054360	chr9:1054361-1054410	chr9:1054411-1054560	chr9:1054561-1054630	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.24026	0.0629876	0.008947	0.0563089	0.580018	0.852453	1.3144	1.92261	1.67387	1.04608	0.575014	0.318007	0.61889	0.921016	1.13113	1.05805	0.834191	0.831105	0.821072	0.729065	0.599336	0.590915	0.694194	0.685354	0.586393	0.806058	0.685542	0.6473	0.530294	0.386485	0.629784	0.589434	0.417275	0.23624	0.257948	0.156683	0.361307	0.523541	0.471807	0.578979	0.549614	0.232701	0.257341	0.257574	0.234589	0.286589	0.542105
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000228.3.8bd2a4a9-ace6-4e3a-b0aa-9993e4990638.fc.signal	0.236631	0.08115	0.0417343	0	0.0632199	0.123583	0.148904	0.201417	0.228976	0.229501	0.493806	0.618306	1.12339	1.36928	1.51731	1.73378	2.85202	3.24436	2.24347	1.1009	1.07045	1.3998	2.39689	3.02621	2.77902	2.83381	3.28751	2.89594	2.00195	0.705815	0.271647	0.686207	1.28954	1.63288	1.17704	1.51559	1.65862	1.00938	0.440918	0.252642	0.0451499	0	0	0	0	0	0.528889
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001488.1.8a6af925-1821-4fc7-84d7-e838a44be225.fc.signal	2.21143	1.59418	1.08547	1.72656	0.315082	0	0.079549	0.825147	1.41325	0.567796	0.679565	1.75681	1.93265	1.46886	1.48238	1.00956	1.65464	2.75899	2.78983	1.14787	0.947645	1.21643	1.19345	0.334735	3.56354	4.68135	3.12416	2.1859	3.24303	5.25878	2.23976	1.9069	2.06266	1.85578	1.25198	1.82699	1.51872	0.486528	0.385623	0.753357	0.0312772	0.163709	0.30256	0.232738	0.180372	0.06597	0.0915493
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003400.1.b3d30ae7-78a7-458d-9ccf-f1436025286b.fc.signal	0.722907	0.453282	0.58334	0.403395	0.707847	1.26344	2.69794	3.10693	3.47058	1.47299	0.801682	1.20469	1.69609	2.07475	2.59303	3.83373	2.03341	1.95228	0.927523	0.820067	1.02587	1.47403	1.27383	0.504795	0.102076	0.521187	0.0378495	0.595271	2.02204	1.30915	1.43228	1.0441	1.07945	1.57533	1.1925	0.279758	0.487799	0.306229	1.46454	1.55858	0.69835	0.627793	0.458194	0.832027	1.47552	0.686106	0.769912
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001517.1.def76da7-e51f-466f-a75e-d4cb918f9d1a.fc.signal	11.2042	7.00692	12.6812	8.29307	3.69097	6.33367	14.1079	28.7806	52.3408	49.2426	20.4196	17.5321	15.023	22.7783	23.1229	10.4663	9.05205	13.3307	19.536	19.5671	19.0124	15.5852	32.489	46.4367	46.6777	32.2209	29.0214	24.6041	22.4513	10.9405	7.48468	11.6793	15.3778	24.6213	33.2155	21.9486	21.7259	19.5695	25.3165	18.0505	21.5853	17.6774	10.2384	9.11013	12.3239	6.7043	0.155229
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000969.7.07e61421-b434-44b9-b0ec-8515d70faad3.fc.signal	4.08069	3.65367	0.348471	0	0.721347	3.22729	5.99194	6.37643	4.27908	4.81186	1.24498	0.760652	0.768491	7.98024	9.8228	2.10835	4.07156	10.3719	8.73275	4.77356	4.27131	3.23512	7.98441	8.57082	4.30919	8.67607	7.72397	3.5909	6.63	4.33084	3.06206	2.24307	5.31354	11.368	4.32185	6.34247	3.33405	3.13206	5.80735	2.38812	5.12507	2.78873	2.59488	4.68933	2.1031	0.491193	0.22022
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003402.2.b9e005f4-fbbb-49ef-81b0-40cfa3806f30.fc.signal	3.08345	2.1447	2.40057	2.14256	2.13397	3.22884	3.82744	4.47266	5.82325	4.36104	3.43169	2.55113	3.35104	4.73149	7.32519	6.04213	3.39737	5.09613	9.09632	6.62528	6.47179	7.9158	6.32433	5.76581	3.17984	0.420324	0.261832	2.57692	8.15811	6.39528	3.63847	1.83286	1.52552	0.997751	1.7367	1.17417	0.817295	0.944013	1.46743	0.877522	0.860839	1.0042	0.866463	1.4423	1.35454	1.1035	0.125436
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.589e1f11-0874-4698-ac02-5c217aac91a6.fc.signal	4.29476	1.97181	1.67084	2.65997	4.75844	6.51664	7.87605	9.65988	11.2798	5.81569	1.57658	0.639058	1.27782	7.40215	13.6344	11.3452	9.91602	11.677	11.7386	8.97576	8.14153	8.29405	10.6582	7.02641	1.36718	1.37645	0.258555	0.12278	3.76848	6.59997	7.4275	6.20133	8.46964	11.6602	5.29872	4.0253	3.70594	2.09038	3.96901	3.87582	4.91229	3.41466	3.65501	3.75543	3.8304	3.51068	0.524752
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003696.3.61e7591e-7d42-4bac-a82f-41dc0577b027.fc.signal	0	0	0	0	0.607571	0.455803	0.902656	2.27535	3.25276	2.25401	1.51786	1.09068	1.99088	4.53765	3.62303	3.60201	4.82054	2.7455	8.07911	5.80771	10.5179	11.1357	16.4232	18.8564	13.6356	10.0154	12.7992	9.02423	4.77936	2.14905	1.58674	0.870019	0.48318	0.319724	0.353315	0.728407	0.0627771	0	0.273824	0.15977	0.0992957	0.338609	0	0	0.185378	0.4379	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004615.1.8cd5cefc-1c86-42bb-a689-d60dd071a471.fc.signal	0	0.0786869	0.62941	0.29373	0.676256	2.24553	2.8328	3.77474	3.47617	1.48371	0.57173	0.833543	1.64281	3.06526	7.15224	5.18637	3.35842	4.37632	6.37768	6.92461	10.5668	12.5155	7.28489	20.073	19.7971	17.4914	12.3952	13.0753	10.3664	5.2783	1.60269	1.66189	2.79796	2.97109	2.68344	2.0729	1.87358	4.04715	2.68134	5.35843	2.96456	4.60312	4.28948	1.32182	1.00292	1.32178	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.6a6e5234-23fa-41fc-9f41-6ee555b180c8.fc.signal	0.724274	1.40561	0.451802	2.87313	1.79672	1.37865	3.78934	4.61028	2.34099	1.07188	0	0	0	0	0	0	0.388265	1.39482	0.235715	1.07665	1.28798	0.0515387	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33358	0.717083	0.993277	0	0.870681	1.43336	0.186475	0.281107	1.13542	2.99434	0.364552	0.127572
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004604.3.044a44f4-7a76-4042-adca-64782b5c2f81.fc.signal	0.134797	0	0	0	0.368906	1.7035	3.40904	2.66432	0	0.329336	2.48287	2.01465	2.36818	4.76443	5.25209	5.49221	3.78421	3.50225	6.58466	8.34331	19.5813	26.877	9.81486	33.7852	34.0737	14.1699	10.2707	6.82865	8.45799	3.05717	2.25749	3.68639	5.06997	3.52755	4.58491	5.60143	5.15166	3.11445	2.9832	2.02406	3.07866	1.58567	2.25421	0.853518	0.0663479	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004728.1.8beb4625-34f3-4c76-87f5-2108669b4ebf.fc.signal	0.126478	0.176627	0.40372	1.2405	1.36582	1.51699	2.20266	2.15725	3.47707	3.43087	1.69529	1.43694	1.46924	2.54011	2.57197	2.73666	4.37083	4.22302	6.61109	6.97839	15.0095	13.2029	4.94457	19.4105	27.0378	24.4613	23.6462	13.1591	6.57207	5.31392	1.80307	1.40101	2.95548	2.11282	2.44183	3.04747	4.15068	4.3803	5.0137	4.86227	5.02361	3.75382	1.52576	0	1.58763	1.59724	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003396.1.f283c7ad-e125-498d-831d-e15ed9c8164f.fc.signal	2.11818	2.14201	2.53047	2.11196	1.07702	1.6847	2.07618	2.28504	3.78494	3.80428	2.57821	1.69663	2.91562	5.96901	9.25939	6.39125	4.50659	3.85073	2.76708	1.41154	1.38819	3.35937	4.89644	5.5436	1.83821	1.26513	0.0664568	2.22158	4.17445	3.53597	2.23108	2.39408	0.27379	0.401908	1.51072	0.307043	0	0.416268	1.02403	0.816294	0.149235	0.0446137	1.85519	3.79975	2.35276	0.0386023	0.46063
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003730.1.3f439d72-e3f6-44c0-a502-169344c6ad35.fc.signal	0.902608	0.850392	1.19814	1.79683	1.50197	1.8595	3.37969	2.94488	2.3091	1.11925	1.52854	1.86797	1.72131	2.58622	4.73792	5.15478	4.19547	3.63719	3.45584	4.43127	5.90903	8.30338	5.60864	4.12987	3.61998	0.588737	0.650724	3.51354	5.72776	4.01946	2.19337	2.02267	2.29749	2.3177	1.86345	0.24344	0	0.141276	0.607373	0.154615	0.768308	1.36055	1.17579	0.899831	0.566931	0.89693	0.567347
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.f0bdf12d-8bcf-4989-949c-4d32dbd60ffe.fc.signal	0.774091	0.78945	0.326898	0.301517	0.391661	0.839425	1.4445	1.61218	1.48356	1.64862	2.65298	1.78475	0.47009	1.74029	2.91054	2.26648	2.23471	3.49135	4.31254	4.65756	4.90057	4.37125	1.24485	0.279842	0.773136	0	0.364519	0.930585	3.05516	1.69882	0.873743	0.543261	0	0.273295	1.27957	0.267566	0.579736	1.06846	3.18899	1.64773	1.28798	0.41934	1.39699	0.930113	1.81084	2.62453	0.320388
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003404.1.0fdae11f-7f58-4d45-8594-d429c2e066c7.fc.signal	2.04326	1.25668	0.297088	0	0.751998	1.41597	1.15896	1.55308	1.01633	0.383775	0.459704	1.05437	0.370403	1.26458	2.5607	2.88234	1.46476	1.95096	3.53638	1.66029	1.87775	2.47967	1.57296	2.93241	1.68927	0.429632	0.107944	0.61277	1.1258	2.32744	1.4762	1.58767	1.35858	1.13393	1.50544	1.43096	0.795316	1.05455	0.625756	0.307761	0.673006	1.85273	1.98857	1.88415	1.04789	1.37175	0.163934
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003401.1.04bbdaed-a320-4540-aa2d-1d676d505c81.fc.signal	2.98306	0.410691	0	0.138222	1.23574	0.911253	0.263835	0.660201	0.552724	0.691115	0.579373	0.741931	2.95166	5.08636	5.65228	3.38508	2.88836	1.39379	4.15501	5.83623	4.63786	2.44846	2.60325	3.04889	2.33414	1.57986	2.3869	1.38251	1.26709	2.14073	2.85453	1.17059	0.130671	0	0	0.465245	0.700495	0.612853	0.0650464	0	0.126027	0.380912	0.0768302	0	0.736364	0.877147	0.516129
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004618.1.40df65f6-ad48-44fa-bfba-39b465419c5e.fc.signal	1.7359	1.77148	0.8023	0.191181	0.562537	1.66132	2.1507	3.16041	3.51136	2.3153	1.30237	0.545419	1.11819	2.07308	2.16428	1.96922	2.61782	4.01006	5.84567	2.68795	4.99665	10.9838	6.33444	11.6355	14.1926	11.4754	9.57258	5.82528	4.70858	1.93454	0.711238	0.345944	0.26571	1.17061	0.343966	1.2124	1.62364	1.41054	0.604462	3.29579	2.42612	2.44015	2.42049	0.739292	0.669371	0.466422	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.b63d6dc1-6fc0-4b8d-9bff-172e3f638785.fc.signal	0.555152	0.394783	0.221584	0.0889787	0.350703	1.03999	1.90634	3.0483	3.22197	2.0242	1.00152	0.726818	1.6587	2.41973	2.63807	2.31931	2.83665	2.64206	2.6583	2.7779	2.76662	1.77536	1.8875	2.45062	3.20527	2.59772	2.20131	1.3002	1.28558	2.3165	2.06299	1.39371	1.07985	0.818999	0.789526	1.11739	1.09781	0.765712	1.45133	2.28747	1.60974	1.33933	0.85304	0.99	1.1198	0.464367	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.672aeb75-b003-40bb-88b0-79458561e736.fc.signal	1.01571	1.58798	1.67138	0.723269	1.76554	4.06704	4.02866	3.85426	4.783	3.75655	0.984478	0.102998	0	0.945556	9.33547	7.4983	5.41375	6.53984	8.25585	2.8076	0.583949	2.35247	2.82487	1.0302	0.188848	0	0	0	4.1183	8.08527	6.81641	7.76075	5.28339	1.4447	2.97287	1.78074	3.50266	3.83626	3.70626	1.99547	1.59901	1.58443	2.27674	1.90551	2.26836	1.8243	0.368932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.651f7635-fa04-4a73-ad9d-b88c234511f0.fc.signal	0.333899	0.183169	0	0.950008	2.19338	3.9669	5.75773	10.7715	18.2074	16.47	8.49919	4.76538	8.88208	17.9069	11.0843	7.18468	5.86876	2.31377	3.27468	3.57389	5.99211	5.7388	7.0481	6.45669	6.2506	4.53859	5.13364	3.37281	4.35536	9.19044	8.60406	8.51627	7.33413	3.27419	3.53104	4.46325	3.0313	3.20871	3.85286	2.45838	4.53677	3.77782	2.8387	2.46558	1.91999	1.10786	0.892857
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001021.4.fe2297ab-7a22-4ba1-b2e8-9748d9ff6f48.fc.signal	2.78363	1.52802	0.948291	1.0349	3.21646	4.71303	7.04795	8.81256	8.53832	6.03144	3.01459	1.49593	3.79648	6.68381	5.67803	4.16659	6.82648	7.78675	7.5106	3.25982	2.04766	2.55642	5.26475	4.38263	2.96758	2.49291	0.61209	1.01814	0.599566	0.232666	0.812815	0.512375	1.0507	1.62656	1.1967	1.91836	3.29319	1.87645	0.783929	1.02616	1.03425	2.99222	1.02313	0	0.515921	0.408045	0.592233
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004608.1.6d8749d8-24c7-4e6d-8992-3543e47f35de.fc.signal	0.54864	0.350408	0.100586	0.570325	2.11929	2.76602	5.2806	6.33674	5.13363	2.62853	1.49622	0.696863	1.64532	2.59704	5.82134	7.65171	8.60512	4.44324	6.70407	5.89602	11.5732	13.4338	8.24398	20.7585	23.1852	15.377	13.7248	11.2957	4.91681	4.74567	1.59284	0.710387	0.874479	1.73912	1.6875	1.9222	1.56636	0.42246	1.77688	1.41946	1.47329	2.36343	2.32176	1.35892	0.938328	1.21207	1
