	chr11:890927-891076	chr11:891077-891226	chr11:891227-891376	chr11:891377-891526	chr11:891527-891676	chr11:891677-891826	chr11:891827-891976	chr11:891977-892126	chr11:892127-892276	chr11:892277-892426	chr11:892427-892576	chr11:892577-892726	chr11:892727-892876	chr11:892877-893026	chr11:893027-893176	chr11:893177-893326	chr11:893327-893476	chr11:893477-893626	chr11:893627-893776	chr11:893777-893926	chr11:893927-894076	chr11:894077-894226	chr11:894227-894376	chr11:894377-894526	chr11:894527-894676	chr11:894677-894826	chr11:894827-894976	chr11:894977-895126	chr11:895127-895276	chr11:895277-895426	chr11:895427-895576	chr11:895577-895726	chr11:895727-895876	chr11:895877-896019	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001457.1.b29ef53b-7262-43e2-ab26-84dcd5c07165.fc.signal	0.942722	0.840774	0.0835038	0	0	0	0	0	0	0.30416	0.0657538	0.258748	0.211167	0.776181	0.209273	0	0	0.123771	0.214585	0.926022	0.203323	0.59469	0.709795	0.203322	0.377398	0	0	0	0.352143	1.45551	0.690019	0.0360073	0	0	0.653025
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.3bc522e1-a1c6-492a-9fb9-e63c8afd2709.fc.signal	0	0	0	0	0	0	0	0.136565	0.281941	0.019824	0.303162	0.0338499	0	0.188264	0.174176	0.435582	0.212282	0.316736	0.00440533	0	0	0.157245	0.489379	0.153191	0.188636	0	0	0	0	0.263086	0.468151	0.147579	0.359226	0.186205	0.522831
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000980.8.368c97f7-f82d-4e9f-a521-00182447a421.fc.signal	0.52553	0.173016	0	0.0987125	0.333846	0.006036	0	0.0702725	0.558371	0.552947	0.375381	0.734039	0.0167301	0.349695	0.460556	0.120744	0.220613	0.0510547	0.642035	0.313742	0.0348366	0.404271	0.277804	0.547174	0.429478	0.0933181	0.172559	0.345612	0.301565	0	0.110716	0.279718	0.178288	0.152683	0.666367
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.d9959e98-a5a9-490f-a9f0-358a1a711d27.fc.signal	0.506336	0.953584	0.440341	0.0836897	0.606242	0.480698	0.657044	0.850828	0.354992	0.872004	1.44396	0.205184	0.215611	0.699747	0.856197	1.29156	1.18655	1.14759	0.0474883	0.292834	0.459036	0	0.170028	0.816189	0.63386	0.145257	0.138208	0.310773	0.563247	0.32467	0	0.280602	0.948549	0.832314	0.604615
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.993ec17f-4277-433d-a284-3906706ac1fe.fc.signal	0.582438	0.362698	0.31944	0.19863	0.576794	1.15991	0.967448	0.41882	0.405405	0.0883596	0.214257	1.66187	3.21749	1.62814	0.292911	0.81705	0.435404	0.390351	0	0	0	0.30088	0.0927613	0.486554	0.424143	0	0.626277	2.0699	1.57593	1.2943	1.52847	0.394564	0.353203	0.179781	0.517116
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000174.3.ad699f10-b9f0-4846-a1ea-444cf5fe468b.fc.signal	0	0.463316	0.411164	0.059016	0.532245	0.0552536	0	0.101298	0.69067	0.230223	0.687942	0.0590184	0.217372	0.275083	0.459893	0.43282	0.69067	0.151947	0.69067	0.197992	0	0	0	0.418865	0.44347	0	0	0	0.29929	1.21547	0.280872	0	0	0	0.507293
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003816.1.4569d4d8-c896-418a-b870-e7afcf72b7d3.fc.signal	0.276644	0	0	0.104124	0.106531	0.0567287	0	0.153169	0.385862	0.389731	0.0965386	0.582822	0.321926	0.39533	0.459175	0.109387	0	0	0.24254	0.0704611	0.182572	0.170655	0.329576	0.811472	0.733754	0.207287	0.13749	0.138455	0.143241	0.233058	0	0.101098	0.190161	0.197398	0.425532
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.009dbb10-d8f5-4bd5-9bc6-e0cf283ece54.fc.signal	0.0775731	0.114553	0.0906777	0.0987771	0.189045	0.126481	0.0315266	0.0491703	0.136131	0.15806	0.103256	0.0143617	0.0504953	0.0906074	0.156311	0.155984	0.0890925	0.134757	0.120128	0.116772	0.114616	0.194687	0.196729	0.0535303	0.00114607	0.0501408	0.120041	0.119501	0.082269	0.0533642	0.101535	0.167898	0.238311	0.150868	0.376008
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000290.2.e8dc7448-dc97-4057-a492-978243fe4033.fc.signal	0.554246	1.23322	0.456932	0	0	0	0	0	0	0	0	0	0	0	0	0.429269	0.570101	0.274153	0	0	0	0	0.223958	0.414074	0	0	0	0	0	0	0	0	0	0	0.485646
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001908.1.4025739e-d017-417d-bd1b-2254ef9d0cdc.fc.signal	0.33333	0.0351328	0.215725	0.2782	0.0380079	0.0613485	0.374507	0.177699	0.117824	0.3212	0.228483	0.125331	0.190297	0.377796	0.241377	0.244821	0.00423093	0	0.0063464	0.485603	0.428472	0	0.184046	0.397788	0.61101	0.59175	0.26659	0.381954	0.117373	0.33321	0.372171	0.337146	0.175444	0.120937	0.526316
