	chr2:61836038-61836187	chr2:61836188-61836337	chr2:61836338-61836487	chr2:61836488-61836577	chr2:61836578-61836637	chr2:61836638-61836787	chr2:61836788-61836937	chr2:61836938-61837087	chr2:61837088-61837237	chr2:61837238-61837387	chr2:61837388-61837537	chr2:61837538-61837687	chr2:61837688-61837837	chr2:61837838-61837987	chr2:61837988-61838137	chr2:61838138-61838287	chr2:61838288-61838437	chr2:61838438-61838587	chr2:61838588-61838737	chr2:61838738-61838847	chr2:61838848-61838887	chr2:61838888-61839037	chr2:61839038-61839187	chr2:61839188-61839337	chr2:61839338-61839487	chr2:61839488-61839637	chr2:61839638-61839787	chr2:61839788-61839937	chr2:61839938-61840087	chr2:61840088-61840237	chr2:61840238-61840387	chr2:61840388-61840537	chr2:61840538-61840687	chr2:61840688-61840837	chr2:61840838-61840987	chr2:61840988-61841137	chr2:61841138-61841205	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	0.26364	0.0242554	0	0.194159	1.3039	2.00581	1.43723	1.21601	0.89019	0.413136	1.09538	0.874527	0.376729	0.0896263	0	0	0	0	0	0	0	0.324926	0.238265	0.445643	2.57066	2.74974	3.45558	3.34902	0.872458	0.363378	0.0719061	0.0258706	0.714026	1.25566	1.71836	2.07477	1.84339	0.45122
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	1.06969	0.877268	1.30011	1.28454	1.00469	1.23225	0.760257	0.992544	1.18349	1.49592	1.29645	1.16952	1.11101	1.47781	1.49722	0.807581	1.38919	1.01748	0.676324	0.469796	0.409069	0.692315	1.33179	1.07339	1.6314	1.05252	0.829446	0.981036	0.87895	0.674129	0.874074	1.24173	1.13646	1.23086	1.13314	1.16378	1.85404	0.576923
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	0.423088	0.394573	0.248809	0.484888	1.14816	0.982713	1.10026	1.74246	1.63286	1.62963	0.348647	0.68617	0.573699	0.562861	1.06712	0.954996	1.8377	1.49174	1.12908	0.611764	0.0608872	0.974286	1.03278	1.00365	1.61456	1.39107	1.18831	1.00526	1.20811	1.29266	1.62523	2.11371	1.03464	1.46708	1.10055	1.80296	3.80535	0.453782
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001044.7.72ced85f-cc3d-4155-864f-c88e943e41cd.fc.signal	2.24839	0.899361	1.61093	2.03118	1.21484	0.663337	1.14619	2.46211	2.55315	1.21111	0.992257	0.996553	0.823774	0.708292	0.683205	1.08049	1.36282	0.818693	0.623056	1.08757	0.514857	0.473593	0.78675	0.580035	2.85806	2.28391	3.06565	3.51176	2.89587	2.43941	2.80353	2.93361	2.52134	1.51473	2.20635	1.7417	2.53504	0.517787
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.d29b7bc4-75ef-437b-ab43-12a3fcfc38d5.fc.signal	0.685665	1.67185	1.56392	1.95218	2.52574	2.80269	2.61307	2.38379	1.90271	0.7102	1.25426	1.85725	0.740886	0.41021	0.247487	0.726543	1.64045	1.46564	1.59076	1.59773	0.889897	1.04793	1.65786	1.10473	1.34766	1.76138	2.88125	1.59455	1.07012	1.67251	1.36591	1.15148	2.15194	2.35368	3.79779	1.1775	1.40959	0.554455
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004713.2.44d9234d-e938-4209-8bc5-a1f9ee0dcbe4.fc.signal	0.745101	0.423486	0.490877	0.356078	0.991	0.776451	1.01254	2.22887	1.20398	1.53486	0.650528	0.756755	1.15104	0.301856	0.279458	0.80106	0.583029	0.535653	0.858905	0.666234	0.886512	1.16948	1.79861	1.5804	0.974936	1.52157	3.48375	1.84848	1.194	0.061705	0.307205	0.36722	0.513375	0.889731	1.11795	1.87709	1.62471	0.835
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003689.3.cde87e50-dbba-4734-bd22-f35203f3b601.fc.signal	0.403912	0.233613	0.330182	0.304356	1.4635	2.00806	1.47782	0.789719	1.27903	0.340776	1.48157	1.18113	0.599482	0.391241	1.00423	0.494274	0.78029	0.584169	1.02469	0.229416	0	0.682726	1.36599	0.456544	3.00123	1.37508	1.70358	2.16553	0.933042	0.549026	1.27724	0.941183	0.70046	2.48316	1.60982	1.58855	1.23688	0.899083
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.15a517d0-8389-43f7-9ce5-66c163ab4bf7.fc.signal	2.2394	2.26215	2.77023	2.3631	2.70404	3.00755	3.28854	3.06234	1.90225	1.17115	1.71604	2.4471	1.96022	1.77894	2.17942	0.990839	1.5021	2.30309	2.15106	1.04014	0.60689	1.22551	1.46777	1.3457	3.41056	2.56081	1.92235	1.93421	1.98855	1.68807	2.63772	3.06125	3.6791	3.19122	1.53627	2.29078	1.83817	0.329193
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.bb1bb2b2-42c2-4f18-8e8f-61e82ab17b84.fc.signal	2.58869	2.24895	2.13073	1.46853	1.06938	1.43201	1.64986	2.47297	2.47764	1.09267	1.37458	1.79509	1.34183	1.85271	2.49221	2.59496	1.84427	1.36003	0.976324	0.955857	0.628837	1.49928	1.59777	2.24335	5.57398	3.31791	1.72566	1.62457	1.42058	1.09635	2.04784	3.34123	3.61803	2.6445	2.61975	2.64643	1.32912	0.149123
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.4d89e710-5a41-461f-91a2-bc627bddca0a.fc.signal	1.24745	1.77919	1.68876	1.49002	3.32057	4.6915	3.76162	3.05441	2.18666	1.24977	1.97389	1.92873	1.58051	1.23298	1.22664	2.2269	1.99483	1.37896	1.17147	1.6622	0.834597	0.900547	2.17304	1.48612	3.18741	2.9382	1.86953	1.02209	1.79181	1.23317	1.1499	1.65188	2.3568	1.79981	1.55366	2.06292	2.22174	0.356436
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001915.1.bcfa2f24-6276-4a64-96e6-3f1abe06b88e.fc.signal	0.988175	0.27855	0.739144	0.943394	0.975008	0.995548	1.02071	0.821068	0.915986	0.767813	1.25446	1.06681	1.92096	1.56589	0.646015	0.905829	1.09893	1.19197	0.958492	0.0933589	0.111911	0.880437	0.929998	1.52726	4.01134	3.2802	2.488	4.19665	4.10778	4.16548	3.00934	1.71394	1.26605	1.75733	1.55522	2.75998	3.42204	0.45082
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83e601b8-bef8-49e1-b42e-c29a56e1ac1c.fc.signal	0.568623	0.818683	0.936136	0.717912	1.7991	1.90277	1.20406	1.40803	1.50851	0.910553	1.16947	1.86532	1.07553	1.29878	1.82718	1.43234	1.04106	0.707205	0.449861	0.185208	0.269862	1.20574	1.61744	0.935334	1.49737	0.999289	1.82697	1.72753	1.15973	1.41101	1.92042	1.5071	0.465005	0.858659	0.77408	0.601912	0.66349	0.221774
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003685.2.5501f5e6-6354-4e9f-82a5-be852033207e.fc.signal	2.15815	1.36174	1.59573	1.49529	1.82697	1.94233	2.06761	2.49209	2.48626	1.76559	2.05811	1.65742	0.539295	1.05673	1.93465	2.61722	2.8339	2.75705	1.66911	0.682678	0.262868	0.324008	0.537061	1.13293	1.93806	2.18454	2.39602	2.62785	2.92842	3.16689	2.329	1.30955	1.4449	1.46452	1.30707	1.13207	0.888979	0.292254
