	chr2:230505493-230505642	chr2:230505643-230505792	chr2:230505793-230505942	chr2:230505943-230506092	chr2:230506093-230506242	chr2:230506243-230506392	chr2:230506393-230506542	chr2:230506543-230506692	chr2:230506693-230506842	chr2:230506843-230506992	chr2:230506993-230507142	chr2:230507143-230507292	chr2:230507293-230507442	chr2:230507443-230507592	chr2:230507593-230507742	chr2:230507743-230507892	chr2:230507893-230508042	chr2:230508043-230508192	chr2:230508193-230508342	chr2:230508343-230508492	chr2:230508493-230508642	chr2:230508643-230508792	chr2:230508793-230508942	chr2:230508943-230509092	chr2:230509093-230509242	chr2:230509243-230509392	chr2:230509393-230509542	chr2:230509543-230509692	chr2:230509693-230509842	chr2:230509843-230509992	chr2:230509993-230510142	chr2:230510143-230510292	chr2:230510293-230510442	chr2:230510443-230510531	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0.462413	0.223465	1.0106	0.849286	0.999427	1.41903	0.487412	1.13345	0.116588	0.842762	1.8692	1.01186	0.901366	0.666266	1.84554	1.90548	1.2983	0.0999324	0	1.18727	0.398398	0.631108	0.305371	2.12854	1.32617	0.827557	1.15635	1.47244	0.805484	0.599577	1.81314	1.07535	1.01797	0.261995	0.508443
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	0.120508	0.0714664	0.214185	0.343665	0.604867	0.318509	0.597949	1.36914	0.0605484	0.166296	1.68088	2.19988	3.06103	1.86849	1.85625	2.48847	2.75789	1.06073	0.425402	0.0780464	0	0	0.357746	0.473688	1.06635	0.37019	0.482731	0.533366	0.329056	0.63994	1.00331	0.606305	1.48712	1.34374	0.649499
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0.0533807	0.0834832	0.816732	1.04145	0.0935345	0.953783	0.395203	0.422054	0.491689	0.242556	1.39629	2.14285	1.2082	0.471641	0.890787	0.861614	0.167788	0.899561	0.682739	0.137708	1.3107	1.02903	0.718346	1.97107	1.20651	0.770582	1.09884	1.2593	0.857957	0.0133621	0.898711	0.526822	0.430035	0.429434	0.449881
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.171876	0.300734	0	0.119995	0.27136	0	0.555684	0.727781	0.129006	0	0	0	0	0.545967	1.25494	1.04186	0.47413	0.410541	1.28468	0.0148411	0	0	0	0.255798	0.505022	0	0	0.192286	0.344151	0.626398	0.523704	0.961881	0.289313	0	0.435635
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	0.616405	0.434248	0	0	0	0	1.37276	0.842811	0.0157536	1.51231	0.643895	0.536388	1.94683	0.207858	0	0.371955	0.838027	0.0367584	0	0.432356	1.67109	0.121356	0	0	0	0	3.03	1.49239	0	0	0.806142	2.05233	1.2947	0.0952787	0.704678
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.33264	0.0278219	0.198269	0.137581	0	0.143521	0.248721	0.174568	0	0	0	0	0.0960569	0.185939	0.112501	0.517036	0.245337	0.384417	0	0.100565	0.357183	0.266293	0.183153	0.255316	0.33798	0.432121	0.295258	0.0227811	0.203128	0.145369	0.483623	0.330806	0.00118293	0	0.577997
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	3.21834	2.15215	3.5541	2.96613	2.16145	3.00835	2.32052	2.70283	2.85236	3.2116	2.38158	3.3428	3.14145	2.6938	3.15041	2.88386	2.71946	3.17965	2.97264	4.7645	4.126	3.38208	3.508	5.20983	4.67664	3.6429	4.75329	3.88042	2.43833	3.32111	4.14182	4.2432	2.73583	1.19372	0.533333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0.112068	1.22024	0.610354	0.549011	0.0180693	0.127449	0.476361	0.748294	0.196188	0.126703	0.448073	0	0.281811	0.273825	0	0	0	0	0	0	0	0	0	0.325717	0.391588	0.599635	0	0	0.498078	0.307916	0	0.0695683	0.836618	0.0739014	0.510334
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.0589853	0.267797	0.851561	0.617312	0.610989	0.171553	0.589178	0.520181	0.0907787	0.541052	1.28368	0.734447	0.757128	0.217876	0.116189	0.346792	0.0181493	0.233333	0.126637	0.492644	0.366545	0.11255	0.0326859	0.2724	0.275054	0.484743	0.609139	0.724455	0.491118	0.528352	0.331371	0.400341	0.480249	0	0.301587
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	0.622618	0.976134	0.988135	1.01172	0.942293	1.23056	1.94504	0.871573	0.486959	0.27167	0.813638	1.88138	1.5798	1.71141	1.74957	0.49365	0.337463	0.0636551	0.247384	0.896263	1.45315	0.859714	0.576456	0.771381	0.857402	1.29325	1.21601	0.36668	0.753745	1.15883	0.34818	0.49081	1.12459	1.08104	0.490207
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.70472333-cf93-4f75-9795-a7c0cfbd4b2b.fc.signal	0.294607	0.443219	0.5989	0.525051	0.504246	1.35263	1.08511	1.37115	0.217682	0.897508	1.97817	2.40232	1.40642	1.40803	1.2119	1.85376	1.68812	0.610105	0.20701	0.813379	1.54666	0.55606	0.862438	2.35222	3.00751	2.55915	1.18263	1.53545	2.20448	2.17939	3.52063	2.88205	0.843273	0.608607	0.694842
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000704.1.66176b59-ae1e-4572-9837-187809968b90.fc.signal	0.458644	0.414074	1.75746	1.46625	2.41818	1.40261	1.32752	1.42089	0.162842	1.86907	2.45565	2.20482	1.6747	1.72413	2.88298	2.60001	0.692879	1.3736	0.599382	0.515539	0.452754	1.36715	0.432258	1.07288	0.707555	2.16619	1.39048	1.98878	1.38111	2.034	0.606211	0.489092	2.81527	1.57249	0.532292
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	0	0.0234443	0.604838	0	0.970644	0.959419	0.184973	0	0	0.243771	1.36612	0.597109	1.01295	1.687	1.51352	2.0373	0.276067	0.565581	0	2.77331	1.08354	0.765212	0.490918	1.32241	1.38182	0.635288	0.125472	0.425669	0.324905	0.820557	0.297729	0.70542	0	0	0.464151
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000193.3.aa854cbd-228f-48b3-bc4a-7a1e57daf907.fc.signal	1.03873	0.750896	1.75841	1.56022	1.84824	1.56058	1.14062	0.816444	1.94507	2.53217	0.254863	1.16398	1.40248	3.2419	0.0120065	0	0.708146	0.409146	0	0	0	0	0	0.804438	1.23667	0	0.898663	0.748653	0	0	1.17664	0.86447	2.28143	0.966536	0.63245
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001546.1.967ca253-1932-4175-8466-de89b0808edb.fc.signal	0	0	0	0.475049	1.29151	0.870947	0.480187	0.123551	0.561128	0.422802	1.75788	0.564055	1.32277	0.0877508	0	0	0.913281	1.00629	0.21671	0.763634	0.819454	0.176284	0.476696	1.42283	0	0.270469	1.40167	0.645271	0.496148	0.723131	1.42566	1.30317	0	0	0.511158
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	0.0957543	0.142216	1.10451	1.19325	0.341318	0.215685	0.495393	0.844349	0.919663	0.730039	0.893721	0.662274	0.503432	0.500734	0.617008	1.1806	0.231566	0.349842	0.264813	0.49773	0.677885	0.237038	0	0.154037	0.208542	0.611538	1.4529	2.45076	0.0995376	0.0889981	0.707883	0.549848	0.630516	0.135814	0.444812
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.e3fd041d-f794-414d-802b-cfe9e9d53c6e.fc.signal	2.11519	1.38163	1.28163	1.29271	1.03937	1.5877	2.53681	1.38691	0.313386	2.4961	2.35614	1.48831	1.27772	2.6088	3.00015	2.26973	1.36645	0.888218	0.328869	0.480184	0.622729	0.178631	0.288468	1.68088	2.21205	1.01789	1.4911	1.49126	1.01681	1.11449	2.17718	2.00677	1.86422	1.16808	0.356115
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000237.3.a5cd5780-31d9-4de0-9c6f-91eeeabb1306.fc.signal	0	0.17944	0.662134	0.936706	3.06497	3.06676	0.488081	0	0	0.156113	2.00084	5.62211	4.01423	0.337349	0.080748	0.529348	0.317111	0.00182587	0.209243	0.360998	0.297267	0.154999	0.22858	0.971146	0.807469	0.211936	0.300944	0.729893	0.495991	0.0017944	0	0.744702	2.09414	1.79632	0.472357
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001003.4.e55ccc77-8d92-466a-86b9-0bf035aed6cc.fc.signal	0.233446	0.130962	0.732574	0.565719	0.697534	0.811275	0.733364	1.17006	1.80182	0.932346	1.82192	3.06983	1.0158	1.4483	1.38693	0.506617	0.0176457	0.279778	0.270089	0.872175	0.322376	0.303925	0.376901	0.781295	2.66518	2.23508	0.969353	0.374545	0.397869	0.536865	0.9532	0.924194	0.280876	0	0.583234
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	0.246476	0.634925	1.73452	1.01741	1.52219	2.021	0.681266	0.0597493	0	0.216633	0.44822	0.097108	0	0	0	0	0	0	0.176793	0.933118	1.37025	0.550333	0.787613	1.46263	0.944226	1.23056	0.914608	1.02475	0.684708	0.567744	1.18278	0.89872	0.529005	0.319383	0.480412
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001892.4.1a48d1e3-a2d4-434f-8cee-d284ec0da60a.fc.signal	4.05919	5.21717	4.80467	2.3231	3.06377	4.25483	4.32556	2.27598	0	1.45137	2.93379	5.07278	2.54458	2.20963	3.47324	4.47729	2.32126	0.643329	0	0	0	0.71778	1.29064	2.09549	1.58579	1.0451	1.86186	0.949878	0.230513	1.68607	0.512316	0.423623	2.17642	0.383917	0.691195
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001335.1.16baff19-56fb-479e-97b6-edd56ebc9920.fc.signal	2.18685	1.53079	1.50184	1.4047	1.75204	1.69706	2.49777	0.65632	0.44289	0.710484	2.4697	2.58052	0.271294	1.03017	0.586236	1.82716	0.330132	0	0	0.0937236	1.10336	0.681892	2.02552	1.19595	0.359298	0.236374	0.335949	0.347003	1.27861	1.40082	0.556961	1.76484	2.46686	0.702314	0.566102
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000228.3.8bd2a4a9-ace6-4e3a-b0aa-9993e4990638.fc.signal	0	0	0	0.238312	1.87198	1.83417	0.0821767	0	0	0.225164	1.15211	1.00255	0.0361577	0.193937	0.348429	0.24653	0.19065	0.656383	0.647877	0.638747	0.721219	0.848761	0.276913	0.437888	0.49421	0.230015	1.36026	1.47647	0.115258	0	0	0.444408	1.31259	0.789066	0.392061
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000248.2.827ded64-aa40-4620-8391-8dd4ae096d90.fc.signal	1.56299	0.717745	0.517264	0.687951	1.46871	0.818368	0.47912	1.84625	1.14552	0.858434	2.71106	0.856602	0.942822	1.45909	1.46512	1.24381	1.44093	0.628755	0.472065	0.499168	1.47876	0.835612	0.434362	1.16512	1.60198	1.17028	2.08317	0.922981	1.37004	1.81701	0.988331	1.5836	0.634793	0.582223	0.554812
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001482.1.feb5cf97-c346-43c5-9925-b098ecdfe359.fc.signal	2.8142	5.33853	4.00755	2.05958	1.47424	1.63009	2.47211	1.90607	0.309775	0.377457	0.70732	1.07955	0.655433	0.386077	1.41398	0.920044	0.101604	0	0	0	1.24838	2.15188	2.87084	2.24448	4.92759	3.91523	2.32694	0.881976	0.259579	0.213357	1.04874	0.809059	0.706173	0.246862	0.55496
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001488.1.8a6af925-1821-4fc7-84d7-e838a44be225.fc.signal	1.47695	2.42814	3.72347	2.81187	1.60591	0.907216	1.72742	2.14858	1.6794	1.81496	3.0677	1.95219	3.21959	3.59759	2.72581	1.57027	2.43585	1.57748	3.28624	1.63769	2.20975	2.52259	3.50306	2.97507	2.59384	4.45304	1.04018	1.28491	1.34267	1.73722	2.71623	1.25517	0.341715	0.202257	0.656772
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.100e7289-c631-4bb0-9eef-015950828bf4.fc.signal	0.352782	0.569771	1.36831	0.157326	0.497155	0.599824	0.206294	0	0.382315	0.868625	0.619045	0	0.427765	0.993952	0.725516	1.20344	0.186066	0	0	0	0.502397	0.219541	0	0	0	0	0	0	0	0.079036	0.405473	0.103716	0.636671	0.0944505	0.383159
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.3d6cbb41-685c-49c7-85eb-8977ab8f14b3.fc.signal	0.679315	0.024021	0.604858	0.0667502	0.666399	2.15315	1.58295	1.63814	0.4419	0.959659	1.36315	1.28105	0.474345	0.232976	0.306598	0.749252	0.0789695	0.453034	0.438635	0.2267	0	0.30914	0.682536	1.53691	1.3791	0.796263	0.779482	0.530646	0.0804788	0.37863	0.251477	0	0.657453	1.55124	0.555324
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000008.3.2e1ab747-5c43-4469-97d5-a2e674bc3ee6.fc.signal	0.58268	1.85568	0.490964	0.55054	0.365888	0.78491	0.373271	0.223822	0.358088	0.2278	0.865531	0.567626	0.0327451	0.276643	1.4527	0.251014	1.2244	0.934031	1.223	0.669278	0	0	0.0686065	1.69054	0.592887	0	0	0	0.481533	0.686284	1.44181	0.66923	0.330658	0.0160551	0.595652
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000234.3.004bcd0c-68a8-42c5-b5aa-454db7d061e9.fc.signal	0.698689	0.273036	1.51152	2.291	3.7551	4.49871	2.70766	0.641014	0.0781857	0.398693	2.02434	3.97306	3.90254	2.50894	1.23972	0.221769	0	0.0724471	0.731208	1.01439	0.950558	0.510229	0.438454	1.18716	1.21665	1.15222	1.64584	2.22047	1.30523	0.596524	1.15766	1.85254	1.70254	1.09834	0.241773
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.5571d7d7-4894-4e51-8082-c8a874cb2438.fc.signal	0.211431	0.495068	0.835257	0.414412	0.0800331	0.433598	0.129625	0.759139	0.406523	0.164055	0.258908	0.254713	0.250939	0.0668834	0.545166	0.355017	0.294771	0.0704508	0.346283	0.356628	0.227464	0.46701	0.0728867	0	0.216293	1.09966	0.740222	0.0448533	0.378487	0.570736	0.382387	0.302094	0.0743759	0	0.523169
