	chr5:16088389-16088538	chr5:16088539-16088688	chr5:16088689-16088758	chr5:16088759-16088838	chr5:16088839-16088988	chr5:16088989-16089138	chr5:16089139-16089288	chr5:16089289-16089338	chr5:16089339-16089438	chr5:16089439-16089588	chr5:16089589-16089678	chr5:16089679-16089738	chr5:16089739-16089818	chr5:16089819-16089888	chr5:16089889-16089938	chr5:16089939-16090038	chr5:16090039-16090188	chr5:16090189-16090278	chr5:16090279-16090338	chr5:16090339-16090378	chr5:16090379-16090488	chr5:16090489-16090638	chr5:16090639-16090718	chr5:16090719-16090788	chr5:16090789-16090938	chr5:16090939-16091028	chr5:16091029-16091088	chr5:16091089-16091128	chr5:16091129-16091238	chr5:16091239-16091268	chr5:16091269-16091388	chr5:16091389-16091538	chr5:16091539-16091688	chr5:16091689-16091838	chr5:16091839-16091908	chr5:16091909-16091988	chr5:16091989-16092058	chr5:16092059-16092138	chr5:16092139-16092218	chr5:16092219-16092288	chr5:16092289-16092348	chr5:16092349-16092438	chr5:16092439-16092508	chr5:16092509-16092588	chr5:16092589-16092658	chr5:16092659-16092738	chr5:16092739-16092888	chr5:16092889-16092928	chr5:16092929-16092978	chr5:16092979-16093038	chr5:16093039-16093128	chr5:16093129-16093188	chr5:16093189-16093338	chr5:16093339-16093398	chr5:16093399-16093488	chr5:16093489-16093581	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.bb1bb2b2-42c2-4f18-8e8f-61e82ab17b84.fc.signal	0.498889	0.857774	0.632458	0.424463	0.211303	0.594657	0.424638	0.274369	0.596443	0.744725	0.771403	0.571137	0.42668	0.593945	0.85465	0.939159	0.518736	0.184677	0.152468	0.431034	0.936784	0.905212	0.511834	0.306324	0.257476	0.516669	0.513821	0.560715	0.431596	0.480829	0.713188	0.776917	0.336783	0.244763	0.457954	0.716748	0.758189	0.797388	0.698813	0.491406	0.389913	0.285789	0.311032	0.588052	0.670633	0.718166	0.537977	0.50952	0.537865	0.377315	0.458669	0.345133	0.459986	0.626709	0.718129	0.580251	0.666667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83e601b8-bef8-49e1-b42e-c29a56e1ac1c.fc.signal	0.675181	0.707467	0.277743	0.341216	0.298864	0.201042	0.43651	0.803006	1.04713	0.732771	0.748304	0.46644	0.280018	0.844041	1.461	1.73858	1.44922	1.13571	0.345764	0.327945	0.511689	0.736931	0.97234	1.24136	1.27774	1.54669	1.49605	1.59128	1.01909	0.626914	0.404084	0.606327	0.493929	0.446694	0.267239	0.351925	0.357105	0.394383	0.768838	0.735255	0.497291	0.210348	0.237207	0.485188	0.379535	0.307229	0.207199	0.103659	0.31241	0.31834	0.312524	0.109055	0.16228	0.929205	1.11491	1.08157	0.671141
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.f32467cb-d7e9-4f5b-9c6b-68e4e838bc49.fc.signal	0.845347	0.0320179	0	0	0	0	0	0	0	0	0	0.129312	0.171548	0.285583	0.328727	0.204629	0.148728	0.253324	0.218787	0.26114	0.471572	0.556808	0.190852	0.188928	0.663469	0.708721	0.698047	0.528295	0.38422	0.38422	0.019211	0	0	0	0	0	0	0	0	0	0	0	0.148199	0.659319	0.76854	0.734902	0.143527	0	0	0	0	0	0.449561	1.54337	2.27345	2.26005	0.428571
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.309e9998-5ade-4caa-9bdd-4c0118af9852.fc.signal	0.00167907	0	0	0	0.0470139	0.461827	0.381206	0	0	0	0	0.0287625	0.191423	0.184401	0.457999	0.632688	0.469705	0.476639	0.475604	0.632871	0.545515	0.155746	0.151116	0.25186	0.594486	0.50382	0.596169	0.50382	0.281637	0.25186	0.0692615	0	0	0	0	0	0	0.311714	0.50382	0.50382	0.445029	0.0699611	0.176302	0.37784	0.50382	0.459727	0.12593	0	0	0	0	0	0	0	0.150246	0.499789	0.488778
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.102990be-2f15-4965-9094-d6b665cc5fb0.fc.signal	0.561701	0.564129	0.334259	0.214555	0.0749321	0	0	0	0	0	0.00684311	0.212394	0.593228	0.719124	0.70711	0.611297	0.594436	0.734014	0.707674	0.473367	0.172159	0.0266881	0.2439	0.552657	0.682185	0.696907	0.900088	0.564797	0.276476	0	0	0.284837	0.25716	0.640061	0.95356	0.6158	0.358465	0.622531	0.849259	1.01708	0.600624	0.324569	0	0.0946677	0.511472	0.463644	0.228362	0.46178	0.620773	0.728577	0.418839	0.127078	0.43377	0.90756	0.729046	0.446152	0.327273
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.6ef6e344-86f3-4f04-92f8-daa352b5ef4d.fc.signal	0.360568	0	0	0	0	0	0	0	0	0	0	0.184056	0.264331	0.782821	1.50336	1.43238	0.828349	0.564582	0.152592	0.22361	0.293821	0.361719	0.468182	1.29785	3.11794	3.42118	1.86181	0.565581	0.0224923	0	0	0	0	0	0	0.340196	0.964551	2.76178	2.69108	0.903985	0.347559	0	0.131281	1.02517	1.14131	0.35787	0.1249	1.02518	2.27655	2.2094	1.24517	0.771878	0.697635	0	1.22545	1.01867	0.584252
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.5aafa779-b4bd-44a8-aed7-d566d5881bee.fc.signal	0.48495	0.860646	0.895225	0.488474	0.528479	0.325702	0.368617	0.611237	0.715698	0.696392	0.361298	0.528424	0.514929	0.974638	1.17498	1.10166	0.936952	1.09599	0.775611	1.07005	1.52282	1.10624	1.04489	1.69099	1.35352	1.34275	1.2581	1.05436	0.485304	0.536496	0.380035	0.365225	0.305864	0.0595439	0.353559	1.11478	1.25187	1.21142	0.627555	0.635943	0.71927	0.935825	0.90634	0.997722	0.829919	0.432495	0.137364	0.67916	1.24733	1.57186	1.45429	0.888579	0.572882	0.817801	1.01442	0.840633	0.669329
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.2da68f5f-3fe3-4c64-8403-feb46554ae0b.fc.signal	0.191132	0.464003	0.723042	0.46761	0.558485	0.160195	0.170592	0.245989	0.136605	0.132771	0.0327039	0.238212	0.342771	0.509701	0.588086	0.763184	1.4732	0.621565	0	0	0.204939	0.593738	0.584461	0.803133	0.907301	1.0916	0.709701	0.39243	0.007135	0	0.27831	0.441591	0.36552	0	0	0.37711	0.717595	1.23951	0.517824	0.132453	0	0.217966	0.750799	1.37417	0.896547	0.501685	0.272564	0.27831	0.27831	0.236564	0.0835339	0.724714	1.08293	0.425962	0.554367	0.236414	0.38125
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.40074ae6-828f-47d9-a397-b67f6a5032c3.fc.signal	0	0.480955	1.22153	0.66893	0.240417	0.354136	0.602954	0.970212	0.267151	0	0.0120693	0.27156	0.298699	0.419894	0.68497	0.597798	0.587584	0.41739	0.358795	0.135858	0.273555	0.298899	0.394475	0.272958	0.406807	0.726661	0.713033	0.280179	0	0	0.118157	0.286942	0.324122	0.0548622	0	0	0	0	0	0	0	0	0	0.157472	0.311636	0.200624	0.112259	0.0388237	0	0	0.01	0.277467	0.41517	0.570652	0.805067	0.769547	0.348214
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.fc6fd65f-c644-42f3-9ab2-6582bf7f6378.fc.signal	0.33115	0.391559	0.426867	0.902475	1.04131	0.484741	0.342017	0.271901	0.588591	0.674498	0.703854	0.717493	0.519749	0.699371	0.67603	0.879743	1.03333	0.935737	0.728774	0.386143	0.826159	0.821567	0.394349	0.370066	0.786524	0.783659	0.62248	0.736744	0.840549	0.70709	0.556482	0.349275	0.0276687	0.204922	0.67096	0.675914	0.486834	0.383681	0.22281	0.0764759	0.278903	0.479518	0.526118	0.337433	0.228188	0.37513	0.407933	0.268405	0.412504	0.294508	0.390052	0.361939	0.497133	0.381195	0.613218	1.10537	0.616279
