	chr18:30991954-30992033	chr18:30992034-30992103	chr18:30992104-30992133	chr18:30992134-30992253	chr18:30992254-30992313	chr18:30992314-30992403	chr18:30992404-30992553	chr18:30992554-30992703	chr18:30992704-30992853	chr18:30992854-30993003	chr18:30993004-30993153	chr18:30993154-30993303	chr18:30993304-30993453	chr18:30993454-30993603	chr18:30993604-30993753	chr18:30993754-30993903	chr18:30993904-30994053	chr18:30994054-30994203	chr18:30994204-30994353	chr18:30994354-30994503	chr18:30994504-30994653	chr18:30994654-30994803	chr18:30994804-30994953	chr18:30994954-30995033	chr18:30995034-30995103	chr18:30995104-30995253	chr18:30995254-30995403	chr18:30995404-30995553	chr18:30995554-30995703	chr18:30995704-30995853	chr18:30995854-30995953	chr18:30995954-30996003	chr18:30996004-30996153	chr18:30996154-30996303	chr18:30996304-30996453	chr18:30996454-30996603	chr18:30996604-30996753	chr18:30996754-30996903	chr18:30996904-30996996	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	0	0	0	0	2.70511	6.12598	3.58148	2.26953	0.152477	0.94631	0.852747	3.29294	1.13428	0.132367	0	0	0	1.49883	6.24213	0.34104	0	0	0	0.113164	2.56786	4.70588	3.68309	1.42899	0	1.57955	1.80392	1.2512	0.16128	0	0	0	0.0897473	1.31888	2.98899	0.115549
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.58d4d6b8-e8d9-44c0-a8c7-fcdf9403bfe2.fc.signal	0.021642	0	0	0.170886	0.968786	1.88642	1.95766	0.525651	0.843383	1.41299	0.316268	0	0	0	0	0	0	0	0	0	0	0	0.203507	1.18055	3.00585	3.67598	1.33639	0.406005	0.804408	0.741202	0.481183	0.369726	0.260065	0	0	0.00792167	0.166203	0.509365	0.683266	0.490411
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.b264ae9e-8457-4fbc-9ae1-9ad1d872e973.fc.signal	1.0532	0.955273	1.10484	1.23655	1.62202	2.68301	3.78347	2.20764	1.29658	2.15348	0.937645	0.248514	0.033984	0	0	0	0	0.112574	0.31861	0.0998293	0	0	0.399259	3.08609	6.06636	6.62718	1.75104	0.152914	2.52198	4.09144	2.58196	1.83816	0.989675	0.0169923	0	0	0.740137	4.55122	4.56436	0.545947
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.f1456df1-a617-44a6-a060-cb29786302bd.fc.signal	0.347673	0.500531	0.763978	0.629096	1.22481	2.26946	2.84901	3.10686	0.916638	2.4633	1.89338	1.98921	1.25801	0.482501	1.85334	0.286559	0.436173	1.09575	2.40225	0.507846	0.321343	1.71189	1.55893	1.81751	3.39992	6.17494	3.66968	2.23579	1.63451	4.21139	4.17869	1.12842	0.0410857	0	0	0	0.692235	4.37361	4.529	0.214863
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000225.3.ac643157-1692-4223-8d75-00ef072cf986.fc.signal	0.667963	0.994492	0.9641	1.02438	0.940025	2.26841	3.36644	2.41035	1.44942	2.07772	1.97328	2.94221	3.63477	4.10081	4.78054	2.94064	2.63852	3.18808	3.67496	3.35679	3.37288	5.48916	4.52018	2.92453	3.46113	7.95536	8.00142	6.10781	7.83845	8.04895	5.39918	3.5432	2.14681	1.01233	1.33211	2.04407	4.53043	10.5256	8.41807	0.451588
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e1fd1411-fa6d-4e9d-8b94-fee7dda1365c.fc.signal	0.312538	0.384659	0.478692	0.787523	0.931768	1.09263	1.08091	0.697987	0.708023	0.510958	0.48627	0.504937	0.748321	0.770354	0.502454	0.668187	0.520056	0.280373	0.333555	0.472766	1.47249	1.9925	0.658943	0.625762	0.81809	1.10982	1.32568	1.40149	1.07749	0.780356	0.28506	0.0538706	0.324328	0.736037	0.58194	0.490738	0.492243	0.776078	0.848805	0.367521
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.b04c1667-5df4-43cb-a2ab-4a07445dc015.fc.signal	0.586884	0.742254	1.09018	1.47697	2.08883	1.70548	1.36759	1.18725	1.53608	1.77978	1.49136	2.26448	1.50433	1.90322	1.8675	1.65375	2.07322	1.35849	1.26997	1.48644	1.30936	1.13565	0.595727	1.47003	2.12643	1.81591	1.02125	0.992654	1.03052	1.52982	1.42854	0.700469	0.626069	2.11057	1.92549	1.52079	1.73225	1.343	0.836873	0.417468
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.1ec30665-e127-479e-9308-683342038ede.fc.signal	0.499522	0.705931	0.843084	0.697861	0.854011	1.65182	2.47989	1.50865	1.04057	3.18855	2.12288	1.57182	2.7321	2.81857	2.348	2.34784	1.1925	1.61138	2.18971	1.80661	2.17204	2.03912	2.41876	1.20601	2.27774	3.67617	3.48085	3.34947	2.137	2.14669	1.02207	0.173115	0.899846	2.39812	2.08074	1.4124	1.91992	2.24399	2.05016	0.407061
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.7bdb9455-2f7b-4363-a63c-08451bdd557e.fc.signal	0.299435	0.253248	0.21102	0.320979	1.19783	1.34037	1.05666	1.09628	0.649557	1.36226	1.29556	1.66108	1.95143	2.01638	1.9003	2.21339	3.25115	2.00864	3.00067	2.49414	2.6855	2.1943	1.87613	1.63451	2.12234	1.81879	0.669566	0.967887	0.791216	0.801163	0.689259	0.444313	1.23352	2.26194	2.28235	2.72108	1.72681	1.44456	1.28266	0.441176
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.58ebbf7c-ff66-46f2-b210-b717cb3c6af7.fc.signal	0.159954	0.841875	1.26281	1.34816	1.25011	1.38638	2.33566	2.09772	4.07559	4.26448	2.88082	4.20991	4.56519	2.84326	3.46827	3.16164	4.25473	5.68798	5.37612	2.70534	4.10257	4.33708	3.59621	4.66394	3.69952	4.73163	5.07281	5.0537	4.15601	5.33552	3.89916	3.02095	2.46156	2.14214	1.78502	3.67235	4.86169	4.12612	4.92296	0.425647
