	chr15:88853021-88853170	chr15:88853171-88853320	chr15:88853321-88853470	chr15:88853471-88853620	chr15:88853621-88853720	chr15:88853721-88853770	chr15:88853771-88853920	chr15:88853921-88854020	chr15:88854021-88854070	chr15:88854071-88854100	chr15:88854101-88854220	chr15:88854221-88854370	chr15:88854371-88854520	chr15:88854521-88854670	chr15:88854671-88854820	chr15:88854821-88854880	chr15:88854881-88854970	chr15:88854971-88855010	chr15:88855011-88855120	chr15:88855121-88855200	chr15:88855201-88855270	chr15:88855271-88855350	chr15:88855351-88855420	chr15:88855421-88855530	chr15:88855531-88855560	chr15:88855561-88855570	chr15:88855571-88855600	chr15:88855601-88855720	chr15:88855721-88855870	chr15:88855871-88856020	chr15:88856021-88856170	chr15:88856171-88856320	chr15:88856321-88856470	chr15:88856471-88856620	chr15:88856621-88856680	chr15:88856681-88856770	chr15:88856771-88856800	chr15:88856801-88856850	chr15:88856851-88856920	chr15:88856921-88857050	chr15:88857051-88857070	chr15:88857071-88857220	chr15:88857221-88857300	chr15:88857301-88857370	chr15:88857371-88857520	chr15:88857521-88857670	chr15:88857671-88857740	chr15:88857741-88857820	chr15:88857821-88857900	chr15:88857901-88857970	chr15:88857971-88858079	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0.278576	1.46831	0.591208	0.325849	0.21954	0.0068722	0.451295	1.36163	1.70667	1.29992	1.28979	1.56596	0.523115	0.444745	0.966815	0.496242	0.26904	0.109676	0.219833	0.133682	0	0.378199	0.556405	0.494244	0.43948	0.43948	0.0292987	0	0	0	0	0	0	0	0	0.191987	0.41212	0.974368	1.17799	1.02663	0.65297	0.506238	0.49142	0.91089	0.538868	1.26494	1.21518	0.351318	0.546775	1.0324	1.10853	0.388833
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.361885	0.314033	0.315792	0.554055	0.188427	0.0845656	0.0378148	0.174976	0.269939	0.302933	0.474889	0.420732	0.317491	0.519748	0.346042	0.286105	0.295901	0.197769	0.127609	0.146352	0.168475	0.21882	0.272542	0.113056	0	0	0	0	0	0	0	0	0	0	0	0.0212987	0.0534733	0.15129	0.26192	0.422496	0.484482	0.345102	0.29161	0.305273	0.377521	0.350167	0.536571	0.36558	0.130318	0.157678	0.259097	0.450502
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001335.1.16baff19-56fb-479e-97b6-edd56ebc9920.fc.signal	2.37093	0.339505	0	0.327128	0.970873	0.325786	0.502916	0.469353	0.981168	1.11593	1.16872	0.43694	1.4083	0.989343	0.836046	0.724436	1.55366	1.31789	2.81454	2.40308	0.59005	0.0203801	1.62264	2.33033	0.62506	0.62506	0.604225	0	0	0	0	0	0	0	0	0.277804	0.62506	0.72507	1.11618	1.2574	1.08693	0.539338	0	0.187518	1.65845	1.55498	0.348101	0.112099	0.428	1.16886	1.61397	0.412171
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0.226118	0.165893	0.245515	0.131429	0.0259006	0	0.293158	0.492089	0.121406	0	0.223078	0.934491	0.45046	0.126768	0.897213	0.00403267	0.237981	0.26514	0.172435	0.3054	0.104709	0	0.16584	0.61099	0.325861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109811	0.792994	0.831757	0.0301189	0.709417	0.715045	0.850223	0.788948	0.554318
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.52215347-885a-4412-918b-b787711b8d37.fc.signal	0.291783	0	0	0.251908	1.29438	0.935403	1.56678	0.189503	0	0	0	0.264213	1.07082	0.682447	0.0482538	0.241269	0.980276	1.19756	0.510709	0	0	0.301402	0.654873	0.303936	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0068934	0.437718	0.870237	2.06715	2.98103	1.95678	1.23917	0.821713	0.810875	0.849444	1.06641	0.570277	1.17737	0.93499	0.490964
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.9dac3370-6335-4df0-bea0-9e684edfa350.fc.signal	1.19578	1.54941	0.500886	0.93045	1.03956	0.512522	0.579323	1.89909	0.903834	0.305981	1.01508	0.453512	0.728431	0.997281	0.922468	1.1589	1.94534	1.85741	0.860068	0.36422	0.466156	0.593026	0.668093	0.463376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05749	1.13742	0.743574	1.79513	3.11617	1.56185	0.561442	0.364171	0.633781	0.476397	0	0.95629	1.21216	0.506831
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000250.2.a39935bf-2e13-411b-a0e6-5df09e4383e1.fc.signal	1.37633	1.34383	0.993134	0.564599	0	0	0.498819	0.9604	0.601094	1.20632	1.29541	0.80472	0.683195	1.42456	1.43682	0.340272	0.75616	0.75616	0.481193	0.66002	0.401822	0.126793	1.09322	1.51246	0.554545	0	0	0	0	0	0	0	0	0	0	0.75616	0.95784	1.51246	1.02627	0.953959	2.68451	4.68339	4.76407	3.30567	3.29197	1.98128	1.02709	0.594082	0.476631	1.51246	1.79689	0.439921
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.41bb4ab6-1e8d-4527-bfe1-5ddf65dcaa7f.fc.signal	0	0	0	0	0.336039	0.73052	1.05423	0.765189	0.0675004	0.30682	0.570427	0.647826	0.666799	0.386594	0.373986	0	0	0	0.303838	0.506424	0.660712	1.21444	1.47979	0.296545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.610731	0.884002	0.044855	0	0.044855	0.852627	0.375689	0	0.345546	0.446816	0.163955	0	0	0.52093
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.fc509fae-cfc8-4cd1-b6e1-cb05b98526c1.fc.signal	0.886945	1.02944	0.626169	0.221827	0	0	0	0	0	0	0	0.162776	0.41528	0.598212	0.0686953	0	0.363045	0.58894	0.570189	0.58894	0.365924	0.0331189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217898	0.58894	0.248174	0.119739	1.08559	0.243226	0.712634	1.04512	0.535254	0.669837	0.508899
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83112ba3-4a46-4bcb-b23c-b8a94da18e77.fc.signal	0.402254	0.113675	0.373297	0.0298317	0	0	0	0	0.116567	0.207938	0.753207	1.93811	0.433492	1.34602	0.466324	0	0	0	0.262401	0.694715	0.458218	0.630035	0.864329	0.41631	0.268289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0676801	0.141394	0.44031	0.498732	0.974793	0.975013	0.359439	0.266686	0.781264	0.606481
