	chr15:88853021-88853170	chr15:88853171-88853220	chr15:88853221-88853320	chr15:88853321-88853470	chr15:88853471-88853620	chr15:88853621-88853730	chr15:88853731-88853770	chr15:88853771-88853850	chr15:88853851-88853920	chr15:88853921-88854070	chr15:88854071-88854220	chr15:88854221-88854370	chr15:88854371-88854520	chr15:88854521-88854670	chr15:88854671-88854820	chr15:88854821-88854970	chr15:88854971-88855120	chr15:88855121-88855270	chr15:88855271-88855420	chr15:88855421-88855500	chr15:88855501-88855570	chr15:88855571-88855620	chr15:88855621-88855700	chr15:88855701-88855720	chr15:88855721-88855870	chr15:88855871-88856020	chr15:88856021-88856170	chr15:88856171-88856320	chr15:88856321-88856470	chr15:88856471-88856620	chr15:88856621-88856660	chr15:88856661-88856710	chr15:88856711-88856770	chr15:88856771-88856840	chr15:88856841-88856920	chr15:88856921-88857070	chr15:88857071-88857220	chr15:88857221-88857300	chr15:88857301-88857370	chr15:88857371-88857520	chr15:88857521-88857670	chr15:88857671-88857820	chr15:88857821-88857970	chr15:88857971-88858079	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.ef220820-5419-4b81-b030-ce292c6089b7.fc.signal	0.397577	0.431189	0.641525	1.36596	1.57346	0.821044	0.540717	0.42087	0.284269	0.380994	1.27082	0.746208	0.58524	0.998475	0.513333	0.418787	0.362715	0.333052	0.195791	0.14608	0.10643	0	0	0	0	0	0	0	0	0	0	0	0	0.23173	0.672226	1.38983	1.32042	1.61218	1.33156	1.16419	1.73521	1.24317	0.883655	1.31124	0.5
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.c4a67634-cf89-4945-bb82-26e2fddb3f3f.fc.signal	1.99823	1.16783	0.705303	0.683935	1.28234	1.46571	0.97756	1.29034	1.98119	2.51954	2.57347	1.66579	2.01351	2.02367	3.10734	2.65947	2.0455	1.67964	1.40329	0.695721	0.195529	0.023463	0	0	0	0	0	0	0	0	0	0	0.206393	0.847301	1.05249	1.26427	1.55971	1.79055	2.44302	2.96485	3.88537	1.55083	1.44575	1.69661	0.508899
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.9865a077-d036-4354-ba4b-3498c98e7bc1.fc.signal	1.01451	0.852297	0.487987	0.579443	0.485824	0.376638	0.237346	0.245591	0.472944	0.284939	0.7365	1.04165	0.67976	0.805481	0.511228	0.590304	0.372876	0.39972	0.910939	0.876473	0.382104	0.0046218	0	0	0	0	0	0	0	0	0	0	0.0612722	0.196777	0.495806	0.954949	0.761637	0.781213	0.895146	0.926934	1.6853	0.993199	0.651014	0.826181	0.450502
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.c1b4ffc0-5671-47c4-baaa-5f1958b2a0b4.fc.signal	1.92162	1.94139	1.74964	1.99161	1.45106	1.09227	0.617778	0.572134	0.6376	1.14556	1.80848	3.35942	2.14265	0.978938	2.92053	2.92143	3.21149	3.83072	3.94137	3.90792	1.37729	0.006592	0	0	0	0	0	0	0	0	0	0.151616	0.447717	0.859338	1.34649	1.92053	2.22717	1.6251	1.86738	1.41412	2.69856	2.49249	2.65301	3.45161	0.490964
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.285674ca-2d37-4ac8-859e-29db1bf824d3.fc.signal	0.661573	3.24885	1.2206	0.0371264	0.987361	2.73757	0.919609	0.96829	0	1.50806	2.03255	2.76138	1.31903	0.484732	0.654216	0.869409	1.40167	0.443478	1.03429	0.512182	1.06927	0.983728	0	0	0	0	0	0	0	0	0	0	0	0.331296	1.40392	1.54922	0.951361	2.57083	3.32819	1.99342	2.72412	1.57013	0.59407	4.03285	0.52093
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.409dbfeb-ff68-4d68-8254-ea0d0437a94c.fc.signal	1.01108	1.10174	0.91466	1.15359	1.25975	0.89577	0.890422	0.835376	1.10158	1.11115	1.25769	2.38151	1.5729	1.34485	1.51938	1.2804	1.09968	0.777903	1.39147	1.2205	0.811203	0.192869	0	0	0	0	0	0	0	0	0	0	0.480446	0.992352	1.4359	1.76709	0.81495	1.27944	1.04629	0.932065	1.51908	0.592593	0.823886	1.0063	0.403446
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.e6bec3c5-fcb0-48f1-bb2d-dd0add2596dc.fc.signal	2.14192	2.32508	2.18136	1.97891	2.01158	1.89985	1.35807	0.949181	1.17691	1.86599	1.17428	0.717487	1.11588	0.982684	1.14086	1.36225	2.2885	3.27839	1.46329	0.547821	0.337263	0.100581	0	0	0	0	0	0	0	0	0	0	0.0129003	0.434946	0.972359	1.49384	1.95566	2.94932	2.69062	1.99352	1.56009	2.48631	1.69768	2.08503	0.506782
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.795c5285-fcfe-49fc-86bb-822787a24420.fc.signal	0.974279	0.30722	0.438432	1.27881	0.323837	0.874305	0	0	0	1.30686	1.13658	0.835635	2.39375	2.07203	1.27837	0.559339	1.13698	3.24928	3.72169	2.1037	0.700104	0.0998544	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08058	1.85968	2.37795	2.49313	3.34003	1.97155	2.86078	3.07737	1.08556	0.506831
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000250.2.662b80be-c09d-4154-bc9d-1e0602218f9c.fc.signal	3.26128	2.59939	1.73798	0.694721	0.968201	0.758626	0	0.199001	1.40798	1.2805	0.463224	1.05252	2.55058	3.02746	0.745908	0.895793	1.58313	1.71679	1.5957	1.74124	2.19367	1.37107	0.54848	0	0	0	0	0	0	0	0	0.471693	0.54848	0.979326	1.78924	2.80063	2.44598	2.03602	1.34756	1.7696	2.74211	2.03302	1.30754	2.01759	0.439921
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.c8f6239b-cb62-4435-8e19-0a148079f3ba.fc.signal	0.722873	0.882608	0.468507	0.57847	0.719859	0.797218	0.330389	0.645104	1.20729	1.12616	1.26687	0.733741	0.839715	0.845649	0.919347	1.65859	0.718116	0.541724	0.483362	0.302736	0.0217913	0	0	0	0	0	0	0	0	0	0	0	0	0.147724	0.849034	0.999861	0.997728	0.939948	0.70284	0.903437	1.29105	1.43042	0.864537	0.707379	0.390244
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.8880c654-a0c9-41d0-997c-100c289384a4.fc.signal	1.48735	1.99281	1.76395	1.29406	1.8817	1.8415	1.11788	0.908061	1.13673	1.07421	1.31208	1.06563	1.31053	1.23909	1.48806	1.51484	1.51866	2.50806	2.32143	1.16185	0.477808	0	0	0	0	0	0	0	0	0	0	0	0	0.134114	0.466495	0.947479	1.51709	1.28804	1.46533	1.60635	1.79751	2.24331	1.48796	1.61648	0.503742
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.fb569507-616e-4ddb-bce1-2cdd793c15be.fc.signal	0.74129	0.704384	0.802555	1.00278	0.392552	0.434808	1.18014	1.08954	0.839336	1.6111	0.569933	0.416162	0.791109	1.1147	1.50764	1.51324	1.13895	0.929084	0.89203	0.487546	0.036746	0	0	0	0	0	0	0	0	0	0	0	0.222326	0.305345	0.763479	1.22075	2.15988	1.40439	0.77115	0.767493	0.969043	1.17934	0.709676	1.08862	0.554318
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.c89e7674-ad0a-4af9-b8e6-347f54ee25d4.fc.signal	0.99139	1.37978	0.796811	0.258716	0.366827	0.466366	0.414675	0.467985	0.658375	0.677323	0.204817	0.475866	0.655939	1.00673	0.989752	1.22894	0.918559	0.617072	0.681613	0.441321	0.172666	0.0260788	0	0	0	0	0	0	0	0	0	0	0	0	0.035562	0.319627	0.430182	0.350489	0.321427	0.515086	0.777763	0.516773	0.967839	1.00515	0.606481
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.f9db8d06-2630-4975-9e52-9172ce2a1bd6.fc.signal	2.63246	5.30135	2.80277	0.935495	0.826032	0.815394	1.02982	0.474578	0.488387	2.05387	0.494287	0.657744	2.31883	2.83063	1.32533	2.12144	2.65733	1.88709	4.18944	2.57689	0.925762	0.413579	0	0	0	0	0	0	0	0	0	0	0.453388	0.619646	1.24599	2.05838	1.5904	1.7035	3.91224	3.84747	2.21296	2.44041	2.33113	2.2057	0.388833
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001335.1.7f84d3cf-3693-41bf-993f-b100bfa2fe24.fc.signal	0.887849	0.48763	0.216609	0	0.198276	0.408095	0.11773	0	0.0336373	0.232381	0.235816	0.527536	0.437693	0.804203	0.71436	0.74389	0.351094	0.318487	1.04956	1.00434	0.3064	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223409	0.739352	0.76937	0.835475	0.99758	1.08072	0.706169	0.812291	2.28011	1.16201	0.412171
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001963.2.01ad782d-8f43-4114-af5f-5d6c1d4f4606.fc.signal	1.7861	1.7834	1.46203	1.19592	1.34912	1.19012	1.25496	1.58222	2.00353	1.76388	1.9208	2.95862	2.4907	1.50438	1.4548	2.05196	2.15088	2.43118	2.95546	2.10801	0.631883	0.018007	0	0	0	0	0	0	0	0	0	0.139153	0.316497	0.595091	1.33909	2.31484	2.05211	1.24803	1.19783	1.34027	2.10004	3.5085	3.48752	2.74453	0.449102
