	chr4:186283915-186284064	chr4:186284065-186284214	chr4:186284215-186284364	chr4:186284365-186284514	chr4:186284515-186284664	chr4:186284665-186284814	chr4:186284815-186284964	chr4:186284965-186285114	chr4:186285115-186285264	chr4:186285265-186285414	chr4:186285415-186285564	chr4:186285565-186285714	chr4:186285715-186285864	chr4:186285865-186286014	chr4:186286015-186286164	chr4:186286165-186286314	chr4:186286315-186286464	chr4:186286465-186286614	chr4:186286615-186286764	chr4:186286765-186286914	chr4:186286915-186287064	chr4:186287065-186287214	chr4:186287215-186287294	chr4:186287295-186287364	chr4:186287365-186287434	chr4:186287435-186287514	chr4:186287515-186287664	chr4:186287665-186287814	chr4:186287815-186287964	chr4:186287965-186288114	chr4:186288115-186288174	chr4:186288175-186288264	chr4:186288265-186288414	chr4:186288415-186288564	chr4:186288565-186288714	chr4:186288715-186288864	chr4:186288865-186289010	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	1.73938	2.32908	1.90652	0.801705	2.35648	2.2501	1.9534	2.65595	2.95119	2.27457	1.15773	0.681194	1.08057	1.64085	2.17697	2.20328	1.36435	2.60668	2.37706	2.49716	1.59182	1.20916	1.36923	0.594862	0.37508	0.255523	0.497657	1.89815	1.76438	1.41049	1.63499	2.32584	2.33873	3.8394	4.22519	2.55138	2.40316	0.595815
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	3.53598	0.190992	0	0.802839	0.693987	0	0.485165	1.13205	1.43747	1.79684	0	0	0.709773	2.29994	0.224613	0.849386	0.728111	2.53259	1.65178	1.79113	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118063	1.31121	0.14264	0.853089	0.835877
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.e3fd041d-f794-414d-802b-cfe9e9d53c6e.fc.signal	0.966152	1.49173	1.27509	1.32986	0.91631	1.67197	1.76926	1.09998	1.09482	1.41048	2.29775	2.12253	1.21735	1.56113	1.80667	2.51215	1.31134	3.01567	1.82843	0.587458	1.07971	0.991973	1.52679	1.95994	1.67086	1.65324	1.57267	1.45614	0.863479	0.648146	0.98701	0.932179	2.80083	1.69845	1.11704	1.27026	2.65666	0.630111
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.5571d7d7-4894-4e51-8082-c8a874cb2438.fc.signal	0.00224267	0	0.00739853	0.188057	0.135506	0.419453	0.400377	0.219781	0	0	0.158769	0.391028	0.0659601	0.130384	0.226399	0	0	0	0	0	0	0	0.188935	0.3364	0.264314	0	0	0.175878	0.0633843	0.148272	0.52959	0.411089	0.272853	0.0174259	0	0.0180983	0.476278	0.667969
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.68ad223e-c775-4c49-8f3f-4ec63b3e920b.fc.signal	0	0.939267	0	1.09658	1.76112	0.756233	0.779851	1.14561	0.24417	2.04148	0.825721	0	0.586668	1.55892	0.222511	1.37399	0.187152	1.22361	0.073292	0	0	0.520871	0.132996	0	0	0	0	0.35307	0.251681	0	0	0.407327	0.993494	1.57951	0.928821	0.695717	0	0.441501
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.e1095ee8-c1a0-47db-b726-788ab3dbb842.fc.signal	0.634921	0.304678	0.248202	0.0996981	0.163523	0.515259	0.284622	0.387632	0.558452	0.728149	0.904784	0.605507	0.603807	0.547865	0.376568	0.29999	0.790362	0.780175	0.608639	0.936741	0.375642	0.381813	0.448346	0.494214	0.284291	0.295035	0.180144	0.922526	0.730271	0.313164	0.310462	0.326531	0.274595	0.259479	0.367358	0.6595	0.794853	0.574913
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001901.1.bd86e759-1531-4112-8c3a-ef0446d756a3.fc.signal	1.96898	2.65121	1.86	1.47784	2.71561	3.97882	4.80127	3.28387	2.23511	2.44001	2.15157	3.04507	2.95641	2.58931	0.943705	0.937044	1.0018	1.71042	1.52333	1.54393	0.618142	1.12237	2.16266	1.54781	1.30379	1.17624	1.66408	1.01781	1.58342	1.68546	0.94475	1.86433	3.82328	3.81301	2.67068	1.96633	1.7728	0.574329
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001875.2.6632043e-47cf-4bfd-b8e1-020b2411b571.fc.signal	0.454236	0.953167	0	0.956335	0.57615	0.552086	0.380426	0.338955	0.801382	0.786315	0.35866	0.98423	0.92186	0.289018	2.69812	0.608245	0.147655	0.567607	0.262422	0.298325	0.0832099	0.468203	0	0	0	0	1.08712	0.722153	0.93773	0	0.82509	2.49503	1.85626	1.02757	1.20002	1.41534	0.621962	0.806468
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003809.1.88fb2a51-3313-49d0-b432-b95b6b91fc4b.fc.signal	4.61082	3.32236	2.94987	1.40925	2.76271	3.82168	1.94131	2.32388	3.47613	2.27093	1.88448	1.67151	1.98283	3.12136	3.37288	2.69226	2.38623	2.44526	1.84657	0.843871	1.15771	0.97706	0.388004	1.01327	1.18969	0.93043	0.635335	1.33295	1.7246	1.15658	0.934602	1.68011	2.46564	3.11436	3.79315	2.26346	2.19337	0.599595
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001902.1.526cb17b-4947-475e-9954-5626d82b7161.fc.signal	3.17817	1.54687	3.04019	1.95288	0.19268	0.899743	3.27235	2.26179	0.643608	0.934118	1.5849	1.97659	1.23435	0.992116	1.83214	1.08698	0.295274	0.781467	0.926174	1.40242	1.04495	0.399275	0.44695	1.13653	1.19399	1.24587	1.27828	2.01304	2.11854	0	0	0.879002	2.30626	2.16622	1.0799	1.42398	2.02256	0.664774
