	chr5:148123024-148123173	chr5:148123174-148123263	chr5:148123264-148123323	chr5:148123324-148123383	chr5:148123384-148123473	chr5:148123474-148123483	chr5:148123484-148123553	chr5:148123554-148123623	chr5:148123624-148123773	chr5:148123774-148123923	chr5:148123924-148124073	chr5:148124074-148124223	chr5:148124224-148124373	chr5:148124374-148124523	chr5:148124524-148124593	chr5:148124594-148124673	chr5:148124674-148124823	chr5:148124824-148124973	chr5:148124974-148125123	chr5:148125124-148125273	chr5:148125274-148125423	chr5:148125424-148125573	chr5:148125574-148125723	chr5:148125724-148125873	chr5:148125874-148126023	chr5:148126024-148126173	chr5:148126174-148126323	chr5:148126324-148126473	chr5:148126474-148126623	chr5:148126624-148126683	chr5:148126684-148126773	chr5:148126774-148126923	chr5:148126924-148127073	chr5:148127074-148127223	chr5:148127224-148127373	chr5:148127374-148127523	chr5:148127524-148127673	chr5:148127674-148127763	chr5:148127764-148127823	chr5:148127824-148127973	chr5:148127974-148128113	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0.313013	0.538761	0.518168	0.0693975	0	0	0	0.0674147	0.529272	0.757019	0.394224	0.818099	0.407132	0.0240578	0	0	0.368269	0.259084	1.0679	1.86735	1.01543	1.4785	1.98941	0.898342	0.220467	0.0486445	0.823481	0.375672	0.260938	0.83294	1.34494	0.512624	0.812923	0.413494	0.700288	0.521365	0.639366	0.42645	0.467367	0.916478	1.05655	0.120755
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0	0	0	0	0	0	0	0	0.379995	1.09023	0.731188	0.380924	0.610574	0.150792	0.546971	0.288227	0	0.210615	0.739821	0.478406	0	0	0	0.264903	0.0960064	0.267188	0.257931	0	0	0	0	0.00347893	0.439871	0.653959	0.43935	0.220335	0.458783	0.38373	0.221906	0.0551593	0.679695	0.81068
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	1.13213	0.71256	0.9568	0.725555	0	0	0	0	0	0	0	1.59453	0.605925	0	0	0	0	0.0605821	0.618646	0.0542051	0.22005	1.79503	1.74014	1.28248	0.261508	0.896114	0.366681	0	0	0	0.0306356	0.668051	0.00318853	0.38832	0.318517	0	0.296638	1.54321	3.31005	1.90415	0.658873	0.0888889
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001003.4.e55ccc77-8d92-466a-86b9-0bf035aed6cc.fc.signal	0.724533	0.132876	0.42709	0.42709	0.213546	0	0	0	0	0.364215	0.631499	1.12007	0.693261	0.0327437	0	0	0.313202	0.641983	0.0412863	0	0.364861	1.59132	0.77354	0.936868	0.0183427	0	0	0.334554	0.213546	0.309644	0.77107	1.34234	1.85913	1.88643	1.04304	0.431132	1.01753	0.965047	1.24371	1.04455	0.473935	0.150883
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.3d6cbb41-685c-49c7-85eb-8977ab8f14b3.fc.signal	2.51174	1.77435	1.28575	0.807988	0.215776	0	0	0	0	0	0.0243833	1.37994	0.395666	0.368136	0.282179	0.258255	0.0313415	0.588376	0.671058	0.467463	0.240656	0.32832	0.39826	1.16859	1.01884	1.01883	0.299681	0.374789	1.18177	0.423452	0	0.0355829	0.660061	0.534142	0.408954	0.720059	1.38412	1.25105	1.0518	0.580988	0.634958	0.131265
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.b75058ba-d142-4ae0-9acf-08c2d019a7dc.fc.signal	1.38904	1.17632	0.457956	0.239263	0	0	0	0.0360129	0.413444	0.24758	0.34271	0.532323	0.220648	0.900738	1.31406	0.732287	0.499416	1.26732	0.344875	0.298284	0.440994	0.660027	1.0064	0.6505	0.461355	0.913531	0.342539	0.0244167	0	0	0.0682796	0.399158	0.385053	0.430373	0.140424	0.742737	0.470552	0.0618474	0.0762485	0.323007	0.285397	0.27451
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.c85debd1-3d92-448f-90c2-50b50f17d029.fc.signal	0.767113	2.36737	1.9421	0.470773	0	0	0	0	0	1.02665	0.916197	0.0126747	0	0	0	0	0	0	0.152326	0.252322	0.328192	0.942153	0.564748	0.545582	0.230583	0	0.0181067	0.38024	0.0905333	0	0	0	0.296949	0.675357	0.107381	0.258542	0.400192	0.258786	0.397697	0.545008	0.522233	0.483607
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.52215347-885a-4412-918b-b787711b8d37.fc.signal	0.59571	0.290417	0	0	0	0	0	0	0	0	0	0.523909	0.975144	0.445059	1.31222	0.868052	0.0732781	0.348086	0.219702	0.398008	0.764087	1.09102	0.881706	1.42047	0.432782	0.121251	1.15055	0.445142	0.462294	1.0729	1.35493	0.195395	0.0248071	0.626371	0.890733	1.09945	0.819253	1.21141	1.30475	1.50273	0.662594	0.167539
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.68ad223e-c775-4c49-8f3f-4ec63b3e920b.fc.signal	1.18941	1.75137	0.660133	0	0	0	0	0	0.434299	1.26035	0.107789	0	0	0	0	0	0	0	0	0	0.0152712	0.854506	0.464422	0	0	0	0	0	0.447326	0.565894	0.269473	0.511999	0	0.150905	0.522778	0.908823	0.107784	0	0.408155	0.778815	0.0204525	0.220513
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003716.2.bdafba4d-384d-4886-a6c9-d1ddd966b153.fc.signal	1.53872	0.698573	0.650843	0.39051	0.351459	0.39051	0.39051	0.39051	0.039051	0.190314	0.166026	0.541987	0.290186	0.0471091	0.322867	0.544249	0.462137	0.28986	0.0400903	0.814857	1.90808	1.95598	0.55911	0.653447	0.49695	1.00656	0.551917	0.0026034	0.39051	0.253831	0	0.079805	0.346519	0.012715	0.234757	0.709575	0.680577	0.559798	0.572072	0.843422	0.424663	1
