	chr10:84255393-84255442	chr10:84255443-84255482	chr10:84255483-84255542	chr10:84255543-84255652	chr10:84255653-84255692	chr10:84255693-84255842	chr10:84255843-84255902	chr10:84255903-84255992	chr10:84255993-84256102	chr10:84256103-84256142	chr10:84256143-84256242	chr10:84256243-84256272	chr10:84256273-84256292	chr10:84256293-84256322	chr10:84256323-84256372	chr10:84256373-84256442	chr10:84256443-84256592	chr10:84256593-84256742	chr10:84256743-84256822	chr10:84256823-84256892	chr10:84256893-84256972	chr10:84256973-84257042	chr10:84257043-84257192	chr10:84257193-84257342	chr10:84257343-84257492	chr10:84257493-84257572	chr10:84257573-84257642	chr10:84257643-84257712	chr10:84257713-84257792	chr10:84257793-84257942	chr10:84257943-84258002	chr10:84258003-84258092	chr10:84258093-84258172	chr10:84258173-84258242	chr10:84258243-84258322	chr10:84258323-84258392	chr10:84258393-84258482	chr10:84258483-84258542	chr10:84258543-84258602	chr10:84258603-84258692	chr10:84258693-84258842	chr10:84258843-84258992	chr10:84258993-84259082	chr10:84259083-84259142	chr10:84259143-84259252	chr10:84259253-84259292	chr10:84259293-84259332	chr10:84259333-84259442	chr10:84259443-84259592	chr10:84259593-84259642	chr10:84259643-84259702	chr10:84259703-84259742	chr10:84259743-84259832	chr10:84259833-84259892	chr10:84259893-84260042	chr10:84260043-84260102	chr10:84260103-84260192	chr10:84260193-84260342	chr10:84260343-84260412	chr10:84260413-84260452	chr10:84260453-84260492	chr10:84260493-84260506	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.bc6e7c42-efcb-4227-9b35-b730ed21b81f.fc.signal	0.502046	0.389312	0.078574	0.0324682	0	0.078547	0.252135	0.156091	0.0156661	0.0114622	0.240846	0.452223	0.416469	0.385499	0.311022	0.199312	0.122283	0.265822	0.201372	0.158408	0.153725	0.0971523	0.142875	0.22596	0.288609	0.186943	0.153148	0.245182	0.349723	0.554624	0.744754	0.53974	0.37605	0.37064	0.214125	0.162123	0.278536	0.159301	0.138404	0.196279	0.311121	0.195929	0.250337	0.148066	0	0	0	0	0	0	0	0	0	0	0	0	0.170449	0.872706	0.826369	0.493932	0.321852	0.159119	0.516784
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.262baf8f-18ec-4df6-b43b-235702f654d5.fc.signal	1.17177	1.01056	0.633272	0.768029	0.503316	0.0686211	0.15137	0.148006	0.162379	0.283819	0.431396	0.282557	0.590333	0.499511	0.4541	0.358957	0.126142	0	0.0227055	0.371933	0.431396	0.0821723	0.460192	1.11425	0.493478	0.0964984	0.45194	0.60547	0.59227	0.676505	0.280033	0.479331	0.6964	0.278952	0.0227055	0	0.114368	0.274989	0.219486	0.352091	0.11465	0.151598	0.566787	0.202128	0.24627	0.461673	0.401124	0.549051	0.479348	0.75702	0.623151	0.374635	0.0975496	0.242195	1.22323	0.285079	0.30274	0.264937	0.285601	0.197186	0.302912	0.454022	0.46729
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.18735c01-9e7f-4bc3-8ba6-c4181a530efa.fc.signal	0.955713	0.738581	0.436083	0.174718	0.0467092	0	0	0	0.107573	0.342645	0.347991	0.204631	0.164594	0.0474507	0	0	0.00771073	0.08897	0.122334	0.256742	0.26691	0.160146	0.132862	0.32692	0.29011	0.227986	0.214799	0.231322	0.195274	0.334056	0.618962	0.688165	0.715226	0.681386	0.539511	0.516156	0.434097	0.16756	0.164594	0.346072	0.393943	0.263368	0.30849	0.410875	0.36651	0.17794	0.160146	0.183602	0.240812	0.17794	0.1468	0.111212	0.208594	0.588815	1.11117	0.986265	0.852265	0.725532	0.695367	0.857291	0.655317	0.557057	0.337981
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.d690d3e6-ed87-46ee-9d2a-0a5b66f16245.fc.signal	0.671362	0.626373	0.35382	0.454955	0.8008	1.45158	1.27036	0.364281	0.33805	0.393127	0.446928	0.143718	0.11831	0.117801	0.011521	0	0.175347	0.441635	0.42265	0.458825	0.543828	0.538122	0.643842	0.47229	0.231518	0.22872	0.319742	0.323454	0.435198	0.843622	0.977484	0.474216	0.282676	0.188704	0.239818	0.183786	0.421809	0.46145	0.436119	0.370052	0.33431	0.300574	0.240207	0.27113	0.270187	0.0929812	0	0	0	0	0	0	0	0	0	0.113746	0.372471	0.778774	0.709849	0.734333	0.431839	0.402814	0.430126
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.df24c052-2a81-4f1a-b170-2f4fdc228ffe.fc.signal	1.44728	0.80405	1.45591	1.36528	0.412188	0.161683	0.149875	0.376958	0.278265	0.253039	0.214635	0.174378	0.169762	0.240792	0.290764	0.428858	0.558221	0.482088	1.18842	2.18858	1.41991	0.788862	1.23966	0.28708	0.413046	0.281733	0.455341	0.390676	0.271188	0.482398	0.458925	0.393521	0.818032	1.40713	1.38095	1.4991	0.929441	0.358675	0.324074	0.401999	0.595111	0.199833	0.2725	0.238438	0.256398	0.466742	0.630816	1.02452	1.00842	0.204375	0	0.0851563	0.298288	1.17884	1.61351	0.985719	1.60658	1.58326	1.42112	0.889029	0.49324	0.35111	0.544707
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.604f0a28-681a-4e69-b09a-96c7d6e32ad9.fc.signal	0.312458	0.149834	0.206151	0.252712	0.369798	0.300087	0.408052	0.365547	0.150702	0	0	0.0595093	0.12752	0.195528	0.418253	0.51006	0.514313	0.520262	0.505281	0.688587	0.835231	0.774207	0.548318	0.233779	0.306888	0.290098	0.343508	0.322236	0.222786	0.122127	0.220101	0.510687	0.689343	0.831682	0.841472	0.675836	0.333452	0.0843002	0.213562	0.254766	0.260429	0.256526	0.12752	0	0.114768	0.210402	0.388925	0.469489	0.337491	0.339193	0.25503	0.363422	0.437804	0.584447	0.63758	0.671585	0.636163	0.551239	0.507427	0.398111	0.254777	0.15934	0.521368
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.2aa5c3df-0722-47d5-82d4-eb34ba16be25.fc.signal	0.925186	0.743506	0.426285	0.0720361	0.168664	0.175059	0.0377803	0.0340843	0.210215	0.358622	0.337707	0.213216	0.165342	0.105537	0.124461	0.488014	0.826463	0.730546	0.504992	0.32848	0.325797	0.199246	0.195785	0.282236	0.281994	0.29522	0.219472	0.320786	0.649712	1.26006	0.904101	0.326996	0.172401	0.421209	0.844381	0.928813	0.740685	0.272623	0.211432	0.255444	0.269618	0.278864	0.0577627	0	0	0	0	0	0	0	0	0	0	0	0	0.072705	0.14541	0.163713	0.415667	0.43428	0.43428	0.432677	0.526992
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.b6f7e119-ff00-43c1-b8c9-a6de8420c8f5.fc.signal	0.860237	0.718669	0.83451	0.792594	0.416888	0.1119	0.291323	0.45915	0.0973085	0.078651	0.0926772	0.0805247	0.120792	0.192445	0.368406	0.712694	0.566325	0.953118	0.539613	1.10632	1.66736	1.36095	2.08086	1.41594	1.12684	0.484139	0.328261	0.296408	0.507715	0.80736	0.416237	0.272438	0.512984	0.890146	0.970982	0.434821	0.347161	0.349982	0.195478	0.322464	0.529206	0.247216	0.240866	0.467306	0.564959	0.493894	0.464537	0.588538	0.772022	0.306177	0.152982	0.333197	0.575286	0.518894	0.651454	1.07153	0.608081	0.473044	0.465907	0.224895	0.220706	0.26766	0.444138
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.ba41b0a8-afb1-412a-b955-efd4cd4011d5.fc.signal	1.16766	0.667348	0.48961	0.214761	0	0	0.291536	0.306869	0.0828045	0.937973	1.02299	0.463417	0.14954	0.149924	0.158589	0.477893	0.671267	0.890186	0.48388	0.524033	0.210597	0.49777	1.00735	0.485616	1.20041	0.768539	0.326351	0.330099	0.345474	0.402378	0.459132	0.281506	0.401016	0.741743	0.708064	0.630153	0.156681	0.13202	0.127886	0.176555	0.407345	1.18971	1.17847	0.679381	0.560241	0.532609	0.626857	0.970546	1.02771	0.309961	0.135615	0.30688	0.301768	0.191868	0.820551	0.739093	0.619926	0.479239	0.656306	0.648438	1.0167	1.19482	0.435927
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.b9dbaad9-2938-4b18-847c-4c3a725caa30.fc.signal	0.291415	0.32966	0.336979	0.168938	0.0609668	0.0550435	0.196665	0.21011	0.167189	0.0758475	0.0168833	0	0	0.0420477	0.071179	0.14198	0.255523	0.292565	0.192415	0.267412	0.305442	0.278584	0.201479	0.3362	0.364992	0.311708	0.316838	0.306763	0.273607	0.360105	0.456011	0.370704	0.177614	0.193017	0.293645	0.316019	0.197617	0.111897	0.0673287	0.06586	0.236249	0.28745	0.24284	0.250133	0.24969	0.130302	0.110154	0.0835971	0.112204	0.087906	0	0	0.0157984	0.210863	0.259321	0.255707	0.262546	0.27945	0.318301	0.344333	0.28643	0.238471	0.68254
