	chr1:227648456-227648605	chr1:227648606-227648755	chr1:227648756-227648905	chr1:227648906-227649055	chr1:227649056-227649205	chr1:227649206-227649355	chr1:227649356-227649505	chr1:227649506-227649655	chr1:227649656-227649805	chr1:227649806-227649955	chr1:227649956-227650105	chr1:227650106-227650255	chr1:227650256-227650405	chr1:227650406-227650555	chr1:227650556-227650705	chr1:227650706-227650855	chr1:227650856-227651005	chr1:227651006-227651155	chr1:227651156-227651305	chr1:227651306-227651455	chr1:227651456-227651605	chr1:227651606-227651755	chr1:227651756-227651905	chr1:227651906-227652055	chr1:227652056-227652205	chr1:227652206-227652355	chr1:227652356-227652505	chr1:227652506-227652655	chr1:227652656-227652805	chr1:227652806-227652955	chr1:227652956-227653105	chr1:227653106-227653255	chr1:227653256-227653405	chr1:227653406-227653555	chr1:227653556-227653576	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.a6a9e168-f700-4b04-bb33-9eedccb77991.fc.signal	1.03005	0.597691	0.175522	0.62181	0.360883	0.150356	0.54705	0.668728	0.290022	0.475061	0.310344	0.579893	1.09171	0.0737606	0	0.694307	0.320461	1.749	1.26574	0.599639	0.34327	0.890134	1.0258	0.605194	0.27112	0.297625	0.133211	0.541972	0.055222	1.06309	1.14195	0.0839454	0	0.536647	1.63493	0.714744
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001447.1.0bde8c3f-07de-437f-8926-bbf417d01abf.fc.signal	0.0902859	0	0	0	0	0	0.356959	0.804926	0.225923	0.681728	0.933065	0.313995	0.378941	0.0503936	0	0	0	0	0.243984	1.6805	1.36433	0.147765	0	0	0	0	0	0.395366	0.507435	0.383797	0.381531	0	0	0	0	0.303103
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000014.2.2ffc3bfd-a8b5-4bc3-8298-0f71a6dfa4b0.fc.signal	0.203698	0.944807	1.32439	2.12428	0.645764	1.65552	0.351344	0.553996	0.762368	0.638666	1.03149	0.485408	1.25861	1.00405	0.3057	0.162471	1.69563	1.17589	0.786553	1.89771	1.4225	1.27334	0.165237	0.647487	1.38421	0.889734	0.0633473	0.74403	0.811965	0	1.41868	0.436486	1.0188	0	0	0.5625
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000279.2.c8dc6fda-b050-49b5-ab4a-886e58f3d031.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0.312571	0.357041	0	0.341268	0.260323	0	0	0	0.0130352	0.624203	0.262113	0.776345	0.065176	0.56091	0.625322	0.0392556	0	0	0.154347	0.393653	0	0	0	0.0325371	0.432836
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.12487572-adf6-40c8-9745-66a141c14768.fc.signal	0.945103	1.79568	0.82538	0.309499	0.824777	1.04029	1.42397	2.21772	0.815298	0.277873	0.263396	0	0.205244	0.213289	0	0.176812	0.175436	0.447994	0.52547	0.161534	0.889897	1.99895	1.76118	0.716055	0.163174	0.650185	0.619507	0.641738	0.182742	0.425225	1.57758	0.206446	0	0.260732	0.61386	0.706371
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.80ce343a-5712-49f6-8c5c-1e3104623262.fc.signal	3.0021	4.94864	6.99997	5.40308	6.19646	3.94504	3.84627	2.69444	4.27392	4.30922	4.24212	2.33188	3.39922	0.90986	2.74735	3.04691	5.79297	5.29341	5.35918	6.67941	8.4047	7.1062	3.73275	3.27603	2.51596	3.2639	1.79656	2.25173	1.96031	2.80191	2.6281	2.72485	0.776178	1.95692	6.10548	0.401544
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001955.3.0d6e9ac4-1ee5-4f7e-8d0d-48a48250ff2d.fc.signal	0.63624	1.13453	0.806213	0.369032	0.360425	0.37883	0.429239	0.0403043	0.0746451	0.41949	0.0270468	0	0.202532	0.183999	0	0	0.0365308	0.681432	0.378242	0.975003	1.54261	0.213333	0	0.0473367	0.236049	0.0299409	0.515956	1.05613	0.155348	0.33757	0.545653	0.134309	0.387392	0.102273	0	0.460894
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.2e9e766f-a8f0-4144-be3d-bffc3ef3aedd.fc.signal	0	0	0.779151	1.20187	0.0750705	0.669373	0.545345	0.952672	1.36467	0.885037	0	0	0	2.55386	3.67598	0.196708	0.737369	1.59838	0.682476	0.674789	0.0071528	0.6291	0.0709973	0.00599113	1.28146	1.58327	0.0190728	0	0.184312	0.832291	1.11411	0.762947	1.13278	0.0663319	0	0.537313
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003401.1.342281be-4e86-4e27-9e01-e85aacc54324.fc.signal	0.503151	0.730135	0.890335	0.339656	0	0	0.34769	0.535187	0.520636	0.576633	0.543127	0.637528	0.697434	0.618306	1.05811	1.56026	0.676234	0.573775	0.261083	0	0.140413	0.895193	0.566904	0	1.05932	1.30338	0.308473	0.274535	0.31761	0.327454	0	0	0.393235	1.22058	1.82784	0.747967
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.2aab058a-2f5b-45b4-aeba-aa0a2d209eb3.fc.signal	0.192583	0.209265	0.644888	0.480373	0	0.075025	0.715502	0.311711	0	0	0	0.0145035	0.526361	0.321187	0.40936	0.381265	0.368363	0.836225	0.625257	0.264052	0.165982	0.221489	0.722856	0.278324	0.116225	1.34512	0.896263	1.11428	0.296135	0.886939	1.56462	0.77089	0.0932535	0.0809955	0.423243	0.698207
