	chr19:40219972-40220121	chr19:40220122-40220271	chr19:40220272-40220421	chr19:40220422-40220521	chr19:40220522-40220571	chr19:40220572-40220721	chr19:40220722-40220871	chr19:40220872-40221021	chr19:40221022-40221171	chr19:40221172-40221321	chr19:40221322-40221471	chr19:40221472-40221621	chr19:40221622-40221771	chr19:40221772-40221921	chr19:40221922-40222071	chr19:40222072-40222221	chr19:40222222-40222311	chr19:40222312-40222371	chr19:40222372-40222521	chr19:40222522-40222571	chr19:40222572-40222671	chr19:40222672-40222821	chr19:40222822-40222971	chr19:40222972-40223121	chr19:40223122-40223271	chr19:40223272-40223421	chr19:40223422-40223521	chr19:40223522-40223571	chr19:40223572-40223721	chr19:40223722-40223871	chr19:40223872-40224021	chr19:40224022-40224171	chr19:40224172-40224281	chr19:40224282-40224321	chr19:40224322-40224471	chr19:40224472-40224531	chr19:40224532-40224621	chr19:40224622-40224771	chr19:40224772-40224921	chr19:40224922-40225071	chr19:40225072-40225221	chr19:40225222-40225321	chr19:40225322-40225371	chr19:40225372-40225441	chr19:40225442-40225521	chr19:40225522-40225652	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.05f731d1-35d3-4327-ad52-34ab22707910.fc.signal	0.194011	0.370335	0.163187	0.0772992	0	0	0	0.216153	0.473873	0.803835	0.327861	0.316374	0.0901824	0.224775	0.413781	0.549785	0.0119289	0	0	0	0	0	0	0	0.15603	0.0586901	0	0	0.124538	0.0901824	0	0.157464	0.582695	0.42945	0.393662	0.433032	0.42945	0.416566	0.204703	0.198974	0.207564	0.455238	0.360736	0.064416	0.418714	0.234394	0.407654
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003696.3.56ed3fdb-46a9-4765-a249-372860e042b1.fc.signal	0.720626	0.572988	0.420302	0.414827	0.606167	0.681612	0.643815	0.216205	0.626612	0.976499	0.287539	0.577628	0.600273	0.606086	0.718321	0.0112251	0	0.0867397	0.286197	0.913214	0.512489	0.318644	0.0954313	0	0.076535	0.0714327	0.0520438	0.15307	0.2888	0.0693937	0	0.00816373	0.15307	0.103322	0.145929	0.556161	0.496635	0.0734748	0.29492	0.489834	0.39799	0.246448	0.15307	0.15307	0.241089	0.43585	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003689.3.beff36be-023d-4a6e-8a49-a553932bd6ce.fc.signal	0.579634	1.02713	1.42962	1.06717	1.05432	1.76422	0.585412	0.366014	0.435792	0.838809	0.37373	0.621564	0.720249	0.220492	0.094752	0.183254	0.824932	1.35911	1.22723	0.748267	1.61768	1.92977	1.15927	1.00164	2.13009	2.22715	2.52438	0.916773	0.586596	1.59165	0.555718	0.207589	1.8737	1.3816	1.0497	1.47019	1.73038	1.32324	0.803211	0.864684	0.903515	1.08376	2.06917	2.13782	1.70285	2.72032	0.818182
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003685.2.c2e20b49-142e-4797-9eba-5be0eab06323.fc.signal	0.853563	1.04322	1.29472	0.867786	0.230209	0.476153	1.02451	0.799287	0.0583367	0.16082	1.33545	2.62207	1.45071	0.506948	0.152937	2.04968	0.46249	0.291683	0.63382	0.5203	0.473	0.417817	0.7568	0.783604	0.438313	0.26961	0.484825	0.7095	0.33583	0.286953	0.613325	0.805679	0.35905	0.473	0.0835633	0	0	0	0.206543	0.266457	0	0.352385	1.39063	1.51361	0.730194	1.97907	0.544262
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001900.1.6f34fcaf-f939-42d9-9208-522a5ad9c032.fc.signal	0.528483	0.229712	0.583993	0.794954	0.618348	0.500091	0.273317	0.330293	0.483242	0.319438	0.504308	0.494537	0.524431	0.445813	0.384996	0.195337	0.08092	0.158546	0.102418	0	0.0821773	0.0878775	0.6109	0.682633	0.129869	0.0845173	0.082317	0.0802812	0.0172496	0.272281	0.364009	0.421589	0.498489	0.290029	0	0.0742963	0.361404	0.702424	0.27435	0.0200614	0	0.00237065	0.115928	0.273268	0.466712	0.597494	0.0165289
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001015.4.f20ced91-030b-432e-b792-c809b0185614.fc.signal	1.78765	2.25038	1.51698	1.66319	1.01035	1.59679	1.05272	1.0036	1.34757	1.34706	0.839975	1.11747	1.29314	1.19688	0.709276	0.68725	0.820133	1.54482	1.87161	1.03998	1.42874	2.12696	1.36983	1.96491	2.05914	2.50011	3.32825	2.37526	2.77317	3.69048	1.66145	2.6746	2.01898	3.14937	2.66689	2.64192	3.1785	2.88938	5.11716	3.71926	1.71931	1.98546	4.03339	5.08177	4.61586	4.43978	0.917832
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000233.3.2ce6c7a2-1501-4bf0-9209-c55a1327303d.fc.signal	1.16995	1.37358	1.26802	1.63568	1.87421	1.63584	0.854162	0.93571	1.05319	1.03543	0.852872	1.0665	1.25338	1.01263	0.998569	0.809971	0.622385	0.480758	0.636777	0.750944	0.872785	0.807058	0.685418	0.455638	0.531076	1.03009	1.05923	0.889987	0.794827	0.856794	0.74904	0.759607	0.608703	0.564194	0.802436	0.989491	1.27604	1.28404	1.33037	1.10764	1.3427	1.89352	1.99264	1.84882	1.50896	1.30676	0.475728
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.0997810a-4867-4ba8-9534-ea6e95022077.fc.signal	1.21641	1.45562	0.74701	0.931258	1.12677	0.628477	0.347795	0.202415	0.192597	0.640291	0.418179	0.493691	0.702545	1.32149	1.22808	0.359019	1.37943	1.13806	0.269522	1.04021	1.0544	0.19835	0.348353	0.461043	0.563671	0.440619	0.577151	0.651018	0.413796	0.634194	1.65092	1.76722	1.95989	2.35301	2.46851	1.47639	0.956336	0.623007	0.432785	0.563721	0.87464	1.23983	1.18112	1.23192	2.25232	2.41157	0.697143
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001236.5.89a447bb-7116-45ed-914d-ea08ca13224b.fc.signal	0.421954	0.812653	0.736162	0.496447	0.337131	0.239451	0.0361225	0.216303	0.326949	0.38009	0.414688	0.667638	0.900056	0.210632	0.367923	0.115574	0.500221	0.915156	1.07105	1.02704	0.928826	0.369171	0.649962	0.425667	0.674696	0.549915	1.29314	0.668976	0.702151	0.602653	0.0640466	0.243537	1.23595	0.681179	1.01512	0.637781	0.69957	0.796603	0.727222	0.344352	0.585189	1.41378	1.65547	0.460505	0.301483	1.02259	0.136752
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.bc3c5401-2679-4e6a-8d23-b4052eee1a8e.fc.signal	0.595469	0.324889	0.163312	0.1777	0.47778	0.837536	0.774203	0.220941	0.175231	0.121961	0	0	0.256921	0.492949	0.249524	0.161458	0.438341	0.441802	0.336954	0.361986	0.429229	0.493104	0.251716	0.307313	0.41582	0.718741	0.936641	0.758315	0.564218	0.367482	0.372289	0.102136	0.0306394	0	0.026528	0.111121	0.136322	0.171298	0.383795	0.317465	0.0532955	0.152994	0.154957	0.151596	0.0480486	0.0380331	0.954827
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001021.4.42815287-0f19-4aa3-960b-90c95fa6839b.fc.signal	0.454837	0.453288	0.432871	0.667937	0.762573	0.491149	0.316258	0.277512	0.613009	0.42985	0.946868	0.451911	0.745477	0.346903	0.0967215	0.398151	0.448361	0.325396	0.506011	0.223206	0.354543	0.883066	0.470015	0.157083	1.21212	1.83063	2.47657	1.52606	0.480138	0.812172	0.612795	0.571717	1.41979	1.78608	1.55018	1.24495	1.54934	1.51925	1.90889	0.953216	0.852634	1.35481	1.39859	1.19858	1.26168	0.953057	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.227d235e-5d49-4e40-8c2e-3e1ec3df47e3.fc.signal	0.0631192	0.223372	0.238798	0.0984607	0.130534	0.20562	0.190994	0.340692	0.216804	0.0610837	0.40202	0.557041	0.319841	0.0479023	0.259821	0.577407	0.427307	0.316172	0.222826	0.330368	0.251647	0.192715	0.145396	0.278748	0.356178	0.18067	0.12905	0.090335	0.38715	0.490406	0.305418	0.449967	0.434077	0.5162	0.156581	0.169916	0.2581	0.0266703	0.000860333	0.150558	0.304558	0.064525	0	0	0.976119	1.46957	0.48125
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003660.4.e1eb7bb8-867a-4feb-b462-21fef6641a20.fc.signal	2.56386	3.85977	2.08286	1.45009	1.29656	1.12953	0.659162	0.291688	0.985968	1.28928	1.01718	1.10491	0.574722	1.25457	1.77877	0.851246	1.09239	2.72443	3.78003	1.61434	1.59676	1.58143	1.21503	2.24356	2.72668	3.42696	3.95314	1.71754	0.587241	1.46804	1.04712	1.63533	1.63868	1.92695	2.5358	3.04861	3.54532	3.29977	2.49859	0.974007	1.91838	2.22494	2.59312	2.23921	3.13835	5.22234	0.915033
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.7866bc38-19c8-460a-b9f2-0b2f5c3d0dca.fc.signal	4.05455	4.82058	5.29135	3.73125	2.13928	1.17184	0.827302	1.83901	1.27929	0.633808	1.51026	1.19969	0.329076	1.00875	0.454456	0.21685	1.40113	1.85588	4.05617	4.39404	1.11752	1.75716	5.86758	4.11651	2.5526	1.59158	0.78953	0.829046	0.69887	0.296513	1.21043	1.16173	1.39124	3.53071	4.11163	3.91327	8.21298	8.25186	2.20289	3.71228	2.12497	1.18289	2.07995	3.01964	8.01122	7.92076	0.901961
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003695.3.bdb135f7-e7e7-45ee-919a-f8d9bc37c43a.fc.signal	1.24738	1.06388	0.600159	0.256507	0.73884	0.500441	1.08745	0.786897	0.659035	0.178309	0.335619	0.450037	0.853043	0.813175	0.473451	0.669821	0.824106	0.463003	0.0837355	0.14777	0.100484	0	0.193086	0.230521	0.167473	0.00197027	0.37533	0.43739	0.0453161	0	0.563427	0.32308	0.366734	0.73884	0.691512	0.780621	0.311956	0.167473	0.627428	0.424539	0.226581	0	0	0.128771	0.507949	0.438791	0.627273
